how,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,NA
0,2,0,0,13,14,1,0,0,0,0,5
1,0,0,0,18,15,0,0,0,1,0,5
2,4,0,0,7,15,0,0,0,0,0,3
3,3,0,0,10,20,0,1,0,1,0,8
4,5,0,0,11,18,0,0,0,0,0,8
5,1,0,0,0,20,0,0,0,0,0,2
6,0,0,0,1,5,0,0,0,1,1,2
7,0,0,0,3,0,0,0,0,0,0,1
8,0,0,0,0,4,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,1
11,0,0,0,0,0,0,0,0,0,0,1
12,0,0,0,2,0,1,0,0,0,0,0
13,0,0,0,0,0,2,0,0,0,0,1
14,0,0,0,10,1,5,0,0,0,0,2
15,0,0,0,4,5,1,0,0,0,0,3
16,0,0,0,12,3,0,0,0,0,1,2
17,0,0,0,16,3,0,0,0,0,0,3
18,0,0,0,7,2,0,0,0,0,0,4
19,0,0,0,7,5,0,0,0,1,0,5
20,0,0,0,13,5,0,0,0,2,0,5
21,0,0,0,9,7,0,0,0,0,0,7
22,4,0,0,12,5,0,0,0,1,0,7
23,0,0,0,2,2,0,0,1,2,0,1
24,0,0,0,2,9,1,0,0,0,0,4
25,0,0,0,0,1,0,0,0,0,0,3
26,0,0,0,3,7,0,0,0,0,0,0
27,0,0,0,0,2,0,0,0,0,0,3
28,0,0,0,0,1,0,0,0,0,0,0
29,0,0,0,0,5,0,0,0,1,0,1
30,0,0,0,0,2,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,2
35,0,0,0,0,0,3,0,0,0,0,1
36,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,1
38,0,0,0,0,0,0,0,0,0,0,0
