how,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,NA
0,46,7,0,45,24,3,6,0,1,10,60
1,15,4,0,38,23,5,6,0,1,10,33
2,14,2,0,28,35,3,4,1,2,4,31
3,10,4,0,19,45,1,2,0,1,5,32
4,8,0,0,21,37,0,2,0,0,2,20
5,8,1,0,3,33,0,2,0,0,2,11
6,0,1,0,1,8,0,3,0,1,4,5
7,0,1,0,6,1,0,0,0,0,2,2
8,0,0,0,0,4,0,0,0,0,0,2
9,0,0,0,1,0,0,1,0,0,0,1
10,0,0,0,0,0,1,0,0,5,0,3
11,0,2,0,0,0,2,0,0,0,0,4
12,6,1,0,5,0,1,35,0,4,2,9
13,3,3,0,5,1,5,20,0,1,2,10
14,10,4,0,28,1,6,21,0,5,0,23
15,10,1,0,18,6,8,14,1,5,10,27
16,50,5,0,35,8,5,10,1,8,8,39
17,51,2,0,34,8,5,12,0,14,11,62
18,34,4,0,23,2,0,4,0,13,7,51
19,25,1,0,26,8,4,1,0,9,3,32
20,36,3,0,27,9,2,9,0,6,5,38
21,19,4,0,26,11,4,4,0,5,8,51
22,29,7,0,25,12,12,9,0,1,11,41
23,50,4,0,16,14,3,4,1,6,11,46
24,18,3,0,15,10,8,5,0,3,8,26
25,9,4,0,4,7,3,0,0,0,4,19
26,5,0,0,13,15,1,2,0,0,3,15
27,4,2,0,2,7,3,1,0,1,3,14
28,0,4,0,0,5,0,3,0,1,8,8
29,0,0,0,1,8,0,0,0,1,2,6
30,1,0,0,0,2,0,0,0,0,0,4
31,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,1,0,0,0,0
34,3,6,0,0,0,2,4,0,0,2,4
35,1,3,0,1,0,4,9,0,4,0,13
36,1,1,0,3,0,2,6,0,4,0,16
37,2,4,0,4,0,8,16,1,12,8,28
38,9,6,0,6,0,4,7,0,1,5,21
39,9,5,0,11,2,11,23,0,8,0,30
40,11,4,0,14,2,7,4,0,4,0,31
41,17,9,0,12,3,7,21,0,9,1,30
42,1,9,0,4,1,1,17,0,7,5,18
43,13,7,0,7,0,7,16,0,6,4,33
44,13,2,0,7,4,9,9,0,4,3,33
45,14,7,0,12,5,10,12,0,7,11,26
46,27,6,0,18,13,6,5,1,3,2,43
47,24,4,0,19,2,3,6,0,3,14,42
48,22,2,0,19,10,3,4,0,6,10,27
49,17,6,0,12,5,4,6,1,4,4,31
50,17,2,0,4,6,9,3,0,1,2,36
51,13,9,0,1,4,5,2,0,0,1,10
52,1,1,0,0,1,0,1,0,0,3,10
53,0,2,0,0,1,0,0,0,0,2,2
54,0,3,0,0,1,1,0,0,1,0,2
55,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,2
57,0,0,0,0,0,0,0,0,0,0,3
58,0,6,0,0,0,0,3,0,0,0,7
59,0,3,0,3,0,4,5,1,4,2,16
60,0,8,0,2,0,3,5,0,13,4,36
61,5,4,0,10,1,0,20,0,2,3,27
62,11,8,0,6,0,20,17,1,2,4,27
63,6,6,0,15,2,9,7,0,5,5,25
64,8,7,0,16,9,4,15,1,7,6,33
65,10,6,0,13,1,7,9,0,11,0,23
66,6,17,0,10,2,0,14,0,7,6,12
67,11,7,0,8,3,4,7,0,4,4,28
68,13,3,0,7,1,6,7,0,8,7,29
69,23,4,0,14,8,12,5,0,6,6,29
70,61,13,0,27,5,6,6,0,7,13,31
71,56,3,0,27,12,3,3,0,0,4,28
72,21,1,0,22,7,5,4,0,4,1,37
73,9,2,0,8,8,1,1,0,3,3,25
74,6,0,0,6,6,4,0,0,2,2,16
75,7,2,0,6,11,0,1,0,0,7,10
76,2,0,0,0,6,0,7,0,0,4,9
77,1,1,0,0,1,0,0,0,0,0,6
78,0,0,0,1,0,0,3,0,0,0,5
79,0,0,0,0,0,0,0,0,0,0,1
80,0,0,0,0,1,0,2,0,0,4,3
81,0,0,0,0,0,0,0,0,0,0,1
82,0,7,0,1,0,0,3,0,0,2,5
83,0,1,0,1,0,3,3,0,2,4,9
84,5,1,0,0,0,2,1,0,11,0,22
85,1,5,0,4,0,6,11,1,2,0,19
86,3,5,0,7,0,6,4,0,1,1,22
87,6,9,0,11,1,8,15,0,7,2,26
88,17,13,0,18,1,8,6,0,11,4,29
89,5,7,0,17,2,3,3,0,7,4,38
90,7,8,0,16,4,7,5,0,9,5,23
91,20,9,0,11,2,8,7,1,4,9,39
92,10,13,0,5,1,5,4,0,9,11,33
93,17,2,0,27,9,4,2,0,4,5,45
94,41,2,0,29,14,10,9,1,6,4,43
95,71,5,0,31,16,4,1,0,3,7,44
96,26,10,0,22,17,4,1,0,0,5,31
97,23,1,0,20,12,3,0,1,0,0,27
98,10,3,0,12,6,4,1,0,1,4,28
99,12,2,0,11,14,1,0,0,0,0,22
100,4,0,0,2,5,0,1,0,0,4,12
101,0,0,0,0,5,0,0,0,0,2,5
102,0,0,0,0,0,0,0,0,0,0,1
103,0,0,0,2,0,0,0,0,0,0,3
104,0,1,0,0,0,0,1,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,4
106,2,6,0,0,0,0,4,0,0,1,5
107,2,4,0,2,0,2,5,0,2,4,14
108,18,4,0,11,0,1,5,0,3,1,30
109,4,10,0,5,0,4,9,0,3,5,50
110,7,3,0,3,1,4,23,0,3,9,37
111,6,5,0,18,1,11,8,0,7,5,37
112,15,11,0,22,6,13,11,0,9,4,27
113,12,11,0,11,5,13,10,0,8,6,26
114,19,7,0,13,1,2,12,1,2,17,34
115,10,8,0,16,6,10,5,0,3,8,29
116,9,5,0,6,5,6,2,0,6,3,29
117,18,5,0,24,9,3,9,0,8,1,38
118,48,2,0,26,17,5,1,0,10,4,45
119,64,4,0,25,17,4,5,0,5,3,46
120,34,0,0,23,12,7,2,0,5,3,39
121,9,3,0,19,21,1,0,0,2,6,37
122,16,1,0,8,14,5,3,0,0,7,26
123,7,2,0,2,24,0,3,0,0,6,19
124,4,1,0,3,6,1,0,1,0,3,9
125,1,4,0,4,6,0,6,0,2,2,9
126,0,0,0,0,4,0,0,0,0,0,6
127,0,0,0,0,1,0,0,0,0,3,5
128,0,1,0,0,0,1,0,0,0,0,2
129,0,0,0,0,0,1,3,0,0,0,4
130,0,6,0,1,0,0,6,0,0,0,2
131,0,1,0,2,0,5,6,0,0,3,20
132,0,5,0,3,0,4,8,0,3,4,38
133,2,9,0,8,0,4,14,0,10,10,32
134,6,7,0,2,0,6,9,0,8,5,32
135,8,5,0,16,0,4,11,0,11,2,33
136,4,10,0,27,3,5,29,0,9,3,37
137,6,9,0,29,9,7,24,0,6,9,35
138,17,6,0,22,16,1,12,0,13,3,34
139,9,5,0,13,9,3,11,0,10,3,28
140,22,9,0,8,9,6,5,0,13,4,33
141,46,6,0,30,16,6,10,0,14,10,45
142,42,3,0,42,22,6,10,0,5,4,69
143,89,2,0,40,28,1,16,0,7,6,65
144,32,6,0,29,20,7,3,0,2,6,59
145,18,4,0,35,18,1,2,0,0,3,32
146,15,1,0,32,31,3,1,2,1,5,34
147,16,2,0,32,24,3,0,0,4,2,39
148,3,0,0,13,28,4,0,0,0,5,22
149,1,2,0,10,25,0,0,0,1,0,8
150,0,1,0,2,7,0,3,0,0,6,8
151,1,0,0,0,0,0,0,0,0,3,8
152,0,1,0,1,0,0,0,0,0,0,1
153,0,0,0,0,2,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,1,2
155,2,0,0,0,0,3,1,0,5,5,9
156,0,0,0,3,0,4,6,0,13,6,16
157,13,4,0,11,1,9,4,0,6,8,29
158,20,8,0,20,2,12,4,0,2,5,31
159,27,9,0,27,5,11,5,0,11,6,39
160,41,9,0,33,11,13,8,1,6,3,47
161,33,8,0,33,10,15,9,0,19,6,74
162,39,4,0,22,15,4,29,0,9,2,56
163,52,6,0,19,17,8,6,0,17,6,59
164,43,11,0,20,18,18,13,0,14,12,58
165,27,6,0,37,26,8,8,1,11,4,57
166,63,6,0,35,21,1,1,1,4,6,45
167,55,4,0,37,26,3,7,1,4,10,53
