how,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,NA
0,0,0,0,8,1,0,0,0,0,0,3
1,0,0,0,2,1,0,0,0,0,0,0
2,0,0,0,2,1,0,0,0,0,0,1
3,0,0,0,0,5,0,0,0,0,0,0
4,0,0,0,0,7,0,0,0,0,0,2
5,4,0,0,0,5,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,0,0,1
7,0,0,0,2,1,0,0,0,0,0,1
8,0,0,0,0,0,0,0,0,0,0,1
9,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,3,0,0,0,0,0,0,0
13,0,0,0,4,0,0,0,0,0,0,0
14,0,0,0,14,0,0,0,0,1,0,1
15,0,0,0,9,0,4,0,0,1,0,2
16,0,0,0,9,2,0,2,0,5,0,0
17,2,0,0,6,1,0,1,0,5,0,3
18,0,0,0,7,0,0,0,0,5,0,5
19,0,0,0,3,1,0,0,0,2,0,3
20,0,0,0,1,0,0,2,0,0,0,2
21,0,0,0,0,1,0,1,0,3,0,2
22,0,0,0,0,0,0,0,0,0,0,4
23,0,0,0,0,1,0,0,0,0,0,2
24,0,0,0,1,0,0,0,0,0,0,3
25,0,0,0,0,0,0,0,0,0,0,2
26,0,0,0,0,0,0,0,0,0,0,3
27,0,0,0,2,0,0,0,0,0,0,1
28,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,1
31,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,2,0,0,0,0,0,0,0
37,0,0,0,3,0,0,0,0,3,0,2
38,0,0,0,4,0,0,0,0,1,0,1
39,0,0,0,5,0,0,0,0,0,0,2
40,0,0,0,4,0,0,1,0,1,0,3
41,2,0,0,1,0,0,0,0,0,0,1
42,0,0,0,2,1,0,0,0,0,0,3
43,0,0,0,1,0,0,0,0,1,0,1
44,0,0,0,0,1,0,0,0,0,0,0
45,0,0,0,0,0,0,2,0,0,0,1
46,0,0,0,1,0,0,2,0,0,0,1
47,0,0,0,0,0,0,0,0,0,0,2
48,0,0,0,2,1,0,0,0,0,0,1
49,0,0,0,0,0,0,0,0,0,0,1
50,0,0,0,0,0,0,0,0,0,0,2
51,0,0,0,0,0,3,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,2,0,0,0,0,0,0,1
60,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,4,0,0,0,0,0,0,1
62,0,0,0,2,0,3,0,0,1,0,2
63,0,0,0,5,0,0,0,0,1,0,2
64,0,0,0,4,1,0,0,0,4,0,5
65,0,0,0,2,0,0,1,0,0,0,2
66,0,0,0,1,0,0,1,0,1,0,1
67,0,0,0,2,0,0,0,0,0,0,4
68,0,0,0,0,0,0,0,0,0,0,2
69,0,0,0,0,2,0,0,0,0,0,2
70,0,0,0,3,0,0,0,0,0,0,3
71,0,0,0,6,2,0,0,0,0,0,5
72,2,0,0,2,0,0,0,0,0,0,6
73,0,0,0,1,1,0,0,0,0,0,0
74,0,0,0,1,0,0,0,0,0,0,2
75,2,0,0,2,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,1
78,0,0,0,0,0,0,0,0,0,0,1
79,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,1
86,0,0,0,4,0,0,0,0,0,0,1
87,0,0,0,1,0,0,0,0,0,0,2
88,0,0,0,5,0,0,0,0,1,0,2
89,0,0,0,4,1,0,0,0,2,0,3
90,0,0,0,1,1,0,0,0,0,0,1
91,0,0,0,1,0,0,2,0,0,0,0
92,0,0,0,0,0,0,0,0,2,0,1
93,0,0,0,2,0,0,0,0,0,0,0
94,0,0,0,1,0,0,1,0,1,0,3
95,0,0,0,0,1,0,0,0,0,0,4
96,0,0,0,0,1,0,0,0,0,0,2
97,0,0,0,0,0,0,0,0,0,0,1
98,2,0,0,0,0,0,0,0,0,0,0
99,0,0,0,2,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,2
101,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0
108,4,0,0,5,0,0,0,0,0,0,1
109,0,0,0,3,0,0,0,0,0,0,2
110,0,0,0,1,0,0,0,0,0,0,3
111,0,0,0,8,0,0,0,0,0,0,1
112,0,0,0,1,0,3,1,0,1,0,3
113,0,0,0,0,3,3,1,0,1,0,3
114,0,0,0,0,0,0,0,0,1,0,3
115,0,0,0,2,3,3,0,0,1,0,4
116,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,1,0,0,0,0,0,3
118,4,0,0,1,0,0,0,0,0,0,3
119,0,0,0,4,1,0,0,0,0,0,3
120,0,0,0,0,0,0,0,0,0,0,6
121,0,0,0,2,0,0,0,0,0,0,3
122,0,0,0,0,1,0,0,0,0,0,1
123,0,0,0,2,3,0,0,0,0,0,2
124,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,2,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,1,0,0,0,0,0,2
128,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,0
131,0,0,0,2,0,3,0,0,0,0,0
132,0,0,0,0,0,0,0,0,1,0,0
133,0,0,0,6,0,0,2,0,0,0,0
134,0,0,0,0,0,0,0,0,1,0,3
135,0,0,0,3,0,0,0,0,0,0,3
136,0,0,0,2,0,0,2,0,0,0,3
137,0,0,0,1,0,0,0,0,0,0,5
138,0,0,0,6,0,0,0,0,2,0,1
139,0,0,0,1,1,0,0,0,5,0,3
140,0,0,0,0,2,0,3,0,1,0,1
141,2,0,0,0,0,0,0,0,2,0,3
142,0,0,0,0,1,0,0,0,0,0,1
143,2,0,0,0,1,0,8,0,0,0,4
144,0,0,0,1,2,0,0,0,0,0,3
145,2,0,0,0,3,0,0,0,0,0,1
146,0,0,0,1,5,0,0,0,0,0,0
147,0,0,0,0,2,0,0,0,0,0,4
148,0,0,0,0,3,0,0,0,0,0,2
149,0,0,0,0,1,0,0,0,0,0,2
150,0,0,0,0,1,0,0,0,0,0,2
151,0,0,0,0,0,0,0,0,0,0,3
152,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0
156,0,0,0,1,0,3,0,0,0,0,0
157,0,0,0,8,0,0,0,0,4,0,2
158,0,0,0,2,0,3,0,0,0,0,3
159,0,0,0,9,3,3,0,0,3,0,4
160,0,0,0,11,1,3,0,0,2,0,4
161,0,0,0,8,2,6,6,0,8,0,4
162,0,0,0,4,0,0,6,0,4,0,11
163,1,0,0,4,1,0,2,0,8,0,8
164,0,0,0,1,0,3,6,0,5,0,7
165,0,0,0,4,0,0,2,0,3,0,4
166,0,0,0,1,1,0,0,0,0,0,4
167,0,0,0,6,0,0,0,0,1,0,2
