how,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,NA
0,13,0,0,1,2,0,0,0,0,0,9
1,2,0,0,1,4,0,0,0,0,0,1
2,0,0,0,1,1,3,0,0,0,0,1
3,2,0,0,2,1,0,0,0,0,0,5
4,0,0,0,0,0,0,0,0,0,0,1
5,0,0,0,1,0,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,1
11,0,0,0,0,0,0,0,0,0,0,0
12,2,0,0,0,0,0,0,0,0,0,0
13,1,0,0,0,1,0,0,0,0,0,0
14,5,0,0,0,0,0,0,0,0,0,2
15,7,0,0,0,1,1,3,0,0,0,1
16,23,0,0,1,3,0,2,0,0,0,2
17,31,0,0,0,3,0,0,0,0,0,7
18,20,0,0,0,0,0,0,0,0,0,6
19,10,0,0,0,1,0,0,0,0,0,7
20,18,0,0,0,1,0,0,0,0,0,3
21,2,0,0,0,0,0,0,0,0,1,7
22,1,0,0,0,0,1,0,0,0,0,2
23,3,0,0,0,0,0,0,0,0,0,2
24,3,0,0,0,0,0,0,0,0,0,3
25,1,0,0,0,0,0,0,0,0,0,3
26,0,0,0,0,1,0,0,0,0,1,1
27,0,0,0,0,0,0,0,0,0,0,1
28,0,0,0,0,0,0,0,0,0,0,1
29,0,0,0,0,0,0,0,0,0,0,1
30,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,2
35,0,0,0,0,0,0,0,0,0,0,4
36,0,0,0,0,0,0,0,0,0,0,0
37,1,0,0,0,0,0,1,0,2,0,3
38,4,0,0,0,0,0,1,0,0,0,3
39,3,0,0,0,0,0,1,0,0,0,5
40,6,0,0,0,0,0,0,0,0,0,7
41,3,0,0,0,1,0,0,0,0,0,6
42,1,0,0,0,0,0,0,0,0,0,1
43,1,0,0,0,0,0,0,0,0,0,0
44,1,0,0,0,0,0,0,0,0,0,3
45,5,0,0,0,0,0,0,0,0,0,2
46,15,0,0,0,3,0,0,0,0,0,5
47,10,0,0,0,0,0,0,0,0,0,9
48,2,0,0,0,0,0,0,0,0,0,3
49,2,0,0,0,1,0,0,0,0,0,2
50,1,0,0,0,0,0,0,0,0,0,5
51,2,0,0,0,0,0,0,0,0,0,2
52,0,0,0,0,0,0,0,0,0,0,2
53,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,2
55,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,1
57,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,1
59,0,0,0,0,0,0,0,0,0,0,3
60,0,0,0,0,0,0,0,0,0,0,2
61,1,0,0,0,0,0,0,0,0,0,7
62,0,0,0,0,0,0,0,0,0,0,2
63,0,0,0,0,0,0,0,0,0,0,3
64,3,0,0,2,1,0,0,0,1,0,1
65,0,0,0,0,1,0,0,0,0,0,2
66,1,0,0,0,0,0,0,0,0,0,1
67,3,0,0,0,0,0,0,0,0,0,0
68,1,0,0,0,0,0,0,0,0,0,4
69,7,0,0,0,2,0,0,0,0,0,4
70,21,0,0,1,0,0,0,0,0,0,1
71,16,0,0,0,0,0,0,0,0,0,3
72,6,0,0,0,0,2,0,0,0,0,4
73,2,0,0,0,0,0,0,0,0,0,1
74,0,0,0,1,0,0,0,0,0,0,0
75,1,0,0,1,0,0,0,0,0,0,1
76,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,1
79,0,0,0,0,0,0,0,0,0,0,1
80,0,0,0,0,0,0,0,0,0,0,1
81,0,0,0,0,0,0,0,0,0,0,1
82,0,0,0,1,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,2
84,0,0,0,0,0,0,0,0,0,0,2
85,0,0,0,0,0,0,0,0,0,0,2
86,1,0,0,0,0,0,0,0,0,0,3
87,4,0,0,1,1,0,0,0,0,0,4
88,4,0,0,1,0,0,0,0,0,0,2
89,1,0,0,1,0,0,0,0,0,0,4
90,4,0,0,0,0,0,0,0,0,0,2
91,3,0,0,0,0,0,0,0,0,0,3
92,2,0,0,1,0,0,0,0,0,0,4
93,9,0,0,0,3,0,0,0,0,0,9
94,16,0,0,1,1,3,0,0,0,0,5
95,20,0,0,0,1,0,0,0,0,0,6
96,4,0,0,1,0,0,0,0,0,0,5
97,0,0,0,0,0,0,0,0,0,0,3
98,0,0,0,0,2,0,0,0,0,1,4
99,0,0,0,0,0,0,0,0,0,0,1
100,1,0,0,0,1,0,0,0,0,0,1
101,0,0,0,0,0,0,0,0,0,0,1
102,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,1
104,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,3
106,0,0,0,0,0,0,0,0,0,0,1
107,0,0,0,0,0,0,0,0,0,0,1
108,0,0,0,3,0,0,0,0,0,0,3
109,0,0,0,0,0,0,1,0,0,0,6
110,1,0,0,0,0,0,0,0,0,0,3
111,2,0,0,0,0,0,0,0,0,0,0
112,6,0,0,1,0,0,0,0,0,0,4
113,7,0,0,0,0,0,0,0,0,0,1
114,9,0,0,0,0,0,0,0,0,0,5
115,2,0,0,0,0,0,0,0,0,0,3
116,0,0,0,0,0,0,0,0,0,0,2
117,7,0,0,0,1,0,0,0,0,0,5
118,13,0,0,0,1,0,0,0,0,0,1
119,7,0,0,0,0,0,0,0,0,0,3
120,2,0,0,1,0,0,0,0,0,0,3
121,1,0,0,0,0,0,0,0,0,0,7
122,0,0,0,0,0,1,0,0,0,0,1
123,0,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0,1
129,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,1
131,0,0,0,0,0,0,0,0,0,0,2
132,0,0,0,0,0,0,0,0,0,0,4
133,1,0,0,0,0,0,0,0,0,0,7
134,1,0,0,0,0,0,0,0,0,0,4
135,3,0,0,0,0,0,1,0,0,0,2
136,0,0,0,0,0,0,0,0,0,0,0
137,4,0,0,0,0,0,0,0,0,0,4
138,5,0,0,1,0,0,0,0,0,0,3
139,4,0,0,0,1,0,0,0,0,1,4
140,6,0,0,0,1,0,0,0,0,0,1
141,31,0,0,2,3,3,1,0,0,0,2
142,21,0,0,1,2,2,0,0,0,0,4
143,40,0,0,0,2,0,0,0,0,0,11
144,9,0,0,0,0,2,0,0,0,0,12
145,3,0,0,0,1,0,0,0,0,0,3
146,4,0,0,3,2,0,0,0,0,1,2
147,5,0,0,0,2,1,0,0,2,0,1
148,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,1
155,0,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0,0,0,2
158,8,0,0,0,0,0,0,0,0,0,1
159,10,0,0,0,1,0,0,0,0,0,3
160,13,0,0,0,0,3,0,0,0,0,1
161,8,1,0,0,1,0,0,0,0,0,5
162,19,0,0,0,1,0,2,0,0,0,3
163,26,0,0,0,2,2,0,0,0,0,5
164,9,0,0,0,2,1,0,0,0,0,9
165,13,0,0,0,5,3,0,0,0,0,3
166,23,0,0,1,4,0,0,0,0,0,7
167,21,0,0,0,3,0,0,0,0,0,7
