how,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,NA
0,5,0,0,15,5,1,7,0,0,7,15
1,2,0,0,10,2,4,2,0,0,8,10
2,1,0,0,10,9,0,8,0,0,4,8
3,0,0,0,2,9,0,0,0,0,5,6
4,0,0,0,3,6,0,0,0,0,2,5
5,0,0,0,1,1,0,2,0,0,2,1
6,0,0,0,0,3,0,2,0,0,3,2
7,0,0,0,1,0,0,0,0,0,2,0
8,0,0,0,0,0,0,0,0,0,0,1
9,0,0,0,1,0,0,0,0,0,0,0
10,0,0,0,0,0,1,0,0,0,0,0
11,0,2,0,1,0,1,0,0,0,0,0
12,1,0,0,1,0,0,0,0,0,2,1
13,0,1,0,1,0,0,0,0,1,0,0
14,1,0,0,7,0,0,5,0,0,0,3
15,1,0,0,7,0,0,3,1,0,7,7
16,1,0,0,9,0,1,5,1,0,6,12
17,3,0,0,9,0,2,10,0,0,9,11
18,2,0,0,5,0,0,2,0,2,3,9
19,2,0,0,5,0,2,4,0,0,3,4
20,3,1,0,7,2,2,7,0,0,3,8
21,0,0,0,8,0,1,3,0,0,7,12
22,3,4,0,6,3,8,6,0,0,7,9
23,6,0,0,8,2,1,4,0,2,12,14
24,3,0,0,2,0,2,6,0,1,8,6
25,0,0,0,4,1,0,0,0,0,3,3
26,0,0,0,5,5,1,1,0,0,2,3
27,0,0,0,0,1,1,0,0,0,1,4
28,0,2,0,0,0,0,3,0,0,8,5
29,0,0,0,0,3,0,0,0,0,0,3
30,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0
34,1,0,0,0,0,2,1,0,0,2,0
35,0,1,0,2,0,0,2,0,0,0,0
36,0,0,0,6,0,2,5,0,0,0,0
37,0,0,0,5,0,6,13,1,9,6,5
38,0,2,0,6,0,3,3,0,0,2,0
39,0,0,0,3,0,6,10,0,0,0,4
40,0,0,0,11,0,5,3,0,1,0,4
41,1,0,0,5,0,4,3,0,0,0,8
42,0,0,0,4,0,1,4,0,0,4,2
43,1,0,0,3,0,0,3,0,1,2,6
44,0,0,0,2,0,0,0,0,0,3,0
45,0,1,0,5,0,2,5,0,0,7,5
46,0,0,0,7,0,1,3,0,0,3,7
47,1,0,0,12,0,0,5,0,0,12,3
48,1,1,0,5,0,0,2,0,1,10,4
49,3,1,0,9,0,0,4,0,1,1,5
50,0,0,0,2,0,0,2,0,0,2,2
51,3,0,0,0,0,0,0,0,0,1,2
52,0,0,0,0,0,0,1,0,0,3,2
53,0,0,0,0,0,0,2,0,0,0,0
54,0,0,0,0,0,1,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,1,1,0,0,0,0
59,0,0,0,4,0,2,1,1,0,2,0
60,0,2,0,11,0,2,5,0,1,4,4
61,0,0,0,4,1,0,16,0,0,3,2
62,0,2,0,4,0,5,5,1,1,0,1
63,0,0,0,2,0,8,1,0,0,4,1
64,0,0,0,6,0,0,10,1,2,6,5
65,1,0,0,9,0,1,2,0,0,1,1
66,1,0,0,7,0,0,2,0,1,5,3
67,1,2,0,2,0,2,5,0,3,2,3
68,0,0,0,1,0,0,1,0,0,2,2
69,2,0,0,6,2,4,1,0,1,6,5
70,0,2,0,8,0,0,3,0,0,11,4
71,3,0,0,8,2,0,0,0,0,3,6
72,2,0,0,8,0,0,3,0,0,1,4
73,0,0,0,1,0,0,0,0,0,0,3
74,0,0,0,1,0,1,2,0,0,0,5
75,1,0,0,1,1,0,0,0,0,4,1
76,1,0,0,0,0,0,4,0,0,4,3
77,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,1,0,0,0,0,0,0,1
79,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,1,0,2,0,0,4,2
