clid,entro
1,2.8293
0,2.7680
9,2.3624
5,2.3446
14,2.3356
6,2.3233
7,2.1940
2,2.1176
22,2.0238
3,1.7553
4,1.7045
19,1.6097
10,1.5538
12,1.4295
23,1.0000
11,0.9374
25,0.9183
8,0.5490
15,0.5328
26,0.2678
31,0.0000
30,-0.0000
29,0.0000
28,0.0000
27,0.0000
24,-0.0000
21,-0.0000
20,0.0000
18,-0.0000
17,-0.0000
16,-0.0000
13,0.0000
