how,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,NA
130,0,6,0,0,0,0,0,0,0,0,0
131,0,1,0,1,0,0,0,0,0,1,0
132,0,2,0,0,0,0,0,0,0,0,0
133,0,0,0,1,0,0,0,0,0,0,0
134,0,0,0,1,0,0,1,0,0,0,2
135,2,2,0,0,0,0,2,0,0,0,0
136,0,4,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0
138,6,1,0,0,0,0,0,0,0,0,1
139,0,0,0,0,0,0,0,0,0,0,0
140,11,4,0,0,0,0,0,0,1,0,0
141,8,0,0,2,0,0,3,0,0,0,2
142,12,0,0,1,0,0,0,0,0,0,0
143,20,0,0,1,0,0,0,0,0,0,0
144,8,0,0,0,0,0,0,0,0,0,0
145,0,0,0,2,0,0,0,0,0,0,0
146,0,0,0,2,1,0,0,0,0,0,0
147,0,1,0,1,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0
155,2,0,0,0,0,0,0,0,0,0,1
156,0,0,0,0,0,0,0,0,0,0,0
157,4,2,0,0,0,0,0,0,0,0,0
158,0,3,0,3,0,0,0,0,0,1,0
159,4,1,0,1,0,0,0,0,0,0,0
160,14,0,0,2,0,0,0,0,0,0,0
161,2,1,0,3,0,1,1,0,0,0,0
162,10,0,0,0,0,1,2,0,0,0,0
163,12,0,0,0,0,0,2,0,0,0,0
164,16,0,0,3,0,0,0,0,0,1,0
165,4,1,0,2,0,0,1,0,0,1,0
166,26,1,0,2,0,0,0,0,1,0,0
167,16,0,0,1,0,0,1,0,0,0,1
