clid	venue	lon	lat
3	Mario Lemieux 6.6k	-79.9866	40.4418
3	Mario Lemieux 6.6k starting line	-79.9868	40.4400
3	Pittsburgh	-79.9878	40.4363
3	Yes	-79.9893	40.4395
3	Labor Day Parade	-79.9873	40.4411
3	City of Pittsburgh	-79.9906	40.4416
3	Three Rivers Nephrology	-79.9894	40.4387
3	stop drop and roll	-79.9880	40.4353
4	Foreland Home	-80.0032	40.4496
4	Luxury Suites at PNC Park	-80.0063	40.4471
4	Smithfield United Church Of Christ	-80.0077	40.4490
4	Port Authority North Side Station	-80.0043	40.4482
4	The Color Run Pittsburgh	-80.0076	40.4476
4	Roberto Clemente Bridge	-80.0033	40.4453
4	Three Rivers Heritage Trail	-80.0028	40.4469
4	Mexico	-80.0032	40.4496
4	Allegheny River	-79.9997	40.4470
4	three rivers arts festival	-80.0042	40.4462
4	Allegheny Landing	-80.0037	40.4471
4	Holy Trinity Lutheran Church	-80.0082	40.4489
4	Pnc Ballpark	-80.0049	40.4466
4	Allegheny River	-80.0054	40.4451
4	Roberto Clemente Bridge	-80.0032	40.4449
4	Smithfield United Church Of Christ	-80.0082	40.4489
4	PNC Park Pittsburgh Pirates	-80.0056	40.4476
4	Majestic Clubhouse Store	-80.0058	40.4474
4	russell senate office building	-80.0083	40.4488
4	Roberto Clemente Bridge	-80.0033	40.4456
4	6th Street Bridge	-80.0030	40.4446
4	Allegheny Center Mall	-80.0046	40.4510
4	Pittsburgh Pirates Baseball	-80.0060	40.4464
4	Blue Lot 7F	-80.0050	40.4481
4	the Ohio State Alumni meetup	-80.0041	40.4484
4	Ninth St Bridge	-79.9998	40.4464
5	CCAC Allegheny Campus	-80.0130	40.4493
5	Heinz Feild	-80.0151	40.4475
5	K. Leroy Irvis Science Center	-80.0153	40.4493
5	CCAC Allegheny Campus	-80.0141	40.4498
5	Starbucks	-80.0155	40.4503
5	Taylor Swift Concert	-80.0157	40.4465
5	Heinz Stadium Gold Lot 1	-80.0127	40.4473
5	Living the suite life	-80.0130	40.4482
5	Nina And The Pinta	-80.0118	40.4459
5	CCAC Allegheny Campus	-80.0135	40.4495
5	North Shore Riverfront Park and Trail	-80.0090	40.4465
5	Heniz Feild	-80.0166	40.4470
5	Mr. Rogers Memorial	-80.0121	40.4456
5	North Shore	-80.0123	40.4480
5	Port Authority North Side Station	-80.0095	40.4480
5	BestConcertEver	-80.0189	40.4477
5	North Shore Riverfront Park and Trail	-80.0094	40.4464
5	North Shore Riverfront Park and Trail	-80.0120	40.4453
5	Downtown/ Northshore	-80.0131	40.4450
5	North Shore	-80.0090	40.4470
5	Pittsburgh Heritage Trail	-80.0157	40.4467
5	Lst 325	-80.0146	40.4447
5	Heinz Field Pittsburgh Steelers	-80.0160	40.4475
5	Heintz Field-Pittsburgh	-80.0085	40.4474
5	promise im not naked	-80.0134	40.4452
5	Miniature Railroad & Village	-80.0184	40.4460
5	& Eatery	-80.0106	40.4458
5	Century 3 Mall	-80.0156	40.4463
5	CCAC Allegheny Campus	-80.0134	40.4497
5	Steelers Heinz Stadium	-80.0128	40.4455
5	Hyde Park Steakhouse	-80.0085	40.4465
5	North Side T Station	-80.0136	40.4465
5	ShalerHeinz Field	-80.0169	40.4477
5	Heinz Field	-80.0159	40.4461
5	River Walk	-80.0083	40.4455
5	on the river at Heinz Field	-80.0142	40.4447
5	Heinz Field Parking Lot	-80.0123	40.4476
6	Hollywood Tans	-79.9304	40.4564
6	Pizza	-79.9253	40.4603
6	Cathedral of Hope	-79.9256	40.4610
6	East Busway Negley Station	-79.9327	40.4566
6	J/J Land Company	-79.9327	40.4587
6	The Shop In East Liberty Family Health Care Center	-79.9241	40.4629
6	Toronto	-79.9337	40.4578
6	Starbucks	-79.9221	40.4604
6	Shadyside	-79.9337	40.4550
6	Hey Betty!	-79.9280	40.4580
6	R. Market	-79.9253	40.4573
6	Station Street Hot Dog Shop	-79.9194	40.4605
6	Buffalo Blues	-79.9253	40.4584
6	Giant Eagle Supermarket	-79.9214	40.4586
6	Shadyside	-79.9327	40.4545
6	Starbucks	-79.9220	40.4608
6	Whole Foods Market Pittsburgh	-79.9285	40.4588
6	R. Market	-79.9253	40.4571
6	Nightmare on Hellsworth	-79.9310	40.4560
6	Zeke's Coffee Pittsburgh Recycling Drop Off	-79.9246	40.4612
6	Whole Foods Market	-79.9282	40.4587
6	Orangetheory Fitness Pittsburgh- East End	-79.9271	40.4624
6	Hey Betty	-79.9277	40.4581
6	Hey Betty	-79.9276	40.4580
6	Familylinks	-79.9227	40.4583
6	UPMC Shadyside	-79.9343	40.4549
6	UPMC Shadyside Bridge	-79.9377	40.4546
6	Sacred Heart	-79.9237	40.4560
6	Point Breeze	-79.9219	40.4544
6	East Liberty	-79.9225	40.4605
6	B&T Nail Design	-79.9237	40.4607
6	sneaker villa	-79.9204	40.4621
6	Starbucks	-79.9221	40.4606
6	Tavern 1947	-79.9311	40.4558
6	Friendship	-79.9372	40.4587
6	H&R Block	-79.9300	40.4558
6	Oh Yeah! Ice Cream & Coffee Co.	-79.9254	40.4579
6	Sacred Heart Catholic Church	-79.9221	40.4557
7	Pittsburgh's Strip District	-79.9815	40.4533
7	Smallman	-79.9866	40.4504
7	CAVO Restaurant Lounge Nightclub	-79.9845	40.4513
7	Marty's Market	-79.9822	40.4537
7	Food Truck Friday	-79.9817	40.4525
7	Artisan Market In The Strip District	-79.9848	40.4512
7	Grown & Sexy 2	-79.9791	40.4543
7	a pop concert ...? The	-79.9868	40.4492
7	Strip District	-79.9834	40.4515
7	Liberty & 25th Ave	-79.9788	40.4537
7	Prague	-79.9837	40.4542
7	16 Th Street Bridge	-79.9887	40.4498
7	Little Bangkok in the strip	-79.9843	40.4509
7	Strip District	-79.9843	40.4514
7	16th Street Bridge	-79.9888	40.4499
7	Strip District	-79.9850	40.4500
7	S & D Polish Deli	-79.9821	40.4523
7	Our Home Cubovia	-79.9856	40.4509
7	All Over Pittsburgh	-79.9828	40.4542
7	Strip District In The Burgh!	-79.9846	40.4506
7	Hermanowski Wholesale	-79.9836	40.4505
7	Strip District	-79.9838	40.4527
7	Pittsburgh Public Market	-79.9876	40.4501
7	Edgar's Taco Shack	-79.9832	40.4517
7	Bigelow Blvd	-79.9807	40.4503
8	Roofless	-79.9036	40.4582
9	Waterfront Trail	-79.9132	40.4068
9	at the ' ONE HOUSE '	-79.9097	40.4065
9	Me Lyng	-79.9137	40.4052
9	Me Lyng	-79.9137	40.4056
9	The Waterfront	-79.9168	40.4077
9	Me Lyng	-79.9139	40.4066
9	PNC Mortgage	-79.9089	40.4114
9	The Waterfront	-79.9162	40.4075
9	Waterfront Trail	-79.9134	40.4069
9	P.F. Chang Chain Chains	-79.9128	40.4103
9	Great Allegheny Passage	-79.9186	40.4081
9	Hi-Level Lounge	-79.9096	40.4067
9	Me Lyng	-79.9138	40.4063
9	8th & West Bus Stop	-79.9119	40.4062
9	Homestead	-79.9121	40.4079
9	Giant Eagle Supermarket	-79.9084	40.4110
9	Me Lyng	-79.9138	40.4054
9	Me Lyng	-79.9138	40.4081
9	Bottom Dollar Food	-79.9119	40.4073
9	The Waterfront	-79.9172	40.4076
9	Me Lyng	-79.9137	40.4051
9	Eat & Park	-79.9134	40.4110
9	Inn & Suites Pittsburgh Waterfront W	-79.9175	40.4070
9	Fountain By Starbucks	-79.9169	40.4077
9	The Dirty O	-79.9121	40.4062
9	AT&T	-79.9125	40.4111
9	Godfrey Steel Mill	-79.9077	40.4117
9	Me Lyng	-79.9139	40.4085
10	KAPPA KAPPA COPA	-79.9617	40.4353
10	Joe P's Pimpin' House	-79.9584	40.4356
10	Foote's House	-79.9584	40.4356
10	Blvd of the Allies	-79.9637	40.4356
10	Entertainment Technology Center	-79.9645	40.4329
11	McConomy Auditorium	-79.9422	40.4435
11	Carnegie Mellon School of Computer Science	-79.9444	40.4437
11	The Mac & Gold Truck	-79.9443	40.4455
11	Bus Stop Hamburg Hall	-79.9447	40.4444
11	Spring Carnival Midway	-79.9438	40.4455
11	Susan G. Komen Race For The Cure	-79.9461	40.4403
11	Cyert 100	-79.9430	40.4445
11	Kappa Sigma at CMU	-79.9417	40.4456
11	Schenley Park	-79.9457	40.4401
12	Landis's Domain	-79.9920	40.4184
12	Hilltop Chteau	-79.9920	40.4184
14	Mt Washington Observation Deck	-80.0075	40.4321
14	On the T	-80.0062	40.4342
14	Room 401	-80.0022	40.4352
14	Sesame Inn	-80.0041	40.4330
14	Dutchess	-80.0075	40.4371
14	Whim Pgh	-80.0034	40.4323
14	Mt Washington Observation Deck	-80.0077	40.4322
14	Monogahela Incline	-80.0048	40.4343
14	The Duquesne Incline	-80.0060	40.4314
14	Mt Washington Observation Deck	-80.0065	40.4320
14	Monongahela Incline. Pittsburgh	-80.0059	40.4313
14	Shops at Station Square	-80.0044	40.4331
14	Mt. Washington Vista Point	-80.0065	40.4317
14	PITTSBURGH!!!	-80.0062	40.4355
14	Dirty Harrys	-80.0049	40.4346
14	Incline Shuttle	-80.0067	40.4315
14	Duquesne Incline	-80.0043	40.4325
15	The Point	-80.0122	40.4422
15	The Point State Park	-80.0121	40.4421
16	City of Pittsburgh	-80.0199	40.4156
17	Mizu Japanese Restaurant	-80.0653	40.3630
18	Fallingwater Private Tours	-79.9773	40.4414
19	Weatherby walks	-79.9564	40.4666
19	9th Ward	-79.9551	40.4689
19	Del's Bar & Ristorante DelPizzo	-79.9520	40.4631
19	Caffe Mona la bistro	-79.9543	40.4658
19	Taste of India	-79.9535	40.4659
19	Bloomfield Bridge	-79.9507	40.4629
19	C-leveled And Other Companies	-79.9535	40.4633
21	Perrysville Ave	-80.0193	40.4916
22	Yoga Flow	-79.9341	40.4513
22	Epicenter	-79.9361	40.4539
22	space	-79.9322	40.4531
22	Barre Code	-79.9345	40.4515
22	Yoga Flow	-79.9341	40.4511
22	^Up- Modern Kitchen	-79.9337	40.4510
22	Lizzie & Eddie's Home	-79.9361	40.4539
22	Ten Forward	-79.9361	40.4539
22	Saloon	-79.9340	40.4511
22	House of Tees	-79.9361	40.4539
22	Jam on Walnut	-79.9338	40.4512
22	South Aiken Bar and Grill	-79.9354	40.4506
22	Jam on Walnut	-79.9337	40.4517
22	A&A Mailing Services	-79.9341	40.4509
22	Shadyside	-79.9350	40.4500
22	Shadyside	-79.9327	40.4537
23	Observatory Hill	-80.0181	40.4884
24	Carnegie	-80.0850	40.4039
25	Ardmore Blvd	-79.8618	40.4258
26	Kennedy Park	-79.9028	40.4078
30	A To Z Highland Park	-79.9156	40.4738
