clid	venue	lon	lat	cat	user	checkin
0	Vet Tech Institute	-80.0003	40.4436	College & University	1	13
0	Rivervue workout facility	-80.0055	40.4410	Outdoors & Recreation	1	2
0	The Cultural's Elite Salon & Barber Shop	-79.9961	40.4442	Shop & Service	2	5
0	Jun Sushi	-80.0022	40.4413	Food	1	1
0	Patronato Italuil	-80.0042	40.4381	Professional & Other Places	1	1
0	Gnc Corporate gym	-79.9997	40.4421	Outdoors & Recreation	1	1
0	Hundred Wood	-80.0022	40.4378	Food	1	1
0	Mellon Square	-79.9974	40.4408	Outdoors & Recreation	5	18
0	Sushi Kim	-79.9915	40.4463	Food	1	1
0	Fernando's Cafe	-79.9956	40.4434	Food	9	15
0	2 PNC Plaza	-80.0007	40.4420	Professional & Other Places	2	8
0	Smithfield/Liberty Garage	-79.9974	40.4424	Professional & Other Places	2	3
0	Bea Taco Town	-79.9969	40.4424	Food	1	2
0	Cabaret Theater at Theater Square	-80.0013	40.4430	Arts & Entertainment	2	2
0	Burger And Whiskey Bar	-80.0024	40.4403	Food	3	4
0	The Bistro	-79.9962	40.4443	Food	1	1
0	InterPark	-80.0051	40.4433	Professional & Other Places	1	1
0	Jail Trail	-79.9983	40.4361	Outdoors & Recreation	1	1
0	Bill's Bar & Burger	-79.9950	40.4439	Food	5	5
0	Gold's Gym	-80.0041	40.4411	Outdoors & Recreation	4	32
0	Subway	-79.9968	40.4442	Food	5	12
0	Emporio A Meatball Joint	-79.9965	40.4441	Food	20	41
0	Jimmy John's	-80.0034	40.4415	Food	1	1
0	Sammy's Famous Corned Beef	-79.9981	40.4429	Food	4	4
0	Five Guys Burgers And Fries	-80.0030	40.4402	Food	1	1
0	Starbucks	-79.9973	40.4408	Food	11	17
0	Market St. Deli	-80.0034	40.4405	Food	1	1
0	Butcher and the Rye	-80.0020	40.4423	Food	19	19
0	Market Street Grocery	-80.0023	40.4412	Shop & Service	1	1
0	Harvard Yale Princeton Club	-80.0022	40.4371	College & University	1	1
0	Bend Yoga	-79.9989	40.4436	Outdoors & Recreation	1	1
0	Bob's Sub	-80.0000	40.4381	Food	1	4
0	Simple Ingredients	-79.9986	40.4427	Food	1	1
0	The Verve 360 Wellness	-80.0023	40.4429	Outdoors & Recreation	1	1
0	La Gondola	-80.0023	40.4402	Food	1	1
0	Mahoneys	-79.9962	40.4432	Nightlife Spot	1	1
0	Crazy Mocha	-79.9947	40.4441	Food	1	2
0	Gay & Lesbian Community Center of Pittsburgh	-79.9985	40.4375	Professional & Other Places	1	1
0	Winghart's Burger & Whiskey Bar	-80.0024	40.4403	Food	11	11
0	Gallery Crawl-Pittsburgh Cultural Trust	-79.9987	40.4429	Arts & Entertainment	1	1
0	The Westin Convention Center Pittsburgh	-79.9952	40.4441	Food	25	58
0	Bombay Giro	-79.9952	40.4439	Food	1	2
0	County Office Building	-79.9962	40.4382	Professional & Other Places	1	1
0	Mellon Garage	-79.9974	40.4408	Outdoors & Recreation	1	1
0	Seventh St Bridge	-80.0011	40.4449	Outdoors & Recreation	1	2
0	Biergarten at the Hotel Monaco	-79.9962	40.4415	Nightlife Spot	9	9
0	Anthrocon dealers den	-79.9962	40.4457	Shop & Service	2	3
0	Katz Plaza	-80.0004	40.4432	Outdoors & Recreation	1	1
0	BNY Mellon Center	-79.9954	40.4399	Professional & Other Places	3	6
0	Astorino	-80.0031	40.4381	Professional & Other Places	2	6
0	Tenpenny	-79.9957	40.4442	Food	2	2
0	Sushi & Rolls	-79.9980	40.4382	Food	1	1
0	David L. Lawrence Convention Center	-79.9961	40.4458	Professional & Other Places	32	90
0	Laurie's Hallmark	-80.0031	40.4417	Shop & Service	2	2
0	The Exchange	-79.9955	40.4434	Shop & Service	1	1
0	Allegheny County Democratic Committee	-79.9971	40.4392	Professional & Other Places	1	1
0	Rivers Club	-79.9993	40.4381	Professional & Other Places	1	1
0	Convention Center Riverfront Plaza	-79.9966	40.4465	Outdoors & Recreation	3	4
0	First Presbyterian Church of Pittsburgh	-79.9989	40.4415	Professional & Other Places	3	3
0	BNY Mellon 3	-79.9975	40.4401	Professional & Other Places	2	8
0	Speakeasy At the Omni William Penn	-79.9972	40.4410	Food	1	1
0	The Steakhouse	-80.0012	40.4420	Food	1	1
0	Northside Urban Pathways Charter School	-79.9973	40.4443	Professional & Other Places	1	8
0	Downtown Pittsburgh	-79.9983	40.4429	Food	2	2
0	Downtown Pgh	-79.9972	40.4416	Professional & Other Places	2	3
0	S. W. Randall Toyes & Giftes	-79.9970	40.4421	Shop & Service	4	8
0	Starbucks	-80.0027	40.4375	Food	3	6
0	Cherries Diner	-80.0022	40.4407	Food	2	2
0	Three Rivers Arts Festival	-80.0019	40.4381	Arts & Entertainment	15	16
0	Grand Circuit Booth	-79.9949	40.4442	Professional & Other Places	1	3
0	Seagate Building	-79.9929	40.4481	Professional & Other Places	3	5
0	Theater Square	-80.0006	40.4431	Outdoors & Recreation	1	3
0	GNC World Headquarters	-79.9996	40.4420	Professional & Other Places	5	36
0	Brown Bag Deli	-79.9943	40.4441	Food	2	2
0	Qdoba Mexican Grill	-79.9990	40.4426	Food	2	2
0	Strassburger	-80.0045	40.4406	Professional & Other Places	1	1
0	Six Penn Kitchen	-80.0024	40.4428	Food	6	6
0	Pizza Parma	-79.9986	40.4439	Food	2	2
0	Crazy Mocha	-79.9990	40.4428	Food	5	49
0	Grant Street Transportation Center	-79.9933	40.4447	Professional & Other Places	3	3
0	Erin's fine foods Deli	-80.0002	40.4417	Food	2	11
0	1250 Penn Liberty Plaza	-79.9915	40.4463	Professional & Other Places	1	1
0	The Pennsylvanian	-79.9928	40.4440	Shop & Service	1	1
0	The Pittsburgh Foundation	-80.0034	40.4394	Professional & Other Places	1	1
0	Saint Mary of Mercy Church	-80.0046	40.4398	Professional & Other Places	2	2
0	Shaw Galleries	-79.9987	40.4426	Arts & Entertainment	1	1
0	Redbeard's on Sixth	-80.0023	40.4429	Nightlife Spot	7	9
0	Residences at Piatt place	-79.9994	40.4409	Residence	1	1
0	Wyndham Fitness Center	-80.0063	40.4414	Outdoors & Recreation	1	1
0	Downtown Pittsburgh	-79.9973	40.4424	Outdoors & Recreation	1	1
0	EQT Plaza	-80.0009	40.4423	Professional & Other Places	1	4
0	William S. Moorhead Federal Building	-79.9946	40.4436	Professional & Other Places	3	3
0	Qdoba Mexican Grill	-79.9958	40.4408	Food	1	1
0	Three Rivers Regatta	-80.0096	40.4419	Outdoors & Recreation	1	2
0	The commoner	-79.9965	40.4415	Food	1	1
0	Megabus Stop	-79.9958	40.4455	Travel & Transport	7	7
0	Bruegger's Bagel Bakery	-80.0029	40.4411	Food	2	2
0	21st Street Coffee and Tea	-80.0008	40.4411	Food	3	3
0	Eleven	-79.9932	40.4461	Food	3	6
0	Port Authority First Avenue Station	-79.9967	40.4355	Travel & Transport	6	13
0	Novitas Solutions	-79.9971	40.4403	Professional & Other Places	1	1
0	Prantl's Bakery	-80.0023	40.4413	Food	1	1
0	Eide's Entertainment	-79.9931	40.4453	Shop & Service	4	4
0	Courthouse Tavern	-80.0004	40.4400	Nightlife Spot	3	3
0	University Center	-80.0006	40.4395	College & University	1	1
0	Original Oyster House	-80.0020	40.4409	Food	8	8
0	David L. Lawrence Convention Center Water Pathway	-79.9956	40.4444	Outdoors & Recreation	1	1
0	Point Park University	-80.0019	40.4387	College & University	5	12
0	Mike and Tony's Gyros	-79.9967	40.4430	Food	1	1
0	Jacqueline's Salon	-79.9972	40.4383	Shop & Service	1	1
0	Primanti Brothers	-80.0027	40.4403	Food	41	43
0	Nicky's Thai Kitchen	-79.9984	40.4437	Food	18	20
0	PNC Smithfield	-79.9978	40.4410	Professional & Other Places	1	1
0	Market Square Place	-80.0029	40.4409	Food	9	15
0	Deloitte LLP	-80.0034	40.4398	Professional & Other Places	1	8
0	Toss't	-80.0018	40.4412	Food	1	2
0	McCormick & Schmick's	-79.9998	40.4412	Food	4	11
0	Downtown Pittsburgh	-79.9945	40.4411	Outdoors & Recreation	16	16
0	SEI	-79.9970	40.4399	Professional & Other Places	1	1
0	Gourmet Sandwiches	-80.0034	40.4415	Food	1	1
0	Highmark	-80.0029	40.4417	Professional & Other Places	1	1
0	U.S. Bankruptcy Court	-79.9952	40.4414	Professional & Other Places	1	1
0	First Avenue Garage	-79.9965	40.4355	Professional & Other Places	1	2
0	Energy Innovation Center	-79.9896	40.4444	Professional & Other Places	1	1
0	Social Security Administration	-79.9976	40.4439	Professional & Other Places	2	3
0	Images	-79.9955	40.4434	Nightlife Spot	7	24
0	U.S. Steel Tower	-79.9948	40.4414	Professional & Other Places	5	12
0	Heinz 57 Center	-79.9984	40.4416	Professional & Other Places	1	1
0	Starbucks	-80.0022	40.4402	Food	15	16
0	Hotel Monaco Pittsburgh	-79.9962	40.4415	Nightlife Spot	76	101
0	Mandarin Gourmet	-80.0015	40.4394	Food	2	2
0	Bricolage	-79.9965	40.4431	Arts & Entertainment	2	2
0	Allegheny County Courthouse	-79.9964	40.4385	Professional & Other Places	1	1
0	The Tap Room	-79.9958	40.4404	Nightlife Spot	2	4
0	Liangs Hunan Chinese Restaurant	-79.9958	40.4432	Food	1	1
0	Noodles & Company	-80.0020	40.4410	Food	4	5
0	Bravo Franco Ristorante	-80.0018	40.4428	Food	1	1
0	Downtown Pittsburgh	-79.9972	40.4416	Professional & Other Places	13	40
0	Veterans Bridge	-79.9935	40.4498	Outdoors & Recreation	1	4
0	PennDOT Photo & Exam Center	-79.9967	40.4429	Professional & Other Places	1	1
0	Midtown Towers	-79.9999	40.4422	Residence	1	12
0	Wyndham Grand Pittsburgh Downtown	-80.0064	40.4417	Travel & Transport	14	22
0	The Pittsburgh Cultural Trust	-79.9987	40.4429	Arts & Entertainment	2	2
0	Easy Street	-79.9980	40.4379	Nightlife Spot	2	2
0	Port Authority Service Center	-79.9976	40.4410	Professional & Other Places	2	2
0	Port Authority Wood Street Station	-79.9996	40.4422	Travel & Transport	5	19
0	Three Rivers Restaurants	-80.0066	40.4417	Food	1	1
0	19L	-79.9964	40.4394	Travel & Transport	1	1
0	by Hilton Hotel & Suites Pittsburgh Downtown	-79.9939	40.4406	Travel & Transport	6	12
0	CVS	-79.9993	40.4393	Shop & Service	2	2
0	Doubleday's Famous Burgers	-80.0025	40.4434	Food	3	7
0	Hot Mass	-79.9926	40.4458	Nightlife Spot	2	6
0	Omni William Penn Hotel	-79.9965	40.4405	Outdoors & Recreation	5	7
0	Benedum Center For The Performing Arts	-79.9997	40.4430	Arts & Entertainment	45	61
0	Liberty Avenue Musicians	-79.9965	40.4439	Outdoors & Recreation	1	2
0	Bruegger's Bagel Bakery	-79.9967	40.4427	Food	7	7
0	Vallozzi's Pittsburgh	-80.0016	40.4411	Food	13	13
0	Sienna Mercato	-79.9964	40.4443	Food	10	40
0	Department of Court Records	-79.9966	40.4385	Professional & Other Places	1	1
0	August Henry's	-79.9962	40.4443	Food	10	13
0	Dunkin Donuts	-80.0030	40.4410	Food	1	1
0	Omni William Penn Hotel	-79.9970	40.4408	Travel & Transport	28	33
0	Arcade Comedy Theater	-79.9985	40.4429	Arts & Entertainment	1	1
0	Koppers Tower	-79.9953	40.4421	Professional & Other Places	3	3
0	Siam Thai Restaurant	-80.0001	40.4372	Food	1	1
0	Madonna's Restaurant	-79.9994	40.4390	Food	1	1
0	KQV Radio	-79.9968	40.4427	Professional & Other Places	1	1
0	Four Gateway Center	-80.0044	40.4408	Professional & Other Places	1	1
0	Sbarro	-80.0030	40.4417	Food	1	1
0	The Pittsburgh Popcorn Company	-79.9983	40.4429	Food	2	3
0	Meat and Potatoes	-80.0008	40.4430	Food	21	25
0	City-County Building	-79.9975	40.4380	Professional & Other Places	1	1
0	Starbucks	-80.0002	40.4421	Food	7	31
0	Starbucks	-80.0021	40.4427	Food	11	22
0	Three Gateway Center	-80.0053	40.4417	Professional & Other Places	1	1
0	Point Park University	-80.0020	40.4384	Professional & Other Places	2	2
0	Arby's	-79.9988	40.4427	Food	1	1
0	Theater	-79.9985	40.4429	Arts & Entertainment	6	7
0	Hotel Monaco Pittsburgh	-79.9964	40.4414	Travel & Transport	76	101
0	HealthQuest Chiropractic	-80.0013	40.4420	Professional & Other Places	1	1
