clid	venue	lon	lat	cat	user	checkin
0	Ten Penny	-79.9958	40.4442	NA	1	1
0	The Bistro	-79.9962	40.4443	NA	1	1
0	CVS/pharmacy	-80.0017	40.4418	NA	2	2
0	Hot Mass	-79.9926	40.4460	NA	2	2
0	Carnegie Library-Downtown	-79.9974	40.4417	NA	1	1
0	The Westin Convention Center Pittsburgh	-79.9954	40.4443	NA	1	1
0	First Avenue Garage	-79.9965	40.4355	NA	1	2
0	Megabus Stop	-79.9958	40.4455	NA	7	7
0	Images	-79.9955	40.4434	NA	7	24
0	Golden Triangle	-80.0004	40.4416	NA	1	1
0	Pittsburgh City-County Building	-79.9969	40.4381	NA	1	1
0	Department of Court Records	-79.9966	40.4385	NA	1	1
0	Sammy's Famous Corned Beef	-79.9981	40.4429	NA	4	4
0	Indian Spices LLC	-80.0024	40.4433	NA	2	2
0	Penn Ave	-79.9961	40.4455	NA	1	1
0	Downtown Pittsburgh	-79.9968	40.4424	NA	1	1
0	The Cultural's Elite Salon & Barber Shop	-79.9961	40.4442	NA	2	5
0	Point Park University	-80.0020	40.4386	NA	4	5
0	mezzo	-79.9965	40.4443	NA	3	3
0	Pittsburgh	-79.9951	40.4454	NA	2	2
0	Crazy Mocha	-79.9990	40.4428	NA	5	49
0	Ruth's Chris Steak House	-80.0035	40.4394	NA	2	2
0	Wyndham Fitness Center	-80.0063	40.4414	NA	1	1
0	Greyhound Bus Lines	-79.9932	40.4444	NA	13	14
0	Highmark	-80.0029	40.4417	NA	1	1
0	Gold's Gym	-80.0039	40.4411	NA	4	32
0	Erin's fine foods Deli	-80.0002	40.4417	NA	2	11
0	Hampton Inn & Suites Pittsburgh Downtown	-79.9924	40.4470	NA	1	1
0	Bend Yoga	-79.9989	40.4436	NA	1	1
0	Jimmy John's	-80.0033	40.4415	NA	1	1
0	City of Pittsburgh	-79.9924	40.4470	NA	9	11
0	Allegheny County Democratic Committee	-79.9975	40.4392	NA	1	1
0	Omni William Penn Hotel	-79.9966	40.4406	NA	5	7
0	Education Management Corporation	-80.0000	40.4422	NA	1	2
0	Jacqueline's Salon	-79.9972	40.4383	NA	1	1
0	Ninth And Penn Garage	-79.9987	40.4439	NA	1	1
0	Dahntahn Piksburgh	-79.9968	40.4389	NA	1	1
0	Three Rivers Arts Festival: Second Stage at Gateway Center	-80.0045	40.4423	NA	4	4
0	Da Burgh	-80.0050	40.4429	NA	1	2
0	Peppi's	-80.0006	40.4371	NA	1	1
0	Bombay Giro	-79.9952	40.4439	NA	1	2
0	PNC Smithfield	-79.9976	40.4410	NA	1	1
0	Dr Eisenberg	-79.9981	40.4398	NA	1	1
0	There Ultra Lounge	-79.9967	40.4430	NA	8	12
0	Handmade Arcade	-79.9972	40.4454	NA	2	2
0	Wiener World	-79.9972	40.4420	NA	2	2
0	Anthrocon Charity Auction	-79.9929	40.4470	NA	1	1
0	tk	-80.0022	40.4424	NA	4	4
0	Yimmy's	-79.9971	40.4425	NA	1	1
0	PennDOT Photo & Exam Center	-79.9967	40.4429	NA	1	1
0	Two Gateway Center	-80.0044	40.4420	NA	2	2
0	Weiner World!	-79.9970	40.4419	NA	1	1
0	CVS Pharmacy	-80.0013	40.4406	NA	4	4
0	Flamers Charbroiled Burgers	-80.0029	40.4418	NA	1	1
0	Braddock's Bar	-80.0026	40.4438	NA	2	2
0	U.S.X. Tower	-79.9953	40.4410	NA	1	1
0	1250 Penn Liberty Plaza	-79.9914	40.4463	NA	1	1
0	Handmade Arcade	-79.9974	40.4453	NA	3	3
0	The Exchange	-79.9992	40.4391	NA	2	2
0	Pittsburgh Winter Beerfest	-79.9970	40.4453	NA	1	1
0	County Office Building	-79.9962	40.4382	NA	1	1
0	Penn Avenue Fish Company	-80.0005	40.4402	NA	1	1
0	Golds Gym	-80.0040	40.4409	NA	1	1
0	Tenpenny	-79.9957	40.4442	NA	2	2
0	PPG Place-The Rink	-80.0033	40.4398	NA	2	3
0	City of Pittsburgh	-79.9932	40.4447	NA	2	2
0	Fernando's Cafe	-79.9955	40.4436	NA	5	8
0	Smithfield/Liberty Garage	-79.9974	40.4423	NA	2	3
0	Wyndham Grand Pittsburgh Downtown	-80.0064	40.4417	NA	14	22
0	Nicholas Coffee & Tea Company	-80.0029	40.4411	NA	4	8
0	Mary kay career conference	-79.9957	40.4453	NA	1	1
0	Renaissance Pittsburgh Hotel	-80.0027	40.4442	NA	2	2
0	Original Oyster House	-80.0020	40.4409	NA	8	8
0	Studio 41 Entertainment	-80.0026	40.4412	NA	1	1
0	Sienna Mercato	-79.9965	40.4441	NA	29	31
0	Pizza Parma	-79.9983	40.4437	NA	2	5
0	Laurie's Hallmark	-80.0031	40.4417	NA	2	2
0	Mamma Lucia Pizza	-80.0005	40.4403	NA	1	1
0	Au Bon Pain	-80.0006	40.4422	NA	3	4
0	West Penn Building	-80.0024	40.4378	NA	1	2
0	Grant Street Transportation Center	-79.9933	40.4447	NA	3	3
0	Cultural District	-79.9987	40.4435	NA	8	11
0	The Rink at PPG Place	-80.0034	40.4397	NA	5	5
0	Three River's Arts Festival	-80.0055	40.4416	NA	1	1
0	U.S. Steel Tower Plaza	-79.9954	40.4409	NA	5	5
0	2014	-79.9953	40.4441	NA	3	3
0	Point State Park	-80.0090	40.4417	NA	3	3
0	Sonoma Grille	-79.9963	40.4443	NA	2	2
0	McCormick & Schmick's	-79.9998	40.4412	NA	4	11
0	Au Bon Pain	-80.0030	40.4416	NA	2	2
0	GNC LiveWell Pittsburgh Health and Fitness Expo	-79.9970	40.4455	NA	1	1
0	Crazy Mocha	-79.9947	40.4441	NA	1	2
0	Tavern 245	-80.0016	40.4396	NA	1	1
0	The Beer Garden	-79.9964	40.4444	NA	1	1
0	David L. Lawrence Convention Center	-79.9958	40.4458	NA	12	23
0	Benedum Center	-79.9997	40.4428	NA	4	4
0	Bus Stop Stanwix St. & Penn Ave.	-80.0044	40.4415	NA	1	2
0	Omni William Penn Hotel	-79.9970	40.4408	NA	28	33
0	Proper Brick Oven & Tap Room	-80.0004	40.4436	NA	4	5
0	Mellon Square	-79.9974	40.4411	NA	1	1
0	Senator John Heinz History Center	-79.9920	40.4468	NA	22	23
0	2014	-79.9958	40.4446	NA	1	1
0	Toonseum	-79.9963	40.4431	NA	3	3
0	Mandarin Gourmet	-80.0015	40.4394	NA	2	2
0	Crazy Mocha	-79.9973	40.4408	NA	1	1
0	Frost & Co	-79.9998	40.4426	NA	1	8
0	Sienna On The Square	-80.0026	40.4411	NA	2	2
0	Gateway Plaza	-80.0050	40.4414	NA	1	1
0	BNY Mellon Center	-79.9954	40.4399	NA	3	6
0	Starbucks	-80.0022	40.4402	NA	15	16
0	Harvard Yale Princeton Club	-80.0022	40.4371	NA	1	1
0	Three Rivers Art Festival Pittsburgh Pa	-80.0058	40.4424	NA	1	1
0	Monongahela River	-80.0010	40.4360	NA	1	1
0	Joe's Shoe Repair	-80.0027	40.4398	NA	1	1
0	Fernando's Cafe	-79.9956	40.4435	NA	9	15
0	InterPark	-80.0048	40.4432	NA	1	1
0	David L. Lawrence Convention Center	-79.9958	40.4459	NA	3	3
0	Pittsburgh	-79.9982	40.4469	NA	1	1
0	Novitas Solutions	-79.9971	40.4403	NA	1	1
0	Sienna Mercato	-79.9983	40.4439	NA	3	3
0	Dead Baby Circle	-79.9958	40.4431	NA	1	1
0	Astorino	-80.0031	40.4381	NA	2	6
0	KDKA-TV	-80.0070	40.4426	NA	3	23
0	Downtown Pittsburgh	-79.9993	40.4413	NA	2	2
0	Dawntawn Pixburgh	-80.0016	40.4392	NA	1	1
0	Maury's Pad	-80.0032	40.4396	NA	1	1
0	Burger And Whiskey Bar	-80.0024	40.4403	NA	3	4
0	Just posted a photo	-80.0031	40.4409	NA	1	1
0	US Steel Tower	-79.9949	40.4407	NA	1	1
0	Keller Graduate School Of Management	-79.9998	40.4422	NA	1	1
0	Backstage Bar	-80.0005	40.4433	NA	2	4
0	Nikki's Thai Downtown	-79.9983	40.4438	NA	1	1
0	Family Division	-79.9954	40.4385	NA	2	3
0	Wood Street Galleries	-79.9996	40.4423	NA	2	2
0	Farmer's Market Square	-80.0026	40.4407	NA	53	75
0	Downtown Pittsburgh Jazzlive Festival	-79.9985	40.4433	NA	6	6
0	Liangs Hunan Chinese Restaurant	-79.9963	40.4428	NA	1	1
0	Eleven	-79.9932	40.4461	NA	3	3
0	Point State Park	-80.0070	40.4411	NA	7	8
0	Frick Building	-79.9975	40.4391	NA	1	1
0	Il Tetto	-79.9965	40.4442	NA	9	9
0	ACES 2015 National Conference	-80.0060	40.4406	NA	1	2
0	1 PPG Place Downtown Pittsburgh	-80.0029	40.4408	NA	1	1
0	Prantl's Bakery	-80.0023	40.4413	NA	1	1
0	Eddie Merlots	-80.0036	40.4412	NA	1	1
0	Space Art Gallery	-79.9984	40.4428	NA	3	5
0	Downtown Pittsburgh	-80.0064	40.4416	NA	10	10
0	Five Guys Burgers And Fries	-80.0030	40.4402	NA	1	1
0	Market Square Place	-80.0028	40.4408	NA	9	15
0	Allegheny County Court of Common Pleas	-79.9964	40.4388	NA	1	1
0	Courtyard By Marriot Valet Parking Lot	-79.9956	40.4444	NA	1	2
0	The Tap Room	-79.9958	40.4404	NA	2	4
0	Dick's Sporting Goods Pittsburgh Marathon	-80.0019	40.4419	NA	3	3
0	Anthrocon 2015	-79.9954	40.4444	NA	6	7
0	Port Authority Service Center	-79.9976	40.4410	NA	2	2
0	Civic Building	-79.9970	40.4368	NA	1	1
0	Starbucks	-79.9949	40.4414	NA	1	1
0	Crystal Restaurant	-79.9920	40.4460	NA	1	1
0	Omni William Penn Hotel Floor 12	-79.9954	40.4404	NA	2	2
0	Farm to Table 2014	-79.9959	40.4452	NA	7	9
0	Thayer Hall	-80.0021	40.4390	NA	1	1
0	Duquesne Club	-79.9987	40.4419	NA	3	3
0	Downtown Pittsburgh	-79.9984	40.4429	NA	2	2
0	Pittsburgh Grille	-79.9949	40.4417	NA	2	2
0	Vallozzi's Pittsburgh	-80.0016	40.4411	NA	13	13
0	Bob's Sub	-80.0000	40.4381	NA	1	4
0	The Verve 360 Wellness	-80.0023	40.4429	NA	1	1
0	Total Vision Care	-80.0031	40.4417	NA	1	1
