,cluster14,,,,cluster15,,,,cluster18,,,,cluster27,,,
date,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
2014-03-11,4,0.929,0.000,0.000,3,1.893,1.221,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-12,5,-3.367,0.000,2.443,1,-0.512,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-13,4,2.697,2.443,0.000,3,-1.010,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-03-14,3,1.842,1.221,0.000,2,-0.721,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-15,5,1.392,1.221,0.000,1,-0.441,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-16,3,1.207,1.221,0.000,1,-0.132,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-17,2,1.219,0.549,0.000,2,-0.412,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-18,4,-0.883,0.000,1.221,1,-0.480,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-19,5,0.336,0.000,0.000,3,-2.181,0.000,1.221,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-20,3,2.349,1.770,0.000,1,-0.441,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-21,2,-0.315,0.000,0.000,1,-0.480,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-22,5,-3.737,0.000,2.443,1,-0.128,0.000,0.000,1,0.525,0.000,0.000,1,-0.142,0.000,0.000
2014-03-23,9,-1.833,1.221,1.221,3,-0.893,0.000,0.000,4,-0.631,0.000,0.000,5,-7.400,0.000,3.664
2014-03-24,1,0.557,0.000,0.000,1,-0.128,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-25,6,3.731,1.770,1.098,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-26,4,-1.297,0.000,1.098,3,-1.301,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-27,0,0.000,0.000,0.000,3,-1.049,0.000,0.000,0,0.000,0.000,0.000,1,-0.142,0.000,0.000
2014-03-28,4,-7.056,0.000,3.911,2,-0.569,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-29,4,-4.022,0.000,2.443,2,-0.256,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-03-30,4,-2.296,0.000,1.221,2,-0.562,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-31,4,0.352,1.221,0.000,2,0.613,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-04-01,0,0.000,0.000,0.000,2,-0.252,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-02,2,1.145,0.549,0.000,8,-0.125,1.221,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-03,4,-1.793,1.221,1.221,2,-0.248,0.000,0.000,1,1.249,1.221,0.000,0,0.000,0.000,0.000
2014-04-04,3,2.337,1.221,0.000,2,-0.935,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-05,3,-0.070,0.000,0.000,3,-1.333,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-06,2,0.131,0.000,0.000,1,0.110,0.000,0.000,1,0.387,0.000,0.000,0,0.000,0.000,0.000
2014-04-07,4,-1.788,0.000,1.221,1,-0.128,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-08,2,0.611,0.000,0.000,2,-0.882,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-09,11,2.205,1.221,0.740,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-10,3,0.770,0.000,0.004,4,-1.219,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-11,5,0.001,0.000,0.549,2,-0.398,0.000,0.000,1,-0.142,0.000,0.000,1,-0.000,0.000,0.000
2014-04-12,6,-0.292,0.247,1.221,2,0.255,0.000,0.000,2,0.458,0.549,0.000,2,-0.000,0.000,0.000
2014-04-13,6,2.067,2.566,1.221,1,-0.132,0.000,0.000,0,0.000,0.000,0.000,1,-0.000,0.000,0.000
2014-04-14,2,-0.306,0.000,0.000,2,-0.260,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-15,2,-2.394,0.000,1.770,3,-0.928,0.000,0.000,0,0.000,0.000,0.000,4,0.000,0.000,0.000
2014-04-16,2,-0.284,0.000,0.000,1,-0.430,0.000,0.000,1,-0.142,0.000,0.000,6,0.000,0.000,0.000
2014-04-17,8,3.799,1.221,0.000,1,-0.128,0.000,0.000,0,0.000,0.000,0.000,4,0.000,0.000,0.000
2014-04-18,6,-0.920,0.000,1.221,5,-0.225,0.000,0.000,0,0.000,0.000,0.000,5,0.000,0.000,0.000
2014-04-19,3,2.543,1.221,0.000,3,-0.842,0.000,0.000,0,0.000,0.000,0.000,5,0.000,0.000,0.000
2014-04-20,1,-0.142,0.000,0.000,4,-0.097,0.000,0.000,2,-0.284,0.000,0.000,2,-0.000,0.000,0.000
2014-04-21,1,0.742,0.000,0.000,1,-0.128,0.000,0.000,0,0.000,0.000,0.000,3,0.000,0.000,0.000
2014-04-22,0,0.000,0.000,0.000,1,-0.128,0.000,0.000,1,-0.142,0.000,0.000,2,-0.000,0.000,0.000
2014-04-23,4,0.493,0.000,0.000,3,-0.846,0.000,0.000,0,0.000,0.000,0.000,2,-0.000,0.000,0.000
2014-04-24,4,-0.535,0.000,0.000,1,-0.128,0.000,0.000,0,0.000,0.000,0.000,1,0.000,0.000,0.000
2014-04-25,9,-2.323,0.247,1.221,4,-0.473,0.000,0.000,0,0.000,0.000,0.000,2,0.000,0.000,0.000
2014-04-26,4,-0.084,1.221,1.221,0,0.000,0.000,0.000,6,0.823,1.221,1.221,4,0.000,0.000,0.000
2014-04-27,2,0.308,1.221,1.221,4,-0.097,0.000,0.000,3,-2.909,0.000,1.221,0,0.000,0.000,0.000
2014-04-28,3,0.244,1.221,0.247,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-29,3,-4.015,0.000,2.443,1,-0.480,0.000,0.000,0,0.000,0.000,0.000,3,0.000,0.000,0.000
2014-04-30,4,-0.599,0.000,0.000,2,-0.626,0.000,0.000,0,0.000,0.000,0.000,4,0.000,0.000,0.000
2014-05-01,5,0.004,1.221,1.221,2,-0.882,0.000,0.000,1,-0.142,0.000,0.000,1,0.000,0.000,0.000
2014-05-02,5,0.826,1.221,0.247,2,-0.384,0.000,0.000,1,-0.142,0.000,0.000,8,-0.142,0.000,0.000
2014-05-03,3,2.664,1.221,0.000,6,-2.883,0.000,0.000,0,0.000,0.000,0.000,2,-0.000,0.000,0.000
2014-05-04,4,-0.359,1.221,1.221,3,-1.013,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-05-05,1,-1.466,0.000,1.221,3,-0.394,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-05-06,4,1.596,1.221,0.000,3,-0.750,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-05-07,0,0.000,0.000,0.000,2,-0.252,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-05-08,6,-0.488,0.000,0.000,4,-1.094,0.000,0.000,2,-0.394,0.000,0.000,0,0.000,0.000,0.000
2014-05-09,5,-2.719,0.000,1.221,2,-0.260,0.000,0.000,1,1.938,1.221,0.000,0,0.000,0.000,0.000
2014-05-10,5,2.232,1.221,0.000,3,-1.364,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-05-11,2,1.536,1.221,0.000,1,-0.465,0.000,0.000,2,1.905,1.221,0.000,0,0.000,0.000,0.000
2014-05-12,0,0.000,0.000,0.000,3,-0.728,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-05-13,0,0.000,0.000,0.000,2,-0.785,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-05-14,3,-2.024,1.221,1.221,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-05-15,3,1.342,1.221,0.000,3,-1.012,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-05-16,1,-0.142,0.000,0.000,1,-0.480,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-05-17,5,6.400,4.886,1.221,2,-0.930,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-05-18,2,-2.008,0.000,1.221,3,-1.073,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-05-19,3,0.298,0.000,0.000,1,-0.128,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-05-20,2,-0.941,0.000,0.000,6,-1.455,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-05-21,1,-0.142,0.000,0.000,5,-0.274,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-05-22,4,1.691,1.221,0.000,1,0.057,0.000,0.000,1,0.916,0.000,0.000,0,0.000,0.000,0.000
2014-05-23,2,2.104,1.221,0.000,0,0.000,0.000,0.000,1,-0.142,0.000,0.000,1,-0.025,0.000,0.000
2014-05-24,6,1.923,1.468,0.000,5,-0.925,0.000,0.000,1,-0.142,0.000,0.000,1,0.511,0.000,0.000
2014-05-25,7,1.131,2.443,1.221,5,-0.307,0.000,0.000,2,-0.284,0.000,0.000,0,0.000,0.000,0.000
2014-05-26,1,-0.142,0.000,0.000,2,0.163,0.000,0.000,2,-0.284,0.000,0.000,0,0.000,0.000,0.000
2014-05-27,4,-1.084,0.000,0.005,0,0.000,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-05-28,0,0.000,0.000,0.000,5,-1.709,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-05-29,2,0.267,0.000,0.000,3,-0.331,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-05-30,3,-1.746,0.000,1.221,1,0.287,0.000,0.000,1,1.687,1.221,0.000,0,0.000,0.000,0.000
2014-05-31,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-06-01,6,0.148,1.221,1.221,4,0.687,1.221,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-06-02,3,1.696,1.221,0.000,2,-0.636,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-06-03,5,2.940,2.443,0.000,0,0.000,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-06-04,5,-1.103,0.000,0.549,1,-0.529,0.000,0.000,4,-0.568,0.000,0.000,0,0.000,0.000,0.000
2014-06-05,5,2.660,2.443,1.221,2,-0.408,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-06-06,4,-4.028,0.000,1.221,3,0.046,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-06-07,5,0.240,2.443,1.221,5,0.300,0.000,0.000,1,-0.796,0.000,0.000,0,0.000,0.000,0.000
2014-06-08,5,0.549,1.221,1.221,2,0.184,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-06-09,2,-0.284,0.000,0.000,4,-1.507,0.000,0.000,2,1.502,0.000,0.000,0,0.000,0.000,0.000
2014-06-10,1,-1.297,0.000,1.221,8,-2.074,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-06-11,1,-0.142,0.000,0.000,6,-1.500,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-06-12,1,-0.721,0.000,0.000,3,-0.921,0.000,0.000,1,0.511,0.000,0.000,1,-0.142,0.000,0.000
2014-06-13,5,2.822,2.443,0.000,4,-1.528,0.000,0.000,2,2.187,1.221,0.000,0,0.000,0.000,0.000
2014-06-14,2,0.158,0.247,0.000,2,-0.622,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-06-15,3,0.131,0.000,0.000,2,0.159,0.000,0.000,4,2.910,1.221,0.000,0,0.000,0.000,0.000
2014-06-16,2,-1.065,0.000,0.000,3,-0.231,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
