,cluster14,,,,cluster15,,,,cluster18,,,,cluster27,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
51,16,-0.346,2.319,2.992,12,-0.873,2.443,0.000,7,1.018,0.549,0.000,27,0.000,0.000,0.000
52,15,0.079,1.221,0.000,10,-1.401,0.000,0.000,5,2.643,1.221,0.000,18,0.000,0.000,0.000
53,0,0.000,0.000,0.000,6,-1.046,0.000,0.000,4,1.240,1.221,0.000,10,0.003,0.000,0.000
54,3,-0.284,0.000,0.000,13,-2.347,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
55,1,-0.142,0.000,0.000,8,-2.431,0.000,0.000,1,-0.142,0.000,0.000,1,0.355,0.000,0.000
56,0,0.000,0.000,0.000,8,-0.879,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
57,0,0.000,0.000,0.000,12,-1.510,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
58,2,-0.284,0.000,0.000,11,-1.679,0.000,0.000,2,1.194,1.221,0.000,0,0.000,0.000,0.000
59,3,-3.435,0.000,2.443,12,-3.814,0.000,0.000,5,-1.488,0.000,0.000,2,0.000,0.000,0.000
60,13,-1.423,1.098,2.443,11,-1.863,0.000,0.000,7,0.378,0.660,0.000,2,0.000,0.000,0.000
61,28,-0.359,1.715,2.319,10,-1.392,0.000,0.000,6,-1.346,0.000,0.000,1,-0.000,0.000,0.000
62,15,2.501,2.443,0.549,8,-2.418,0.000,0.000,10,4.158,2.443,0.000,4,-0.142,0.000,0.000
63,32,6.525,7.302,2.321,19,-3.385,0.000,0.000,9,3.085,1.468,0.000,0,0.000,0.000,0.000
64,31,1.834,1.770,1.774,18,-2.882,1.221,0.000,15,1.627,1.221,0.000,3,-0.000,0.000,0.000
65,18,4.554,4.313,0.111,10,-3.742,0.000,0.000,13,3.483,0.247,0.000,2,-0.142,0.000,0.000
66,9,0.347,1.221,0.005,15,-2.968,1.221,0.000,6,1.041,0.000,0.000,2,-0.000,0.000,0.000
67,14,8.042,3.664,2.443,8,-2.899,0.000,0.000,8,-1.076,0.000,0.000,3,-0.512,0.000,0.000
68,14,-1.590,2.443,3.664,11,-4.365,0.000,1.221,9,1.524,1.221,0.000,1,-0.173,0.000,0.000
69,10,3.944,3.664,1.226,6,-1.391,0.000,0.000,5,0.952,0.000,0.000,1,-0.000,0.000,0.000
70,9,3.710,3.664,1.221,12,-4.153,0.000,0.000,9,-1.219,0.000,0.000,3,-0.001,0.000,0.001
71,13,1.547,3.664,1.221,14,-5.595,0.000,0.000,13,-3.097,0.000,1.221,2,-0.000,0.000,0.000
