,cluster0,,,,cluster1,,,,cluster2,,,,cluster3,,,,cluster4,,,,cluster5,,,,cluster6,,,,cluster7,,,,cluster8,,,,cluster9,,,,cluster10,,,,cluster11,,,,cluster12,,,,cluster13,,,,cluster14,,,,cluster15,,,
how,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n
12,162,46.684,7.504,2.000,44,23.065,7.050,2.373,30,16.551,8.000,0.386,18,9.148,4.000,0.000,12,3.558,0.000,1.000,27,9.712,3.000,1.000,17,4.067,1.025,0.005,12,5.554,2.368,0.000,7,2.926,0.000,1.000,14,1.845,1.368,0.000,6,0.955,0.000,0.000,0,0.000,0.000,0.000,1,1.612,1.000,0.000,0,0.000,0.000,0.000,7,2.798,1.050,0.000,10,3.453,0.000,0.000
13,172,64.226,11.386,8.000,73,27.556,8.050,4.000,52,14.115,1.018,0.000,26,16.781,8.368,1.000,27,15.065,6.000,1.368,49,17.174,6.000,2.000,24,10.509,3.375,1.000,21,6.793,1.104,1.000,6,0.142,0.000,0.000,6,1.353,0.000,0.000,20,4.822,1.202,1.000,5,5.309,1.000,1.000,5,0.142,0.000,0.000,0,0.000,0.000,0.000,10,9.593,5.000,0.000,15,4.293,0.000,0.000
14,189,71.198,15.576,5.002,133,51.090,15.871,5.000,76,35.969,7.000,5.135,58,26.530,8.609,3.007,46,25.146,10.368,0.000,68,19.678,7.135,1.000,37,19.090,3.742,2.000,51,13.419,2.503,0.368,25,0.330,0.000,0.000,7,2.177,0.000,0.000,8,3.229,0.202,1.000,26,22.186,12.002,0.000,11,0.043,0.000,0.000,1,0.000,0.000,0.000,9,5.067,1.000,0.000,15,4.910,0.000,0.000
15,267,98.501,25.824,8.018,204,79.123,9.028,19.757,108,54.731,22.871,7.804,68,31.969,9.272,3.000,54,23.756,7.472,3.368,88,26.320,11.135,0.000,38,17.017,4.000,1.000,50,25.113,8.736,1.368,25,0.142,0.000,0.000,26,13.536,3.000,0.000,20,10.162,3.000,1.247,15,8.802,4.000,0.000,26,3.165,0.000,2.000,9,0.412,0.000,0.000,18,12.165,6.000,0.000,13,2.813,0.000,0.000
16,287,110.666,23.542,15.006,231,87.520,18.743,10.029,137,52.930,15.105,4.001,112,62.797,14.895,5.001,111,43.924,15.607,1.000,111,39.932,10.000,4.000,52,22.870,6.139,4.549,74,35.573,10.959,2.000,34,8.988,1.000,2.000,25,9.824,2.000,1.000,27,11.370,2.055,2.000,14,8.297,3.368,0.000,15,1.942,1.000,0.000,9,1.026,0.000,0.000,16,11.724,4.000,1.000,13,4.786,1.000,0.000
17,266,95.418,20.639,11.000,295,126.837,27.063,19.050,152,70.264,21.260,11.343,125,71.121,18.333,11.272,213,107.187,32.639,8.000,143,47.634,13.000,6.000,64,24.510,6.001,3.927,73,24.113,5.050,0.007,13,0.267,0.000,0.000,30,12.909,2.000,3.000,20,6.135,1.000,0.091,19,12.729,3.000,2.000,15,4.229,2.000,0.000,18,6.934,2.000,0.000,15,10.042,4.000,0.000,16,7.764,1.000,0.000
18,261,110.647,28.007,6.001,258,103.397,24.943,15.369,140,49.728,9.278,6.418,122,61.175,13.271,10.736,178,98.095,24.374,9.050,147,55.651,20.736,2.000,60,25.026,5.757,4.206,40,17.097,4.889,1.368,28,0.987,0.000,0.000,28,14.917,2.000,2.018,26,9.775,1.000,4.001,16,8.133,1.000,2.000,11,0.753,0.000,0.000,27,0.611,0.000,0.000,26,12.793,4.000,0.002,11,3.805,0.000,0.000
19,277,106.674,21.515,16.786,265,106.511,24.175,21.411,145,57.809,14.154,7.057,79,40.869,8.749,12.414,167,92.751,25.406,13.000,134,52.336,16.368,5.104,53,18.923,2.369,3.001,43,26.338,6.000,5.000,23,0.142,0.000,0.000,36,27.040,10.000,0.000,23,9.626,2.000,2.000,41,26.713,8.000,2.368,14,1.225,1.000,0.000,24,1.246,0.000,0.000,23,13.045,3.000,1.000,13,5.223,1.000,0.000
20,281,121.054,33.838,9.019,234,104.444,25.856,14.371,121,41.015,11.002,3.387,76,35.722,9.201,6.172,139,76.792,17.368,13.135,145,53.122,13.239,6.000,52,27.586,5.002,5.000,42,26.652,7.736,3.000,27,0.603,0.000,0.000,22,20.209,4.000,6.000,32,10.728,2.074,0.000,25,10.948,4.018,1.000,15,8.477,2.000,1.000,7,0.000,0.000,0.000,20,18.686,6.100,2.000,17,4.612,0.000,0.000
21,234,94.868,21.086,8.507,253,93.967,17.687,16.143,140,48.382,11.208,5.407,99,46.282,8.425,6.369,97,33.167,6.792,3.000,128,42.404,11.368,3.000,55,27.497,7.000,7.239,14,4.120,0.050,2.000,20,0.142,0.000,0.000,22,9.129,3.000,0.000,28,14.374,2.000,3.000,15,11.742,2.368,3.368,6,4.165,2.000,0.000,17,2.230,1.000,0.000,16,9.694,3.000,1.002,13,3.752,0.000,0.000
