,cluster0,,,,cluster1,,,,cluster2,,,,cluster3,,,,cluster4,,,,cluster5,,,,cluster6,,,,cluster7,,,,cluster8,,,,cluster9,,,,cluster10,,,,cluster11,,,,cluster12,,,,cluster13,,,,cluster14,,,,cluster15,,,
how,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n
43,351,117.896,18.349,14.224,294,127.902,25.494,17.190,88,30.607,4.038,4.019,85,24.486,2.051,4.639,53,23.570,4.018,5.000,58,12.400,3.000,2.000,51,24.504,4.386,8.004,22,5.908,1.000,1.000,24,12.098,1.000,3.000,27,11.265,4.000,1.639,21,3.857,1.202,0.000,17,5.710,1.050,1.368,6,0.657,0.000,0.000,24,1.384,0.000,0.000,8,4.986,1.000,1.000,12,3.551,1.000,0.000
44,313,103.990,15.389,12.513,270,112.842,25.176,21.159,90,40.450,9.782,6.000,60,25.251,4.370,4.368,67,29.759,8.503,4.000,43,17.878,5.135,4.000,50,24.105,5.000,4.004,30,15.020,4.135,2.000,29,2.408,1.000,0.000,26,8.672,1.000,2.000,15,1.001,0.553,0.000,19,6.997,1.050,0.000,2,0.142,0.000,0.000,28,2.375,0.000,0.000,6,4.559,2.000,0.000,19,7.008,0.000,0.000
45,301,115.153,21.523,14.058,273,107.603,23.633,16.905,124,43.057,12.386,4.009,75,27.342,4.274,4.019,78,30.513,10.418,3.000,57,24.258,7.000,3.000,46,27.042,9.000,1.004,55,21.180,5.135,2.025,25,5.281,0.000,3.000,27,17.493,4.135,3.000,28,7.863,0.000,1.671,19,12.025,4.002,2.000,2,0.000,0.000,0.000,20,2.749,1.000,0.000,17,14.211,4.000,1.000,18,5.099,0.000,0.000
46,273,90.212,20.105,8.424,287,103.644,18.241,15.105,98,42.306,11.277,4.136,96,54.992,15.375,8.553,140,60.266,19.601,2.000,53,16.581,5.000,2.000,61,24.431,3.000,5.004,33,11.175,4.000,0.405,58,8.225,1.000,3.000,40,17.706,4.005,1.018,14,4.350,2.000,0.000,18,7.508,2.135,1.000,3,0.000,0.000,0.000,11,0.000,0.000,0.000,5,2.461,1.000,0.000,15,5.088,0.000,0.000
47,289,103.072,22.154,16.260,264,99.869,18.766,19.003,152,67.006,23.763,6.018,163,79.334,23.007,7.908,187,86.711,26.375,8.000,53,17.334,8.000,1.000,86,41.503,5.000,8.553,31,15.061,4.135,1.368,51,9.574,1.000,2.000,44,23.835,6.381,4.386,26,8.446,0.000,3.000,22,9.199,1.000,1.000,13,3.981,1.000,1.000,5,4.166,0.000,2.000,17,8.698,3.418,1.000,13,4.294,0.000,0.000
48,271,62.368,13.142,6.100,326,119.281,28.199,16.882,159,59.312,18.738,5.138,182,86.788,21.328,6.647,147,50.603,9.510,7.639,77,21.645,3.000,3.000,65,31.873,8.368,4.004,32,8.999,1.018,1.000,50,8.355,2.000,2.000,56,13.607,3.368,3.368,42,10.415,2.202,1.001,16,12.454,3.018,3.000,15,6.247,1.000,2.000,10,0.568,0.000,0.000,7,4.753,2.000,0.000,10,3.255,0.000,0.000
49,308,65.846,13.769,8.001,326,121.649,27.791,12.420,179,58.488,11.506,9.372,178,87.822,17.612,23.006,121,57.792,14.000,8.000,77,31.677,6.104,7.000,65,38.544,10.375,6.000,19,13.320,5.000,1.000,67,7.344,1.000,2.000,49,20.954,5.271,3.019,26,13.420,1.074,4.000,12,6.665,0.002,1.000,35,11.011,3.000,2.000,20,3.887,2.000,0.000,20,6.847,2.000,0.000,13,7.311,1.000,2.000
50,338,55.720,6.635,4.516,366,131.738,31.446,21.059,152,42.134,5.138,10.014,161,74.973,21.882,11.745,100,34.876,7.472,6.000,57,21.124,8.000,2.000,85,43.876,10.871,9.037,27,11.535,3.000,2.018,42,1.445,0.000,0.000,43,13.019,3.135,3.000,40,10.187,0.000,3.670,17,7.935,3.154,1.000,32,4.240,0.000,2.000,60,14.998,4.000,2.000,12,10.040,3.000,2.000,9,3.654,0.000,0.000
51,233,49.152,3.334,8.419,299,80.564,16.685,12.410,158,46.966,11.029,3.102,129,49.829,8.757,9.695,41,11.849,5.000,0.000,46,22.004,5.000,3.000,56,13.719,2.386,0.553,19,16.297,2.000,7.000,59,2.191,0.000,1.000,24,4.624,0.018,0.000,27,8.195,0.000,2.000,12,5.692,1.135,2.000,50,2.995,1.000,0.000,54,4.903,3.000,0.000,16,15.641,3.000,3.000,12,6.253,2.000,0.000
52,206,45.064,5.590,10.007,272,100.615,18.293,21.543,116,28.781,4.136,3.015,103,42.294,10.630,2.737,31,14.208,6.000,0.000,18,8.927,3.000,0.000,33,5.832,0.000,0.004,13,6.687,2.135,1.000,69,1.516,0.000,0.000,14,3.064,1.000,0.000,49,6.581,1.000,0.000,12,6.698,1.000,1.007,46,8.287,0.000,3.904,29,6.982,2.000,2.000,15,5.431,1.000,0.000,10,2.769,0.000,0.000
53,137,27.486,3.505,3.425,202,64.150,7.517,12.068,65,19.731,5.506,2.885,86,20.921,5.471,1.298,15,0.988,0.000,0.000,9,1.497,0.000,0.000,14,4.740,0.001,1.000,6,3.284,0.000,1.000,25,4.538,1.000,1.000,7,2.272,1.000,0.000,29,7.615,1.000,3.091,11,1.982,0.000,0.000,39,6.960,2.000,1.301,18,2.827,2.000,0.000,0,0.000,0.000,0.000,6,1.670,0.000,0.000
54,85,13.431,1.000,1.368,98,35.789,3.137,10.745,48,16.478,3.736,5.000,43,11.533,2.000,1.271,10,0.398,0.000,0.149,2,0.000,0.000,0.000,15,5.939,1.003,0.000,1,1.218,1.000,0.000,9,1.044,0.000,0.000,8,1.640,0.000,0.000,22,5.044,2.000,1.000,7,1.191,0.018,0.000,16,2.055,0.000,0.000,23,5.014,3.000,0.000,3,0.284,0.000,0.000,13,4.283,0.000,0.000
55,70,14.201,2.000,3.000,57,12.649,0.386,2.000,23,0.943,0.002,0.018,30,7.565,1.003,1.000,7,1.028,0.135,0.000,1,1.094,1.000,0.000,5,0.201,0.000,0.000,3,2.223,1.000,0.000,4,0.799,0.000,0.000,3,1.059,0.018,0.000,4,1.601,1.000,0.000,6,2.141,0.000,1.000,7,2.103,0.000,1.000,5,0.000,0.000,0.000,1,0.142,0.000,0.000,8,2.431,0.000,0.000
56,68,16.895,0.000,3.000,32,5.165,0.000,0.503,13,2.810,0.000,1.018,8,1.250,0.000,0.000,8,0.204,0.000,0.050,8,0.000,0.000,0.000,5,2.644,1.018,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,2,0.508,0.000,0.000,5,0.660,0.000,0.000,1,0.515,0.000,0.000,4,0.043,0.000,0.000,1,0.000,0.000,0.000,0,0.000,0.000,0.000,8,2.077,0.000,0.000
57,38,5.917,0.000,0.000,24,13.730,2.000,3.368,10,0.838,0.000,0.000,10,2.091,1.000,0.000,5,0.284,0.000,0.000,4,0.000,0.000,0.000,3,0.793,0.135,0.000,1,0.353,0.000,0.000,2,0.000,0.000,0.000,1,0.841,0.000,0.000,4,0.686,0.000,0.000,0,0.000,0.000,0.000,2,1.605,0.000,1.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,12,3.374,0.000,0.000
58,68,17.199,2.000,2.000,18,5.335,1.000,0.000,14,5.217,1.000,0.000,7,2.352,0.000,0.000,3,0.142,0.000,0.000,20,0.540,0.000,0.000,10,4.889,2.368,0.000,0,0.000,0.000,0.000,1,0.000,0.000,0.000,2,1.094,1.000,0.000,3,2.969,0.000,1.000,2,2.216,1.000,0.000,3,0.000,0.000,0.000,0,0.000,0.000,0.000,2,0.284,0.000,0.000,11,3.125,0.000,0.000
59,151,50.515,8.443,7.103,51,24.134,2.406,6.203,30,8.402,1.000,2.118,17,15.211,3.104,5.002,9,4.570,0.000,2.000,18,1.665,1.000,0.000,18,11.006,2.889,1.202,6,2.712,1.000,0.000,0,0.000,0.000,0.000,6,1.668,0.000,1.018,6,2.760,0.000,1.000,4,3.984,1.000,1.000,4,0.000,0.000,0.000,0,0.000,0.000,0.000,3,2.838,0.000,2.000,12,4.572,0.000,0.000
60,253,81.728,14.643,8.063,89,38.208,4.504,9.188,44,13.429,2.008,1.135,36,16.618,5.050,2.368,21,3.357,0.503,0.000,20,2.141,1.000,0.000,21,8.299,1.000,2.004,14,7.585,2.000,0.000,9,0.142,0.000,0.000,11,3.761,1.000,0.018,12,4.094,1.000,1.000,8,2.304,0.000,0.000,4,3.058,0.000,1.000,3,2.791,0.000,1.000,13,6.203,2.000,2.000,11,3.297,0.000,0.000
61,301,96.832,16.299,11.392,153,60.267,10.434,8.053,56,14.188,2.007,1.736,68,15.780,1.009,4.000,16,6.299,1.000,1.000,34,7.298,2.000,2.000,31,20.892,5.008,2.202,16,4.890,2.000,0.000,13,2.571,0.000,1.000,7,2.753,0.135,1.000,12,3.208,1.000,0.000,15,3.770,1.000,0.000,8,2.870,0.000,1.000,0,0.000,0.000,0.000,28,11.484,1.736,3.000,10,2.660,0.000,0.000
62,332,115.597,27.438,11.426,236,108.766,21.698,12.558,59,22.764,7.368,2.908,84,39.069,9.611,3.418,22,7.447,1.000,1.000,43,9.034,3.000,1.368,39,20.943,5.370,4.000,21,13.224,5.000,1.000,21,1.591,0.000,1.000,8,2.469,0.000,0.135,20,8.654,1.000,2.000,22,15.319,6.000,2.000,22,4.017,1.000,1.000,10,1.133,1.000,0.000,15,5.237,2.000,1.000,8,3.042,0.000,0.000
63,373,124.417,26.182,13.288,263,126.870,27.642,27.873,74,20.129,5.156,3.055,86,32.767,7.664,5.922,54,13.895,4.000,1.000,55,8.669,1.736,1.000,42,17.145,5.000,2.001,21,9.950,3.050,1.000,16,4.756,1.000,2.000,17,4.529,1.037,1.000,13,3.155,0.000,0.001,21,6.870,1.271,0.007,8,5.667,1.000,1.000,14,2.883,1.000,0.000,32,22.414,8.271,3.001,19,4.781,0.000,0.000
64,376,132.613,27.897,13.090,264,108.339,17.759,19.464,102,38.801,9.738,2.154,85,27.103,7.066,3.022,30,10.306,1.368,3.000,44,11.196,5.000,0.368,48,15.219,0.368,2.206,41,15.562,3.368,1.007,26,2.866,1.000,1.000,15,9.369,2.135,3.000,14,6.615,1.027,0.000,31,11.300,1.135,3.503,13,2.247,1.000,0.000,22,4.993,3.000,0.000,31,13.409,2.000,2.002,18,7.851,1.000,0.000
65,360,135.449,27.942,19.058,285,107.926,21.391,21.141,105,37.101,10.641,3.050,87,25.666,4.757,3.508,22,6.498,2.000,0.000,42,8.527,2.000,0.135,38,12.253,4.271,1.055,47,29.179,9.050,3.000,15,1.814,1.000,0.000,23,5.852,2.000,0.000,8,3.765,0.000,0.670,36,17.674,3.503,2.503,2,0.142,0.000,0.000,14,2.141,1.000,0.000,18,7.061,4.100,0.135,10,3.742,0.000,0.000
66,348,121.315,20.518,21.366,290,125.224,24.578,21.518,89,22.996,3.890,5.000,86,45.531,9.135,9.000,34,10.610,2.000,1.000,35,8.379,1.368,0.000,32,11.090,2.000,1.000,38,15.734,4.467,0.000,17,8.114,3.000,1.000,21,6.516,0.000,1.000,7,1.477,0.004,0.000,36,19.773,5.018,1.000,4,0.000,0.000,0.000,20,3.419,1.000,0.000,9,3.143,1.000,0.002,15,6.342,1.000,0.000
67,363,111.764,24.902,12.822,274,93.165,18.120,14.760,107,35.841,8.664,2.071,80,29.352,5.738,4.872,59,16.674,7.000,0.000,49,9.029,3.000,1.135,44,22.242,4.000,5.000,22,8.503,1.000,2.368,20,1.800,0.000,1.000,27,7.255,0.050,1.000,4,1.578,0.000,0.000,26,10.361,2.000,1.000,6,3.739,1.000,1.000,18,4.094,2.000,0.000,14,12.370,3.000,2.000,8,2.899,0.000,0.000
68,354,115.056,21.739,8.305,296,120.961,16.775,26.484,114,31.581,8.640,6.001,80,32.913,8.160,5.002,42,15.580,4.472,3.368,49,9.341,0.368,2.135,56,20.395,5.001,2.027,27,8.746,3.000,0.007,36,7.948,2.000,1.000,34,12.594,1.000,3.375,10,6.280,1.000,1.000,28,13.780,4.002,2.368,6,0.228,0.000,0.000,12,0.568,0.000,0.000,14,9.073,2.000,3.000,11,4.800,0.000,1.000
69,346,129.400,22.406,16.024,275,96.848,20.150,17.387,137,48.444,11.610,8.368,113,43.936,13.393,4.698,60,24.602,6.368,0.000,58,14.234,3.000,1.000,52,20.648,5.032,0.000,39,13.224,4.000,1.000,32,11.654,2.000,1.000,44,15.087,3.368,0.786,22,5.276,1.000,1.000,27,9.929,3.000,1.000,8,2.987,0.000,2.000,18,1.165,0.000,1.000,10,6.735,3.000,1.002,6,1.965,0.000,0.000
70,284,101.456,21.786,12.661,270,109.845,29.482,15.498,161,57.854,14.553,8.340,161,76.780,18.753,7.745,135,43.911,13.386,3.000,48,19.703,4.000,6.135,45,21.343,4.368,4.623,35,19.913,5.185,3.000,43,6.952,1.000,2.000,48,11.733,1.000,3.013,14,1.500,0.000,0.001,20,11.698,3.000,0.000,5,1.104,1.000,0.000,16,4.907,2.000,0.000,9,7.726,3.000,1.000,12,4.153,0.000,0.000
71,283,110.232,23.793,12.923,301,107.251,22.026,18.759,149,55.507,11.508,10.161,231,123.082,38.210,15.691,241,97.186,30.503,6.368,49,16.985,3.368,2.000,65,16.002,2.002,2.129,46,27.316,10.135,3.001,31,6.689,2.000,1.000,36,17.426,3.000,4.000,26,14.387,4.549,2.671,17,5.684,1.370,1.368,9,0.760,0.000,0.000,20,4.605,1.000,0.000,13,6.071,3.000,1.000,14,5.595,0.000,0.000
72,245,99.136,23.018,11.401,269,87.823,16.639,14.112,148,52.256,7.369,7.368,226,125.401,32.762,17.154,190,85.931,22.018,13.000,35,9.940,1.368,2.000,77,19.319,3.135,1.576,46,27.665,9.467,3.368,46,0.426,0.000,0.000,44,22.365,6.000,4.000,23,11.978,1.000,2.670,16,10.330,1.000,3.135,3,0.000,0.000,0.000,35,2.967,1.000,0.000,15,6.996,0.000,1.368,15,4.795,1.000,0.000
73,236,76.283,13.264,10.291,322,121.798,21.349,24.253,171,71.131,16.021,9.112,224,108.165,28.836,15.135,211,118.316,35.314,16.104,56,23.255,7.000,1.000,82,34.307,5.473,6.751,26,17.936,3.000,3.736,40,7.330,1.000,1.000,47,19.197,2.436,3.018,22,6.037,0.000,1.587,19,8.982,0.000,2.000,8,2.980,0.000,1.000,18,2.914,1.000,0.000,16,10.532,2.000,2.135,15,4.588,0.000,0.000
74,240,77.488,22.122,7.747,306,109.108,18.296,20.813,188,85.938,17.007,17.813,169,100.888,29.309,16.377,101,40.834,12.123,6.000,50,15.520,4.368,2.000,69,24.788,7.371,1.212,42,23.140,9.000,1.000,38,2.025,0.000,1.000,41,13.751,2.368,2.000,45,7.646,0.027,0.247,15,9.592,3.000,1.000,16,0.107,0.000,0.000,54,17.404,7.000,0.000,16,9.509,2.000,3.368,11,5.116,1.000,0.000
75,198,64.958,16.389,10.074,282,96.536,17.451,16.509,174,65.072,14.473,14.125,136,61.777,14.522,7.374,38,10.769,5.000,0.000,21,6.212,2.000,0.000,48,11.626,4.503,0.001,21,15.181,7.002,0.368,42,5.665,1.000,1.000,22,3.952,2.000,0.000,41,13.940,4.004,0.917,15,10.277,3.000,1.000,39,2.049,1.000,0.000,30,7.878,2.000,0.000,14,7.300,2.000,2.368,11,2.917,0.000,0.000
76,177,45.668,7.377,7.050,261,93.952,19.195,16.824,124,42.789,12.439,4.577,109,49.482,13.739,7.368,39,9.208,3.000,2.000,17,8.321,3.000,1.000,29,14.975,2.000,2.280,14,10.516,2.000,2.736,64,5.933,1.000,2.000,14,2.781,0.000,1.000,11,0.579,0.004,0.000,13,6.143,1.000,1.368,56,4.559,1.000,1.602,31,8.767,3.000,0.000,9,6.389,1.000,1.000,9,2.910,0.000,0.000
77,133,28.497,2.019,7.014,180,55.344,9.978,10.273,80,29.683,5.272,6.019,64,17.449,3.368,3.000,18,4.023,0.000,1.000,9,2.659,1.000,0.000,25,9.435,3.002,2.230,8,3.721,0.000,1.000,31,2.141,0.000,0.000,11,1.001,0.000,0.000,27,5.959,0.000,1.917,6,1.208,1.000,0.000,55,2.393,0.000,1.301,34,2.145,0.000,1.000,3,0.442,0.000,0.000,11,1.793,0.000,0.000
78,97,19.413,1.387,1.000,94,38.000,7.375,6.736,48,7.577,0.368,1.000,37,8.389,2.427,1.369,10,1.316,0.000,1.000,7,1.257,1.000,0.000,9,4.272,0.001,2.001,3,1.104,0.000,0.000,12,1.172,0.000,0.000,1,2.589,0.000,1.000,13,6.420,0.000,1.247,10,2.452,0.000,1.000,47,6.908,1.000,3.000,14,1.491,1.000,0.000,2,2.259,0.000,1.000,14,4.465,0.000,0.000
79,74,25.726,4.018,4.007,37,11.564,2.007,2.375,22,2.752,0.000,0.000,21,6.833,1.000,2.018,6,0.284,0.000,0.000,0,0.000,0.000,0.000,9,5.572,0.000,2.000,2,0.194,0.000,0.000,5,0.000,0.000,0.000,4,0.000,0.000,0.000,9,2.659,1.000,0.001,6,3.623,1.000,1.000,15,0.000,0.000,0.000,5,0.025,0.000,0.000,2,0.284,0.000,0.000,14,3.381,0.000,0.000
80,49,7.831,0.135,2.001,25,5.983,0.000,1.000,28,4.205,0.000,1.000,8,1.768,0.000,1.000,1,0.000,0.000,0.000,1,0.561,0.000,0.000,7,5.438,2.001,0.000,0,0.000,0.000,0.000,3,0.000,0.000,0.000,1,0.589,0.000,0.000,7,0.792,0.000,0.000,5,3.842,0.000,2.000,2,0.142,0.000,0.000,0,0.000,0.000,0.000,1,2.053,0.000,1.000,18,6.986,0.000,1.000
81,66,16.500,2.000,3.000,17,5.943,1.000,1.001,10,1.172,0.000,0.000,9,2.078,1.135,0.002,5,0.284,0.000,0.000,1,0.000,0.000,0.000,4,1.097,0.000,0.000,0,0.000,0.000,0.000,1,0.000,0.000,0.000,1,2.340,1.000,0.000,0,0.000,0.000,0.000,1,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,2,0.284,0.000,0.000,17,6.374,0.000,0.000
82,73,12.728,0.000,1.000,27,10.775,1.007,2.368,16,4.664,1.050,0.000,6,5.653,0.000,2.000,6,1.318,0.000,0.000,24,1.882,1.000,0.000,15,2.102,0.000,0.000,2,1.044,0.000,0.000,0,0.000,0.000,0.000,4,0.426,0.000,0.000,4,2.092,0.000,1.000,1,0.142,0.000,0.000,0,0.000,0.000,0.000,1,0.319,0.000,0.000,3,0.603,0.000,0.000,15,5.406,0.000,0.000
83,161,44.516,11.397,3.419,61,26.753,6.368,5.203,22,7.322,2.000,0.000,18,4.806,0.000,1.368,8,0.426,0.000,0.000,21,1.971,0.000,1.000,24,15.317,5.503,3.000,8,1.767,0.002,0.000,4,0.284,0.000,0.000,5,1.135,0.007,0.000,4,0.555,0.202,0.000,0,0.000,0.000,0.000,9,0.142,0.000,0.000,0,0.000,0.000,0.000,9,1.188,0.000,0.002,11,2.795,0.000,0.000
84,243,70.494,10.260,11.033,84,36.236,6.418,6.000,37,11.998,3.788,2.005,46,13.272,2.369,2.050,20,9.258,2.135,2.000,16,3.930,1.000,0.000,20,10.591,2.002,1.000,11,3.099,0.000,1.368,4,0.142,0.000,0.000,14,3.104,1.018,0.000,8,0.535,0.000,0.000,2,0.284,0.000,0.000,6,1.570,1.000,0.000,3,0.142,0.000,0.000,10,2.851,1.000,0.000,11,3.119,0.000,0.000
85,309,106.201,18.855,14.577,180,63.994,14.154,10.193,52,17.522,4.000,2.000,60,21.313,3.001,6.271,17,7.956,3.000,0.368,42,9.457,2.736,1.000,22,9.998,2.000,2.202,15,5.063,1.368,1.000,6,1.168,0.000,0.000,13,4.586,1.106,0.135,12,3.429,1.000,0.000,15,3.770,1.018,0.000,2,1.960,1.000,0.000,7,1.849,0.000,0.000,24,8.043,0.000,2.000,10,3.318,0.000,0.000
86,287,99.552,21.286,15.754,207,87.776,15.734,16.418,59,20.782,4.742,5.368,69,21.314,2.506,2.136,34,6.976,1.736,0.000,67,15.069,2.368,3.000,43,10.995,3.138,1.004,19,10.131,2.154,1.000,7,0.880,0.000,0.000,9,4.323,2.000,0.000,12,3.970,0.000,0.000,15,7.996,1.002,2.000,7,1.960,1.000,0.000,2,1.381,1.000,0.000,24,13.153,4.050,1.000,13,5.090,0.000,0.000
87,343,118.140,24.758,15.721,287,102.530,14.812,18.765,63,27.296,2.005,4.553,99,32.045,3.691,7.791,39,11.732,1.000,3.000,58,14.951,3.000,2.000,53,23.942,6.052,4.007,37,21.405,10.050,0.000,9,1.815,0.000,1.000,21,7.682,1.007,0.406,9,2.321,0.074,0.000,27,7.769,0.021,1.000,6,1.151,1.000,0.000,2,1.765,1.000,0.000,26,6.729,1.000,0.002,10,2.778,0.000,0.000
88,380,124.905,28.560,12.166,283,123.424,24.655,19.161,73,25.474,6.056,3.000,99,52.951,10.156,9.504,42,11.250,3.000,1.000,32,15.604,5.368,2.000,50,22.161,3.003,6.207,39,14.927,4.368,0.000,15,0.813,0.000,0.000,18,8.403,0.000,2.000,11,2.493,0.000,0.000,30,12.098,2.000,1.736,13,2.081,1.000,0.000,2,0.000,0.000,0.000,32,8.650,1.135,2.000,14,7.058,0.000,1.000
89,357,117.644,27.714,9.142,323,148.793,23.712,25.716,93,32.933,7.424,6.000,99,30.065,5.774,3.135,46,10.136,2.736,0.135,47,9.104,2.000,2.000,51,22.871,6.004,2.754,57,29.895,9.503,2.000,25,0.532,0.000,0.000,16,6.043,3.000,0.149,12,6.128,0.000,3.000,42,20.082,4.185,4.000,15,1.441,1.000,0.000,5,1.988,1.000,0.000,20,4.261,1.000,0.000,16,5.026,0.000,0.000
90,358,123.561,25.425,10.938,306,110.444,19.605,16.692,102,27.808,6.522,6.368,105,45.612,9.160,6.370,52,20.437,3.000,3.000,29,5.756,1.000,1.000,55,21.865,4.135,3.000,35,12.741,4.000,2.000,23,7.507,1.000,3.000,19,8.701,2.000,1.000,13,2.658,0.000,0.001,26,10.669,1.386,1.736,20,3.039,0.000,1.000,8,1.960,0.000,1.000,9,7.061,4.000,0.000,13,6.987,1.000,0.000
91,343,111.447,18.389,15.104,266,103.233,20.426,16.019,86,28.093,4.135,4.037,88,37.261,8.050,3.053,63,24.430,8.000,2.000,41,10.961,2.000,1.000,58,21.626,5.411,2.000,28,13.741,5.000,0.000,31,7.355,0.000,3.000,31,7.893,2.368,0.000,18,8.124,1.078,1.247,24,10.128,0.368,2.000,23,3.870,2.000,1.000,12,1.640,1.000,0.000,5,3.668,1.000,1.000,10,3.986,0.000,0.000
92,352,116.979,24.006,14.793,318,135.978,23.320,26.059,87,33.345,8.059,2.000,103,42.543,6.506,8.000,63,28.709,8.000,4.000,47,12.251,5.000,0.000,47,24.436,1.000,9.000,32,14.699,5.418,1.007,29,8.613,1.000,3.000,32,9.726,3.050,2.375,20,8.922,3.202,1.000,31,15.400,3.050,3.000,7,0.575,0.000,0.000,11,2.727,1.000,0.000,9,8.271,3.000,2.000,15,4.824,0.000,0.000
93,351,131.621,27.693,20.206,286,121.655,21.425,20.162,105,35.567,6.002,5.240,114,45.740,14.277,3.556,75,27.624,6.418,3.000,42,15.060,4.000,2.000,48,29.109,6.000,6.202,29,15.918,4.000,2.000,27,3.367,0.000,0.000,31,12.676,3.050,2.018,18,7.324,2.000,1.000,24,16.577,4.000,1.368,16,1.222,0.000,1.000,12,2.741,1.000,0.000,11,3.420,1.000,0.000,17,7.373,1.000,0.000
94,314,125.749,24.555,17.057,260,103.843,27.431,12.456,121,34.151,6.571,4.203,101,50.692,16.050,4.025,186,64.300,20.204,5.154,48,20.954,3.000,5.000,43,18.479,4.368,3.000,33,13.792,1.368,3.000,21,1.119,0.000,0.000,43,25.141,6.000,4.000,27,10.870,3.027,1.671,16,7.816,2.000,1.000,6,0.284,0.000,0.000,16,0.142,0.000,0.000,14,9.925,2.000,1.000,14,5.806,1.000,0.000
95,297,94.867,19.923,11.468,263,95.901,22.382,11.050,146,59.531,17.267,3.370,188,90.243,22.527,9.370,302,119.724,28.375,9.436,53,15.415,4.000,1.000,74,33.916,11.003,4.549,40,16.616,5.000,3.000,24,2.617,0.000,1.000,51,16.889,4.007,4.000,16,4.330,0.549,0.000,30,7.484,1.289,0.368,9,1.861,1.000,0.000,17,7.101,3.000,0.000,13,9.255,4.000,0.368,10,4.020,0.000,0.000
96,297,100.329,25.008,13.617,351,127.798,21.533,27.569,154,60.075,16.072,10.370,228,123.591,34.647,14.871,276,138.197,39.368,14.000,59,20.322,2.368,4.000,70,36.556,13.142,3.014,50,30.448,9.153,4.000,34,8.235,2.000,1.000,41,12.265,2.368,2.000,19,3.497,1.000,0.000,19,4.751,1.271,0.000,15,4.049,0.000,2.000,37,0.841,0.000,0.000,12,7.488,3.000,0.000,14,6.630,2.000,0.000
97,290,80.730,16.518,9.018,332,120.102,14.790,23.423,168,59.874,14.419,7.188,189,94.203,28.527,12.162,216,96.677,29.702,8.571,60,21.020,7.000,4.000,81,26.814,5.368,2.160,38,11.431,2.104,1.007,26,0.000,0.000,0.000,48,17.142,5.000,4.000,28,6.629,1.000,1.672,17,6.278,0.736,1.000,14,6.331,3.000,0.000,37,4.027,1.000,1.000,12,5.126,1.000,0.000,16,4.623,0.000,0.000
98,308,80.029,19.007,11.032,375,153.074,26.097,28.785,222,79.888,18.527,13.054,179,94.836,27.143,13.014,189,88.213,19.374,16.922,49,13.689,4.368,2.000,71,24.607,2.003,3.604,40,18.289,6.000,1.000,89,8.192,0.000,3.000,68,18.037,4.375,1.000,38,13.093,2.000,3.000,14,8.325,2.000,2.000,38,5.298,1.000,1.000,29,7.819,4.000,0.000,14,6.306,3.000,0.000,13,3.418,0.000,0.000
99,259,65.586,9.812,10.000,337,99.305,17.025,20.398,159,59.512,16.136,10.751,155,64.951,15.021,11.782,123,57.582,14.878,8.185,22,8.153,2.368,1.000,58,18.650,0.693,5.580,23,8.719,1.135,1.000,74,11.194,0.000,4.000,34,9.992,1.000,2.000,34,18.495,4.202,2.000,10,7.976,1.000,3.000,39,1.218,0.000,0.000,19,4.592,1.000,1.000,13,7.889,2.000,2.135,12,3.653,0.000,0.000
100,209,56.296,13.503,3.142,270,103.131,15.716,21.878,182,53.229,12.150,8.437,87,32.318,11.448,3.529,56,18.035,3.000,2.000,18,7.399,5.000,0.000,32,13.378,4.001,1.004,13,4.112,0.000,1.000,49,2.053,0.000,1.000,15,5.494,1.000,2.000,32,8.364,1.082,1.000,6,2.852,0.000,1.000,80,10.647,1.000,4.000,19,4.680,2.000,0.000,4,2.311,1.000,0.000,12,3.370,0.000,0.000
101,148,32.663,5.622,3.555,177,56.538,14.549,7.534,109,30.211,10.789,3.000,73,28.134,6.241,4.890,24,5.826,1.050,0.000,10,3.384,2.000,0.000,26,6.409,2.005,0.014,5,0.710,0.000,0.000,32,3.359,1.000,1.000,15,4.075,1.000,0.000,27,7.449,0.027,2.341,8,8.118,3.000,1.000,58,2.933,0.000,1.000,12,2.095,0.000,1.000,5,4.704,3.000,0.000,12,2.347,0.000,0.000
102,100,26.326,4.002,6.050,98,40.147,6.386,8.871,63,20.154,5.005,3.370,33,15.534,2.000,4.000,12,1.143,0.368,0.000,5,0.142,0.000,0.000,26,1.870,0.002,0.030,3,0.426,0.000,0.000,29,4.841,0.000,2.000,8,0.196,0.000,0.000,9,4.473,2.000,0.918,9,4.900,0.018,1.000,29,0.142,0.000,0.000,10,0.142,0.000,0.000,2,1.392,1.000,0.000,15,4.390,0.000,0.000
