,cluster0,,,,cluster1,,,,cluster2,,,,cluster3,,,,cluster4,,,,cluster5,,,,cluster6,,,,cluster7,,,,cluster8,,,,cluster9,,,,cluster10,,,,cluster11,,,,cluster12,,,,cluster13,,,,cluster14,,,,cluster15,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
12,162,6.370,7.504,2.000,44,5.177,7.050,2.373,30,11.421,8.000,0.386,18,6.870,4.000,0.000,12,-2.720,0.000,1.000,27,4.676,3.000,1.000,17,2.114,1.025,0.005,12,3.844,2.368,0.000,7,-2.926,0.000,1.000,14,1.561,1.368,0.000,6,0.017,0.000,0.000,0,0.000,0.000,0.000,1,1.612,1.000,0.000,0,0.000,0.000,0.000,7,1.662,1.050,0.000,10,-2.879,0.000,0.000
13,172,-5.897,11.386,8.000,73,2.279,8.050,4.000,52,5.931,1.018,0.000,26,11.987,8.368,1.000,27,8.241,6.000,1.368,49,5.790,6.000,2.000,24,6.324,3.375,1.000,21,0.261,1.104,1.000,6,-0.142,0.000,0.000,6,0.501,0.000,0.000,20,-0.728,1.202,1.000,5,-0.005,1.000,1.000,5,-0.142,0.000,0.000,0,0.000,0.000,0.000,10,8.457,5.000,0.000,15,-2.909,0.000,0.000
14,189,16.494,15.576,5.002,133,8.748,15.871,5.000,76,3.237,7.000,5.135,58,7.723,8.609,3.007,46,14.665,10.368,0.000,68,13.102,7.135,1.000,37,4.071,3.742,2.000,51,2.861,2.503,0.368,25,0.330,0.000,0.000,7,-0.927,0.000,0.000,8,-2.791,0.202,1.000,26,17.500,12.002,0.000,11,-0.042,0.000,0.000,1,-0.000,0.000,0.000,9,2.809,1.000,0.000,15,-3.690,0.000,0.000
15,267,20.181,25.824,8.018,204,-10.516,9.028,19.757,108,14.680,22.871,7.804,68,18.598,9.272,3.000,54,6.466,7.472,3.368,88,11.304,11.135,0.000,38,3.319,4.000,1.000,50,10.168,8.736,1.368,25,-0.142,0.000,0.000,26,8.844,3.000,0.000,20,2.634,3.000,1.247,15,6.226,4.000,0.000,26,-3.165,0.000,2.000,9,0.128,0.000,0.000,18,9.175,6.000,0.000,13,-0.165,0.000,0.000
16,287,6.322,23.542,15.006,231,10.165,18.743,10.029,137,11.671,15.105,4.001,112,20.465,14.895,5.001,111,16.498,15.607,1.000,111,8.794,10.000,4.000,52,-0.608,6.139,4.549,74,20.214,10.959,2.000,34,-2.206,1.000,2.000,25,0.164,2.000,1.000,27,0.120,2.055,2.000,14,6.136,3.368,0.000,15,1.444,1.000,0.000,9,-0.224,0.000,0.000,16,2.150,4.000,1.000,13,-2.286,1.000,0.000
17,266,6.040,20.639,11.000,295,16.680,27.063,19.050,152,11.817,21.260,11.343,125,13.072,18.333,11.272,213,35.567,32.639,8.000,143,12.738,13.000,6.000,64,-1.509,6.001,3.927,73,11.322,5.050,0.007,13,-0.267,0.000,0.000,30,1.330,2.000,3.000,20,0.808,1.000,0.091,19,5.071,3.000,2.000,15,3.661,2.000,0.000,18,6.934,2.000,0.000,15,8.170,4.000,0.000,16,-3.098,1.000,0.000
18,261,44.142,28.007,6.001,258,11.437,24.943,15.369,140,-0.998,9.278,6.418,122,-0.108,13.271,10.736,178,24.977,24.374,9.050,147,34.123,20.736,2.000,60,5.209,5.757,4.206,40,5.216,4.889,1.368,28,0.703,0.000,0.000,28,-3.763,2.000,2.018,26,-7.219,1.000,4.001,16,-3.383,1.000,2.000,11,-0.753,0.000,0.000,27,-0.071,0.000,0.000,26,7.389,4.000,0.002,11,-1.775,0.000,0.000
19,277,-0.375,21.515,16.786,265,3.012,24.175,21.411,145,9.869,14.154,7.057,79,-10.908,8.749,12.414,167,13.999,25.406,13.000,134,18.142,16.368,5.104,53,-1.502,2.369,3.001,43,4.742,6.000,5.000,23,-0.142,0.000,0.000,36,20.295,10.000,0.000,23,-0.850,2.000,2.000,41,12.035,8.000,2.368,14,1.225,1.000,0.000,24,0.962,0.000,0.000,23,-1.209,3.000,1.000,13,-2.297,1.000,0.000
20,281,31.474,33.838,9.019,234,12.670,25.856,14.371,121,2.984,11.002,3.387,76,-2.468,9.201,6.172,139,1.257,17.368,13.135,145,15.440,13.239,6.000,52,-1.572,5.002,5.000,42,10.369,7.736,3.000,27,0.319,0.000,0.000,22,-3.771,4.000,6.000,32,6.035,2.074,0.000,25,4.441,4.018,1.000,15,1.309,2.000,1.000,7,-0.000,0.000,0.000,20,3.558,6.100,2.000,17,-3.236,0.000,0.000
21,234,24.017,21.086,8.507,253,-3.918,17.687,16.143,140,7.974,11.208,5.407,99,2.652,8.425,6.369,97,4.484,6.792,3.000,128,9.158,11.368,3.000,55,-1.699,7.000,7.239,14,-3.493,0.050,2.000,20,-0.142,0.000,0.000,22,5.607,3.000,0.000,28,-2.664,2.000,3.000,15,-3.038,2.368,3.368,6,2.525,2.000,0.000,17,2.230,1.000,0.000,16,4.486,3.000,1.002,13,-2.552,0.000,0.000
