,cluster0,,,,cluster1,,,,cluster2,,,,cluster3,,,,cluster4,,,,cluster5,,,,cluster6,,,,cluster7,,,,cluster8,,,,cluster9,,,,cluster10,,,,cluster11,,,,cluster12,,,,cluster13,,,,cluster14,,,,cluster15,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
52,206,-8.882,5.590,10.007,272,-9.520,18.293,21.543,116,8.130,4.136,3.015,103,15.717,10.630,2.737,31,10.010,6.000,0.000,18,3.003,3.000,0.000,33,0.082,0.000,0.004,13,0.292,2.135,1.000,69,-0.714,0.000,0.000,14,2.212,1.000,0.000,49,-1.335,1.000,0.000,12,-0.099,1.000,1.007,46,-8.285,0.000,3.904,29,1.306,2.000,2.000,15,0.031,1.000,0.000,10,-1.401,0.000,0.000
53,137,-6.190,3.505,3.425,202,-9.393,7.517,12.068,65,-0.102,5.506,2.885,86,4.673,5.471,1.298,15,0.749,0.000,0.000,9,-0.443,0.000,0.000,14,-3.127,0.001,1.000,6,-1.424,0.000,1.000,25,2.094,1.000,1.000,7,0.128,1.000,0.000,29,-3.891,1.000,3.091,11,-1.979,0.000,0.000,39,2.399,2.000,1.301,18,2.543,2.000,0.000,0,0.000,0.000,0.000,6,-1.046,0.000,0.000
54,85,-6.239,1.000,1.368,98,-11.608,3.137,10.745,48,-4.563,3.736,5.000,43,0.116,2.000,1.271,10,-0.398,0.000,0.149,2,-0.000,0.000,0.000,15,2.793,1.003,0.000,1,1.218,1.000,0.000,9,0.760,0.000,0.000,8,-0.334,0.000,0.000,22,0.884,2.000,1.000,7,-0.898,0.018,0.000,16,-0.281,0.000,0.000,23,4.730,3.000,0.000,3,-0.284,0.000,0.000,13,-2.347,0.000,0.000
55,70,-6.816,2.000,3.000,57,-3.639,0.386,2.000,23,0.037,0.002,0.018,30,-0.511,1.003,1.000,7,1.015,0.135,0.000,1,1.094,1.000,0.000,5,-0.201,0.000,0.000,3,1.939,1.000,0.000,4,0.799,0.000,0.000,3,-0.297,0.018,0.000,4,1.317,1.000,0.000,6,-1.583,0.000,1.000,7,-2.103,0.000,1.000,5,-0.000,0.000,0.000,1,-0.142,0.000,0.000,8,-2.431,0.000,0.000
56,68,-8.851,0.000,3.000,32,-4.377,0.000,0.503,13,-0.836,0.000,1.018,8,0.398,0.000,0.000,8,-0.204,0.000,0.050,8,-0.000,0.000,0.000,5,2.076,1.018,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,2,0.224,0.000,0.000,5,0.092,0.000,0.000,1,0.515,0.000,0.000,4,-0.042,0.000,0.000,1,0.000,0.000,0.000,0,0.000,0.000,0.000,8,-0.879,0.000,0.000
57,38,-2.979,0.000,0.000,24,-3.303,2.000,3.368,10,-0.788,0.000,0.000,10,1.590,1.000,0.000,5,-0.284,0.000,0.000,4,-0.000,0.000,0.000,3,0.509,0.135,0.000,1,-0.353,0.000,0.000,2,0.000,0.000,0.000,1,0.841,0.000,0.000,4,-0.686,0.000,0.000,0,0.000,0.000,0.000,2,-1.605,0.000,1.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,12,-1.510,0.000,0.000
58,68,-6.889,2.000,2.000,18,-1.315,1.000,0.000,14,0.363,1.000,0.000,7,0.970,0.000,0.000,3,-0.142,0.000,0.000,20,-0.540,0.000,0.000,10,3.419,2.368,0.000,0,0.000,0.000,0.000,1,-0.000,0.000,0.000,2,1.094,1.000,0.000,3,-2.969,0.000,1.000,2,0.384,1.000,0.000,3,-0.000,0.000,0.000,0,0.000,0.000,0.000,2,-0.284,0.000,0.000,11,-1.679,0.000,0.000
59,151,2.446,8.443,7.103,51,-9.585,2.406,6.203,30,-5.484,1.000,2.118,17,-2.844,3.104,5.002,9,-2.120,0.000,2.000,18,0.671,1.000,0.000,18,2.012,2.889,1.202,6,1.576,1.000,0.000,0,0.000,0.000,0.000,6,-1.668,0.000,1.018,6,-2.063,0.000,1.000,4,0.226,1.000,1.000,4,0.000,0.000,0.000,0,0.000,0.000,0.000,3,-2.838,0.000,2.000,12,-3.814,0.000,0.000
60,253,3.845,14.643,8.063,89,-8.698,4.504,9.188,44,0.961,2.008,1.135,36,2.621,5.050,2.368,21,2.157,0.503,0.000,20,1.573,1.000,0.000,21,-0.429,1.000,2.004,14,6.165,2.000,0.000,9,-0.142,0.000,0.000,11,1.668,1.000,0.018,12,-0.104,1.000,1.000,8,-0.048,0.000,0.000,4,-3.058,0.000,1.000,3,-2.791,0.000,1.000,13,0.185,2.000,2.000,11,-1.863,0.000,0.000
61,301,13.888,16.299,11.392,153,-4.272,10.434,8.053,56,-4.270,2.007,1.736,68,-3.470,1.009,4.000,16,-2.103,1.000,1.000,34,-0.196,2.000,2.000,31,11.142,5.008,2.202,16,2.329,2.000,0.000,13,-0.717,0.000,1.000,7,-2.291,0.135,1.000,12,1.074,1.000,0.000,15,0.702,1.000,0.000,8,-2.870,0.000,1.000,0,0.000,0.000,0.000,28,-1.902,1.736,3.000,10,-1.392,0.000,0.000
62,332,6.990,27.438,11.426,236,12.939,21.698,12.558,59,5.250,7.368,2.908,84,8.763,9.611,3.418,22,-3.036,1.000,1.000,43,3.466,3.000,1.368,39,2.973,5.370,4.000,21,7.022,5.000,1.000,21,-1.591,0.000,1.000,8,0.777,0.000,0.135,20,-3.005,1.000,2.000,22,5.476,6.000,2.000,22,-0.787,1.000,1.000,10,1.133,1.000,0.000,15,1.125,2.000,1.000,8,-2.418,0.000,0.000
63,373,13.989,26.182,13.288,263,-1.032,27.642,27.873,74,2.987,5.156,3.055,86,0.444,7.664,5.922,54,4.675,4.000,1.000,55,0.565,1.736,1.000,42,5.864,5.000,2.001,21,-0.419,3.050,1.000,16,-0.828,1.000,2.000,17,-0.771,1.037,1.000,13,-3.155,0.000,0.001,21,3.207,1.271,0.007,8,-0.207,1.000,1.000,14,2.883,1.000,0.000,32,7.148,8.271,3.001,19,-3.385,0.000,0.000
64,376,13.008,27.897,13.090,264,-6.169,17.759,19.464,102,13.840,9.738,2.154,85,5.006,7.066,3.022,30,-1.422,1.368,3.000,44,6.876,5.000,0.368,48,-0.871,0.368,2.206,41,4.011,3.368,1.007,26,-0.118,1.000,1.000,15,-1.215,2.135,3.000,14,2.687,1.027,0.000,31,-2.711,1.135,3.503,13,2.247,1.000,0.000,22,4.993,3.000,0.000,31,2.795,2.000,2.002,18,-3.189,1.000,0.000
65,360,2.747,27.942,19.058,285,1.205,21.391,21.141,105,15.159,10.641,3.050,87,3.343,4.757,3.508,22,1.218,2.000,0.000,42,3.141,2.000,0.135,38,3.746,4.271,1.055,47,12.527,9.050,3.000,15,1.814,1.000,0.000,23,2.772,2.000,0.000,8,-1.095,0.000,0.670,36,-0.346,3.503,2.503,2,-0.142,0.000,0.000,14,2.141,1.000,0.000,18,4.024,4.100,0.135,10,-3.742,0.000,0.000
66,348,-11.745,20.518,21.366,290,-3.041,24.578,21.518,89,-4.826,3.890,5.000,86,1.455,9.135,9.000,34,2.874,2.000,1.000,35,0.125,1.368,0.000,32,1.628,2.000,1.000,38,10.843,4.467,0.000,17,1.756,3.000,1.000,21,1.422,0.000,1.000,7,0.449,0.004,0.000,36,5.947,5.018,1.000,4,-0.000,0.000,0.000,20,3.419,1.000,0.000,9,0.059,1.000,0.002,15,-3.296,1.000,0.000
67,363,5.567,24.902,12.822,274,0.178,18.120,14.760,107,12.365,8.664,2.071,80,-1.555,5.738,4.872,59,9.560,7.000,0.000,49,2.809,3.000,1.135,44,-1.777,4.000,5.000,22,-0.417,1.000,2.368,20,-0.558,0.000,1.000,27,2.585,0.050,1.000,4,-1.578,0.000,0.000,26,2.057,2.000,1.000,6,-1.559,1.000,1.000,18,4.094,2.000,0.000,14,7.130,3.000,2.000,8,-2.899,0.000,0.000
68,354,26.970,21.739,8.305,296,-25.555,16.775,26.484,114,2.444,8.640,6.001,80,8.230,8.160,5.002,42,-1.299,4.472,3.368,49,-3.363,0.368,2.135,56,4.012,5.001,2.027,27,2.095,3.000,0.007,36,1.078,2.000,1.000,34,-2.821,1.000,3.375,10,2.766,1.000,1.000,28,2.677,4.002,2.368,6,-0.056,0.000,0.000,12,0.568,0.000,0.000,14,-1.319,2.000,3.000,11,-4.040,0.000,1.000
69,346,6.562,22.406,16.024,275,-0.313,20.150,17.387,137,4.332,11.610,8.368,113,12.430,13.393,4.698,60,14.023,6.368,0.000,58,3.904,3.000,1.000,52,7.073,5.032,0.000,39,1.336,4.000,1.000,32,1.140,2.000,1.000,44,7.929,3.368,0.786,22,-1.027,1.000,1.000,27,0.850,3.000,1.000,8,-2.987,0.000,2.000,18,-1.165,0.000,1.000,10,3.383,3.000,1.002,6,-1.391,0.000,0.000
70,284,9.766,21.786,12.661,270,17.526,29.482,15.498,161,10.471,14.553,8.340,161,27.978,18.753,7.745,135,6.479,13.386,3.000,48,-4.471,4.000,6.135,45,-1.157,4.368,4.623,35,4.415,5.185,3.000,43,-1.132,1.000,2.000,48,-3.949,1.000,3.013,14,-0.170,0.000,0.001,20,6.530,3.000,0.000,5,1.104,1.000,0.000,16,4.623,2.000,0.000,9,3.160,3.000,1.000,12,-4.153,0.000,0.000
71,283,20.831,23.793,12.923,301,0.522,22.026,18.759,149,-0.192,11.508,10.161,231,27.363,38.210,15.691,241,29.612,30.503,6.368,49,4.433,3.368,2.000,65,-5.858,2.002,2.129,46,10.967,10.135,3.001,31,3.621,2.000,1.000,36,-4.752,3.000,4.000,26,2.896,4.549,2.671,17,0.195,1.370,1.368,9,0.192,0.000,0.000,20,4.605,1.000,0.000,13,0.993,3.000,1.000,14,-5.595,0.000,0.000
72,245,22.407,23.018,11.401,269,6.173,16.639,14.112,148,0.636,7.369,7.368,226,28.948,32.762,17.154,190,-7.197,22.018,13.000,35,-1.059,1.368,2.000,77,0.299,3.135,1.576,46,5.402,9.467,3.368,46,-0.426,0.000,0.000,44,7.788,6.000,4.000,23,-0.830,1.000,2.670,16,-5.410,1.000,3.135,3,0.000,0.000,0.000,35,2.967,1.000,0.000,15,-3.416,0.000,1.368,15,-1.507,1.000,0.000
73,236,-8.991,13.264,10.291,322,-7.984,21.349,24.253,171,6.164,16.021,9.112,224,14.180,28.836,15.135,211,25.125,35.314,16.104,56,9.703,7.000,1.000,82,-8.125,5.473,6.751,26,-2.132,3.000,3.736,40,0.894,1.000,1.000,47,1.066,2.436,3.018,22,-3.673,0.000,1.587,19,-1.339,0.000,2.000,8,-2.980,0.000,1.000,18,2.914,1.000,0.000,16,2.696,2.000,2.135,15,-4.474,0.000,0.000
74,240,10.995,22.122,7.747,306,-13.841,18.296,20.813,188,-5.726,17.007,17.813,169,18.580,29.309,16.377,101,5.092,12.123,6.000,50,2.089,4.368,2.000,69,9.358,7.371,1.212,42,10.680,9.000,1.000,38,-2.025,0.000,1.000,41,2.659,2.368,2.000,45,-4.515,0.027,0.247,15,0.206,3.000,1.000,16,0.021,0.000,0.000,54,17.404,7.000,0.000,16,-1.761,2.000,3.368,11,-2.312,1.000,0.000
75,198,3.902,16.389,10.074,282,0.054,17.451,16.509,174,1.375,14.473,14.125,136,15.086,14.522,7.374,38,6.011,5.000,0.000,21,3.372,2.000,0.000,48,4.415,4.503,0.001,21,10.313,7.002,0.368,42,-2.015,1.000,1.000,22,2.560,2.000,0.000,41,4.220,4.004,0.917,15,5.575,3.000,1.000,39,1.765,1.000,0.000,30,7.594,2.000,0.000,14,-1.398,2.000,2.368,11,-2.187,0.000,0.000
76,177,-8.522,7.377,7.050,261,-8.116,19.195,16.824,124,16.999,12.439,4.577,109,13.395,13.739,7.368,39,0.100,3.000,2.000,17,3.383,3.000,1.000,29,-2.487,2.000,2.280,14,0.404,2.000,2.736,64,-0.141,1.000,2.000,14,-2.781,0.000,1.000,11,-0.464,0.004,0.000,13,-0.437,1.000,1.368,56,-0.014,1.000,1.602,31,8.767,3.000,0.000,9,-3.265,1.000,1.000,9,-2.910,0.000,0.000
77,133,-13.251,2.019,7.014,180,-2.532,9.978,10.273,80,1.766,5.272,6.019,64,-2.028,3.368,3.000,18,0.897,0.000,1.000,9,0.671,1.000,0.000,25,1.395,3.002,2.230,8,-2.685,0.000,1.000,31,1.857,0.000,0.000,11,1.001,0.000,0.000,27,-3.239,0.000,1.917,6,1.170,1.000,0.000,55,-2.393,0.000,1.301,34,-2.145,0.000,1.000,3,-0.442,0.000,0.000,11,-1.007,0.000,0.000
78,97,-10.698,1.387,1.000,94,-1.279,7.375,6.736,48,-3.001,0.368,1.000,37,-0.064,2.427,1.369,10,-1.316,0.000,1.000,7,1.257,1.000,0.000,9,-3.260,0.001,2.001,3,0.536,0.000,0.000,12,-1.172,0.000,0.000,1,-2.589,0.000,1.000,13,-3.922,0.000,1.247,10,-2.236,0.000,1.000,47,-2.392,1.000,3.000,14,1.491,1.000,0.000,2,-2.259,0.000,1.000,14,-3.145,0.000,0.000
79,74,-6.583,4.018,4.007,37,-3.322,2.007,2.375,22,0.302,0.000,0.000,21,-3.581,1.000,2.018,6,-0.284,0.000,0.000,0,0.000,0.000,0.000,9,-3.804,0.000,2.000,2,-0.194,0.000,0.000,5,0.000,0.000,0.000,4,0.000,0.000,0.000,9,1.589,1.000,0.001,6,-0.271,1.000,1.000,15,0.000,0.000,0.000,5,0.025,0.000,0.000,2,-0.284,0.000,0.000,14,-2.027,0.000,0.000
80,49,-6.143,0.135,2.001,25,-3.357,0.000,1.000,28,0.630,0.000,1.000,8,-1.130,0.000,1.000,1,-0.000,0.000,0.000,1,0.561,0.000,0.000,7,5.154,2.001,0.000,0,0.000,0.000,0.000,3,0.000,0.000,0.000,1,0.589,0.000,0.000,7,-0.636,0.000,0.000,5,-3.198,0.000,2.000,2,-0.142,0.000,0.000,0,0.000,0.000,0.000,1,-2.053,0.000,1.000,18,-6.412,0.000,1.000
81,66,-5.479,2.000,3.000,17,2.052,1.000,1.001,10,-0.228,0.000,0.000,9,1.777,1.135,0.002,5,-0.284,0.000,0.000,1,0.000,0.000,0.000,4,-0.459,0.000,0.000,0,0.000,0.000,0.000,1,-0.000,0.000,0.000,1,2.340,1.000,0.000,0,0.000,0.000,0.000,1,-0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,2,-0.284,0.000,0.000,17,-5.800,0.000,0.000
82,73,-5.390,0.000,1.000,27,-3.753,1.007,2.368,16,2.398,1.050,0.000,6,-4.567,0.000,2.000,6,-1.318,0.000,0.000,24,1.598,1.000,0.000,15,-0.214,0.000,0.000,2,0.078,0.000,0.000,0,0.000,0.000,0.000,4,-0.426,0.000,0.000,4,-2.092,0.000,1.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000,1,0.319,0.000,0.000,3,0.035,0.000,0.000,15,-5.336,0.000,0.000
83,161,7.936,11.397,3.419,61,-0.432,6.368,5.203,22,4.836,2.000,0.000,18,-1.122,0.000,1.368,8,-0.426,0.000,0.000,21,-0.317,0.000,1.000,24,2.500,5.503,3.000,8,0.063,0.002,0.000,4,-0.284,0.000,0.000,5,0.463,0.007,0.000,4,0.080,0.202,0.000,0,0.000,0.000,0.000,9,-0.142,0.000,0.000,0,0.000,0.000,0.000,9,0.466,0.000,0.002,11,-2.031,0.000,0.000
84,243,-2.269,10.260,11.033,84,-0.746,6.418,6.000,37,2.901,3.788,2.005,46,-2.176,2.369,2.050,20,-1.992,2.135,2.000,16,3.078,1.000,0.000,20,3.997,2.002,1.000,11,-3.020,0.000,1.368,4,-0.142,0.000,0.000,14,1.793,1.018,0.000,8,-0.534,0.000,0.000,2,-0.284,0.000,0.000,6,0.632,1.000,0.000,3,-0.142,0.000,0.000,10,2.311,1.000,0.000,11,-2.325,0.000,0.000
85,309,11.435,18.855,14.577,180,0.370,14.154,10.193,52,7.003,4.000,2.000,60,-5.888,3.001,6.271,17,4.542,3.000,0.368,42,0.311,2.736,1.000,22,0.887,2.000,2.202,15,-1.457,1.368,1.000,6,-1.168,0.000,0.000,13,3.238,1.106,0.135,12,0.784,1.000,0.000,15,1.776,1.018,0.000,2,1.676,1.000,0.000,7,1.565,0.000,0.000,24,-3.947,0.000,2.000,10,-3.318,0.000,0.000
86,287,8.657,21.286,15.754,207,-5.063,15.734,16.418,59,-3.361,4.742,5.368,69,-6.711,2.506,2.136,34,-0.913,1.736,0.000,67,-0.026,2.368,3.000,43,0.811,3.138,1.004,19,1.413,2.154,1.000,7,0.596,0.000,0.000,9,3.471,2.000,0.000,12,-0.754,0.000,0.000,15,-0.599,1.002,2.000,7,1.960,1.000,0.000,2,1.381,1.000,0.000,24,2.656,4.050,1.000,13,-3.942,0.000,0.000
87,343,-1.840,24.758,15.721,287,-7.220,14.812,18.765,63,-5.557,2.005,4.553,99,-7.012,3.691,7.791,39,-2.424,1.000,3.000,58,0.915,3.000,2.000,53,-0.582,6.052,4.007,37,14.979,10.050,0.000,9,-0.679,0.000,1.000,21,-0.191,1.007,0.406,9,-1.617,0.074,0.000,27,-1.850,0.021,1.000,6,1.065,1.000,0.000,2,1.481,1.000,0.000,26,1.778,1.000,0.002,10,-1.968,0.000,0.000
88,380,16.287,28.560,12.166,283,3.914,24.655,19.161,73,2.095,6.056,3.000,99,-2.877,10.156,9.504,42,5.434,3.000,1.000,32,5.846,5.368,2.000,50,-3.934,3.003,6.207,39,6.545,4.368,0.000,15,0.195,0.000,0.000,18,-1.685,0.000,2.000,11,0.367,0.000,0.000,30,-2.886,2.000,1.736,13,0.475,1.000,0.000,2,-0.000,0.000,0.000,32,1.503,1.135,2.000,14,-5.468,0.000,1.000
89,357,37.864,27.714,9.142,323,-16.701,23.712,25.716,93,3.545,7.424,6.000,99,-6.884,5.774,3.135,46,3.196,2.736,0.135,47,-0.102,2.000,2.000,51,5.814,6.004,2.754,57,10.804,9.503,2.000,25,0.532,0.000,0.000,16,4.021,3.000,0.149,12,-3.366,0.000,3.000,42,1.230,4.185,4.000,15,0.589,1.000,0.000,5,1.988,1.000,0.000,20,3.125,1.000,0.000,16,-2.316,0.000,0.000
90,358,15.803,25.425,10.938,306,-5.825,19.605,16.692,102,1.684,6.522,6.368,105,0.550,9.160,6.370,52,-0.131,3.000,3.000,29,-1.106,1.000,1.000,55,-2.009,4.135,3.000,35,2.093,4.000,2.000,23,-3.843,1.000,3.000,19,-1.067,2.000,1.000,13,-1.697,0.000,0.001,26,-1.028,1.386,1.736,20,-1.861,0.000,1.000,8,-1.960,0.000,1.000,9,5.813,4.000,0.000,13,-2.421,1.000,0.000
91,343,7.032,18.389,15.104,266,1.775,20.426,16.019,86,2.249,4.135,4.037,88,0.940,8.050,3.053,63,9.422,8.000,2.000,41,3.249,2.000,1.000,58,6.074,5.411,2.000,28,11.349,5.000,0.000,31,-7.135,0.000,3.000,31,4.959,2.368,0.000,18,-2.529,1.078,1.247,24,-2.629,0.368,2.000,23,0.660,2.000,1.000,12,1.640,1.000,0.000,5,-0.210,1.000,1.000,10,-3.916,0.000,0.000
92,352,4.912,24.006,14.793,318,-7.571,23.320,26.059,87,12.130,8.059,2.000,103,-4.253,6.506,8.000,63,1.925,8.000,4.000,47,7.513,5.000,0.000,47,-16.243,1.000,9.000,32,9.409,5.418,1.007,29,-4.607,1.000,3.000,32,0.664,3.050,2.375,20,1.659,3.202,1.000,31,-0.920,3.050,3.000,7,-0.575,0.000,0.000,11,2.727,1.000,0.000,9,1.153,3.000,2.000,15,-4.824,0.000,0.000
93,351,11.331,27.693,20.206,286,-3.981,21.425,20.162,105,0.795,6.002,5.240,114,14.786,14.277,3.556,75,1.332,6.418,3.000,42,3.146,4.000,2.000,48,-2.607,6.000,6.202,29,3.092,4.000,2.000,27,1.001,0.000,0.000,31,2.945,3.050,2.018,18,2.567,2.000,1.000,24,5.735,4.000,1.368,16,-1.222,0.000,1.000,12,0.909,1.000,0.000,11,-0.494,1.000,0.000,17,-4.811,1.000,0.000
94,314,-1.904,24.555,17.057,260,7.054,27.431,12.456,121,6.887,6.571,4.203,101,24.763,16.050,4.025,186,15.935,20.204,5.154,48,-1.626,3.000,5.000,43,-2.577,4.368,3.000,33,-0.274,1.368,3.000,21,0.309,0.000,0.000,43,-1.173,6.000,4.000,27,0.834,3.027,1.671,16,3.265,2.000,1.000,6,-0.284,0.000,0.000,16,-0.142,0.000,0.000,14,1.337,2.000,1.000,14,-1.766,1.000,0.000
95,297,17.163,19.923,11.468,263,5.254,22.382,11.050,146,24.860,17.267,3.370,188,31.455,22.527,9.370,302,19.892,28.375,9.436,53,5.057,4.000,1.000,74,8.464,11.003,4.549,40,-0.558,5.000,3.000,24,-2.617,0.000,1.000,51,1.325,4.007,4.000,16,-0.080,0.549,0.000,30,-0.161,1.289,0.368,9,1.577,1.000,0.000,17,7.101,3.000,0.000,13,5.735,4.000,0.368,10,-3.956,0.000,0.000
96,297,4.356,25.008,13.617,351,-14.667,21.533,27.569,154,-0.446,16.072,10.370,228,31.586,34.647,14.871,276,32.796,39.368,14.000,59,-7.420,2.368,4.000,70,16.102,13.142,3.014,50,4.881,9.153,4.000,34,0.527,2.000,1.000,41,1.970,2.368,2.000,19,1.979,1.000,0.000,19,-0.301,1.271,0.000,15,-2.657,0.000,2.000,37,0.841,0.000,0.000,12,4.988,3.000,0.000,14,2.166,2.000,0.000
97,290,11.551,16.518,9.018,332,-28.046,14.790,23.423,168,14.917,14.419,7.188,189,22.657,28.527,12.162,216,13.618,29.702,8.571,60,2.912,7.000,4.000,81,-0.267,5.368,2.160,38,2.132,2.104,1.007,26,0.000,0.000,0.000,48,-3.194,5.000,4.000,28,-1.645,1.000,1.672,17,0.360,0.736,1.000,14,4.911,3.000,0.000,37,0.859,1.000,1.000,12,3.138,1.000,0.000,16,-3.749,0.000,0.000
98,308,6.361,19.007,11.032,375,-27.985,26.097,28.785,222,3.801,18.527,13.054,179,25.643,27.143,13.014,189,0.557,19.374,16.922,49,0.257,4.368,2.000,71,-0.576,2.003,3.604,40,3.776,6.000,1.000,89,-7.348,0.000,3.000,68,7.583,4.375,1.000,38,-3.933,2.000,3.000,14,-1.869,2.000,2.000,38,0.228,1.000,1.000,29,7.819,4.000,0.000,14,4.394,3.000,0.000,13,-3.284,0.000,0.000
99,259,-1.560,9.812,10.000,337,-12.157,17.025,20.398,159,5.569,16.136,10.751,155,4.273,15.021,11.782,123,14.790,14.878,8.185,22,2.095,2.368,1.000,58,-8.990,0.693,5.580,23,0.549,1.135,1.000,74,-10.058,0.000,4.000,34,-0.652,1.000,2.000,34,7.284,4.202,2.000,10,-3.268,1.000,3.000,39,-0.394,0.000,0.000,19,2.226,1.000,1.000,13,-1.263,2.000,2.135,12,-2.623,0.000,0.000
100,209,12.605,13.503,3.142,270,-18.333,15.716,21.878,182,1.066,12.150,8.437,87,7.762,11.448,3.529,56,5.409,3.000,2.000,18,5.411,5.000,0.000,32,3.335,4.001,1.004,13,-2.572,0.000,1.000,49,-2.053,0.000,1.000,15,-1.978,1.000,2.000,32,-2.427,1.082,1.000,6,-2.852,0.000,1.000,80,-6.791,1.000,4.000,19,4.396,2.000,0.000,4,1.743,1.000,0.000,12,-2.562,0.000,0.000
101,148,2.101,5.622,3.555,177,5.129,14.549,7.534,109,12.982,10.789,3.000,73,4.946,6.241,4.890,24,3.134,1.050,0.000,10,2.532,2.000,0.000,26,4.556,2.005,0.014,5,-0.710,0.000,0.000,32,0.709,1.000,1.000,15,1.353,1.000,0.000,27,-6.094,0.027,2.341,8,3.968,3.000,1.000,58,-2.521,0.000,1.000,12,-0.661,0.000,1.000,5,4.136,3.000,0.000,12,-1.773,0.000,0.000
102,100,-7.818,4.002,6.050,98,-5.959,6.386,8.871,63,2.946,5.005,3.370,33,-4.341,2.000,4.000,12,-0.240,0.368,0.000,5,-0.142,0.000,0.000,26,-0.478,0.002,0.030,3,-0.426,0.000,0.000,29,-4.841,0.000,2.000,8,-0.192,0.000,0.000,9,1.677,2.000,0.918,9,-4.429,0.018,1.000,29,-0.142,0.000,0.000,10,-0.142,0.000,0.000,2,1.200,1.000,0.000,15,-3.242,0.000,0.000
103,68,0.173,1.000,0.000,59,-2.556,3.443,3.135,33,0.164,2.000,1.375,17,-6.614,0.368,2.000,8,0.927,0.000,0.000,0,0.000,0.000,0.000,16,-1.215,1.000,2.202,4,1.268,1.000,0.000,18,0.000,0.000,0.000,4,0.000,0.000,0.000,2,-2.411,0.202,1.000,11,-0.709,0.000,1.000,15,-2.891,0.000,1.000,0,0.000,0.000,0.000,1,-1.254,0.000,1.000,16,-3.430,0.000,0.000
104,65,-3.422,1.018,0.057,25,-3.709,2.000,2.000,17,-3.449,0.008,2.018,7,1.522,1.000,0.000,6,-2.042,0.000,1.000,3,0.000,0.000,0.000,3,0.127,0.000,0.000,2,-1.535,0.368,1.000,2,-0.000,0.000,0.000,1,0.000,0.000,0.000,4,1.210,1.000,0.000,4,-0.788,0.000,0.135,0,0.000,0.000,0.000,3,0.561,0.000,0.000,1,-1.417,0.000,1.000,5,-1.339,0.000,0.000
105,58,-3.823,0.135,1.050,12,0.169,1.000,1.000,15,-0.744,0.050,0.000,6,-2.021,0.000,0.368,4,-0.000,0.000,0.000,1,1.960,1.000,0.000,8,-7.710,0.000,2.000,2,2.087,2.000,0.000,0,0.000,0.000,0.000,2,-1.073,0.000,0.000,1,1.015,1.000,0.000,0,0.000,0.000,0.000,4,-0.000,0.000,0.000,0,0.000,0.000,0.000,4,2.556,1.000,0.000,13,-3.571,0.000,0.000
106,76,-4.547,1.000,1.000,27,1.735,1.000,1.000,8,2.273,1.000,0.000,7,-0.360,0.000,0.000,4,1.193,1.000,0.000,16,-0.142,0.000,0.000,9,-2.203,1.000,1.549,6,2.084,1.000,0.000,1,-2.465,0.000,1.000,2,0.650,0.000,0.000,5,-0.877,0.000,0.000,2,0.138,0.000,0.000,3,-0.142,0.000,0.000,0,0.000,0.000,0.000,3,0.471,0.000,0.000,12,-3.969,0.000,0.000
107,158,-8.080,6.303,10.135,44,3.329,4.000,2.000,36,2.048,2.135,2.050,18,0.371,1.007,0.000,14,-0.981,0.003,1.000,19,-0.146,0.000,0.000,31,4.006,3.050,1.020,14,-0.168,1.050,0.000,1,0.000,0.000,0.000,1,-0.721,0.000,0.000,1,-0.142,0.000,0.000,5,-0.175,1.000,1.000,5,-0.032,0.000,0.000,1,-0.000,0.000,0.000,12,-0.590,0.000,0.001,12,-3.355,0.000,0.000
108,277,-0.578,13.292,13.211,98,-3.935,8.503,8.057,35,3.575,4.386,1.000,36,-4.052,3.000,4.000,19,-0.706,2.000,2.368,25,0.785,1.000,1.000,26,-0.577,3.068,1.000,10,0.241,1.050,0.000,12,-0.899,0.000,0.000,10,0.043,0.007,0.000,9,-1.499,0.000,0.000,7,-0.054,1.000,2.000,3,-0.142,0.000,0.000,0,0.000,0.000,0.000,24,7.553,4.368,1.001,12,-2.027,0.000,0.000
109,331,29.480,26.220,8.402,167,-7.881,8.087,14.001,60,2.298,3.396,1.000,56,-0.564,2.774,2.051,35,7.271,3.368,0.000,43,3.033,4.368,1.000,31,6.500,2.154,0.000,18,0.703,2.000,1.000,5,-0.000,0.000,0.000,14,-2.896,0.007,2.018,17,-1.157,2.000,2.000,10,1.309,2.002,2.000,3,0.756,0.000,0.000,3,-0.139,0.000,0.000,25,-2.519,3.000,4.000,8,-1.626,0.000,0.000
