,cluster7,,,,cluster14,,,
doy,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
103,15,-0.199,2.000,2.368,6,3.563,3.368,1.000
104,4,2.407,1.000,0.000,2,-0.306,0.000,0.000
105,8,-1.347,1.000,1.000,3,-3.133,0.000,2.000
106,8,4.037,2.000,0.000,3,1.190,1.000,0.000
107,8,-0.454,1.000,0.000,8,3.045,1.000,0.000
108,16,3.287,3.000,2.000,7,0.773,1.000,1.000
109,21,2.489,2.000,1.135,5,0.320,1.000,1.000
110,5,0.031,0.368,0.000,1,-0.142,0.000,0.000
111,12,5.074,4.368,0.000,5,2.538,0.000,0.000
112,24,-2.802,3.000,2.736,3,0.784,1.000,0.000
113,13,0.041,3.000,1.736,4,0.287,0.000,0.000
114,9,0.348,1.000,0.000,7,-0.486,0.000,0.000
115,17,4.341,3.368,0.000,17,1.251,1.368,1.000
116,26,4.808,3.368,2.000,8,0.483,1.000,1.000
117,7,-0.955,0.000,0.000,4,3.054,2.000,1.000
118,8,1.945,1.000,1.000,5,0.054,1.000,0.368
119,13,0.969,1.000,0.368,4,-3.605,0.000,2.000
120,9,1.573,1.000,0.000,6,-0.852,0.000,0.000
121,16,-1.346,1.000,2.000,5,0.180,1.000,1.000
122,15,-0.300,2.000,2.000,7,-0.042,1.000,0.368
123,15,-2.713,1.000,2.000,4,3.905,2.000,0.000
124,8,-1.327,0.000,0.000,4,-0.345,1.000,1.000
125,8,-0.065,1.368,0.000,1,-1.200,0.000,1.000
126,8,-1.158,0.000,0.000,4,1.256,1.000,0.000
127,7,-1.468,0.000,0.000,0,0.000,0.000,0.000
128,4,-0.017,0.000,0.000,6,-0.488,0.000,0.000
129,11,-1.297,1.000,1.000,5,-2.301,0.000,1.000
130,17,3.023,3.000,1.000,5,1.750,1.000,0.000
131,9,0.497,1.000,0.000,2,1.232,1.000,0.000
132,7,2.553,1.000,0.000,0,0.000,0.000,0.000
133,5,0.809,0.000,0.000,0,0.000,0.000,0.000
134,8,0.718,0.000,0.000,3,-1.790,1.000,1.000
135,6,0.611,0.368,0.000,4,1.888,1.000,0.000
136,9,-1.907,1.000,1.368,1,-0.142,0.000,0.000
137,24,2.581,4.000,1.000,5,5.240,4.000,1.000
138,24,-4.016,1.368,3.368,3,-0.884,0.000,1.000
139,7,1.793,1.000,0.000,3,0.298,0.000,0.000
140,5,2.316,1.000,0.000,2,-0.796,0.000,0.000
141,7,0.817,0.000,0.000,1,-0.142,0.000,0.000
142,14,2.558,2.000,0.000,6,1.062,1.000,0.000
143,22,0.826,2.000,3.000,8,2.844,2.000,0.000
144,20,3.161,3.000,0.000,7,3.034,2.368,0.000
145,22,5.260,5.018,0.000,11,3.351,3.000,1.000
146,12,-4.568,0.000,2.000,3,-0.426,0.000,0.000
147,3,-0.336,0.000,0.000,4,-0.938,0.000,0.002
148,1,-0.003,0.000,0.000,0,0.000,0.000,0.000
149,8,-3.704,0.000,1.000,2,0.298,0.000,0.000
150,7,1.336,2.000,0.736,3,-1.453,0.000,1.000
151,0,0.000,0.000,0.000,0,0.000,0.000,0.000
152,20,-4.065,2.000,4.000,10,0.323,1.000,1.000
153,21,2.218,4.000,3.000,4,0.333,1.000,1.000
154,12,-0.689,2.050,1.000,8,5.656,3.000,0.000
155,7,-4.325,0.000,3.000,6,-1.092,0.000,1.000
156,21,-2.308,3.000,3.000,8,2.634,2.000,1.000
157,20,6.352,7.000,3.000,8,-1.013,1.000,1.000
158,22,6.894,3.368,0.000,6,0.003,2.000,1.000
159,22,2.753,2.135,1.000,8,3.033,3.000,1.000
160,10,4.222,2.050,0.000,4,1.974,2.000,0.000
161,3,-0.068,0.000,0.000,1,-1.062,0.000,1.000
162,17,2.076,2.000,1.000,1,-0.142,0.000,0.000
163,7,0.419,0.000,0.007,1,-0.721,0.000,0.000
164,18,1.056,1.000,0.736,5,2.287,2.000,0.000
165,18,4.621,4.000,0.368,2,0.306,0.368,0.000
166,16,6.219,3.000,1.000,4,-0.824,0.000,0.000
167,12,3.985,3.000,1.386,2,-1.065,0.000,0.000
168,9,-1.898,0.050,1.000,1,-0.142,0.000,0.000
169,8,3.822,3.000,0.000,5,3.234,2.000,1.000
170,16,0.645,1.368,1.000,4,-3.144,0.000,2.000
171,20,8.959,5.000,0.000,6,-0.146,2.000,2.000
172,18,3.292,2.503,1.000,6,0.736,2.368,1.000
173,17,7.601,3.000,0.000,3,-5.537,0.000,2.000
174,12,-2.998,2.050,1.000,5,2.652,2.000,0.000
175,10,0.857,0.000,1.000,1,0.788,0.000,0.000
176,10,3.388,3.000,0.000,1,-1.286,0.000,1.000
177,15,4.378,2.000,0.000,2,-0.849,0.000,0.000
178,23,0.598,2.271,3.000,9,0.948,2.000,0.000
179,17,-1.879,2.000,3.000,12,1.721,2.000,1.000
180,18,4.752,4.000,0.000,4,1.195,1.000,0.002
181,6,1.729,1.000,0.000,5,2.182,1.000,0.000
182,13,2.289,1.000,0.000,5,-0.319,0.000,0.002
183,13,6.284,2.000,0.000,6,2.716,2.000,0.000
184,28,-2.843,2.000,2.000,2,1.332,1.000,0.000
185,21,1.428,1.000,1.000,11,8.709,4.000,0.000
186,35,-1.254,3.000,2.736,7,4.839,4.000,0.000
187,5,3.000,1.736,0.000,7,-4.244,0.000,2.000
188,12,4.405,3.000,1.000,2,1.207,1.000,0.000
189,11,5.063,3.135,0.000,5,-0.890,0.000,0.000
190,10,-0.909,2.000,2.000,4,-0.426,0.000,0.000
191,12,1.484,1.000,0.000,2,-0.700,0.000,0.000
192,25,0.025,6.368,5.000,6,2.644,2.000,0.000
193,26,3.571,3.000,1.000,9,-1.089,0.000,1.000
194,15,7.357,5.000,0.000,6,-1.233,1.000,1.000
195,7,-0.733,0.185,0.000,7,-2.787,0.000,1.000
196,8,5.137,3.000,0.000,20,2.282,2.000,2.001
197,7,1.561,1.000,0.000,14,6.195,4.368,0.001
198,11,-0.066,1.000,0.000,8,0.689,1.000,0.001
199,18,1.516,3.000,0.000,43,5.992,5.736,2.000
200,12,-0.231,1.000,1.000,17,2.613,5.000,1.000
201,14,0.074,1.000,1.000,15,-0.611,1.149,1.135
202,9,1.146,1.000,0.000,8,3.504,2.000,0.000
203,16,7.977,6.000,1.000,11,5.715,4.000,0.000
204,15,-3.124,0.000,0.368,5,1.110,0.000,0.000
205,12,2.968,3.000,1.000,15,1.625,3.000,1.001
206,23,12.682,7.000,0.000,8,3.212,2.000,0.000
207,17,0.392,2.000,2.000,3,-0.426,0.000,0.000
208,12,-0.025,0.000,1.000,4,1.366,1.000,0.000
209,4,2.035,1.000,0.000,8,-4.109,0.000,1.000
210,13,-1.818,1.000,2.000,1,-0.142,0.000,0.000
211,4,2.216,1.368,0.000,1,-1.655,0.000,1.000
212,16,4.283,4.018,0.000,5,3.273,2.000,0.000
213,11,-0.910,0.000,1.000,5,0.515,1.000,0.000
214,12,5.278,3.368,0.000,5,1.108,1.000,0.000
215,10,2.270,2.000,0.000,6,-0.852,0.000,0.000
216,8,3.377,2.000,0.000,4,1.367,0.000,0.000
217,12,7.818,5.000,1.000,16,-3.875,0.000,1.000
218,12,-0.094,2.135,2.000,4,-1.417,0.000,1.000
219,11,-1.134,3.000,2.375,6,1.685,1.000,0.000
220,10,0.512,0.018,0.368,6,-0.991,1.000,1.000
221,18,-1.292,1.368,1.000,4,-0.665,0.000,1.000
222,11,-1.718,0.000,1.000,4,1.581,1.100,0.000
223,2,1.485,1.000,0.000,8,-1.739,0.050,1.000
224,14,1.207,3.000,1.000,6,2.368,2.000,1.000
225,10,-1.492,0.018,1.000,9,-3.808,1.000,1.000
226,45,1.075,5.000,2.000,5,-3.715,0.000,2.000
227,5,0.561,1.000,0.000,5,2.304,1.000,0.000
228,0,0.000,0.000,0.000,0,0.000,0.000,0.000
229,0,0.000,0.000,0.000,0,0.000,0.000,0.000
230,0,0.000,0.000,0.000,0,0.000,0.000,0.000
231,0,0.000,0.000,0.000,0,0.000,0.000,0.000
232,0,0.000,0.000,0.000,0,0.000,0.000,0.000
233,9,0.689,1.000,0.000,3,-0.260,1.000,1.000
234,26,4.364,3.503,0.027,9,-3.104,0.000,1.135
235,5,-0.934,0.000,1.000,5,2.067,2.000,0.000
236,0,0.000,0.000,0.000,7,6.101,4.000,0.000
237,4,0.415,0.000,0.000,2,1.548,1.000,0.000
238,3,-1.044,0.000,1.000,3,0.167,1.000,0.000
239,5,2.930,2.000,0.000,3,0.604,0.000,0.000
240,14,0.296,1.000,0.000,10,2.257,2.000,0.000
241,12,0.364,1.000,0.000,31,5.366,4.000,0.000
242,46,8.983,6.135,1.014,23,11.207,8.000,0.000
243,0,0.000,0.000,0.000,0,0.000,0.000,0.000
244,24,-3.607,1.000,2.000,10,2.685,2.000,0.000
245,9,-1.809,0.050,0.000,10,1.250,2.000,1.000
246,26,0.672,2.135,1.000,49,7.756,4.000,2.000
247,30,-3.367,0.000,2.000,40,6.837,8.000,4.000
248,37,7.311,4.153,1.000,70,13.271,10.368,4.000
249,9,-0.565,0.000,1.000,24,3.559,2.000,0.000
250,3,-0.131,0.000,0.000,7,1.183,1.000,1.000
251,0,0.000,0.000,0.000,6,4.854,3.000,0.000
252,2,0.330,0.000,0.000,1,0.678,0.000,0.000
253,4,-1.201,1.000,1.000,2,-2.802,0.000,2.000
254,1,-0.142,0.000,0.000,1,0.976,0.000,0.000
