,cluster18,,,,cluster14,,,,cluster7,,,,cluster23,,,,cluster30,,,,cluster31,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
47,17,4.200,3,1,17,4.536,5,1,31,6.334,6,2,6,-3.015,0,1,8,-1.556,0,0,1,1.367,1,0
48,18,5.643,6,1,7,3.901,2,0,32,-0.908,3,3,12,-0.176,4,3,14,9.485,6,1,6,2.278,2,0
49,15,4.785,3,1,20,2.012,2,0,19,10.044,6,1,9,0.383,2,2,10,2.275,3,1,10,1.812,3,3
50,20,-3.433,0,1,12,1.082,3,2,27,0.988,4,4,13,-8.029,3,7,11,2.218,3,2,6,-1.289,1,2
51,7,1.417,1,0,16,1.799,3,3,19,-7.697,2,7,10,-5.045,2,5,18,-4.249,0,2,6,-4.858,0,2
52,5,2.351,1,0,15,0.031,1,0,13,6.142,6,1,12,-3.771,0,1,8,-0.728,1,2,6,2.269,1,0
53,4,3.138,2,0,0,0.000,0,0,6,-1.424,0,1,8,4.186,3,0,7,-7.334,0,4,3,-0.426,0,0
54,1,-0.142,0,0,3,-0.071,0,0,1,1.218,1,0,4,-2.056,0,1,1,1.079,1,0,5,0.383,1,0
55,1,-0.142,0,0,1,-0.142,0,0,3,1.939,1,0,5,-1.613,1,2,0,0.000,0,0,0,0.000,0,0
56,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,4,4.676,2,0,1,-1.605,0,1,0,0.000,0,0
57,1,-0.142,0,0,0,0.000,0,0,1,-0.959,0,0,2,-0.416,0,0,1,-0.199,0,0,0,0.000,0,0
58,2,0.952,1,0,2,-0.284,0,0,0,0.000,0,0,4,6.782,3,0,3,4.108,2,0,0,0.000,0,0
59,5,-1.488,0,0,3,-2.838,0,2,6,1.576,1,0,11,-6.530,0,2,9,5.815,3,0,1,-0.973,0,0
60,7,2.083,2,0,13,0.563,2,2,14,6.778,2,0,7,4.867,4,1,3,-1.019,0,0,3,0.773,0,0
61,6,-1.065,0,0,28,1.732,5,4,16,2.276,2,0,2,-2.291,0,1,2,-0.284,0,0,3,0.472,1,1
62,10,3.464,2,0,15,-3.617,3,4,21,6.330,5,1,6,-2.039,1,1,6,0.884,1,0,3,1.473,2,0
63,9,4.718,3,0,32,7.362,10,4,21,1.517,4,1,11,-2.572,1,2,2,1.534,1,0,3,-3.669,0,2
64,15,3.898,3,0,31,-5.108,2,5,41,3.554,4,2,3,3.096,2,0,3,0.493,0,0,2,1.924,1,0
65,13,5.351,1,0,18,6.964,7,1,47,17.221,11,3,2,-2.070,0,1,7,0.298,1,1,4,-1.481,0,1
66,6,-1.949,0,1,9,-1.507,1,1,38,9.713,7,1,6,1.722,0,0,11,-0.757,1,1,3,1.282,0,0
67,8,-1.076,0,0,14,7.040,3,2,22,-1.116,3,4,8,-4.139,1,3,3,-0.764,0,1,3,-2.141,0,1
68,9,1.177,1,0,14,-1.532,2,3,27,0.593,3,1,3,-1.705,0,1,6,-4.070,0,1,1,-0.142,0,0
69,5,0.841,0,0,10,2.164,3,2,39,3.823,5,1,2,-0.284,0,0,6,-4.700,0,2,4,-0.160,0,0
70,9,0.141,1,0,9,3.160,3,1,35,5.061,7,4,7,0.138,1,0,7,3.157,2,0,7,-1.619,0,1
71,13,-1.666,1,1,13,0.993,3,1,46,10.075,11,5,7,-1.159,1,2,3,-0.426,0,0,7,-1.578,0,2
72,16,-2.337,0,2,15,-5.682,0,2,46,0.786,12,6,5,-0.394,0,0,5,-0.349,1,2,1,-1.719,0,1
73,15,0.660,1,0,16,1.074,2,3,26,-4.451,3,5,10,-1.467,0,1,16,9.089,6,0,8,-4.767,1,2
74,14,0.500,2,0,16,-2.701,2,4,42,10.616,9,1,16,-5.842,1,5,11,-5.793,2,3,5,-2.658,2,2
75,13,-3.668,1,3,14,-2.671,2,3,21,11.618,8,1,15,-11.488,0,5,21,3.297,4,3,3,1.676,1,0
76,7,0.862,0,0,9,-3.265,1,1,14,0.197,3,4,16,-10.055,1,4,8,-1.637,0,2,14,-2.119,2,2
77,6,-1.215,0,1,3,-0.565,0,0,8,-2.685,0,1,14,3.873,3,1,3,-1.222,1,1,2,-0.284,0,0
78,3,0.909,1,0,2,-2.259,0,1,3,0.536,0,0,9,-2.341,2,3,3,0.493,1,0,0,0.000,0,0
79,2,-0.284,0,0,2,-0.284,0,0,2,-0.284,0,0,11,-4.507,0,2,2,-1.183,0,1,0,0.000,0,0
80,3,1.622,1,0,1,-2.053,0,1,0,0.000,0,0,3,1.005,1,0,0,0.000,0,0,2,1.902,1,0
81,0,0.000,0,0,2,-0.284,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
82,4,2.549,1,0,3,0.035,0,0,2,0.078,0,0,0,0.000,0,0,1,0.142,0,0,5,-3.748,0,1
