,cluster18,,,,cluster14,,,,cluster7,,,,cluster23,,,,cluster30,,,,cluster31,,,
date,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
2014-02-23,1,1.189,1.000,0.000,5,-1.708,0.000,1.000,11,1.279,2.000,1.000,9,3.082,1.000,0.000,0,0.000,0.000,0.000,2,-0.092,0.000,0.000
2014-02-24,0,0.000,0.000,0.000,4,-5.562,0.000,2.000,7,-0.050,1.000,0.000,13,-0.160,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-02-25,0,0.000,0.000,0.000,8,0.329,0.000,0.000,11,-3.811,0.000,3.018,6,-0.142,0.000,0.000,0,0.000,0.000,0.000,3,-1.238,1.000,1.368
2014-02-26,0,0.000,0.000,0.000,4,2.784,2.135,0.000,7,1.114,1.000,1.000,11,-0.160,1.000,1.000,0,0.000,0.000,0.000,6,-1.488,0.000,1.000
2014-02-27,0,0.000,0.000,0.000,2,0.472,0.000,0.000,17,2.735,3.104,1.000,5,0.000,0.000,0.000,0,0.000,0.000,0.000,1,-0.164,0.000,0.000
2014-02-28,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-01,0,0.000,0.000,0.000,3,3.267,1.000,0.000,10,-1.492,1.000,1.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,1,-0.142,0.000,0.000
2014-03-02,0,0.000,0.000,0.000,2,1.734,1.000,0.000,13,4.067,2.368,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,4,-0.087,0.000,0.000
2014-03-03,0,0.000,0.000,0.000,1,-0.142,0.000,0.000,5,-0.009,0.000,0.000,8,0.000,0.000,0.000,2,0.351,1.000,1.000,3,0.326,0.301,0.050
2014-03-04,0,0.000,0.000,0.000,5,2.287,1.000,0.000,2,-0.284,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,5,-0.383,0.000,0.000
2014-03-05,2,-0.284,0.000,0.000,5,2.003,1.000,0.000,4,0.617,0.000,0.000,2,1.189,1.000,0.000,0,0.000,0.000,0.000,7,-3.639,0.001,2.050
2014-03-06,0,0.000,0.000,0.000,3,1.396,1.000,0.000,8,2.500,1.000,0.000,6,-1.449,0.000,1.000,0,0.000,0.000,0.000,13,-1.642,1.000,2.207
2014-03-07,3,-1.524,0.000,1.000,0,0.000,0.000,0.000,8,2.264,3.000,2.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,11,-2.665,0.001,1.100
2014-03-08,0,0.000,0.000,0.000,2,1.594,1.000,0.000,19,0.026,5.000,3.000,2,0.000,0.000,0.000,1,-0.142,0.000,0.000,3,0.232,0.001,0.000
2014-03-09,0,0.000,0.000,0.000,4,2.311,1.000,0.000,13,0.701,2.503,2.000,3,0.000,0.000,0.000,0,0.000,0.000,0.000,2,-0.048,0.000,0.000
2014-03-10,0,0.000,0.000,0.000,4,-2.291,0.000,1.000,3,1.895,1.050,0.000,8,-0.142,0.000,0.000,0,0.000,0.000,0.000,8,-0.560,0.000,0.100
2014-03-11,0,0.000,0.000,0.000,4,0.823,0.000,0.000,4,0.866,1.000,0.000,3,-2.291,0.000,1.000,0,0.000,0.000,0.000,7,-0.284,0.000,0.000
2014-03-12,0,0.000,0.000,0.000,5,-2.526,0.000,2.000,1,-0.142,0.000,0.000,5,2.035,1.000,0.000,0,0.000,0.000,0.000,5,-3.301,0.000,1.418
2014-03-13,1,-0.142,0.000,0.000,4,2.208,2.000,0.000,10,-0.103,1.000,1.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,3,-0.006,0.000,0.000
2014-03-14,0,0.000,0.000,0.000,3,1.555,1.000,0.000,12,0.231,0.000,0.000,1,-0.000,0.000,0.000,0,0.000,0.000,0.000,6,-0.260,0.000,0.100
2014-03-15,0,0.000,0.000,0.000,5,1.037,1.000,0.000,11,-3.665,0.000,2.000,1,-0.000,0.000,0.000,0,0.000,0.000,0.000,1,-0.048,0.000,0.000
2014-03-16,0,0.000,0.000,0.000,3,0.937,1.000,0.000,15,6.135,3.368,0.000,6,0.000,0.000,0.000,0,0.000,0.000,0.000,9,-0.223,0.001,0.050
2014-03-17,0,0.000,0.000,0.000,2,1.882,1.000,0.000,7,1.934,0.000,0.000,6,-2.355,0.000,1.000,0,0.000,0.000,0.000,8,-0.317,0.000,0.100
2014-03-18,0,0.000,0.000,0.000,4,-0.686,0.000,1.000,4,-1.381,0.135,1.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000,3,-0.047,0.001,0.000
2014-03-19,0,0.000,0.000,0.000,5,0.606,0.000,0.000,7,-4.196,0.000,2.000,2,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-20,0,0.000,0.000,0.000,3,2.527,2.000,0.000,10,-2.482,0.000,1.000,9,0.518,0.000,0.000,0,0.000,0.000,0.000,2,-0.065,0.000,0.050
2014-03-21,0,0.000,0.000,0.000,2,-0.284,0.000,0.000,15,2.278,4.000,1.000,1,0.000,0.000,0.000,0,0.000,0.000,0.000,1,0.001,0.001,0.000
2014-03-22,1,0.525,0.000,0.000,5,-3.111,0.000,2.000,12,3.754,2.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,3,0.785,1.000,0.000
2014-03-23,4,-0.568,0.000,0.000,9,-1.655,1.000,1.000,6,1.218,1.000,0.000,4,-0.000,0.000,0.000,0,0.000,0.000,0.000,3,-0.046,0.000,0.000
2014-03-24,0,0.000,0.000,0.000,1,0.557,0.000,0.000,6,0.981,0.000,0.000,5,-0.142,0.000,0.000,0,0.000,0.000,0.000,8,0.427,0.303,0.000
2014-03-25,0,0.000,0.000,0.000,6,2.738,2.000,2.000,11,0.142,2.000,1.000,1,-0.000,0.000,0.000,0,0.000,0.000,0.000,5,-0.167,0.001,0.100
2014-03-26,0,0.000,0.000,0.000,4,-2.445,0.000,2.000,8,3.305,2.000,0.000,6,1.214,1.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-03-27,0,0.000,0.000,0.000,0,0.000,0.000,0.000,4,0.344,0.000,0.000,3,-0.142,0.000,0.000,0,0.000,0.000,0.000,4,-1.905,0.001,1.368
2014-03-28,0,0.000,0.000,0.000,4,-6.002,0.000,3.368,24,-0.276,2.104,2.000,11,0.000,0.000,0.000,0,0.000,0.000,0.000,4,-0.334,0.001,0.000
2014-03-29,1,-0.142,0.000,0.000,4,-3.407,0.000,2.000,15,2.251,4.000,1.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,1,-0.217,0.000,0.000
2014-03-30,0,0.000,0.000,0.000,4,-1.957,0.000,1.000,20,7.746,5.000,1.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,1,0.001,0.001,0.000
2014-03-31,1,-0.142,0.000,0.000,4,0.117,1.000,0.000,6,1.369,1.368,0.000,3,-1.719,0.000,1.000,0,0.000,0.000,0.000,1,0.000,0.000,0.000
2014-04-01,0,0.000,0.000,0.000,0,0.000,0.000,0.000,7,0.646,1.000,0.000,3,-0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-02,0,0.000,0.000,0.000,2,1.495,1.000,0.000,8,-0.550,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,2,-0.107,0.001,0.050
2014-04-03,1,1.023,1.000,0.000,4,-1.783,1.000,1.000,9,2.371,2.368,0.000,2,-0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-04,0,0.000,0.000,0.000,3,1.918,1.000,0.000,7,-0.918,1.000,1.000,7,0.000,0.000,0.000,0,0.000,0.000,0.000,1,0.000,0.000,0.000
2014-04-05,0,0.000,0.000,0.000,3,-0.057,0.000,0.000,12,-1.728,1.000,2.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,5,-0.432,0.000,0.000
2014-04-06,1,0.387,0.000,0.000,2,0.131,0.000,0.000,11,1.429,0.000,0.000,2,0.000,0.000,0.000,0,0.000,0.000,0.000,1,-0.093,0.000,0.050
2014-04-07,0,0.000,0.000,0.000,4,-1.541,0.000,1.000,4,1.601,1.000,0.000,6,0.000,0.000,0.000,0,0.000,0.000,0.000,4,-0.177,0.000,0.000
2014-04-08,0,0.000,0.000,0.000,2,0.611,0.000,0.000,4,0.195,0.000,0.000,5,0.000,0.000,0.000,0,0.000,0.000,0.000,7,0.348,0.000,0.736
2014-04-09,0,0.000,0.000,0.000,11,0.713,1.000,1.104,5,0.871,1.000,0.000,9,-1.062,0.000,1.000,0,0.000,0.000,0.000,3,-0.104,0.000,0.000
2014-04-10,0,0.000,0.000,0.000,3,0.774,0.000,0.002,5,-1.722,0.000,1.000,7,-0.142,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-11,1,-0.142,0.000,0.000,5,-0.693,0.000,1.000,5,4.385,3.000,0.000,7,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-12,2,0.952,1.000,0.000,6,0.115,0.368,1.000,22,-3.898,3.000,3.406,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-13,0,0.000,0.000,0.000,6,3.563,3.368,1.000,13,-0.057,2.000,2.368,2,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-14,0,0.000,0.000,0.000,2,-0.306,0.000,0.000,4,2.407,1.000,0.000,5,-0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-15,0,0.000,0.000,0.000,2,-2.991,0.000,2.000,8,-1.347,1.000,1.000,1,-0.000,0.000,0.000,0,0.000,0.000,0.000,2,-0.104,0.000,0.000
2014-04-16,1,-0.142,0.000,0.000,2,-0.284,0.000,0.000,8,4.037,2.000,0.000,15,0.000,0.000,0.000,0,0.000,0.000,0.000,7,1.806,2.000,0.000
2014-04-17,0,0.000,0.000,0.000,8,3.045,1.000,0.000,8,-0.454,1.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,2,0.320,0.000,0.000
2014-04-18,0,0.000,0.000,0.000,6,-0.498,0.000,1.000,15,2.311,3.000,2.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,1,0.492,0.301,0.000
2014-04-19,0,0.000,0.000,0.000,3,2.042,1.000,0.000,21,2.489,2.000,1.135,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
