,cluster18,,,,cluster14,,,,cluster7,,,,cluster23,,,,cluster30,,,,cluster31,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
34,2,-0.284,0.000,0.000,4,1.656,2.000,0.368,3,1.743,1.000,0.000,1,-0.000,0.000,0.000,2,-2.195,0.000,1.000,0,0.000,0.000,0.000
35,4,-1.083,0.000,0.000,6,2.432,2.000,0.000,5,-2.248,0.000,1.000,8,-1.495,0.000,1.000,3,0.000,0.000,0.000,3,-1.507,0.000,1.000
36,6,4.878,3.000,1.000,5,0.451,0.000,0.000,13,2.590,1.100,1.000,2,0.000,0.000,0.000,2,-1.300,0.000,1.000,10,-2.561,0.301,2.000
37,12,5.763,4.135,0.000,10,2.962,1.000,0.000,16,0.099,1.050,0.000,5,-2.003,0.000,1.000,10,-3.033,0.000,2.000,2,-1.261,0.000,1.000
38,6,1.754,1.000,0.000,10,2.172,1.000,0.000,16,5.517,3.000,0.000,6,-0.000,0.000,0.000,14,0.330,0.000,0.000,3,-0.148,0.001,0.000
39,8,0.618,1.000,0.000,10,5.464,2.000,0.000,22,1.459,1.000,0.000,7,-1.197,0.000,1.000,14,0.000,0.000,0.000,3,-0.411,0.001,0.000
40,12,0.252,1.000,1.000,20,-6.229,1.000,2.001,34,11.782,8.774,1.135,5,-0.284,0.000,0.000,11,1.349,1.000,0.000,5,-0.450,0.000,0.000
41,10,1.352,0.135,0.000,7,0.521,1.135,1.000,37,0.221,4.418,3.000,8,-1.361,1.000,1.000,15,-3.076,0.000,1.000,4,0.749,1.000,0.000
42,13,-1.219,0.000,1.000,9,2.930,2.000,0.000,29,-3.416,2.000,1.368,12,1.179,1.000,0.000,7,-1.474,0.000,1.000,2,-0.140,0.001,0.000
43,19,6.604,5.000,0.000,8,0.128,1.000,1.000,22,-1.392,1.000,1.000,20,-0.142,0.000,0.000,6,2.216,1.000,0.000,8,-5.350,0.000,2.000
44,10,1.735,1.000,1.000,6,3.991,2.000,0.000,30,5.726,4.135,2.000,22,1.928,1.000,0.000,6,0.608,1.000,1.000,1,-1.605,0.000,1.000
45,15,8.926,4.000,0.000,17,6.745,4.000,1.000,55,0.834,5.135,2.025,17,-0.813,1.000,1.000,11,-0.545,0.000,1.000,3,-2.774,0.000,1.000
46,10,2.146,1.368,0.000,5,1.395,1.000,0.000,33,5.722,4.000,0.405,17,-1.126,0.000,1.000,4,0.877,1.000,0.000,6,-0.998,0.301,0.368
47,17,2.726,2.000,1.000,17,2.893,3.418,1.000,31,4.337,4.135,1.368,6,-0.000,0.000,0.000,8,0.287,0.000,0.000,1,1.367,1.000,0.000
