date,non_n,4sq_n,inst_n,job_n
2014-08-08,4055,53,16,0
2014-08-09,4081,49,5,0
2014-08-10,4640,50,11,0
2014-08-11,4326,58,2,0
2014-08-12,4423,32,3,0
2014-08-13,3919,44,2,0
2014-08-14,3926,34,5,0
2014-08-15,116,2,0,0
2014-08-16,0,0,0,0
2014-08-17,0,0,0,0
2014-08-18,0,0,0,0
2014-08-19,0,0,0,0
2014-08-20,0,0,0,0
2014-08-21,717,17,3,0
2014-08-22,3330,24,9,0
2014-08-23,0,0,0,0
2014-08-24,0,0,0,0
2014-08-25,0,0,0,0
2014-08-26,0,0,0,0
2014-08-27,402,4,0,0
2014-08-28,3861,27,5,0
2014-08-29,3860,44,7,0
2014-08-30,4771,87,7,0
2014-08-31,3649,44,10,0
2014-09-01,3481,33,6,0
2014-09-02,3461,32,0,0
2014-09-03,3854,35,8,0
2014-09-04,3622,21,5,0
2014-09-05,2467,30,3,0
2014-09-06,0,0,0,0
2014-09-07,0,0,0,0
2014-09-08,0,0,0,0
2014-09-09,0,0,0,0
2014-09-10,0,0,0,0
2014-09-11,0,0,0,0
2014-09-12,0,0,0,0
2014-09-13,0,0,0,0
2014-09-14,0,0,0,0
2014-09-15,0,0,0,0
2014-09-16,0,0,0,0
2014-09-17,0,0,0,0
2014-09-18,0,0,0,0
2014-09-19,0,0,0,0
2014-09-20,0,0,0,0
2014-09-21,0,0,0,0
2014-09-22,0,0,0,0
2014-09-23,0,0,0,0
2014-09-24,0,0,0,0
2014-09-25,0,0,0,0
2014-09-26,0,0,0,0
2014-09-27,0,0,0,0
2014-09-28,0,0,0,0
2014-09-29,149,3,1,0
2014-09-30,2611,29,2,0
2014-10-01,3109,42,1,0
2014-10-02,3381,32,3,0
2014-10-03,2693,33,4,0
2014-10-04,2586,42,11,0
2014-10-05,2992,52,6,0
2014-10-06,2443,27,3,0
2014-10-07,2410,31,2,0
2014-10-08,2512,20,0,0
2014-10-09,2871,27,1,0
2014-10-10,2901,36,5,0
2014-10-11,2302,61,11,0
2014-10-12,2736,46,11,0
2014-10-13,2496,27,8,0
2014-10-14,2414,36,2,0
2014-10-15,2334,23,2,0
2014-10-16,2729,28,9,0
2014-10-17,2718,28,3,0
2014-10-18,1549,24,2,0
2014-10-19,0,0,0,0
2014-10-20,796,9,4,0
2014-10-21,2793,25,5,0
2014-10-22,2328,24,7,0
2014-10-23,2358,41,4,0
2014-10-24,2623,35,5,0
2014-10-25,2793,52,15,0
2014-10-26,3316,47,12,0
2014-10-27,2271,13,2,0
2014-10-28,2642,47,4,0
2014-10-29,2345,29,2,0
2014-10-30,2399,30,19,0
2014-10-31,2616,27,4,0
2014-11-01,2810,33,9,0
2014-11-02,2727,29,8,0
2014-11-03,2827,19,12,0
2014-11-04,2097,35,2,0
2014-11-05,2569,21,12,0
2014-11-06,2432,30,1,0
2014-11-07,2123,26,1,0
2014-11-08,2574,51,3,0
2014-11-09,534,9,0,0
2014-11-10,1448,9,0,0
2014-11-11,2455,29,1,0
2014-11-12,2361,22,1,0
2014-11-13,2689,29,4,0
2014-11-14,2209,24,0,0
2014-11-15,2763,40,8,0
2014-11-16,2966,53,8,0
2014-11-17,2280,14,0,0
2014-11-18,2895,16,5,0
2014-11-19,1875,16,3,0
2014-11-20,274,8,0,0
2014-11-21,2768,21,0,0
2014-11-22,3386,51,2,0
2014-11-23,2611,24,3,0
2014-11-24,2849,14,1,0
2014-11-25,2947,13,2,0
2014-11-26,2288,19,1,0
2014-11-27,2558,13,2,0
2014-11-28,2003,20,11,0
2014-11-29,2608,47,6,0
2014-11-30,3005,23,6,0
2014-12-01,2332,18,6,0
2014-12-02,2382,15,3,0
2014-12-03,2743,21,3,0
2014-12-04,2379,26,2,0
2014-12-05,2580,29,1,0
2014-12-06,3062,50,11,0
2014-12-07,3603,35,4,0
2014-12-08,2708,22,1,0
2014-12-09,3000,24,2,0
2014-12-10,2854,14,6,0
2014-12-11,2529,21,0,0
2014-12-12,145,2,0,0
2014-12-13,1089,3,3,0
2014-12-14,3060,21,6,0
2014-12-15,2715,19,1,0
2014-12-16,2644,24,0,0
2014-12-17,2479,18,2,0
2014-12-18,2568,20,6,0
2014-12-19,2525,29,8,0
2014-12-20,2619,41,6,0
2014-12-21,3483,39,1,0
2014-12-22,2150,16,6,0
2014-12-23,2413,16,6,0
2014-12-24,2668,17,1,0
2014-12-25,2474,11,4,0
2014-12-26,2118,27,11,0
2014-12-27,2418,34,14,0
2014-12-28,2543,32,10,0
2014-12-29,3061,23,2,0
2014-12-30,2056,16,0,0
2014-12-31,2158,25,3,0
2015-01-01,2987,33,2,0
2015-01-02,2723,31,6,0
2015-01-03,2984,30,5,0
2015-01-04,3985,37,8,0
2015-01-05,3139,14,0,0
2015-01-06,2400,20,0,0
2015-01-07,2165,25,3,0
2015-01-08,2639,21,0,0
2015-01-09,2255,11,2,0
2015-01-10,2515,37,9,0
2015-01-11,2674,26,1,0
2015-01-12,2303,13,1,0
2015-01-13,2489,31,6,0
2015-01-14,2435,23,4,0
2015-01-15,2418,26,3,0
2015-01-16,2151,23,0,0
2015-01-17,2213,24,8,0
2015-01-18,2857,31,2,0
2015-01-19,2255,22,4,0
2015-01-20,2142,29,0,0
2015-01-21,2742,19,1,0
2015-01-22,2147,27,0,0
2015-01-23,2059,24,0,0
2015-01-24,1984,36,5,0
2015-01-25,2059,53,11,0
2015-01-26,2329,12,6,0
2015-01-27,1934,20,5,0
2015-01-28,2035,29,7,0
2015-01-29,2043,21,1,0
2015-01-30,1998,38,6,0
2015-01-31,2247,50,0,0
2015-02-01,2492,33,7,0
2015-02-02,3843,24,0,0
