,cluster0,,cluster1,,cluster2,,cluster3,,cluster4,,cluster5,,cluster6,,cluster10,,cluster11,,cluster12,,cluster13,,cluster15,,cluster16,,cluster18,
doy,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n
56,114.248,70,106.812,67,51.970,32,58.109,31,6.041,5,7.946,3,14.144,10,26.393,16,17.060,11,1.190,1,3.582,2,17.638,10,14.406,7,4.515,3
57,127.278,86,132.311,86,49.982,31,36.451,21,12.964,10,10.838,4,17.038,11,6.759,4,10.332,6,2.910,2,6.953,5,0.000,0,4.512,2,4.636,3
58,157.288,103,138.736,85,42.118,22,52.006,38,5.706,5,1.594,1,39.788,26,8.593,6,1.519,1,6.830,4,1.955,1,8.164,6,4.176,4,12.154,8
59,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
60,110.802,71,198.530,114,33.693,22,76.253,46,4.583,3,13.619,7,22.822,15,13.219,8,13.510,6,12.404,8,5.344,3,6.006,4,17.563,9,20.606,13
61,82.862,51,144.644,92,20.510,10,43.504,27,10.241,7,14.371,10,11.640,7,23.839,12,20.790,10,4.447,3,6.929,4,5.951,3,4.473,3,1.333,1
62,188.314,95,228.922,137,1.169,1,51.650,30,6.363,4,10.152,6,8.401,6,18.018,11,52.119,30,2.180,1,1.676,1,2.456,2,0.000,0,5.356,5
63,82.975,55,97.039,66,5.687,3,41.565,23,8.843,5,4.722,4,19.809,11,21.867,12,14.764,10,0.000,0,9.840,5,8.897,5,0.000,0,7.550,6
64,109.777,69,123.644,76,3.010,2,34.462,23,9.922,7,0.000,0,14.425,10,4.182,3,9.412,5,4.858,3,5.026,4,12.617,7,0.000,0,8.425,6
65,55.800,32,152.745,96,6.269,5,55.949,38,1.780,1,5.874,4,37.769,22,5.513,4,3.686,3,8.037,6,6.648,5,10.210,6,0.000,0,7.064,4
66,89.677,62,127.213,73,17.875,10,72.075,46,15.504,9,10.621,7,68.040,42,6.156,4,4.275,4,4.875,3,10.532,6,0.000,0,2.388,2,4.443,3
67,128.629,82,51.414,34,18.099,10,74.673,48,11.827,9,13.287,7,54.535,37,2.560,2,22.960,13,4.965,3,9.216,5,11.619,8,24.438,13,7.989,5
68,99.794,54,26.060,20,54.758,33,49.075,33,14.120,9,37.900,19,43.692,28,3.582,2,1.351,1,6.815,5,11.859,7,11.260,6,27.511,15,10.308,6
69,126.327,79,18.865,14,77.942,45,47.164,29,14.586,6,12.925,7,23.469,15,0.000,0,15.060,9,7.560,4,3.515,3,16.535,10,0.000,0,0.000,0
70,112.953,74,26.930,19,101.909,62,57.184,35,9.762,6,1.326,1,10.713,6,2.330,2,3.940,3,7.292,5,3.135,2,16.590,9,6.420,4,5.234,2
71,155.237,91,26.957,15,116.102,70,68.345,37,8.729,5,24.688,16,26.997,19,0.000,0,5.812,4,9.133,7,9.180,5,7.444,4,0.000,0,0.000,0
72,178.753,114,43.269,29,135.655,71,48.936,29,21.457,15,5.834,4,19.671,14,0.000,0,12.490,8,4.561,3,6.827,4,6.496,5,6.822,6,6.085,5
73,254.109,159,88.217,57,365.642,226,183.239,104,36.058,23,17.206,11,12.876,8,1.108,1,48.082,29,21.474,13,35.522,19,5.653,5,8.072,6,13.367,7
74,363.538,237,217.961,142,266.612,157,298.296,177,41.544,28,35.309,20,28.136,18,12.686,10,26.881,19,35.182,16,59.687,38,14.580,10,22.531,14,22.654,15
75,169.682,103,166.762,110,144.425,90,54.480,35,11.046,7,33.938,21,37.668,26,4.293,3,7.803,6,11.743,9,11.479,7,6.357,5,5.481,3,7.786,5
76,164.418,103,205.550,136,122.461,69,45.809,29,10.022,6,4.968,4,7.968,5,6.056,4,19.138,14,14.218,9,7.021,6,3.874,3,14.872,8,6.369,4
77,141.937,94,163.136,101,161.573,96,97.120,60,13.202,9,26.420,15,23.692,16,13.766,9,16.014,9,5.802,3,6.084,3,5.044,3,4.857,3,15.174,10
78,120.703,75,153.199,99,106.759,67,25.494,17,12.807,10,5.838,4,6.583,5,1.362,1,5.696,4,1.880,1,5.316,3,4.146,3,6.381,3,5.856,3
79,167.344,107,265.478,155,79.994,53,58.416,38,1.122,1,10.155,7,11.696,9,17.399,9,3.320,2,10.923,6,6.746,4,10.460,7,4.161,3,1.341,1
80,157.825,102,241.353,148,124.940,83,55.406,37,14.445,11,12.525,8,18.925,11,19.746,14,24.469,12,8.461,6,4.104,3,18.194,12,3.374,3,16.245,9
81,307.809,172,284.305,168,205.074,124,98.398,62,5.362,4,10.914,8,34.422,24,8.229,5,38.897,22,9.559,7,18.636,11,4.840,3,8.324,5,9.144,6
82,139.466,88,185.327,117,129.786,77,64.947,37,9.795,8,17.005,9,21.534,15,21.283,11,6.413,4,14.003,9,3.660,2,5.226,4,6.302,5,7.720,4
83,85.986,52,115.445,73,43.532,23,22.995,14,0.000,0,22.222,14,2.427,1,12.673,7,7.699,4,0.000,0,1.691,1,1.945,1,0.000,0,3.682,2
84,271.281,165,265.365,162,153.152,98,56.035,33,7.223,6,8.022,7,37.822,26,33.742,23,21.761,14,5.630,4,9.995,4,10.340,8,0.000,0,9.087,4
85,280.538,175,223.683,143,135.699,82,49.329,35,13.586,8,18.055,12,21.291,14,9.889,8,21.416,15,6.906,5,0.000,0,4.323,3,10.771,8,5.462,4
86,118.565,74,200.758,127,98.115,60,59.947,34,19.259,12,3.024,2,29.683,19,1.462,1,42.125,25,10.214,7,7.791,7,15.537,9,0.000,0,8.559,6
87,205.283,126,174.480,105,116.631,76,63.463,39,13.114,8,23.918,16,50.265,27,2.988,2,6.770,3,12.125,7,11.363,7,10.673,8,3.207,3,13.648,9
88,95.000,68,211.731,127,34.419,21,97.362,61,19.630,11,14.922,9,47.651,32,5.452,4,4.919,3,7.697,4,2.267,2,7.113,6,17.867,10,3.138,2
89,54.899,36,96.723,56,81.452,48,47.159,32,8.870,6,0.000,0,38.558,24,11.724,4,10.642,6,1.248,1,0.000,0,10.896,6,4.482,3,11.713,7
90,125.822,73,165.073,111,97.480,58,25.751,15,155.470,95,34.058,22,13.590,9,12.040,6,6.156,5,2.713,1,2.906,2,6.459,4,0.000,0,9.192,5
91,82.694,57,149.794,86,66.047,39,25.665,17,4.250,3,0.000,0,7.185,4,9.208,6,5.985,4,2.648,2,1.373,1,3.435,3,8.156,4,8.484,5
92,125.096,71,98.583,60,60.552,41,20.977,11,25.626,16,11.381,6,16.383,12,17.673,8,7.968,4,1.130,1,2.595,2,5.362,4,0.000,0,8.389,5
93,96.248,62,153.923,91,46.161,31,50.651,30,113.051,63,3.968,2,34.957,24,5.852,4,7.964,6,2.334,2,3.482,2,4.432,4,0.000,0,8.477,7
94,72.268,44,112.501,70,20.708,12,36.433,25,23.943,14,4.751,3,4.316,4,7.300,4,5.598,3,6.252,5,3.804,2,6.312,4,2.316,2,11.094,5
95,44.850,30,102.023,55,40.762,26,37.533,25,93.494,58,5.633,4,29.754,22,0.000,0,11.953,6,9.727,4,2.603,2,9.852,6,5.662,2,14.146,8
96,103.500,58,159.433,89,49.282,30,24.041,17,96.695,60,7.968,6,33.909,22,7.269,3,10.320,6,0.000,0,4.546,2,5.362,4,17.052,6,2.766,2
97,96.252,55,157.478,98,59.037,39,27.536,19,6.736,4,7.463,5,16.837,10,7.487,5,2.159,2,0.000,0,3.195,3,4.004,2,1.012,1,0.000,0
98,143.850,92,161.945,93,77.284,45,31.508,21,5.874,5,7.735,6,20.223,13,18.488,14,1.912,1,7.843,5,4.515,3,2.116,2,35.779,20,19.843,14
99,141.392,90,161.931,104,73.139,45,63.362,39,14.206,10,10.323,6,24.833,14,13.544,7,4.129,3,3.557,2,4.576,2,1.684,1,5.345,4,8.106,5
100,88.293,54,134.657,85,146.018,91,62.742,41,0.000,0,10.979,7,9.862,8,9.780,6,4.504,3,2.624,2,6.405,4,7.978,6,12.524,6,8.050,5
101,67.449,47,111.329,67,45.690,29,37.188,25,7.214,5,20.910,14,29.550,20,12.711,9,3.832,3,5.795,3,1.905,1,10.728,7,11.204,8,13.838,9
102,48.407,28,118.451,78,76.328,49,45.318,28,15.881,9,12.308,7,51.957,32,72.118,38,7.225,5,12.331,7,10.118,5,0.000,0,0.000,0,1.326,1
103,70.683,44,159.608,91,78.848,45,37.811,25,50.730,28,22.956,17,11.943,5,18.205,11,10.091,6,2.409,2,11.889,7,1.358,1,5.661,4,2.588,2
104,81.233,53,124.319,80,50.455,31,24.926,15,17.029,10,13.882,7,12.392,8,9.867,5,7.492,6,1.119,1,4.182,3,8.094,7,3.195,3,0.000,0
105,56.469,36,124.324,83,51.440,30,14.110,8,33.514,19,9.263,5,7.471,5,6.234,3,5.987,3,0.000,0,0.000,0,0.000,0,0.000,0,11.072,9
106,96.784,61,145.854,88,113.816,72,21.584,16,18.858,12,0.000,0,14.397,9,5.609,3,7.314,4,0.000,0,7.983,5,4.955,3,5.190,2,4.098,3
107,101.631,63,115.702,74,117.346,64,28.880,16,20.126,12,6.941,4,3.263,2,11.482,8,0.000,0,5.477,3,8.318,4,1.148,1,0.000,0,17.062,9
108,140.227,86,140.883,84,7.343,4,29.629,19,112.101,70,10.231,7,46.420,28,15.443,11,11.268,7,10.199,6,4.697,3,1.998,1,3.999,3,7.058,4
109,63.315,35,95.006,57,132.094,86,34.477,21,120.850,78,4.386,4,38.698,24,15.200,6,7.685,5,5.687,4,5.443,3,1.044,1,10.643,5,1.065,1
110,67.976,42,128.992,73,119.528,75,37.688,21,130.915,82,9.337,4,8.386,6,29.554,17,10.050,7,9.001,7,3.206,2,4.379,3,11.875,5,7.939,5
111,141.434,89,171.670,102,95.708,63,31.610,20,97.755,63,14.977,9,20.695,15,11.918,8,2.448,2,13.511,8,0.000,0,1.126,1,0.000,0,5.233,3
112,208.231,127,205.983,123,123.889,70,24.140,15,87.462,51,5.770,5,51.642,32,10.282,7,6.591,3,8.590,7,10.682,7,17.595,9,6.627,5,13.072,8
113,118.355,79,113.329,70,128.600,83,30.898,20,41.412,26,5.315,4,22.926,13,9.127,6,4.175,3,1.326,1,0.000,0,1.308,1,6.283,5,3.096,2
114,119.284,78,84.485,55,39.663,24,31.799,18,31.587,22,8.902,5,19.026,12,17.974,8,6.953,3,4.293,3,0.000,0,8.805,6,7.520,4,3.817,3
115,152.836,93,132.345,76,100.473,62,112.410,67,18.077,12,11.973,8,24.128,17,16.647,9,10.711,9,9.716,7,10.881,7,5.109,3,6.104,4,7.997,5
116,167.830,111,172.495,119,125.549,82,87.305,58,23.338,14,19.710,12,47.732,27,20.037,12,11.992,6,13.236,8,7.086,5,8.053,5,8.900,5,19.676,11
117,137.969,87,72.020,48,123.596,74,86.945,50,30.258,18,9.652,6,21.305,13,12.069,7,10.288,5,8.894,6,10.624,6,3.874,2,33.570,24,10.383,8
118,79.456,47,41.372,27,51.215,29,28.606,18,4.329,3,7.497,5,8.253,6,6.920,4,2.216,2,3.889,3,3.624,3,3.736,2,0.000,0,4.024,2
119,71.990,50,17.786,14,21.474,14,20.995,13,19.903,10,5.548,4,12.801,9,4.018,2,2.388,2,6.999,5,2.602,2,0.000,0,4.590,3,0.000,0
120,67.155,48,12.759,10,32.425,23,43.812,27,11.717,7,5.169,4,17.472,12,23.496,11,5.619,3,10.935,8,2.764,2,9.035,7,0.000,0,0.000,0
121,87.522,56,47.291,29,25.956,18,40.212,26,7.117,4,17.334,12,36.592,24,1.802,1,0.000,0,8.354,4,3.978,3,6.031,4,0.000,0,7.007,4
122,106.872,70,32.356,19,93.253,56,58.279,36,29.307,19,14.336,11,32.851,24,17.453,13,0.000,0,1.194,1,3.310,2,0.000,0,14.700,12,3.657,2
123,83.208,55,30.427,18,116.463,73,54.275,30,78.144,51,23.483,12,41.556,26,11.200,8,9.618,5,6.260,4,9.866,6,11.726,6,4.790,3,10.822,6
124,97.531,62,32.193,19,75.503,49,46.972,33,74.884,43,12.427,6,35.284,17,9.710,6,5.868,5,3.893,2,5.573,4,13.258,9,8.614,6,4.282,2
125,105.798,63,24.992,14,106.868,63,31.226,18,16.497,11,2.974,2,7.285,5,0.000,0,1.480,1,4.415,2,2.252,1,2.810,2,1.655,1,0.000,0
126,61.791,39,35.195,22,15.221,9,18.212,12,38.756,27,15.561,11,16.837,13,6.108,5,6.706,4,1.044,1,2.860,2,3.118,2,2.260,2,1.294,1
127,57.627,41,21.851,13,8.947,6,25.979,17,78.970,45,12.762,6,3.285,2,9.404,6,1.044,1,21.988,9,2.882,2,3.518,2,0.000,0,1.019,1
128,52.179,36,30.879,21,44.687,26,20.305,13,3.403,3,2.952,2,10.044,7,9.750,7,1.619,1,2.921,2,5.305,4,6.183,5,0.000,0,5.954,4
129,61.471,37,28.698,16,157.901,101,44.003,24,36.908,23,11.935,9,40.257,21,3.052,2,1.630,1,3.857,2,0.000,0,1.480,1,16.609,10,8.379,5
130,57.235,38,18.250,11,42.563,30,19.324,11,69.920,48,20.547,15,19.642,14,5.048,4,7.736,5,15.589,10,6.906,4,8.744,7,11.731,8,6.505,5
131,61.252,35,25.188,16,24.034,15,38.821,26,78.182,46,22.192,15,8.472,5,2.496,2,10.828,6,6.352,4,13.109,7,5.498,4,22.829,15,12.504,6
132,62.471,41,21.329,16,31.117,20,40.106,23,77.796,48,5.973,4,6.868,5,4.886,3,4.060,2,5.327,4,1.727,1,3.238,2,8.954,6,1.301,1
133,95.449,57,25.303,18,93.702,60,18.921,12,14.679,10,1.480,1,20.831,7,4.412,4,4.465,3,1.262,1,0.000,0,6.913,4,11.350,9,14.770,7
134,58.868,38,39.118,25,51.683,33,33.369,21,6.791,5,14.431,9,2.578,2,1.680,1,3.320,2,2.362,2,1.044,1,3.971,3,6.789,3,12.142,7
135,96.129,58,24.197,15,3.238,3,27.665,17,8.336,6,10.316,8,23.186,15,0.000,0,13.100,7,6.857,4,3.428,2,6.259,4,3.424,2,0.000,0
136,71.168,42,35.195,22,2.885,2,31.500,18,10.600,8,10.875,8,15.871,11,2.446,2,3.232,2,7.671,5,8.668,3,4.054,2,0.000,0,0.000,0
137,75.252,46,47.456,28,29.056,19,25.824,18,11.058,9,12.932,7,54.540,36,18.404,12,0.000,0,11.096,6,11.518,6,14.238,10,0.000,0,6.940,6
138,75.540,50,51.782,26,10.796,7,38.825,24,8.143,6,7.483,6,29.919,20,126.432,73,4.893,3,7.643,5,4.211,3,25.608,16,0.000,0,6.559,4
139,59.693,41,22.838,14,13.198,8,50.921,33,11.200,8,13.784,9,15.329,9,3.782,2,0.000,0,1.122,1,0.000,0,3.146,2,0.000,0,4.347,3
140,61.975,41,45.290,25,8.972,4,25.387,18,45.427,30,21.405,13,5.565,4,8.522,6,4.462,3,3.375,3,4.919,2,11.633,5,8.194,6,7.697,5
141,82.008,49,42.635,27,9.364,6,24.275,16,58.840,36,7.174,5,7.050,5,17.398,10,5.651,3,2.427,2,1.680,1,7.747,7,0.000,0,2.950,2
142,88.670,56,46.015,30,4.825,3,24.236,17,70.572,46,25.418,17,18.461,12,0.000,0,0.000,0,0.000,0,6.760,5,10.709,7,7.987,5,9.748,7
143,65.365,41,32.873,24,9.092,5,32.471,21,214.126,130,17.614,12,27.366,18,5.361,3,2.273,1,7.740,4,24.395,15,0.000,0,3.539,3,9.425,6
144,119.665,72,31.835,23,1.044,1,48.740,32,204.034,132,16.747,7,41.979,24,2.130,2,5.043,3,7.834,6,17.274,11,4.966,3,9.188,6,17.893,11
145,134.109,82,35.755,22,0.000,0,43.507,26,157.374,106,14.773,8,37.616,25,3.338,2,4.954,3,4.898,3,29.663,18,4.046,2,9.672,8,0.000,0
146,98.734,55,18.846,12,0.000,0,35.642,24,54.677,33,17.540,9,4.498,4,2.882,2,1.612,1,6.748,6,1.895,1,4.448,3,6.434,5,2.778,2
147,52.031,34,18.002,12,1.573,1,10.898,6,3.928,3,13.833,7,10.994,6,0.000,0,3.292,2,1.355,1,0.000,0,0.000,0,0.000,0,0.000,0
148,74.830,49,27.273,18,21.566,12,18.300,11,20.092,14,3.710,2,6.608,6,0.000,0,4.611,2,6.856,3,0.000,0,12.146,6,7.808,4,3.957,3
149,104.491,64,42.525,26,7.720,5,4.922,3,2.391,2,5.326,2,7.944,6,0.000,0,0.000,0,5.783,4,0.000,0,2.077,1,14.262,6,15.526,8
150,93.877,54,64.982,36,10.210,5,36.731,25,13.092,9,13.823,8,17.711,11,0.000,0,0.000,0,5.723,4,0.000,0,2.230,2,0.000,0,2.946,2
151,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
152,83.216,52,53.387,32,6.649,5,49.411,29,9.858,7,35.269,24,37.965,21,4.382,2,2.742,1,7.311,4,6.241,4,16.773,12,19.722,11,3.371,2
153,92.889,59,47.990,26,14.802,8,28.748,19,2.810,2,58.277,41,20.424,13,9.471,5,6.819,3,2.706,2,1.119,1,1.208,1,0.000,0,6.813,5
154,61.458,42,49.811,32,5.608,3,28.658,14,17.204,10,15.032,8,9.944,7,0.000,0,0.000,0,5.585,4,17.502,12,24.009,15,0.000,0,0.000,0
155,131.274,87,53.371,38,6.814,6,25.722,17,13.207,10,29.910,21,10.648,7,6.106,4,1.487,1,9.073,7,3.600,2,0.000,0,10.284,3,9.069,7
