venue,user,year,doy,dow,hour,lon,lat,senti_val
A To Z Highand Park,AtoZcomm,2014,310,4,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,23,4,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,24,5,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,25,6,4,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,28,2,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,29,3,1,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,32,6,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,33,0,5,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,35,2,4,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,38,5,4,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,39,6,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,42,2,1,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,44,4,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,48,1,4,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,49,2,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,50,3,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,51,4,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,52,5,4,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,53,6,4,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,54,0,8,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,55,1,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,56,2,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,57,3,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,58,4,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,62,1,5,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,63,2,4,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,66,5,4,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,67,6,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,69,1,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,70,2,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,71,3,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,72,4,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,73,5,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,74,6,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,77,2,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,78,3,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,83,1,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,84,2,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,86,4,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,88,6,6,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,89,0,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,91,2,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,93,4,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,94,5,1,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,95,6,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,96,0,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,98,2,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,99,3,5,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,101,5,1,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,104,1,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,105,2,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,106,3,0,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,108,5,0,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2015,116,0,1,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,186,6,5,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,185,5,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,189,2,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,195,1,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,210,2,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,241,5,4,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,310,4,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,23,4,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,24,5,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,25,6,4,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,28,2,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,29,3,1,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,32,6,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,33,0,5,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,35,2,4,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,38,5,4,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,39,6,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,42,2,1,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,44,4,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,48,1,4,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,49,2,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,50,3,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,51,4,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,52,5,4,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,53,6,4,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,54,0,8,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,55,1,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,56,2,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,57,3,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,58,4,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,62,1,5,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,63,2,4,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,66,5,4,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,67,6,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,69,1,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,70,2,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,71,3,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,72,4,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,73,5,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,74,6,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,77,2,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,78,3,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,83,1,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,84,2,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,86,4,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,88,6,6,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,89,0,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,91,2,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,93,4,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,94,5,1,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,95,6,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,96,0,3,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,98,2,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,99,3,5,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,101,5,1,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,104,1,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,105,2,2,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,106,3,0,-79.9249,40.4730,0.000
A To Z Highand Park,AtoZcomm,2014,108,5,0,-79.9249,40.4730,0.000
Rivers Club,JodiKlebick,2014,106,3,15,-79.9993,40.4381,0.000
Rivers Club,JodiKlebick,2014,106,3,15,-79.9993,40.4381,0.000
Rivers Club,JodiKlebick,2014,106,3,15,-79.9993,40.4381,0.000
Cuzamil Restaurante Mexicano,MiShellMaRi,2014,61,0,2,-79.9228,40.4335,0.000
Cuzamil Restaurante Mexicano,kar2905,2014,138,0,1,-79.9228,40.4335,0.000
Redbeard's on Sixth,lostmethod1,2015,298,0,20,-80.0023,40.4429,0.000
Redbeard's on Sixth,meetjenn,2015,188,2,21,-80.0023,40.4429,0.000
Redbeard's on Sixth,jenherczeg,2014,290,5,2,-80.0023,40.4429,0.000
Redbeard's on Sixth,philsy28,2014,72,4,20,-80.0023,40.4429,0.000
Redbeard's on Sixth,philsy28,2014,155,3,20,-80.0023,40.4429,0.000
Redbeard's on Sixth,AbbyDinges,2014,93,4,3,-80.0023,40.4429,0.000
Redbeard's on Sixth,meetjenn,2015,185,6,0,-80.0023,40.4429,0.000
Redbeard's on Sixth,meetjenn,2015,185,6,0,-80.0023,40.4429,0.000
Redbeard's on Sixth,meetjenn,2015,185,6,0,-80.0023,40.4429,0.000
Redbeard's on Sixth,PersephoniA,2015,235,0,0,-80.0023,40.4429,0.000
Redbeard's on Sixth,acetwo2k5,2015,298,0,20,-80.0023,40.4429,0.000
Crystal Restaurant,amyvw17,2015,274,4,21,-79.9920,40.4460,0.000
Crystal Restaurant,amyvw17,2015,274,4,21,-79.9920,40.4460,0.000
Crystal Restaurant,amyvw17,2015,274,4,21,-79.9920,40.4460,0.000
Crystal Restaurant,amyvw17,2015,274,4,21,-79.9920,40.4460,0.000
Crystal Restaurant,amyvw17,2015,274,4,21,-79.9920,40.4460,0.000
Lili Coffee Shop,hamdanksa,2014,330,3,18,-79.9658,40.4575,0.000
Lili Coffee Shop,ZyanLuxe,2014,93,4,22,-79.9658,40.4575,0.000
Lili Coffee Shop,hamdanksa,2014,330,3,18,-79.9658,40.4575,0.000
Lili Coffee Shop,ZyanLuxe,2014,93,4,22,-79.9658,40.4575,0.000
Lili Coffee Shop,hamdanksa,2014,330,3,18,-79.9658,40.4575,0.000
Lili Coffee Shop,ZyanLuxe,2014,93,4,22,-79.9658,40.4575,0.000
Duquesne University- Mellon Hall,kristianaaaaaa_,2014,70,2,20,-79.9911,40.4357,0.000
Duquesne University- Mellon Hall,kristianaaaaaa_,2014,37,4,21,-79.9911,40.4357,0.000
Duquesne University- Mellon Hall,kristianaaaaaa_,2014,44,4,21,-79.9911,40.4357,0.000
Duquesne University- Mellon Hall,kristianaaaaaa_,2014,49,2,21,-79.9911,40.4357,0.000
Duquesne University- Mellon Hall,kristianaaaaaa_,2014,91,2,20,-79.9911,40.4357,0.000
Duquesne University- Mellon Hall,kristianaaaaaa_,2014,51,4,21,-79.9911,40.4357,0.000
Duquesne University- Mellon Hall,kristianaaaaaa_,2014,86,4,20,-79.9911,40.4357,0.000
Duquesne University- Mellon Hall,kristianaaaaaa_,2014,93,4,20,-79.9911,40.4357,0.000
Duquesne University- Mellon Hall,kristianaaaaaa_,2014,98,2,20,-79.9911,40.4357,0.000
Duquesne University- Mellon Hall,kristianaaaaaa_,2014,100,4,20,-79.9911,40.4357,0.000
Duquesne University- Mellon Hall,kristianaaaaaa_,2014,51,4,21,-79.9911,40.4357,0.000
Duquesne University- Mellon Hall,kristianaaaaaa_,2014,86,4,20,-79.9911,40.4357,0.000
Duquesne University- Mellon Hall,kristianaaaaaa_,2014,93,4,20,-79.9911,40.4357,0.000
Duquesne University- Mellon Hall,kristianaaaaaa_,2014,98,2,20,-79.9911,40.4357,0.000
Duquesne University- Mellon Hall,kristianaaaaaa_,2014,100,4,20,-79.9911,40.4357,0.000
Duquesne University- Mellon Hall,kristianaaaaaa_,2014,35,2,21,-79.9911,40.4357,0.000
Duquesne University- Mellon Hall,kristianaaaaaa_,2014,70,2,20,-79.9911,40.4357,0.000
Duquesne University- Mellon Hall,kristianaaaaaa_,2014,37,4,21,-79.9911,40.4357,0.000
Duquesne University- Mellon Hall,kristianaaaaaa_,2014,44,4,21,-79.9911,40.4357,0.000
Duquesne University- Mellon Hall,kristianaaaaaa_,2014,49,2,21,-79.9911,40.4357,0.000
Duquesne University- Mellon Hall,kristianaaaaaa_,2014,91,2,20,-79.9911,40.4357,0.000
Duquesne University- Mellon Hall,kristianaaaaaa_,2014,23,4,21,-79.9911,40.4357,0.000
Duquesne University- Mellon Hall,kristianaaaaaa_,2014,42,2,20,-79.9911,40.4357,0.000
Duquesne University- Mellon Hall,kristianaaaaaa_,2014,112,2,20,-79.9911,40.4357,0.000
