venue,user,year,doy,dow,hour,lon,lat,senti_val
Elm Grove Park,IPhillyBoy2011,2014,94,5,20,-79.9080,40.4811,0.000
32 engine and truck,IPhillyBoy2011,2014,116,6,2,-79.9986,40.4742,0.000
32 engine and truck,IPhillyBoy2011,2014,116,6,2,-79.9986,40.4742,0.000
32 engine and truck,IPhillyBoy2011,2014,116,6,2,-79.9986,40.4742,0.000
32 engine and truck,IPhillyBoy2011,2014,116,6,2,-79.9986,40.4742,0.000
18th and East Carson Street,BaroneStephanie,2015,63,3,15,-79.9806,40.4288,0.000
Wilkinsburg High School,IPhillyBoy2011,2014,91,2,20,-79.8827,40.4415,0.000
DiSanto Pizza,DArkMEATHOOK,2015,206,6,22,-80.0046,40.4332,0.000
I-376 Exit 74,Ayilmaz74,2015,85,4,22,-79.9302,40.4286,0.000
I-376 Exit 74,Ayilmaz74,2015,85,4,22,-79.9302,40.4286,0.000
I-376 Exit 74,Ayilmaz74,2015,85,4,22,-79.9302,40.4286,0.000
Sterling St.,Matsac92,2014,37,4,8,-79.9696,40.4164,0.000
Sterling St.,Matsac92,2014,49,2,18,-79.9696,40.4164,0.000
Sterling St.,Matsac92,2014,61,0,2,-79.9696,40.4164,0.000
Sterling St.,Matsac92,2014,75,0,17,-79.9696,40.4164,0.000
Sterling St.,Matsac92,2014,78,3,21,-79.9696,40.4164,0.000
Sterling St.,Matsac92,2014,117,0,21,-79.9696,40.4164,0.000
Sterling St.,Matsac92,2014,93,4,16,-79.9696,40.4164,0.000
Sterling St.,Matsac92,2014,36,3,1,-79.9696,40.4164,0.000
Sterling St.,Matsac92,2014,68,0,10,-79.9696,40.4164,0.000
Wingharts Burger &amp; Whiskey Bar,dthomson729,2015,157,6,2,-79.9831,40.4289,0.000
Wingharts Burger &amp; Whiskey Bar,dthomson729,2015,157,6,2,-79.9831,40.4289,0.000
Wingharts Burger &amp; Whiskey Bar,dthomson729,2015,225,4,3,-79.9831,40.4289,0.000
Wingharts Burger &amp; Whiskey Bar,Silent_Jon,2015,235,0,19,-79.9831,40.4289,0.000
Raging Rapids,RandPitt,2015,196,3,17,-79.8642,40.3888,-0.327
Raging Rapids,Alexx_Gould,2014,156,4,21,-79.8642,40.3888,-0.362
Raging Rapids,Alexx_Gould,2014,156,4,21,-79.8642,40.3888,-0.362
Raging Rapids,RandPitt,2015,196,3,17,-79.8642,40.3888,-0.327
Italian Village Pizza,rockinet7,2015,153,2,16,-79.8870,40.4878,0.000
Italian Village Pizza,rockinet7,2015,299,1,16,-79.8870,40.4878,0.000
Italian Village Pizza,Tdysign,2015,306,1,17,-79.8870,40.4878,0.000
Italian Village Pizza,TammyLynn78,2014,25,6,19,-79.8870,40.4878,0.000
Italian Village Pizza,brexx_nirpaw,2014,38,5,22,-79.8870,40.4878,0.000
Italian Village Pizza,AlexVohar,2014,184,4,16,-79.8870,40.4878,0.000
Italian Village Pizza,jeff_flash,2014,137,6,20,-79.8870,40.4878,0.000
Italian Village Pizza,AlexVohar,2014,114,4,16,-79.8870,40.4878,0.000
Italian Village Pizza,AlexVohar,2014,92,3,15,-79.8870,40.4878,0.000
Italian Village Pizza,TammyLynn78,2014,89,0,18,-79.8870,40.4878,0.000
Italian Village Pizza,rockinet7,2015,153,2,16,-79.8870,40.4878,0.000
Italian Village Pizza,spode411,2015,264,1,21,-79.9818,40.3803,0.000
Italian Village Pizza,rockinet7,2015,194,1,16,-79.8870,40.4878,0.000
Italian Village Pizza,rockinet7,2015,85,4,16,-79.8870,40.4878,0.000
Italian Village Pizza,Tdysign,2015,244,2,16,-79.8870,40.4878,0.000
Italian Village Pizza,rockinet7,2015,247,5,16,-79.8870,40.4878,0.000
Italian Village Pizza,rockinet7,2015,153,2,16,-79.8870,40.4878,0.000
Italian Village Pizza,rockinet7,2015,85,4,16,-79.8870,40.4878,0.000
Italian Village Pizza,rockinet7,2015,85,4,16,-79.8870,40.4878,0.000
Italian Village Pizza,rockinet7,2015,194,1,16,-79.8870,40.4878,0.000
Nana's Hot Dog,H0tNFun,2014,286,1,16,-80.0048,40.4553,0.000
Nana's Hot Dog,H0tNFun,2014,286,1,16,-80.0048,40.4553,0.000
LANtek CS,IPhillyBoy2011,2014,134,3,12,-80.0806,40.4110,0.000
LANtek CS,IPhillyBoy2011,2014,134,3,12,-80.0806,40.4110,0.000
LANtek CS,IPhillyBoy2011,2014,134,3,12,-80.0806,40.4110,0.000
The Children's Institute,leela_la_la,2015,19,1,17,-79.9198,40.4433,0.000
The Children's Institute,bigdawgx2005,2014,81,6,12,-79.9198,40.4433,0.000
The Children's Institute,leela_la_la,2015,19,1,17,-79.9198,40.4433,0.000
The Children's Institute,bigdawgx2005,2014,81,6,12,-79.9198,40.4433,0.000
The Children's Institute,leela_la_la,2015,19,1,17,-79.9198,40.4433,0.000
The Children's Institute,bigdawgx2005,2014,81,6,12,-79.9198,40.4433,0.000
Colangelo's,WithTheGrains,2014,70,2,17,-79.9830,40.4516,0.000
Colangelo's,nicolasajimenez,2014,217,2,16,-79.9830,40.4516,0.000
Colangelo's,WithTheGrains,2014,70,2,17,-79.9830,40.4516,0.000
Commonwealth Press Warehouse,TravelingTricia,2014,123,6,17,-79.9726,40.4302,0.000
Commonwealth Press Warehouse,TravelingTricia,2014,123,6,17,-79.9726,40.4302,0.000
Highmark Sportsworks at Carnegie Science Center,xbeautyxtruthx,2015,76,2,14,-80.0184,40.4464,0.000
Highmark Sportsworks at Carnegie Science Center,xbeautyxtruthx,2015,76,2,14,-80.0184,40.4464,0.000
Hilltop Community Children'a Center,IPhillyBoy2011,2014,150,5,16,-79.9910,40.4181,0.000
Carson Street Deli,HOPPERBOLIC,2014,127,3,23,-79.9831,40.4289,0.000
Carson Street Deli,HOPPERBOLIC,2015,281,4,22,-79.9831,40.4289,0.000
Carson Street Deli,acetwo2k5,2014,218,3,18,-79.9831,40.4289,0.000
Carson Street Deli,philsy28,2014,83,1,21,-79.9831,40.4289,0.000
Carson Street Deli,mrstevegross,2015,71,4,22,-79.9831,40.4289,0.000
Carson Street Deli,danpoteste,2014,136,5,21,-79.9831,40.4289,0.000
Carson Street Deli,danpoteste,2014,86,4,21,-79.9831,40.4289,0.000
Carson Street Deli,danpoteste,2014,120,3,21,-79.9831,40.4289,0.000
Carson Street Deli,BaroneStephanie,2015,63,3,15,-79.9831,40.4289,0.000
Carson Street Deli,danpoteste,2014,38,5,22,-79.9831,40.4289,0.000
Carson Street Deli,danpoteste,2014,60,6,18,-79.9831,40.4289,0.000
Carson Street Deli,danpoteste,2014,64,3,23,-79.9831,40.4289,0.000
Carson Street Deli,AbbyDinges,2014,67,6,23,-79.9831,40.4289,0.000
Carson Street Deli,philsy28,2014,67,6,23,-79.9831,40.4289,0.000
Carson Street Deli,adtst3,2014,129,5,1,-79.9831,40.4289,0.000
Carson Street Deli,danpoteste,2014,94,5,21,-79.9831,40.4289,0.000
Carson Street Deli,superfro432,2014,134,3,18,-79.9831,40.4289,0.000
Carson Street Deli,HOPPERBOLIC,2014,140,2,23,-79.9831,40.4289,0.000
Carson Street Deli,baldfatguy,2014,154,2,16,-79.9831,40.4289,0.000
Carson Street Deli,BaroneStephanie,2015,63,3,15,-79.9831,40.4289,0.000
Carson Street Deli,danpoteste,2014,38,5,22,-79.9831,40.4289,0.000
Carson Street Deli,danpoteste,2014,60,6,18,-79.9831,40.4289,0.000
Carson Street Deli,danpoteste,2014,64,3,23,-79.9831,40.4289,0.000
Carson Street Deli,AbbyDinges,2014,67,6,23,-79.9831,40.4289,0.000
Carson Street Deli,philsy28,2014,67,6,23,-79.9831,40.4289,0.000
Carson Street Deli,danpoteste,2014,94,5,21,-79.9831,40.4289,0.000
Carson Street Deli,adtst3,2014,129,5,1,-79.9831,40.4289,0.000
Carson Street Deli,superfro432,2014,134,3,18,-79.9831,40.4289,0.000
Carson Street Deli,HOPPERBOLIC,2014,140,2,23,-79.9831,40.4289,0.000
Carson Street Deli,baldfatguy,2014,154,2,16,-79.9831,40.4289,0.000
Carson Street Deli,danpoteste,2014,73,5,22,-79.9831,40.4289,0.000
Carson Street Deli,mikebarbaro,2014,81,6,18,-79.9831,40.4289,0.000
Carson Street Deli,PensBoozeAnger,2015,293,2,15,-79.9831,40.4289,0.000
Carson Street Deli,HOPPERBOLIC,2015,293,2,22,-79.9831,40.4289,0.000
Carson Street Deli,HOPPERBOLIC,2015,181,2,21,-79.9831,40.4289,0.000
Carson Street Deli,HOPPERBOLIC,2015,181,2,21,-79.9831,40.4289,0.000
Carson Street Deli,HOPPERBOLIC,2014,127,3,23,-79.9831,40.4289,0.000
Parkway West Clusterduck,DropG88,2015,249,0,18,-80.0733,40.4107,0.000
Karworski Tavern,FrangipaniAni,2014,327,0,3,-79.9717,40.4264,0.000
PLS Logistics Services, Southside Branch,cwill191,2014,157,5,11,-79.9753,40.4307,0.203
PLS Logistics Services, Southside Branch,cwill191,2014,157,5,11,-79.9753,40.4307,0.203
PLS Logistics Services, Southside Branch,cwill191,2014,161,2,11,-79.9753,40.4307,0.203
PLS Logistics Services, Southside Branch,cwill191,2014,161,2,11,-79.9753,40.4307,0.203
PLS Logistics Services, Southside Branch,cwill191,2014,160,1,11,-79.9753,40.4307,0.203
AMC Loews Waterfront 22,baby_sirens,2015,291,0,1,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,baby_sirens,2015,197,4,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,yakk0dotorg,2015,198,5,2,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,baby_sirens,2015,199,6,2,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,BeautyandBalor,2015,202,2,21,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,baby_sirens,2015,207,0,2,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,baby_sirens,2015,307,2,19,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,PWATPittsburgh,2015,307,2,22,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,pure_wings,2014,187,0,20,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,andrewzaragoza,2014,189,2,1,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,pure_wings,2014,190,3,18,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,d0o0fy,2014,192,5,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,_JimmyMack,2014,193,6,18,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,joncmu,2014,193,6,21,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,afrasta,2014,196,2,22,-79.9177,40.4066,0.172
AMC Loews Waterfront 22,lisarec,2014,198,4,0,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,kingling43,2014,198,4,0,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,joncmu,2014,200,6,17,-79.9177,40.4066,0.054
AMC Loews Waterfront 22,jayyellee,2014,208,0,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,Silent_Jon,2014,214,6,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,acetwo2k5,2014,216,1,20,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,lostmethod1,2014,216,1,20,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,BurghJacks,2014,216,1,22,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,kingling43,2014,217,2,1,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,jesseferencz,2014,217,2,15,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,LittleJanelleS,2014,221,6,2,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,lulualshaaban,2014,223,1,2,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,kelsdoesnttweet,2014,224,2,0,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,jayyellee,2014,226,4,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,d0o0fy,2014,227,5,0,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,Nawaf_35,2014,244,1,1,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,brexx_nirpaw,2014,246,3,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,Cheeky_Baby410,2014,326,6,3,-79.9177,40.4066,-0.125
AMC Loews Waterfront 22,ScienceMeSexy,2014,279,1,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,Silent_Jon,2014,284,6,22,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,ThisOtherJoe,2014,284,6,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,brexx_nirpaw,2014,290,5,20,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,gurujonah,2014,294,2,1,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,F5M18,2014,302,3,2,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,FrangipaniAni,2014,303,4,22,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,jayyellee,2014,305,6,19,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,PengHome,2014,312,6,20,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,shannonleigh11,2014,314,1,19,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,kirbypuckett,2014,312,6,0,-79.9177,40.4066,0.247
AMC Loews Waterfront 22,BurghJacks,2014,325,5,18,-79.9177,40.4066,-0.125
AMC Loews Waterfront 22,gurujonah,2014,326,6,2,-79.9177,40.4066,-0.125
AMC Loews Waterfront 22,KiessKiess,2014,331,4,1,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,SeanLenhart,2014,349,1,16,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,unvegan,2014,351,3,4,-79.9177,40.4066,-0.133
AMC Loews Waterfront 22,pure_wings,2014,365,3,0,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,brexx_nirpaw,2015,3,6,22,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,Cliqueasaurus,2015,4,0,19,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,ConcertSurfer,2015,10,6,15,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,BigPhatPastor,2015,12,1,20,-79.9177,40.4066,-0.126
AMC Loews Waterfront 22,dzessss,2015,12,1,20,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,scholnicks,2015,19,1,17,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,BurghJacks,2015,21,3,2,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,DConMan,2015,24,6,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,mike8120,2015,25,0,2,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,TalkDownie2Me,2015,44,5,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,dadaevan,2015,46,0,0,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,cyreynolds,2015,48,2,1,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,gurujonah,2015,48,2,2,-79.9177,40.4066,0.085
AMC Loews Waterfront 22,lostmethod1,2015,59,6,2,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,KathleenHeuer,2014,138,0,19,-79.9177,40.4066,0.297
AMC Loews Waterfront 22,acetwo2k5,2015,59,6,2,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,d0o0fy,2015,60,0,0,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,baby_sirens,2015,66,6,3,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,perfnormalbeast,2015,67,0,1,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,acetwo2k5,2015,67,0,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,louisbohanon,2014,31,5,20,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,kristianaaaaaa_,2014,31,5,21,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,srauhala,2014,32,6,18,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,DingsaGwaan,2014,33,0,17,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,PensBoozeAnger,2014,48,1,1,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,bryan_koval,2014,68,0,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,M7MEDaLa7mdi,2014,81,6,3,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,ShelbyT20,2014,87,5,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,S_alkahlan,2014,90,1,0,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,Mauradee2003,2014,96,0,14,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,superfro432,2014,96,0,19,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,gurujonah,2014,104,1,0,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,CheesesChrist27,2014,109,6,14,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,Nawaf_35,2014,124,0,0,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,CheesesChrist27,2014,131,0,18,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,IPhillyBoy2011,2014,141,3,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,mike8120,2014,144,6,0,-79.9177,40.4066,0.241
AMC Loews Waterfront 22,kelsdoesnttweet,2014,144,6,17,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,i_abdu11ah,2014,147,2,4,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,HumphreyLee,2014,150,5,2,-79.9177,40.4066,-0.231
AMC Loews Waterfront 22,d0o0fy,2014,151,6,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,gurujonah,2014,154,2,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,SWSondheimer,2014,157,5,22,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,Preebs,2014,178,5,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,ChelsssWilliams,2014,173,0,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,AngelinaRose333,2014,161,2,16,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,pure_wings,2014,161,2,0,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,BurghJacks,2015,142,5,20,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,NorAqeel,2015,144,0,2,-79.9177,40.4066,0.252
AMC Loews Waterfront 22,Silent_Jon,2015,151,0,20,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,SharkDavis,2015,154,3,19,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,rashad_prada,2015,158,0,5,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,rashad_prada,2015,302,4,20,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,baby_sirens,2015,303,5,1,-79.9177,40.4066,-0.141
AMC Loews Waterfront 22,baby_sirens,2015,310,5,3,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,Silent_Jon,2015,151,0,20,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,SharkDavis,2015,154,3,19,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,rashad_prada,2015,158,0,5,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,xbeautyxtruthx,2015,161,3,22,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,baby_sirens,2015,268,5,1,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,baby_sirens,2015,268,5,1,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,Silent_Jon,2015,270,0,17,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,baby_sirens,2015,275,5,22,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,pure_wings,2014,187,0,20,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,andrewzaragoza,2014,189,2,1,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,pure_wings,2014,190,3,18,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,d0o0fy,2014,192,5,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,_JimmyMack,2014,193,6,18,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,joncmu,2014,193,6,21,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,afrasta,2014,196,2,22,-79.9177,40.4066,0.172
AMC Loews Waterfront 22,lisarec,2014,198,4,0,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,kingling43,2014,198,4,0,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,joncmu,2014,200,6,17,-79.9177,40.4066,0.054
AMC Loews Waterfront 22,jayyellee,2014,208,0,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,Silent_Jon,2014,214,6,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,acetwo2k5,2014,216,1,20,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,lostmethod1,2014,216,1,20,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,BurghJacks,2014,216,1,22,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,kingling43,2014,217,2,1,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,jesseferencz,2014,217,2,15,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,LittleJanelleS,2014,221,6,2,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,lulualshaaban,2014,223,1,2,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,kelsdoesnttweet,2014,224,2,0,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,jayyellee,2014,226,4,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,d0o0fy,2014,227,5,0,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,Nawaf_35,2014,244,1,1,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,brexx_nirpaw,2014,246,3,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,Cheeky_Baby410,2014,326,6,3,-79.9177,40.4066,-0.125
AMC Loews Waterfront 22,ScienceMeSexy,2014,279,1,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,Silent_Jon,2014,284,6,22,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,ThisOtherJoe,2014,284,6,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,brexx_nirpaw,2014,290,5,20,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,gurujonah,2014,294,2,1,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,F5M18,2014,302,3,2,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,FrangipaniAni,2014,303,4,22,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,jayyellee,2014,305,6,19,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,PengHome,2014,312,6,20,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,shannonleigh11,2014,314,1,19,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,kirbypuckett,2014,312,6,0,-79.9177,40.4066,0.247
AMC Loews Waterfront 22,BurghJacks,2014,325,5,18,-79.9177,40.4066,-0.125
AMC Loews Waterfront 22,gurujonah,2014,326,6,2,-79.9177,40.4066,-0.125
AMC Loews Waterfront 22,KiessKiess,2014,331,4,1,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,SeanLenhart,2014,349,1,16,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,unvegan,2014,351,3,4,-79.9177,40.4066,-0.133
AMC Loews Waterfront 22,pure_wings,2014,365,3,0,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,brexx_nirpaw,2015,3,6,22,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,Cliqueasaurus,2015,4,0,19,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,ConcertSurfer,2015,10,6,15,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,BigPhatPastor,2015,12,1,20,-79.9177,40.4066,-0.126
AMC Loews Waterfront 22,dzessss,2015,12,1,20,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,scholnicks,2015,19,1,17,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,BurghJacks,2015,21,3,2,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,DConMan,2015,24,6,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,mike8120,2015,25,0,2,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,TalkDownie2Me,2015,44,5,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,dadaevan,2015,46,0,0,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,cyreynolds,2015,48,2,1,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,gurujonah,2015,48,2,2,-79.9177,40.4066,0.085
AMC Loews Waterfront 22,lostmethod1,2015,59,6,2,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,acetwo2k5,2015,59,6,2,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,d0o0fy,2015,60,0,0,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,baby_sirens,2015,66,6,3,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,perfnormalbeast,2015,67,0,1,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,acetwo2k5,2015,67,0,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,louisbohanon,2014,31,5,20,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,kristianaaaaaa_,2014,31,5,21,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,srauhala,2014,32,6,18,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,DingsaGwaan,2014,33,0,17,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,PensBoozeAnger,2014,48,1,1,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,bryan_koval,2014,68,0,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,M7MEDaLa7mdi,2014,81,6,3,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,ShelbyT20,2014,87,5,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,S_alkahlan,2014,90,1,0,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,Mauradee2003,2014,96,0,14,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,superfro432,2014,96,0,19,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,gurujonah,2014,104,1,0,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,CheesesChrist27,2014,109,6,14,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,Nawaf_35,2014,124,0,0,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,CheesesChrist27,2014,131,0,18,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,KathleenHeuer,2014,138,0,19,-79.9177,40.4066,0.297
AMC Loews Waterfront 22,IPhillyBoy2011,2014,141,3,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,mike8120,2014,144,6,0,-79.9177,40.4066,0.241
AMC Loews Waterfront 22,kelsdoesnttweet,2014,144,6,17,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,i_abdu11ah,2014,147,2,4,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,HumphreyLee,2014,150,5,2,-79.9177,40.4066,-0.231
AMC Loews Waterfront 22,d0o0fy,2014,151,6,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,gurujonah,2014,154,2,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,SWSondheimer,2014,157,5,22,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,Preebs,2014,178,5,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,ChelsssWilliams,2014,173,0,23,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,AngelinaRose333,2014,161,2,16,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,pure_wings,2014,161,2,0,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,BeautyandBalor,2015,202,2,21,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,SevTST,2015,179,0,18,-79.9177,40.4066,0.000
AMC Loews Waterfront 22,chucksax,2015,311,6,21,-79.9177,40.4066,0.000
