,cluster0,,cluster1,,cluster2,,cluster3,,cluster4,,cluster5,,cluster6,,cluster10,,cluster11,,cluster12,,cluster13,,cluster15,,cluster16,,cluster18,
how,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n
34,25.426,16,3.622,3,14.964,7,13.702,9,1.026,1,19.021,13,6.111,3,0.000,0,0.000,0,0.000,0,5.223,3,0.000,0,0.000,0,0.000,0
35,68.156,46,25.132,17,14.601,9,13.760,7,10.653,7,3.912,3,0.000,0,0.000,0,4.374,4,0.000,0,3.013,2,0.000,0,3.195,3,0.000,0
36,163.471,99,63.169,47,25.191,16,27.501,20,13.923,9,27.233,17,37.204,22,2.688,2,3.096,2,2.796,2,2.956,1,0.000,0,0.000,0,17.684,7
37,224.790,123,124.619,79,55.664,34,46.904,30,35.494,24,13.718,10,11.805,8,5.484,4,10.149,8,9.473,6,6.269,3,12.004,7,0.000,0,5.620,3
38,234.248,138,146.956,81,73.823,43,32.001,21,23.169,16,31.196,20,24.961,16,14.659,7,8.179,7,14.224,8,7.869,5,5.026,2,0.000,0,9.855,7
39,273.587,179,140.614,90,66.912,39,42.440,25,36.262,23,77.645,49,32.207,18,10.382,7,4.501,3,4.261,3,17.157,9,12.064,10,5.129,4,8.216,6
40,244.323,165,159.360,104,78.566,47,59.968,37,42.735,26,44.596,29,53.297,31,11.279,8,12.699,9,10.792,8,4.200,3,3.368,2,7.230,6,11.301,8
41,246.178,151,215.650,131,87.646,53,77.104,48,33.365,21,32.567,22,42.053,26,27.557,16,9.851,7,4.161,3,8.558,6,14.547,10,11.939,7,17.210,10
42,177.272,122,157.594,104,45.269,25,49.933,34,40.503,27,40.005,30,15.055,11,22.018,14,4.704,4,26.000,14,2.806,2,10.524,6,0.000,0,16.534,12
43,250.514,163,161.109,104,41.391,26,44.328,26,52.216,32,33.273,24,36.823,23,8.100,5,10.845,9,12.661,7,7.783,5,22.544,15,1.044,1,7.737,7
44,212.860,137,172.491,112,50.034,29,60.876,42,90.371,57,50.477,33,55.275,36,19.063,8,12.918,10,8.236,5,7.975,5,21.298,17,14.414,10,13.069,9
45,232.266,146,170.280,110,45.787,29,66.219,40,72.468,46,37.965,26,53.209,34,15.999,10,5.015,3,14.280,11,11.893,8,10.200,7,18.464,7,1.333,1
46,226.963,126,154.270,103,112.213,68,58.377,38,141.732,84,71.079,45,41.900,27,11.618,8,12.516,8,11.800,7,5.154,5,10.281,8,15.125,10,13.250,8
47,175.761,110,180.834,108,114.963,73,112.224,70,209.075,137,36.425,26,37.426,27,9.089,7,14.399,9,29.258,19,14.806,10,21.191,16,18.219,11,17.942,9
48,222.473,132,191.103,125,168.377,103,78.075,51,140.139,89,34.290,22,27.158,17,26.971,18,17.251,11,26.395,18,4.357,3,10.438,6,5.004,4,25.088,20
49,247.401,151,195.311,121,148.952,90,78.377,49,85.062,51,48.481,34,55.915,31,5.900,5,22.287,12,10.910,7,8.995,8,14.310,9,16.238,9,21.752,14
50,274.449,166,199.627,124,125.895,77,94.551,60,90.189,57,53.529,39,24.983,16,9.949,7,27.254,15,12.998,8,16.042,11,21.353,13,30.690,23,3.840,2
51,132.301,86,199.478,119,93.514,61,82.090,52,50.335,30,35.469,19,10.881,8,12.626,10,8.919,6,6.656,4,27.224,17,7.935,6,23.584,8,13.371,9
52,153.257,95,199.096,123,78.908,45,74.784,40,39.012,26,14.620,8,57.461,34,9.337,4,24.342,19,7.884,6,6.946,5,0.000,0,1.487,1,4.654,2
53,95.937,58,98.944,56,62.937,36,60.811,36,3.185,3,2.302,2,3.232,3,0.000,0,10.921,6,2.460,2,0.000,0,1.448,1,2.802,2,9.709,6
54,22.747,16,48.813,34,17.118,9,36.402,23,5.634,4,0.000,0,17.231,12,11.442,7,5.487,4,0.000,0,0.000,0,2.882,2,7.734,6,8.644,6
55,19.694,16,21.250,13,13.180,7,7.603,5,5.376,4,1.097,1,4.193,3,1.480,1,4.586,2,0.000,0,0.000,0,0.000,0,5.026,2,0.000,0
56,5.666,3,6.644,4,4.197,2,4.104,3,0.000,0,9.136,8,0.000,0,2.588,2,0.000,0,0.000,0,0.000,0,1.480,1,0.000,0,1.548,1
57,14.819,9,2.391,2,8.415,4,4.719,3,0.000,0,8.500,6,0.000,0,0.000,0,2.621,2,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
58,34.944,22,14.607,9,1.487,1,4.060,3,0.000,0,23.480,17,2.513,1,2.610,2,1.223,1,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
59,94.199,62,32.602,17,16.786,12,5.249,4,2.438,2,19.861,15,9.558,5,6.792,4,0.000,0,3.874,2,1.165,1,9.304,5,2.195,1,1.612,1
60,191.789,120,56.611,34,33.453,20,30.321,16,29.259,19,17.229,12,30.581,19,11.915,9,2.388,2,4.819,3,8.662,7,4.344,3,0.000,0,15.728,10
61,227.110,133,71.231,50,60.221,33,31.930,22,14.096,7,35.483,24,47.523,26,14.526,9,6.688,4,1.044,1,14.509,10,4.504,3,0.000,0,10.796,8
62,252.537,156,142.046,95,73.021,43,52.488,35,2.742,2,33.897,21,25.316,16,10.710,7,7.714,4,17.777,12,10.210,7,2.738,2,10.855,7,16.823,10
63,311.117,185,148.824,97,76.264,52,44.169,28,34.205,23,39.016,27,22.671,18,4.658,2,9.054,6,5.716,4,24.554,15,7.557,4,24.180,15,5.344,4
64,307.130,200,176.316,114,64.242,40,74.672,45,17.453,11,45.141,31,53.142,31,15.610,10,15.850,8,11.527,8,16.831,9,19.054,11,13.140,7,7.614,6
65,317.136,197,171.514,112,70.657,43,67.262,44,14.295,11,23.254,14,60.972,39,15.902,9,2.288,2,15.572,10,11.385,9,6.292,5,12.880,5,15.842,9
66,227.962,144,160.827,102,61.530,36,52.589,31,21.709,11,28.709,19,45.312,28,21.409,15,7.174,5,2.488,1,11.196,7,2.642,2,35.720,21,9.255,7
67,279.521,188,176.522,107,59.704,31,57.077,37,44.464,32,25.601,18,15.177,11,28.136,19,1.326,1,6.069,4,17.097,10,2.484,2,10.068,6,12.082,7
68,202.804,130,174.686,104,84.086,50,58.302,36,44.614,30,34.514,23,12.084,10,15.085,11,11.795,5,10.288,6,11.241,8,22.040,15,19.993,11,23.321,16
69,217.755,142,170.202,111,122.706,71,67.540,43,47.116,26,54.359,35,43.926,25,15.207,12,18.940,10,25.064,18,8.065,6,22.905,13,22.050,11,18.539,11
