,cluster0,,cluster1,,cluster2,,cluster3,,cluster4,,cluster5,,cluster6,,cluster10,,cluster11,,cluster12,,cluster13,,cluster15,,cluster16,,cluster18,
date,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n
2014-02-23,33.849,20,109.171,67,26.869,18,42.562,25,8.984,4,2.460,2,22.272,11,2.030,2,28.900,16,6.880,5,8.079,5,0.000,0,2.138,2,4.160,2
2014-02-24,62.789,40,95.171,65,25.794,17,18.427,14,5.065,3,12.837,9,4.452,4,6.999,5,21.897,13,1.044,1,0.000,0,1.194,1,0.000,0,3.310,2
2014-02-25,98.917,59,81.023,48,30.190,19,24.048,14,0.000,0,7.946,3,8.497,6,22.597,14,7.354,5,1.190,1,3.582,2,3.638,2,0.000,0,0.000,0
2014-02-26,92.581,62,96.742,63,32.394,20,24.969,14,10.340,8,3.982,2,8.172,5,6.759,4,10.332,6,0.000,0,3.872,3,0.000,0,4.512,2,2.166,2
2014-02-27,105.680,74,88.430,56,29.871,15,39.749,29,1.308,1,0.000,0,24.227,16,5.061,4,0.000,0,1.158,1,1.955,1,0.000,0,4.176,4,5.026,4
2014-02-28,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
2014-03-01,90.030,59,154.247,88,23.361,16,50.822,31,3.096,2,3.804,2,6.727,5,9.609,5,9.149,4,4.962,3,5.344,3,3.454,2,10.643,5,20.606,13
2014-03-02,59.175,37,102.294,64,16.435,8,28.973,19,9.011,6,2.491,2,7.875,4,23.839,12,8.329,3,4.447,3,5.767,3,5.951,3,4.473,3,0.000,0
2014-03-03,156.625,75,189.713,112,0.000,0,30.317,18,2.331,2,10.152,6,5.456,4,10.932,6,49.205,28,2.180,1,1.676,1,2.456,2,0.000,0,5.356,5
2014-03-04,51.969,36,73.183,51,1.494,1,25.379,15,8.843,5,4.722,4,18.765,10,11.457,6,11.515,7,0.000,0,4.939,3,8.897,5,0.000,0,7.550,6
2014-03-05,83.220,49,81.898,51,3.010,2,11.520,8,7.656,6,0.000,0,3.396,2,1.794,1,9.412,5,2.488,1,5.026,4,12.617,7,0.000,0,8.425,6
2014-03-06,35.863,21,114.697,76,6.269,5,37.684,24,1.780,1,2.256,1,11.896,9,5.513,4,2.642,2,2.421,2,4.382,3,10.210,6,0.000,0,7.064,4
2014-03-07,71.380,50,110.685,63,10.695,6,48.088,29,13.244,7,7.253,5,41.395,26,6.156,4,2.098,2,1.283,1,8.827,5,0.000,0,0.000,0,4.443,3
2014-03-08,66.053,39,41.125,27,12.108,7,46.684,28,10.444,8,5.501,3,40.239,27,2.560,2,20.472,12,0.000,0,1.998,1,8.553,5,15.158,7,7.989,5
