doy,pos_n,neg_n,avg_senti
310,433,370,123.406
311,355,282,122.727
312,436,305,149.396
313,89,57,32.436
314,218,170,57.748
315,364,345,99.099
316,334,334,72.316
317,359,383,82.497
318,344,281,90.960
319,439,333,137.314
320,543,369,176.344
321,316,315,82.235
322,427,454,73.257
323,247,273,51.502
324,44,32,16.290
325,417,317,138.189
326,521,382,187.326
327,391,361,91.690
328,456,420,102.982
329,396,512,30.492
330,292,348,59.884
331,608,291,270.654
332,312,276,90.743
333,402,295,135.101
334,435,367,117.468
335,336,353,67.454
336,306,334,74.349
337,362,386,73.226
338,319,348,53.569
339,330,371,68.594
340,450,381,158.447
341,585,479,138.750
342,389,378,87.814
343,451,389,119.978
344,406,386,93.110
345,368,314,105.449
346,22,15,9.463
347,192,115,70.439
348,513,349,158.831
349,383,382,84.714
350,387,368,98.613
351,361,364,82.983
352,353,289,119.815
353,390,341,107.853
354,418,357,104.134
355,605,511,143.175
356,305,269,96.563
357,361,294,121.132
358,466,354,132.665
359,598,263,244.452
360,344,274,98.231
361,363,323,89.139
362,376,328,102.117
363,419,464,41.772
364,277,269,51.340
365,333,302,82.687
