clid	venue	lon	lat	category	user	year	doy	dow	hour	txt
0	Port Authority Wood Street Station	-79.9996	40.4422	NA	IPhillyBoy2011	2014	37	4	18	I'm at Port Authority Wood Street Station - (Pittsburgh, PA)
0	Port Authority Wood Street Station	-79.9996	40.4422	NA	philsy28	2014	56	2	21	I'm at Port Authority Wood Street Station - (Pittsburgh, PA)
0	Port Authority Wood Street Station	-79.9996	40.4422	NA	philsy28	2014	71	3	22	I'm at Port Authority Wood Street Station - (Pittsburgh, PA)
0	Port Authority Wood Street Station	-79.9996	40.4422	NA	philsy28	2014	86	4	19	I'm at Port Authority Wood Street Station - (Pittsburgh, PA)
0	Port Authority Wood Street Station	-79.9996	40.4422	NA	philsy28	2014	91	2	20	I'm at Port Authority Wood Street Station - (Pittsburgh, PA)
0	Port Authority Wood Street Station	-79.9996	40.4422	NA	philsy28	2014	92	3	20	I'm at Port Authority Wood Street Station - (Pittsburgh, PA)
0	Port Authority Wood Street Station	-79.9996	40.4422	NA	philsy28	2014	95	6	19	I'm at Port Authority Wood Street Station - (Pittsburgh, PA)
0	Port Authority Wood Street Station	-79.9996	40.4422	NA	philsy28	2014	99	3	20	I'm at Port Authority Wood Street Station - (Pittsburgh, PA)
0	Port Authority Wood Street Station	-79.9996	40.4422	NA	topherol_	2014	102	6	23	I'm at Port Authority Wood Street Station - (Pittsburgh, PA)
0	Port Authority Wood Street Station	-79.9996	40.4422	NA	philsy28	2014	104	1	20	I'm at Port Authority Wood Street Station - (Pittsburgh, PA)
0	Port Authority Wood Street Station	-79.9996	40.4422	NA	philsy28	2014	105	2	18	I'm at Port Authority Wood Street Station - (Pittsburgh, PA)
0	Port Authority Wood Street Station	-79.9996	40.4422	NA	philsy28	2014	113	3	19	I'm at Port Authority Wood Street Station - (Pittsburgh, PA)
0	Port Authority Wood Street Station	-79.9996	40.4422	NA	philsy28	2014	122	5	18	I'm at Port Authority Wood Street Station - (Pittsburgh, PA)
0	Port Authority Wood Street Station	-79.9996	40.4422	NA	philsy28	2014	127	3	21	I'm at Port Authority Wood Street Station - (Pittsburgh, PA)
0	Port Authority Wood Street Station	-79.9996	40.4422	NA	philsy28	2014	133	2	22	I'm at Port Authority Wood Street Station - (Pittsburgh, PA)
0	Port Authority Wood Street Station	-79.9996	40.4422	NA	DArkMEATHOOK	2015	204	4	18	I'm at Port Authority Wood Street Station - in Pittsburgh, PA
0	S Q U A D	-80.0032	40.4442	NA	Hilla_Rae	2015	143	6	23	Just posted a photo S Q U A D
0	Bus Stop At Stanwix & 4th Ave	-80.0045	40.4403	NA	tturner122	2014	287	2	18	I'm at Bus Stop At Stanwix &amp; 4th Ave in Pittsburgh, PA
0	Jacqueline's Salon	-79.9972	40.4383	NA	khowz2018	2015	276	6	17	I'm at Jacqueline's Salon in Pittsburgh, PA
0	Erin's fine foods Deli	-80.0002	40.4417	NA	Silent_Jon	2014	337	3	17	I'm at Erin's fine foods Deli in Pittsburgh, PA
0	Erin's fine foods Deli	-80.0002	40.4417	NA	Silent_Jon	2015	5	1	19	I'm at Erin's fine foods Deli in Pittsburgh, PA
0	Erin's fine foods Deli	-80.0002	40.4417	NA	meetjenn	2015	27	2	17	I'm at Erin's fine foods Deli in Pittsburgh, PA
0	Erin's fine foods Deli	-80.0002	40.4417	NA	Silent_Jon	2015	48	2	16	I'm at Erin's fine foods Deli in Pittsburgh, PA
0	Erin's fine foods Deli	-80.0002	40.4417	NA	Silent_Jon	2015	57	4	17	I'm at Erin's fine foods Deli in Pittsburgh, PA
0	Erin's fine foods Deli	-80.0002	40.4417	NA	Silent_Jon	2015	119	3	18	I'm at Erin's fine foods Deli in Pittsburgh, PA
0	Erin's fine foods Deli	-80.0002	40.4417	NA	Silent_Jon	2015	166	1	16	I'm at Erin's fine foods Deli in Pittsburgh, PA
0	Erin's fine foods Deli	-80.0002	40.4417	NA	Silent_Jon	2015	187	1	17	I'm at Erin's fine foods Deli in Pittsburgh, PA
0	Erin's fine foods Deli	-80.0002	40.4417	NA	Silent_Jon	2015	195	2	16	I'm at Erin's fine foods Deli in Pittsburgh, PA
0	Erin's fine foods Deli	-80.0002	40.4417	NA	Silent_Jon	2015	272	2	12	I'm at Erin's fine foods Deli in Pittsburgh, PA
0	Erin's fine foods Deli	-80.0002	40.4417	NA	Silent_Jon	2015	302	4	18	I'm at Erin's fine foods Deli in Pittsburgh, PA
0	Sienna Mercato	-79.9964	40.4442	NA	allierose12	2014	80	5	17	I'm at Sienna Mercato (Pittsburgh, PA)
0	Sienna Mercato	-79.9964	40.4442	NA	MrPaulLandry	2014	95	6	22	I'm at Sienna Mercato (Pittsburgh, PA)
0	Sienna Mercato	-79.9964	40.4442	NA	NickBrown430	2014	99	3	0	I'm at Sienna Mercato (Pittsburgh, PA)
0	Sienna Mercato	-79.9964	40.4442	NA	RashanWalker	2014	107	4	21	I'm at Sienna Mercato w/
0	Sienna Mercato	-79.9964	40.4442	NA	JoshLouie	2014	172	6	3	Just posted a photo Sienna Mercato
0	Sienna Mercato	-79.9964	40.4442	NA	NicholasPoliti	2014	223	1	2	Just posted a photo Sienna Mercato
0	Sienna Mercato	-79.9964	40.4442	NA	johntarasi	2014	320	0	2	Just posted a photo Sienna Mercato
0	2014	-79.9965	40.4454	NA	Zhed88	2014	187	0	20	I'm at 2014 (Pittsburgh, PA) w/ 17 others
0	2014	-79.9965	40.4454	NA	OzarkFoxx	2014	187	0	21	I'm at 2014 for Closing Ceremonies (Pittsburgh, PA) w/ 19 others
0	Dawntawn Pixburgh	-80.0016	40.4392	NA	Psettle_	2015	205	5	4	Just posted a photo Dawntawn Pixburgh
0	Pittsburgh	-79.9982	40.4469	NA	Muffin_C	2015	249	0	1	I'm at Pittsburgh in Pittsburgh, PA
0	William S. Moorhead Federal Building	-79.9943	40.4436	NA	BobSpuntak	2014	121	4	21	I'm at William S. Moorhead Federal Building (Pittsburgh, PA)
0	William S. Moorhead Federal Building	-79.9943	40.4436	NA	joncmu	2014	172	6	16	I'm at William S. Moorhead Federal Building (Pittsburgh, PA)
0	William S. Moorhead Federal Building	-79.9943	40.4436	NA	Littl3stP3nguin	2014	176	3	17	I'm at William S. Moorhead Federal Building (Pittsburgh, PA) w/ 2 others
0	Villa	-80.0003	40.4402	NA	Twism44	2014	158	6	19	I'm at Villa (Pittsburgh, PA)
0	Three Rivers Restaurants	-80.0066	40.4417	NA	dlove170	2015	195	2	18	I'm at Three Rivers Restaurants in Pittsburgh, PA
0	Eleven	-79.9935	40.4459	NA	M_Allan_Tinor	2014	348	0	1	Just posted a photo Eleven
0	Allegheny County Courthouse	-79.9967	40.4387	NA	BobSpuntak	2014	31	5	17	I'm at Allegheny County Courthouse - (Pittsburgh, PA)
0	Allegheny County Courthouse	-79.9967	40.4387	NA	GiseleColaco	2014	74	6	18	I'm at Allegheny County Courthouse - (Pittsburgh, PA)
0	Allegheny County Courthouse	-79.9967	40.4387	NA	DConMan	2014	100	4	13	I'm at Allegheny County Courthouse - (Pittsburgh, PA)
0	Allegheny County Courthouse	-79.9967	40.4387	NA	brews_tavern	2015	73	6	14	I'm at Allegheny County Courthouse - in Pittsburgh, PA
