cluster,sum_senti,avg_senti,pos_n,pos_%,neg_n,neg_%
0,0.5866,0.5874,0.7885,0.6322,0.6195,0.1953
2,0.3865,0.1349,0.7907,0.3771,0.6672,0.2835
4,0.5691,0.2117,0.7037,0.2509,0.5858,0.0369
9,0.2125,0.0156,0.5991,0.0512,0.5084,0.0257
6,0.1873,0.0887,0.5446,0.0608,0.4118,-0.0909
1,0.2751,0.2003,0.5254,0.0842,0.3557,-0.1482
3,0.5401,0.2390,0.5076,0.2261,0.3422,-0.0663
7,0.4587,0.0438,0.6273,0.0085,0.3678,-0.0694
22,0.1503,0.0715,0.2431,0.1205,0.1404,0.0397
5,0.2891,-0.1481,0.4333,-0.0510,0.4345,0.2525
