how,cluster0,cluster2,cluster4,cluster9,cluster6,cluster1,cluster3,cluster7,cluster22,cluster5
143,49,26,49,21,18,13,13,11,4,6
144,42,20,21,13,15,12,4,6,4,5
145,25,21,7,9,16,12,2,6,5,2
146,39,20,12,21,10,5,2,6,2,4
147,26,26,9,11,10,3,2,5,7,4
148,18,22,0,5,4,2,5,5,4,0
149,7,15,0,2,3,6,0,3,1,1
150,15,3,0,0,2,2,0,3,0,0
151,6,1,0,0,0,0,1,3,0,0
152,1,0,0,0,1,1,0,0,0,0
153,1,0,0,0,0,0,0,0,0,0
154,2,0,1,0,0,0,0,0,0,0
155,7,1,0,2,1,0,2,0,7,1
156,8,4,0,1,7,1,0,3,14,0
157,19,8,2,21,3,3,4,14,3,3
158,16,17,7,18,9,4,6,6,4,2
159,26,11,10,15,4,4,4,20,10,4
160,38,17,9,9,11,15,9,19,2,13
161,51,16,13,15,14,16,6,27,12,11
162,34,15,20,8,11,12,8,22,7,2
163,33,13,31,16,7,13,7,22,8,6
164,49,17,21,17,12,15,11,17,5,6
165,40,34,21,13,10,8,7,12,7,4
166,29,21,35,14,8,11,18,6,3,8
167,40,26,28,18,11,14,13,6,7,9
