name	hier	id
College Auditorium	\College & University\College Auditorium	4bf58dd8d48988d1af941735
College Bookstore	\College & University\College Bookstore	4bf58dd8d48988d1b1941735
College Cafeteria	\College & University\College Cafeteria	4bf58dd8d48988d1a1941735
College Classroom	\College & University\College Classroom	4bf58dd8d48988d1a0941735
College Gym	\College & University\College Gym	4bf58dd8d48988d1b2941735
College Lab	\College & University\College Lab	4bf58dd8d48988d1a5941735
College Library	\College & University\College Library	4bf58dd8d48988d1a7941735
College Quad	\College & University\College Quad	4bf58dd8d48988d1aa941735
College Rec Center	\College & University\College Rec Center	4bf58dd8d48988d1a9941735
College Residence Hall	\College & University\College Residence Hall	4bf58dd8d48988d1a3941735
College Stadium	\College & University\College Stadium	4bf58dd8d48988d1b4941735
College Baseball Diamond	\College & University\College Stadium\College Baseball Diamond	4bf58dd8d48988d1bb941735
College Basketball Court	\College & University\College Stadium\College Basketball Court	4bf58dd8d48988d1ba941735
College Cricket Pitch	\College & University\College Stadium\College Cricket Pitch	4bf58dd8d48988d1b9941735
College Football Field	\College & University\College Stadium\College Football Field	4bf58dd8d48988d1b8941735
College Hockey Rink	\College & University\College Stadium\College Hockey Rink	4bf58dd8d48988d1b5941735
College Soccer Field	\College & University\College Stadium\College Soccer Field	4bf58dd8d48988d1b7941735
College Tennis Court	\College & University\College Stadium\College Tennis Court	4e39a9cebd410d7aed40cbc4
College Track	\College & University\College Stadium\College Track	4bf58dd8d48988d1b6941735
College Theater	\College & University\College Theater	4bf58dd8d48988d1ac941735
Community College	\College & University\Community College	4bf58dd8d48988d1a2941735
Fraternity House	\College & University\Fraternity House	4bf58dd8d48988d1b0941735
General College & University	\College & University\General College & University	4bf58dd8d48988d1a8941735
Law School	\College & University\Law School	4bf58dd8d48988d1a6941735
Medical School	\College & University\Medical School	4bf58dd8d48988d1b3941735
Sorority House	\College & University\Sorority House	4bf58dd8d48988d141941735
Student Center	\College & University\Student Center	4bf58dd8d48988d1ab941735
Trade School	\College & University\Trade School	4bf58dd8d48988d1ad941735
University	\College & University\University	4bf58dd8d48988d1ae941735
Event	\Event	4d4b7105d754a06373d81259
Christmas Market	\Event\Christmas Market	52f2ab2ebcbc57f1066b8b3b
Conference	\Event\Conference	5267e4d9e4b0ec79466e48c6
Convention	\Event\Convention	5267e4d9e4b0ec79466e48c9
Festival	\Event\Festival	5267e4d9e4b0ec79466e48c7
Music Festival	\Event\Music Festival	5267e4d9e4b0ec79466e48d1
Other Event	\Event\Other Event	5267e4d9e4b0ec79466e48c8
Parade	\Event\Parade	52741d85e4b0d5d1e3c6a6d9
Stoop Sale	\Event\Stoop Sale	52f2ab2ebcbc57f1066b8b54
Street Fair	\Event\Street Fair	5267e4d8e4b0ec79466e48c5
Food	\Food	4d4b7105d754a06374d81259
Afghan Restaurant	\Food\Afghan Restaurant	503288ae91d4c4b30a586d67
African Restaurant	\Food\African Restaurant	4bf58dd8d48988d1c8941735
Ethiopian Restaurant	\Food\African Restaurant\Ethiopian Restaurant	4bf58dd8d48988d10a941735
American Restaurant	\Food\American Restaurant	4bf58dd8d48988d14e941735
New American Restaurant	\Food\American Restaurant\New American Restaurant	4bf58dd8d48988d157941735
Asian Restaurant	\Food\Asian Restaurant	4bf58dd8d48988d142941735
Burmese Restaurant	\Food\Asian Restaurant\Burmese Restaurant	56aa371be4b08b9a8d573568
Cambodian Restaurant	\Food\Asian Restaurant\Cambodian Restaurant	52e81612bcbc57f1066b7a03
Chinese Restaurant	\Food\Asian Restaurant\Chinese Restaurant	4bf58dd8d48988d145941735
Anhui Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Anhui Restaurant	52af3a5e3cf9994f4e043bea
Beijing Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Beijing Restaurant	52af3a723cf9994f4e043bec
Cantonese Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Cantonese Restaurant	52af3a7c3cf9994f4e043bed
Chinese Aristocrat Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Chinese Aristocrat Restaurant	52af3a673cf9994f4e043beb
Chinese Breakfast Place	\Food\Asian Restaurant\Chinese Restaurant\Chinese Breakfast Place	52af3a903cf9994f4e043bee
Dim Sum Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Dim Sum Restaurant	4bf58dd8d48988d1f5931735
Dongbei Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Dongbei Restaurant	52af3a9f3cf9994f4e043bef
Fujian Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Fujian Restaurant	52af3aaa3cf9994f4e043bf0
Guizhou Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Guizhou Restaurant	52af3ab53cf9994f4e043bf1
Hainan Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Hainan Restaurant	52af3abe3cf9994f4e043bf2
Hakka Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Hakka Restaurant	52af3ac83cf9994f4e043bf3
Henan Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Henan Restaurant	52af3ad23cf9994f4e043bf4
Hong Kong Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Hong Kong Restaurant	52af3add3cf9994f4e043bf5
Huaiyang Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Huaiyang Restaurant	52af3af23cf9994f4e043bf7
Hubei Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Hubei Restaurant	52af3ae63cf9994f4e043bf6
Hunan Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Hunan Restaurant	52af3afc3cf9994f4e043bf8
