venue	lon	lat	category	user	year	doy	dow	hour	txt
Panhandle Trail Sunnyside	-80.0951	40.4025	NA	brutalfrogz	2014	102	6	22	I'm at Panhandle Trail Sunnyside (Rennerdale, PA)
Mon Valley Initiative	-79.9092	40.4080	NA	IPhillyBoy2011	2014	66	5	17	I'm at Mon Valley Initiative (Homestead, PA)
Mon Valley Initiative	-79.9092	40.4080	NA	IPhillyBoy2011	2014	73	5	15	I'm at Mon Valley Initiative (Homestead, PA)
Mon Valley Initiative	-79.9092	40.4080	NA	IPhillyBoy2011	2014	101	5	18	I'm at Mon Valley Initiative (Homestead, PA)
Mon Valley Initiative	-79.9092	40.4080	NA	IPhillyBoy2011	2014	101	5	18	I'm at Mon Valley Initiative (Homestead, PA)
Aspinwall	-79.9033	40.4908	NA	brexx_nirpaw	2014	40	0	17	I'm at Aspinwall (Pittsburgh, PA)
Aspinwall	-79.9033	40.4908	NA	brexx_nirpaw	2014	167	1	19	I'm at Aspinwall (Pittsburgh, PA)
Aspinwall	-79.9033	40.4908	NA	BAVars914	2014	174	1	23	I'm at Aspinwall (Pittsburgh, PA)
Aspinwall	-79.9033	40.4908	NA	Chefjammer	2014	340	6	7	I'm at Aspinwall in Pittsburgh, PA
Maury's Pad	-80.0032	40.4396	NA	magmccauley	2014	155	3	3	I'm at Maury's Pad (Pittsburgh, PA)
Grandparent's House	-79.8801	40.4489	NA	meowwDesiree	2014	61	0	20	I'm at Grandparent's House (Wilkinsburg, PA)
Herron Ave Busway Bridge	-79.9665	40.4595	NA	RandPitt	2014	115	5	21	I'm at Herron Ave Busway Bridge (Pittsburgh, PA)
Pittsburgh	-80.0765	40.4816	NA	iFredLee	2014	59	5	23	Just posted a photo Pittsburgh, PA
AlphaLab	-79.9235	40.4620	NA	derekkoch	2015	268	5	16	I'm at AlphaLab in Pittsburgh, PA
The Pittsburgh Popcorn Company	-79.9829	40.4515	NA	DannyBlitzK	2014	68	0	18	I'm at The Pittsburgh Popcorn Company w/
The Pittsburgh Popcorn Company	-79.9829	40.4515	NA	dbh7885	2014	83	1	14	I'm at The Pittsburgh Popcorn Company (Pittsburgh, PA)
The Pittsburgh Popcorn Company	-79.9829	40.4515	NA	jinindy	2014	88	6	18	I'm at The Pittsburgh Popcorn Company w/
The Pittsburgh Popcorn Company	-79.9829	40.4515	NA	lvallana	2014	112	2	14	I'm at The Pittsburgh Popcorn Company (Pittsburgh, PA)
The Pittsburgh Popcorn Company	-79.9829	40.4515	NA	chernysh	2014	123	6	18	I'm at The Pittsburgh Popcorn Company (Pittsburgh, PA)
The Pittsburgh Popcorn Company	-79.9829	40.4515	NA	thestephyp	2014	137	6	19	I'm at The Pittsburgh Popcorn Company (Pittsburgh, PA)
The Pittsburgh Popcorn Company	-79.9829	40.4515	NA	realjasonstru	2014	171	5	15	I'm at The Pittsburgh Popcorn Company (Pittsburgh, PA)
The Pittsburgh Popcorn Company	-79.9829	40.4515	NA	LolaAM	2014	198	4	19	I'm at The Pittsburgh Popcorn Company (Pittsburgh, PA)
The Pittsburgh Popcorn Company	-79.9829	40.4515	NA	mike44red	2014	305	6	18	I'm at The Pittsburgh Popcorn Company in Pittsburgh, PA
The Pittsburgh Popcorn Company	-79.9829	40.4515	NA	lisarec	2014	353	5	18	I'm at The Pittsburgh Popcorn Company in Pittsburgh, PA
The Pittsburgh Popcorn Company	-79.9829	40.4515	NA	BrunoRavel	2015	239	4	18	I'm at The Pittsburgh Popcorn Company - in Pittsburgh, PA
Downtown Pittsburgh	-79.9984	40.4429	NA	joncmu	2014	145	0	1	I'm at Downtown Pittsburgh (Pittsburgh, PA)
Downtown Pittsburgh	-79.9984	40.4429	NA	IPhillyBoy2011	2014	145	0	21	I'm at Downtown Pittsburgh (Pittsburgh, PA) w/ 2 others
Broudy Printing	-79.9140	40.4613	NA	AtoZcomm	2014	181	1	20	I'm at Broudy Printing (East Liberty, PA)
Gandy Dancer Saloon	-80.0037	40.4332	NA	fwebmail	2014	204	3	23	I'm at Gandy Dancer Saloon (Pittsburgh, PA)
Gandy Dancer Saloon	-80.0037	40.4332	NA	ShelbyT20	2015	119	3	22	I'm at Gandy Dancer Saloon in Pittsburgh, PA
Munhall Borough Building & Police Station	-79.9045	40.3990	NA	techburgh	2014	23	4	20	I'm at Munhall Borough Building &amp; Police Station (Munhall, PA)
Munhall Borough Building & Police Station	-79.9045	40.3990	NA	techburgh	2014	25	6	11	I'm at Munhall Borough Building &amp; Police Station (Munhall, PA)
Munhall Borough Building & Police Station	-79.9045	40.3990	NA	techburgh	2014	26	0	19	I'm at Munhall Borough Building &amp; Police Station (Munhall, PA)
Munhall Borough Building & Police Station	-79.9045	40.3990	NA	techburgh	2014	41	1	19	I'm at Munhall Borough Building &amp; Police Station (Munhall, PA)
Munhall Borough Building & Police Station	-79.9045	40.3990	NA	techburgh	2014	46	6	11	I'm at Munhall Borough Building &amp; Police Station (Munhall, PA)
Munhall Borough Building & Police Station	-79.9045	40.3990	NA	techburgh	2014	47	0	19	I'm at Munhall Borough Building &amp; Police Station (Munhall, PA)
Munhall Borough Building & Police Station	-79.9045	40.3990	NA	techburgh	2014	48	1	3	I'm at Munhall Borough Building &amp; Police Station (Munhall, PA)
Munhall Borough Building & Police Station	-79.9045	40.3990	NA	techburgh	2014	59	5	12	I'm at Munhall Borough Building &amp; Police Station (Munhall, PA)
Munhall Borough Building & Police Station	-79.9045	40.3990	NA	techburgh	2014	60	6	11	I'm at Munhall Borough Building &amp; Police Station (Munhall, PA)
Munhall Borough Building & Police Station	-79.9045	40.3990	NA	techburgh	2014	63	2	19	I'm at Munhall Borough Building &amp; Police Station (Munhall, PA)
Munhall Borough Building & Police Station	-79.9045	40.3990	NA	techburgh	2014	68	0	18	I'm at Munhall Borough Building &amp; Police Station (Munhall, PA)
Munhall Borough Building & Police Station	-79.9045	40.3990	NA	techburgh	2014	72	4	2	I'm at Munhall Borough Building &amp; Police Station (Munhall, PA)
Munhall Borough Building & Police Station	-79.9045	40.3990	NA	techburgh	2014	74	6	11	I'm at Munhall Borough Building &amp; Police Station (Munhall, PA)
Munhall Borough Building & Police Station	-79.9045	40.3990	NA	techburgh	2014	81	6	11	I'm at Munhall Borough Building &amp; Police Station (Munhall, PA)
Munhall Borough Building & Police Station	-79.9045	40.3990	NA	techburgh	2014	82	0	19	I'm at Munhall Borough Building &amp; Police Station (Munhall, PA)
Munhall Borough Building & Police Station	-79.9045	40.3990	NA	techburgh	2014	89	0	18	I'm at Munhall Borough Building &amp; Police Station (Munhall, PA)
Munhall Borough Building & Police Station	-79.9045	40.3990	NA	techburgh	2014	90	1	18	I'm at Munhall Borough Building &amp; Police Station (Munhall, PA)
Peace	-79.9841	40.4521	NA	jinindy	2014	89	0	14	I'm at Peace, Love &amp; Little Donuts - (Pittsburgh, PA)
Peace	-79.9841	40.4521	NA	Chris_Biebel	2014	119	2	14	I'm at Peace, Love &amp; Little Donuts - (Pittsburgh, PA)
Peace	-79.9841	40.4521	NA	chernysh	2014	123	6	19	I'm at Peace, Love &amp; Little Donuts - (Pittsburgh, PA) w/ 2 others
Peace	-79.9841	40.4521	NA	TannerGlaves	2014	166	0	16	Just posted a photo Peace, Love and Little Donuts
Peace	-79.9841	40.4521	NA	BenzaBurgh	2014	361	6	13	Just posted a photo Peace, Love and Little Donuts
Alpine Bar	-80.0247	40.4110	NA	jmarcowelker	2015	276	6	1	I'm at Alpine Bar in Pittsburgh, PA
Parkway	-79.8884	40.4290	NA	Felicia7997	2014	68	0	17	I'm at Parkway (Pittsburgh, PA)
Primanti Bros.	-79.9855	40.4508	NA	joellexawsm	2014	170	4	4	Just posted a photo Primanti Bros.
Primanti Bros.	-79.9855	40.4508	NA	adeltorocs	2014	205	4	0	Just posted a photo Primanti Bros.
Primanti Bros.	-79.9855	40.4508	NA	BenzaBurgh	2014	276	5	1	Just posted a photo Primanti Bros.
Primanti Bros.	-79.9855	40.4508	NA	rrLoganLloyd	2015	156	5	16	Just posted a photo Primanti Bros.
Primanti Bros.	-79.9855	40.4508	NA	HeathaMarie3490	2015	286	2	15	Just posted a photo Primanti Bros.
Primanti Bros.	-79.9855	40.4508	NA	becervino	2015	306	1	2	Just posted a photo Primanti Bros.
Altiuspgh	-80.0192	40.4385	NA	trelles09	2014	361	6	0	Just posted a photo Altiuspgh
Altiuspgh	-80.0192	40.4385	NA	NadineLister	2015	201	1	3	Just posted a photo Altiuspgh
West End	-80.0364	40.4390	NA	tonkakidd	2014	73	5	13	I'm at West End (Pittsburgh, PA)
Small Seeds Development Inc	-79.9236	40.4627	NA	IPhillyBoy2011	2014	122	5	5	I'm at Small Seeds Development Inc (Pittsburgh, PA)
Small Seeds Development Inc	-79.9236	40.4627	NA	IPhillyBoy2011	2014	127	3	13	I'm at Small Seeds Development Inc (Pittsburgh, PA)
Small Seeds Development Inc	-79.9236	40.4627	NA	IPhillyBoy2011	2014	129	5	5	I'm at Small Seeds Development Inc (Pittsburgh, PA)
Small Seeds Development Inc	-79.9236	40.4627	NA	IPhillyBoy2011	2014	130	6	18	I'm at Small Seeds Development Inc (Pittsburgh, PA)
Bar Nine	-79.9972	40.4444	NA	IPhillyBoy2011	2014	37	4	15	I'm at Bar Nine (Pittsburgh, PA)
Bar Nine	-79.9972	40.4444	NA	IPhillyBoy2011	2014	37	4	15	I'm at Bar Nine (Pittsburgh, PA)
Bar Nine	-79.9972	40.4444	NA	IPhillyBoy2011	2014	117	0	16	I'm at Bar Nine (Pittsburgh, PA)
Bar Nine	-79.9972	40.4444	NA	IPhillyBoy2011	2014	120	3	22	I'm at Bar Nine (Pittsburgh, PA)
Bar Nine	-79.9972	40.4444	NA	IPhillyBoy2011	2014	122	5	5	I'm at Bar Nine (Pittsburgh, PA)
Bar Nine	-79.9972	40.4444	NA	IPhillyBoy2011	2014	123	6	12	I'm at Bar Nine (Pittsburgh, PA)
Bar Nine	-79.9972	40.4444	NA	IPhillyBoy2011	2014	124	0	17	I'm at Bar Nine (Pittsburgh, PA)
Bar Nine	-79.9972	40.4444	NA	IPhillyBoy2011	2014	126	2	0	I'm at Bar Nine (Pittsburgh, PA)
Bar Nine	-79.9972	40.4444	NA	IPhillyBoy2011	2014	129	5	5	I'm at Bar Nine (Pittsburgh, PA)
Bar Nine	-79.9972	40.4444	NA	IPhillyBoy2011	2014	130	6	3	I'm at Bar Nine (Pittsburgh, PA)
Sonny's Tavern	-79.9476	40.4579	NA	gneiss_girl	2015	25	0	5	Just posted a photo Sonny's Tavern
The Church Brew Works	-79.9644	40.4621	NA	NickBrown430	2014	24	5	23	I'm at The Church Brew Works (Pittsburgh, PA)
The Church Brew Works	-79.9644	40.4621	NA	michgal_ga	2014	29	3	23	I'm at The Church Brew Works w/
The Church Brew Works	-79.9644	40.4621	NA	travelingtatum	2014	32	6	0	I'm at The Church Brew Works (Pittsburgh, PA) w/ 3 others
The Church Brew Works	-79.9644	40.4621	NA	stephhohhnee	2014	39	6	20	I'm at The Church Brew Works (Pittsburgh, PA) w/ 2 others
The Church Brew Works	-79.9644	40.4621	NA	AtoZcomm	2014	43	3	22	I'm at The Church Brew Works (Pittsburgh, PA)
The Church Brew Works	-79.9644	40.4621	NA	spode411	2014	48	1	23	I'm at The Church Brew Works (Pittsburgh, PA) w/ 3 others
The Church Brew Works	-79.9644	40.4621	NA	cactus901	2014	61	0	0	I'm at The Church Brew Works (Pittsburgh, PA) w/ 6 others
The Church Brew Works	-79.9644	40.4621	NA	chrkim87	2014	61	0	0	I'm at The Church Brew Works (Pittsburgh, PA) w/ 10 others
The Church Brew Works	-79.9644	40.4621	NA	DannyBlitzK	2014	68	0	19	I'm at The Church Brew Works (Pittsburgh, PA) w/ 2 others
The Church Brew Works	-79.9644	40.4621	NA	clwatt3	2014	75	0	0	I'm at The Church Brew Works (Pittsburgh, PA)
The Church Brew Works	-79.9644	40.4621	NA	clwatt3	2014	81	6	22	I'm at The Church Brew Works (Pittsburgh, PA) w/ 5 others
The Church Brew Works	-79.9644	40.4621	NA	jinindy	2014	89	0	16	I'm at The Church Brew Works w/
The Church Brew Works	-79.9644	40.4621	NA	gregpruitt	2014	93	4	23	I'm at The Church Brew Works w/
The Church Brew Works	-79.9644	40.4621	NA	JasonSudbury	2014	94	5	2	I'm at The Church Brew Works (Pittsburgh, PA) w/ 2 others
The Church Brew Works	-79.9644	40.4621	NA	lauramoldham	2014	95	6	16	I'm at The Church Brew Works w/
The Church Brew Works	-79.9644	40.4621	NA	PensBoozeAnger	2014	95	6	16	I'm at The Church Brew Works (Pittsburgh, PA) w/ 2 others
The Church Brew Works	-79.9644	40.4621	NA	sherri_earl	2014	96	0	0	I'm at The Church Brew Works (Pittsburgh, PA) w/ 6 others
The Church Brew Works	-79.9644	40.4621	NA	JasonSudbury	2014	106	3	14	I'm at The Church Brew Works (Pittsburgh, PA)
The Church Brew Works	-79.9644	40.4621	NA	nowalkarazzi	2014	116	6	17	I'm at The Church Brew Works (Pittsburgh, PA) w/ 5 others
The Church Brew Works	-79.9644	40.4621	NA	NickBrown430	2014	120	3	22	I'm at The Church Brew Works (Pittsburgh, PA)
The Church Brew Works	-79.9644	40.4621	NA	DeltaAgent	2014	124	0	20	I'm at The Church Brew Works (Pittsburgh, PA) w/ 7 others
The Church Brew Works	-79.9644	40.4621	NA	grifftyne	2014	127	3	17	I'm at The Church Brew Works (Pittsburgh, PA)
The Church Brew Works	-79.9644	40.4621	NA	CurtisLee21	2014	130	6	21	I'm at The Church Brew Works (Pittsburgh, PA) w/ 8 others
The Church Brew Works	-79.9644	40.4621	NA	AllenTaylorFoto	2014	137	6	0	I'm at The Church Brew Works (Pittsburgh, PA) w/ 6 others
The Church Brew Works	-79.9644	40.4621	NA	Dee_Huest	2014	144	6	16	I'm at The Church Brew Works (Pittsburgh, PA)
The Church Brew Works	-79.9644	40.4621	NA	JenIsGreen	2014	145	0	22	I'm at The Church Brew Works (Pittsburgh, PA) w/ 4 others
The Church Brew Works	-79.9644	40.4621	NA	hendersonar	2014	146	1	18	I'm at The Church Brew Works (Pittsburgh, PA)
The Church Brew Works	-79.9644	40.4621	NA	Nikeo815	2014	150	5	18	I'm at The Church Brew Works (Pittsburgh, PA)
The Church Brew Works	-79.9644	40.4621	NA	JP_Worley	2014	151	6	18	I'm at The Church Brew Works (Pittsburgh, PA) w/ 4 others
The Church Brew Works	-79.9644	40.4621	NA	GLKirkpatrick	2014	156	4	16	I'm at The Church Brew Works (Pittsburgh, PA) w/ 2 others
The Church Brew Works	-79.9644	40.4621	NA	thekmankavfam	2014	163	4	19	I'm at The Church Brew Works (Pittsburgh, PA)
The Church Brew Works	-79.9644	40.4621	NA	mrstevegross	2014	164	5	23	I'm at The Church Brew Works (Pittsburgh, PA) w/ 2 others
The Church Brew Works	-79.9644	40.4621	NA	d0o0fy	2014	175	2	21	I'm at The Church Brew Works w/
The Church Brew Works	-79.9644	40.4621	NA	mier_benja	2014	181	1	18	I'm at The Church Brew Works (Pittsburgh, PA)
The Church Brew Works	-79.9644	40.4621	NA	Preebs	2014	183	3	22	I'm at The Church Brew Works (Pittsburgh, PA) w/ 2 others
The Church Brew Works	-79.9644	40.4621	NA	tracy73077	2014	187	0	18	I'm at The Church Brew Works (Pittsburgh, PA) w/ 4 others
The Church Brew Works	-79.9644	40.4621	NA	fwebmail	2014	204	3	22	I'm at The Church Brew Works (Pittsburgh, PA)
The Church Brew Works	-79.9644	40.4621	NA	ConcertSurfer	2014	208	0	0	I'm at The Church Brew Works (Pittsburgh, PA) w/ 2 others
The Church Brew Works	-79.9644	40.4621	NA	RossKressel	2014	220	5	23	I'm at The Church Brew Works in Pittsburgh, PA w/ 3 others
The Church Brew Works	-79.9644	40.4621	NA	MomAteMyGod	2014	245	2	0	I'm at The Church Brew Works in Pittsburgh, PA
The Church Brew Works	-79.9644	40.4621	NA	chelsea_faust	2014	273	2	23	I'm at The Church Brew Works in Pittsburgh, PA
The Church Brew Works	-79.9644	40.4621	NA	SimplyxBecause	2014	284	6	1	I'm at The Church Brew Works in Pittsburgh, PA
The Church Brew Works	-79.9644	40.4621	NA	unvegan	2014	288	3	23	I'm at The Church Brew Works in Pittsburgh, PA
The Church Brew Works	-79.9644	40.4621	NA	Rzakooleevol5	2014	335	1	1	I'm at The Church Brew Works in Pittsburgh, PA
The Church Brew Works	-79.9644	40.4621	NA	johncarter_net	2014	337	3	23	I'm at The Church Brew Works in Pittsburgh, PA
The Church Brew Works	-79.9644	40.4621	NA	JessicaRricci	2014	348	0	4	I'm at The Church Brew Works in Pittsburgh, PA
The Church Brew Works	-79.9644	40.4621	NA	spots87	2014	350	2	22	I'm at The Church Brew Works in Pittsburgh, PA
The Church Brew Works	-79.9644	40.4621	NA	BurghJacks	2015	55	2	18	I'm at The Church Brew Works in Pittsburgh, PA
The Church Brew Works	-79.9644	40.4621	NA	veiders	2015	59	6	21	I'm at The Church Brew Works in Pittsburgh, PA
The Church Brew Works	-79.9644	40.4621	NA	jbaut	2015	66	6	1	I'm at The Church Brew Works in Pittsburgh, PA
The Church Brew Works	-79.9644	40.4621	NA	DeltaAgent	2015	73	6	21	I'm at The Church Brew Works in Pittsburgh, PA
The Church Brew Works	-79.9644	40.4621	NA	DerrinCLE	2015	185	6	17	I'm at The Church Brew Works in Pittsburgh, PA
The Church Brew Works	-79.9644	40.4621	NA	G33kyG1rl	2015	185	6	22	I'm at The Church Brew Works in Pittsburgh, PA
The Church Brew Works	-79.9644	40.4621	NA	Ktiav_	2015	187	1	22	I'm at The Church Brew Works in Pittsburgh, PA
The Church Brew Works	-79.9644	40.4621	NA	RachelElizaFall	2015	201	1	21	I'm at The Church Brew Works in Pittsburgh, PA
The Church Brew Works	-79.9644	40.4621	NA	iamandrewgraham	2015	241	6	22	I'm at The Church Brew Works in Pittsburgh, PA
The Church Brew Works	-79.9644	40.4621	NA	baby_sirens	2015	254	5	23	I'm at The Church Brew Works in Pittsburgh, PA
The Church Brew Works	-79.9644	40.4621	NA	ScottyNack	2015	275	5	18	I'm at The Church Brew Works in Pittsburgh, PA
The Church Brew Works	-79.9644	40.4621	NA	TheChelFiasco	2015	276	6	0	I'm at The Church Brew Works in Pittsburgh, PA
The Church Brew Works	-79.9644	40.4621	NA	daveyakir	2014	25	6	17	Just posted a photo The Church Brew Works
The Church Brew Works	-79.9644	40.4621	NA	daveyakir	2014	25	6	19	Just posted a photo The Church Brew Works
The Church Brew Works	-79.9644	40.4621	NA	kraym3r	2014	85	3	19	Just posted a photo The Church Brew Works
The Church Brew Works	-79.9644	40.4621	NA	kraym3r	2014	85	3	19	Just posted a photo The Church Brew Works
The Church Brew Works	-79.9644	40.4621	NA	kraym3r	2014	85	3	19	Just posted a photo The Church Brew Works
The Church Brew Works	-79.9644	40.4621	NA	kraym3r	2014	85	3	19	Just posted a photo The Church Brew Works
The Church Brew Works	-79.9644	40.4621	NA	Hanpa_etc	2014	197	3	18	Just posted a photo The Church Brew Works
The Church Brew Works	-79.9644	40.4621	NA	AlterEgoTheo	2014	277	6	16	Just posted a photo The Church Brew Works
The Church Brew Works	-79.9644	40.4621	NA	AisforAylin	2014	285	0	18	Just posted a photo The Church Brew Works
The Church Brew Works	-79.9644	40.4621	NA	Rzakooleevol5	2014	335	1	1	Just posted a photo The Church Brew Works
The Church Brew Works	-79.9644	40.4621	NA	ChrispyOnDrums	2015	66	6	6	Just posted a photo The Church Brew Works
31st Street Studios	-79.9732	40.4616	NA	MaggiesFarmRum	2015	242	0	0	Just posted a photo 31st Street Studios
Patrick T. Fagan Overlook	-80.0065	40.4317	NA	renise99	2014	243	0	21	Just posted a photo Patrick T. Fagan Overlook
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2014	341	0	20	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2014	344	3	0	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2014	344	3	22	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2014	347	6	20	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2014	362	0	18	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2014	364	2	0	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2014	364	2	17	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	4	0	17	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	6	2	0	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	7	3	0	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	7	3	23	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	10	6	20	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	11	0	14	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	13	2	0	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	14	3	0	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	14	3	23	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	16	5	2	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	18	0	16	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	20	2	1	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	24	6	20	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	25	0	13	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	28	3	0	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	32	0	14	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	34	2	2	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	35	3	23	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	39	0	14	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	42	3	0	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	43	4	1	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	44	5	21	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	47	1	23	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	53	0	20	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	56	3	0	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	57	4	0	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	58	5	20	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	59	6	21	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	60	0	17	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	bryan_koval	2015	66	6	20	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	75	1	21	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	77	3	0	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	110	1	23	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	112	3	22	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	115	6	19	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	117	1	21	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	121	5	0	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	140	3	22	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	181	2	1	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	189	3	0	I'm at JCC Fitness Center in Pittsburgh, PA
JCC Fitness Center	-79.9238	40.4375	NA	RossKressel	2015	189	3	21	I'm at JCC Fitness Center in Pittsburgh, PA
California-Kirkbride	-80.0230	40.4610	NA	IPhillyBoy2011	2014	70	2	19	I'm at California-Kirkbride (Pittsburgh, PA)
Birmingham Bridge	-79.9733	40.4349	NA	cbogan1	2014	162	3	14	I'm at Birmingham Bridge (Pittsburgh, PA)
Aquinas Hall	-79.9641	40.4387	NA	IPhillyBoy2011	2014	100	4	3	I'm at Aquinas Hall (Pittsburgh, PA)
NOLA on the Square	-80.0028	40.4410	NA	timparenti	2014	23	4	0	I'm at NOLA on the Square - (Pittsburgh, PA)
NOLA on the Square	-80.0028	40.4410	NA	TaraLester	2014	44	4	2	I'm at NOLA on the Square - (Pittsburgh, PA)
NOLA on the Square	-80.0028	40.4410	NA	chernysh	2014	52	5	17	I'm at NOLA on the Square - (Pittsburgh, PA)
NOLA on the Square	-80.0028	40.4410	NA	stephanie_yount	2014	54	0	1	I'm at NOLA on the Square - (Pittsburgh, PA) w/ 2 others
NOLA on the Square	-80.0028	40.4410	NA	IPhillyBoy2011	2014	77	2	21	I'm at NOLA on the Square - (Pittsburgh, PA)
NOLA on the Square	-80.0028	40.4410	NA	IPhillyBoy2011	2014	138	0	22	I'm at NOLA on the Square - (Pittsburgh, PA)
NOLA on the Square	-80.0028	40.4410	NA	psuftk08	2014	356	1	21	I'm at NOLA on the Square - in Pittsburgh, PA w/
NOLA on the Square	-80.0028	40.4410	NA	spots87	2015	46	0	0	I'm at NOLA on the Square - in Pittsburgh, PA
NOLA on the Square	-80.0028	40.4410	NA	meetjenn	2015	71	4	21	I'm at NOLA on the Square - in Pittsburgh, PA
NOLA on the Square	-80.0028	40.4410	NA	Twism44	2015	136	6	2	I'm at NOLA on the Square - in Pittsburgh, PA
NOLA on the Square	-80.0028	40.4410	NA	Thea_Mae	2015	139	2	0	I'm at NOLA on the Square - in Pittsburgh, PA
NOLA on the Square	-80.0028	40.4410	NA	ParrotHead134	2015	161	3	17	I'm at NOLA on the Square - in Pittsburgh, PA
