venue	lon	lat	category	user	year	doy	dow	hour	txt
Noodles & Company	-80.0020	40.4410	NA	Silent_Jon	2015	224	3	22	I'm at Noodles &amp; Company in Pittsburgh, PA
Noodles & Company	-80.0020	40.4410	NA	AbadiAlzbadi	2015	241	6	0	I'm at Noodles &amp; Company in Pittsburgh, PA
Yokoso! Japanese Steak House	-79.9155	40.4090	NA	YmAlmansour	2015	74	0	2	I'm at Yokoso! Japanese Steak House in Homestead, PA
Yokoso! Japanese Steak House	-79.9155	40.4090	NA	aziztuwaijri17	2015	74	0	21	I'm at Yokoso! Japanese Steak House in Homestead, PA w/
Yokoso! Japanese Steak House	-79.9155	40.4090	NA	ficmacdady	2015	77	3	16	I'm at Yokoso! Japanese Steak House in Homestead, PA
Yokoso! Japanese Steak House	-79.9155	40.4090	NA	mike8120	2015	116	0	0	I'm at Yokoso! Japanese Steak House in Homestead, PA
Diyors Pizza	-80.0395	40.4251	NA	IPhillyBoy2011	2014	97	1	21	I'm at Diyors Pizza (Pittsburgh, PA)
Brashear High School	-80.0178	40.4185	NA	Kneal46	2014	118	1	19	I'm at Brashear High School (Pittsburgh, PA)
Beer Express	-80.0929	40.4408	NA	Silent_Jon	2014	213	5	1	I'm at Beer Express in Allegheny, PA
Station Square East Parking Lot	-80.0018	40.4318	NA	BaroneStephanie	2015	63	3	15	I'm at Station Square East Parking Lot in Pittsburgh, PA
Station Square East Parking Lot	-80.0018	40.4318	NA	RosenBalm567	2015	74	0	21	I'm at Station Square East Parking Lot in Pittsburgh, PA
Station Square East Parking Lot	-80.0018	40.4318	NA	BigGunz_	2015	210	3	23	I'm at Station Square East Parking Lot in Pittsburgh, PA
Sapporo Japanese Steakhouse	-80.0910	40.4399	NA	IPhillyBoy2011	2014	156	4	12	I'm at Sapporo Japanese Steakhouse (Pittsburgh, PA)
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	73	6	2	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	74	0	18	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	75	1	22	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	77	3	21	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	78	4	22	I'm at The Scrivens Cave in Pittsburgh, PA
