how,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster10,cluster11,cluster12,cluster13,cluster15,cluster16,cluster18
135,30,4,5,4,5,0,11,2,0,1,0,3,3,21
136,57,6,5,11,0,5,6,5,0,2,5,12,6,11
137,35,9,0,7,12,2,10,2,0,3,1,1,0,13
138,24,14,1,10,5,9,14,0,0,0,0,2,1,11
139,22,4,0,9,9,2,15,3,0,1,3,0,0,7
140,11,5,5,15,8,12,6,2,0,9,1,2,0,10
141,53,13,4,15,13,7,2,0,0,0,4,9,0,11
142,51,14,4,30,7,7,6,0,0,7,1,10,2,3
143,56,11,3,20,10,7,14,0,0,8,2,9,4,6
144,60,12,0,15,9,1,3,3,0,2,2,10,0,6
145,33,3,2,19,3,2,3,0,0,10,1,14,3,9
146,45,3,2,16,13,2,4,0,0,8,1,6,6,4
147,31,5,2,24,4,5,6,0,0,4,3,1,0,9
148,21,0,0,23,0,0,9,0,0,3,1,0,0,8
149,13,9,0,16,0,2,3,0,0,1,0,0,3,0
150,4,2,0,1,0,0,8,0,0,0,0,0,0,0
151,6,0,0,1,0,0,5,0,0,0,0,0,0,0
152,1,1,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,5,0,0,0,0,0,0,0,0,0,0,0,0,0
155,5,0,1,1,2,0,0,0,0,0,0,0,0,15
156,9,0,0,4,0,0,4,0,0,2,0,8,0,25
157,22,2,0,12,2,0,16,0,0,2,1,2,2,5
158,23,6,3,14,2,2,7,2,0,1,1,2,3,8
159,32,10,1,11,9,5,16,5,0,3,1,1,1,16
160,52,16,2,12,4,12,22,0,0,5,4,10,2,6
161,76,15,3,17,8,7,33,2,0,3,2,4,0,23
162,44,15,0,16,12,1,30,0,0,4,2,9,8,15
163,50,15,0,12,7,0,28,5,0,1,3,2,8,17
164,43,18,2,15,3,6,17,2,0,3,2,4,5,7
165,36,5,3,24,10,2,15,1,0,9,2,5,2,14
166,35,8,3,16,10,3,13,0,0,4,1,9,2,3
167,39,14,2,27,5,2,5,1,0,2,0,6,4,14
