venue	txt	lon	lat	user	year	doy	dow	hour	senti_val
Hamburg Hall - Carnegie Mellon University's Heinz College	-79.9454	40.4442	bluesource	2014	284	6	20	0.000	Just posted a photo Hamburg Hall - Carnegie Mellon University's Heinz College
Hamburg Hall - Carnegie Mellon University's Heinz College	-79.9447	40.4444	sky_xutianyu	2015	281	4	4	0.000	Just posted a photo Hamburg Hall - Carnegie Mellon University's Heinz College
Chicago Illinois	-79.9815	40.4298	ayesha_jah	2014	218	3	1	0.000	Just posted a photo Chicago Illinois
Waterworks Mall	-79.8892	40.4878	BenzaBurgh	2014	28	2	5	0.000	Just posted a photo Waterworks Mall
University of Pittsburgh	-79.9553	40.4438	NadineLister	2015	201	1	3	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9553	40.4438	colleen_NYC	2015	201	1	19	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9526	40.4446	ABananaPepper	2015	298	0	20	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9603	40.4309	KeepPghDope	2015	306	1	4	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9526	40.4446	mfen87	2015	166	1	11	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9526	40.4446	mfen87	2015	267	4	2	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9526	40.4446	LeMIChar	2015	270	0	11	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9526	40.4446	LeMIChar	2015	270	0	11	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9526	40.4446	LeMIChar	2015	270	0	13	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9549	40.4433	megLtay	2014	89	0	16	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9546	40.4444	jtimberger	2015	13	2	15	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9566	40.4419	MaizeeDevlin	2014	330	3	3	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9566	40.4419	saalshaleh	2014	181	1	20	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9552	40.4435	sarahh_grahamm	2014	36	3	3	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9538	40.4457	Jhogue25	2014	114	4	19	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9526	40.4446	DHaoliang	2015	241	6	6	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9526	40.4446	Pwake	2015	279	2	14	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9526	40.4446	Pwake	2015	279	2	14	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9538	40.4457	Jhogue25	2014	114	4	19	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9526	40.4446	AndyBNYC	2015	169	4	18	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9526	40.4446	ameblaz	2015	236	1	21	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9526	40.4446	mfen87	2015	267	4	2	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9526	40.4446	LeMIChar	2015	270	0	11	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9526	40.4446	LeMIChar	2015	270	0	11	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9526	40.4446	LeMIChar	2015	270	0	13	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9526	40.4446	Pwake	2015	279	2	14	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9526	40.4446	GideonShils	2015	284	0	22	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9526	40.4446	moconnor815	2015	226	5	19	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9526	40.4446	MauricioVilo	2015	233	5	22	0.000	Just posted a photo University of Pittsburgh
University of Pittsburgh	-79.9526	40.4446	DHaoliang	2015	241	6	6	0.000	Just posted a photo University of Pittsburgh
Golds Gym	-80.0040	40.4409	Moss412	2014	120	3	3	0.000	Just posted a photo Golds Gym
Golds Gym	-80.0040	40.4409	Moss412	2014	120	3	3	0.000	Just posted a photo Golds Gym
Golds Gym	-80.0040	40.4409	Moss412	2014	120	3	3	0.000	Just posted a photo Golds Gym
Mon Wharf	-80.0043	40.4375	LegacyAvenue	2015	196	3	18	0.000	Just posted a photo Mon Wharf
Mon Wharf	-80.0051	40.4381	4meatnpotatoes	2014	277	6	15	0.000	Just posted a photo Mon Wharf
Mon Wharf	-80.0043	40.4375	LegacyAvenue	2015	196	3	18	0.000	Just posted a photo Mon Wharf
Mon Wharf	-80.0051	40.4381	4meatnpotatoes	2014	277	6	15	0.000	Just posted a photo Mon Wharf
Pittsburgh!	-79.9920	40.4386	cjordanWV	2014	71	3	19	0.000	Just posted a photo Pittsburgh!
Pittsburgh!	-79.9920	40.4386	jasondensmore	2014	94	5	21	0.000	Just posted a photo Pittsburgh!
Kbox	-79.9490	40.4459	doubleorabbit	2015	184	5	5	0.000	Just posted a photo Kbox
Cornerstone Restaurant and Bar	-79.9034	40.4897	Orangechairblog	2014	82	0	17	0.000	Just posted a photo Cornerstone Restaurant and Bar
idk i love this picture	-79.9633	40.3663	jananedicc	2015	4	0	0	0.264	Just posted a photo idk i love this picture
idk i love this picture	-79.9633	40.3663	jananedicc	2015	4	0	0	0.264	Just posted a photo idk i love this picture
Soho	-80.0046	40.4483	coolc_412	2014	207	6	2	0.000	Just posted a photo Soho
Soho	-80.0045	40.4483	jrmpix	2014	94	5	0	0.000	Just posted a photo Soho
PA Wine &amp; Spirits	-79.9266	40.4590	Andy1Volz	2014	111	1	22	0.000	Just posted a photo PA Wine &amp; Spirits
University of Pittsburgh Graduate School of Public Health	-79.9590	40.4431	kttttt	2014	108	5	17	0.000	Just posted a photo University of Pittsburgh Graduate School of Public Health
University of Pittsburgh Graduate School of Public Health	-79.9590	40.4431	kttttt	2014	108	5	17	0.000	Just posted a photo University of Pittsburgh Graduate School of Public Health
Mexican War Sweets	-80.0130	40.4579	JoshLouie	2015	302	4	2	-0.063	Just posted a photo Mexican War Sweets
Round Corner Cantina	-79.9640	40.4665	badley_bratt	2014	91	2	3	0.000	Just posted a photo Round Corner Cantina
Round Corner Cantina	-79.9643	40.4668	bellalaquatra	2014	109	6	0	0.000	Just posted a photo Round Corner Cantina
Round Corner Cantina	-79.9640	40.4665	badley_bratt	2014	91	2	3	0.000	Just posted a photo Round Corner Cantina
Round Corner Cantina	-79.9643	40.4668	bellalaquatra	2014	109	6	0	0.000	Just posted a photo Round Corner Cantina
Squirell Hill	-79.9238	40.4293	doubleorabbit	2015	184	5	0	0.000	Just posted a photo Squirell Hill
Squirell Hill	-79.9238	40.4293	doubleorabbit	2015	184	5	16	0.000	Just posted a photo Squirell Hill
Squirell Hill	-79.9238	40.4293	doubleorabbit	2015	184	5	0	0.000	Just posted a photo Squirell Hill
Squirell Hill	-79.9238	40.4293	doubleorabbit	2015	184	5	16	0.000	Just posted a photo Squirell Hill
Squirell Hill	-79.9238	40.4293	doubleorabbit	2015	184	5	16	0.000	Just posted a photo Squirell Hill
Squirell Hill	-79.9238	40.4293	doubleorabbit	2015	184	5	0	0.000	Just posted a photo Squirell Hill
Squirell Hill	-79.9238	40.4293	doubleorabbit	2015	184	5	0	0.000	Just posted a photo Squirell Hill
The Smiling Moose	-79.9849	40.4288	BryanMcClaine	2014	28	2	21	0.375	Just posted a photo The Smiling Moose
The Smiling Moose	-79.9850	40.4288	benkeen	2014	243	0	4	0.375	Just posted a photo The Smiling Moose
The Smiling Moose	-79.9850	40.4288	VintsSalvatore	2015	77	3	5	0.375	Just posted a photo The Smiling Moose
The Smiling Moose	-79.9850	40.4288	Tyleraelan	2014	224	2	1	0.375	Just posted a photo The Smiling Moose
The Smiling Moose	-79.9850	40.4288	Tyleraelan	2014	224	2	1	0.375	Just posted a photo The Smiling Moose
The Smiling Moose	-79.9850	40.4288	Jasonvoytek	2015	247	5	2	0.375	Just posted a photo The Smiling Moose
The Smiling Moose	-79.9850	40.4288	Jasonvoytek	2015	247	5	2	0.375	Just posted a photo The Smiling Moose
Bedford Dwellings, Pittsburgh, Pennsylvania	-79.9745	40.4507	KillaCamSODMG	2015	239	4	17	0.000	Just posted a photo Bedford Dwellings, Pittsburgh, Pennsylvania
Bedford Dwellings, Pittsburgh, Pennsylvania	-79.9745	40.4507	KillaCamSODMG	2015	239	4	17	0.000	Just posted a photo Bedford Dwellings, Pittsburgh, Pennsylvania
The ToonSeum	-79.9965	40.4436	patheticboy	2014	361	6	21	0.000	Just posted a photo The ToonSeum
The ToonSeum	-79.9965	40.4436	patheticboy	2014	361	6	21	0.000	Just posted a photo The ToonSeum
The ToonSeum	-79.9965	40.4436	patheticboy	2014	361	6	21	0.000	Just posted a photo The ToonSeum
The ToonSeum	-79.9965	40.4436	patheticboy	2014	361	6	21	0.000	Just posted a photo The ToonSeum
The ToonSeum	-79.9965	40.4436	patheticboy	2014	361	6	21	0.000	Just posted a photo The ToonSeum
The ToonSeum	-79.9965	40.4436	patheticboy	2014	361	6	21	0.000	Just posted a photo The ToonSeum
Rita's Italian Ice Southside	-79.9698	40.4279	mommyna77	2014	79	4	19	0.000	Just posted a photo Rita's Italian Ice Southside
Rita's Italian Ice Southside	-79.9698	40.4279	mommyna77	2014	79	4	19	0.000	Just posted a photo Rita's Italian Ice Southside
Meat &amp; Potatoes	-80.0006	40.4433	JoshLouie	2015	52	6	17	0.000	Just posted a photo Meat &amp; Potatoes
La Huette Royal	-79.9826	40.4670	twisted_view	2015	60	0	17	0.000	Just posted a photo La Huette Royal
La Huette Royal	-79.9826	40.4670	twisted_view	2015	60	0	18	0.000	Just posted a photo La Huette Royal
La Huette Royal	-79.9826	40.4670	twisted_view	2015	60	0	18	0.000	Just posted a photo La Huette Royal
La Huette Royal	-79.9826	40.4670	twisted_view	2015	60	0	18	0.000	Just posted a photo La Huette Royal
La Huette Royal	-79.9826	40.4670	twisted_view	2015	60	0	18	0.000	Just posted a photo La Huette Royal
La Huette Royal	-79.9826	40.4670	twisted_view	2015	60	0	17	0.000	Just posted a photo La Huette Royal
La Huette Royal	-79.9826	40.4670	twisted_view	2015	60	0	18	0.000	Just posted a photo La Huette Royal
La Huette Royal	-79.9826	40.4670	twisted_view	2015	60	0	18	0.000	Just posted a photo La Huette Royal
La Huette Royal	-79.9826	40.4670	twisted_view	2015	60	0	18	0.000	Just posted a photo La Huette Royal
La Huette Royal	-79.9826	40.4670	twisted_view	2015	60	0	18	0.000	Just posted a photo La Huette Royal
La Huette Royal	-79.9826	40.4670	twisted_view	2015	60	0	17	0.000	Just posted a photo La Huette Royal
La Huette Royal	-79.9826	40.4670	twisted_view	2015	60	0	18	0.000	Just posted a photo La Huette Royal
La Huette Royal	-79.9826	40.4670	twisted_view	2015	60	0	18	0.000	Just posted a photo La Huette Royal
La Huette Royal	-79.9826	40.4670	twisted_view	2015	60	0	18	0.000	Just posted a photo La Huette Royal
La Huette Royal	-79.9826	40.4670	twisted_view	2015	60	0	18	0.000	Just posted a photo La Huette Royal
ODAR	-79.9934	40.4460	woods_hollylynn	2015	9	5	17	0.000	Just posted a photo ODAR
ODAR	-79.9934	40.4460	woods_hollylynn	2015	9	5	17	0.000	Just posted a photo ODAR
Allegheny General Hospital	-80.0029	40.4572	DJTMI	2014	78	3	23	0.000	Just posted a photo Allegheny General Hospital
Allegheny General Hospital	-80.0029	40.4572	DJTMI	2014	78	3	23	0.000	Just posted a photo Allegheny General Hospital
Allegheny General Hospital	-80.0029	40.4572	DJTMI	2014	78	3	23	0.000	Just posted a photo Allegheny General Hospital
Allegheny General Hospital	-80.0029	40.4572	DJTMI	2014	78	3	23	0.000	Just posted a photo Allegheny General Hospital
Allegheny General Hospital	-80.0029	40.4572	DJTMI	2014	78	3	23	0.000	Just posted a photo Allegheny General Hospital
Allegheny General Hospital	-80.0033	40.4571	DJTMI	2014	76	1	23	0.000	Just posted a photo Allegheny General Hospital
Allegheny General Hospital	-80.0029	40.4572	DJTMI	2014	78	3	23	0.000	Just posted a photo Allegheny General Hospital
