venue	lon	lat	checkin_n	user_n	doy_mode	dow_mode	hour_mode	senti_avg
Claddagh Irish Pub	-79.9647	40.4281	40	19	2014	186	0	0.000
Fort Pitt Bridge	-80.0110	40.4390	40	13	2014	88	3	0.000
ScienceJesus' Laboratory	-79.8801	40.4288	40	1	2015	84	3	0.000
Shadyside Garage	-79.9340	40.4515	39	1	2014	71	2	0.000
Costco	-79.9213	40.4031	39	16	2014	3	0	0.000
Fernando's Cafe	-79.9955	40.4435	39	12	2014	187	0	0.000
Pittsburgh Public Market	-79.9876	40.4501	39	14	2014	142	0	0.000
Social at Bakery Square	-79.9160	40.4567	39	19	2014	184	5	0.000
Benedum Center For The Performing Arts	-79.9997	40.4430	38	27	2014	67	0	0.000
Espresso A Mano	-79.9649	40.4660	38	11	2014	23	6	0.000
Squirrel Hill_3	-79.9244	40.4350	38	5	2014	145	6	0.000
Senator John Heinz	-79.9921	40.4468	38	20	2014	185	6	0.000
Target_1	-79.9108	40.4108	38	13	2014	99	0	0.000
BRGR Bar	-79.9256	40.4596	37	21	2014	35	0	0.000
Sonoma Grille	-79.9962	40.4442	37	13	2014	193	2	0.000
Starbucks_7	-79.9485	40.4446	37	10	2014	84	3	0.000
Wyndham Grand Pittsburgh Downtown	-80.0064	40.4417	37	13	2014	23	2	0.288
Carson Street Deli	-79.9831	40.4289	37	12	2014	67	3	0.000
Thelma Lovette YMCA	-79.9780	40.4447	37	2	2014	273	1	0.000
otter and wolf den	-79.9738	40.4808	36	1	2014	64	3	0.000
Fuel On	-79.9316	40.4552	36	1	2014	53	2	0.000
D's Six Pax & Dogz	-79.8937	40.4321	36	21	2014	131	1	0.000
Starbucks_10	-80.0000	40.4422	35	8	2014	193	2	0.000
Heinz Hall	-80.0016	40.4427	35	21	2014	87	0	0.006
Fiori's Pizzaria	-80.0188	40.4052	35	11	2015	287	3	0.000
Redbeard's Bar & Grill	-80.0073	40.4307	35	14	2014	276	6	0.000
Philsyland 2.0	-79.9808	40.4275	35	1	2014	28	3	0.000
Children's Hospital of Pittsburgh Speech Department	-79.9526	40.4664	35	1	2014	31	1	0.000
Nicky's Thai Kitchen_2	-79.9984	40.4437	34	18	2014	1	4	0.000
School of Information Sciences	-79.9525	40.4472	34	1	2015	84	3	0.000
Images	-79.9955	40.4434	33	7	2015	96	0	0.000
Primanti Bros_1	-79.9792	40.4285	33	25	2014	87	6	0.000
James Street GastroPub & Speakeasy	-80.0010	40.4544	33	23	2014	277	6	0.000
Bikram Yoga Pittsburgh	-79.9665	40.4630	33	2	2015	10	3	0.000
Industry Public House	-79.9603	40.4708	33	13	2015	276	6	0.000
North View Medical	-80.0039	40.4716	33	1	2014	122	5	0.000
Blue Dust	-79.9117	40.4080	33	13	2014	101	6	0.000
Butcher and the Rye	-80.0020	40.4423	33	18	2014	144	6	0.022
Wigle Whiskey	-79.9813	40.4544	33	15	2014	354	6	0.000
Meat and Potatoes	-80.0008	40.4430	33	21	2015	189	0	0.000
Club Cycle	-80.0419	40.3891	32	3	2014	23	2	0.000
OTB Bicycle Cafe	-79.9690	40.4276	32	15	2015	276	6	0.000
Steel Cactus Mexican Restaurante & Cantina_1	-79.9335	40.4513	31	15	2014	268	6	0.000
Ryan's Pub & Grill	-79.8974	40.4394	31	3	2014	281	0	0.000
KDKA-TV	-80.0070	40.4426	31	3	2014	187	1	0.000
Starbucks_2	-79.9884	40.4408	31	11	2014	283	5	0.000
Yokoso! Japanese Steak House	-79.9157	40.4089	31	9	2014	74	0	0.000
Dee's Cafe	-79.9847	40.4288	30	14	2014	67	0	0.000
Smoke Barbeque & Taqueria	-79.9101	40.4076	30	7	2014	32	5	0.000
Winghart's Whiskey & Burger Bar	-79.9831	40.4288	30	17	2014	117	0	0.000
Chipotle Mexican Grill_4	-79.9258	40.4592	30	9	2014	11	0	0.000
Coffee Tree Roasters_1	-79.8829	40.4884	30	1	2015	275	5	0.000
The Sparkly Porsche	-79.9505	40.4816	30	1	2014	39	2	0.000
St. Bernard Church	-80.0432	40.3864	30	4	2014	186	0	0.000
Mullens Bar & Grill	-80.0041	40.4484	29	24	2014	281	6	0.000
Lulu's Noodles	-79.9488	40.4453	29	10	2015	87	6	0.000
Subway_1	-79.9967	40.4442	29	5	2014	37	0	0.000
Jimmy D's	-79.9817	40.4289	28	12	2014	61	0	0.000
Port Authority First Avenue Station	-79.9967	40.4355	28	6	2014	175	3	0.136
CCAC Library Building	-80.0133	40.4497	28	2	2014	20	2	0.000
Duquesne Incline_1	-80.0175	40.4399	28	15	2015	179	0	0.000
True Runner	-79.9352	40.4507	28	4	2014	282	5	0.347
Old Navy_1	-79.9060	40.4119	28	5	2014	2	5	0.000
There Ultra Lounge	-79.9967	40.4430	28	8	2014	61	0	0.000
Grill & Bar	-79.8912	40.4870	28	10	2015	189	3	0.000
Northside Summer Celebration	-80.0002	40.4667	28	1	2014	124	5	0.000
Benjamin's Western Avenue Burger Bar	-80.0166	40.4520	28	12	2014	187	6	0.000
Pittsburgh_6	-80.0952	40.3823	27	15	2014	40	5	0.000
Shady Grove	-79.9337	40.4509	27	10	2014	61	0	0.000
August Henry's	-79.9962	40.4443	27	10	2014	37	4	0.000
Art All Night	-79.9649	40.4712	27	9	2014	117	0	0.000
Caliente Pizza & Draft House	-79.9501	40.4620	27	12	2014	32	6	0.000
Tony's Mansion	-79.9137	40.4721	27	1	2015	276	6	0.000
El Burro	-80.0067	40.4558	27	12	2014	189	2	0.000
X Shadyside	-79.9318	40.4518	27	2	2014	107	2	0.000
Rockys	-80.0849	40.3966	27	1	2014	42	2	0.000
Pizza Milano	-79.9881	40.4385	27	14	2014	73	6	0.000
Waffles, INCaffeinated SouthSide	-79.9692	40.4278	26	7	2014	33	0	0.000
Penn Station East Coast Subs_1	-79.9473	40.4535	26	3	2015	23	5	0.000
Jewish Community Center	-79.9238	40.4376	26	6	2014	275	0	0.000
Proper Brick Oven & Tap Room	-80.0003	40.4435	26	13	2014	204	2	0.000
Cathedral of Learning	-79.9532	40.4443	25	12	2014	87	6	0.000
VIP Styles	-79.9993	40.4392	25	1	2015	186	5	0.414
Piccolo Forno	-79.9643	40.4669	25	12	2014	74	6	0.000
Apple Store, Shadyside	-79.9333	40.4510	25	11	2014	188	2	0.000
Nadine's Bar and Restaurant	-79.9672	40.4264	25	7	2014	205	0	0.000
Nakama Japanese Steakhouse	-79.9822	40.4288	25	18	2014	18	0	0.000
Twelve on Carson	-79.9854	40.4288	24	15	2015	85	0	0.000
Greyhound Bus Lines	-79.9932	40.4444	24	13	2014	85	1	0.000
Children's Museum of Pittsburgh	-80.0070	40.4527	24	14	2015	275	5	0.000
Sibling Center	-79.9529	40.4663	24	1	2014	27	1	0.000
Red White & Blue Thrift Store_1	-80.0655	40.4953	24	2	2014	3	2	0.000
The Porch at Schenley	-79.9531	40.4428	24	13	2015	154	0	0.000
Duquesne Incline_2	-80.0179	40.4394	24	13	2014	82	0	0.000
Hanlon's Cafe	-79.9956	40.4434	24	7	2015	190	6	0.000
Mercurio's Artisan Gelato and Neapolitan Pizza	-79.9330	40.4515	24	9	2014	31	6	0.000
Steel Cactus Mexican Restaurante & Cantina_2	-79.9793	40.4287	24	14	2015	153	4	0.000
Rite Aid_1	-79.9335	40.4513	24	1	2014	51	5	0.000
McCormick & Schmick's_1	-79.9998	40.4412	24	4	2014	272	2	0.000
Cultural District	-79.9989	40.4434	23	10	2014	133	2	0.000
Hyde Park Steakhouse	-80.0080	40.4462	23	10	2014	49	2	0.000
Starbucks_17	-80.0020	40.4427	23	12	2014	312	0	0.000
Cioppino	-79.9829	40.4540	23	8	2014	150	0	0.000
Market District Supermarket	-79.9348	40.4566	23	5	2015	84	3	0.000
Carnegie Library of Homestead	-79.9028	40.4070	23	5	2014	27	0	0.000
China Buffet	-79.9176	40.4584	23	4	2014	154	3	0.000
