how,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster10,cluster11,cluster12,cluster13,cluster15,cluster16,cluster18
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,2,0,0,0,0,0,0
109,0,0,0,0,0,0,1,0,0,0,0,0,0,0
110,2,3,1,0,0,0,1,0,0,0,0,0,0,0
111,10,0,0,0,0,0,0,0,0,0,0,0,0,0
112,4,1,0,0,0,0,0,0,0,0,0,0,0,0
113,6,1,0,0,0,1,2,0,0,0,0,0,0,0
114,0,5,3,3,3,0,0,1,0,0,1,0,3,0
115,1,4,0,3,0,0,0,0,0,0,0,0,0,0
116,3,1,0,2,0,0,0,0,0,0,0,0,0,0
117,0,5,1,0,2,0,2,0,0,0,0,0,0,0
118,2,0,0,0,0,3,4,0,3,1,0,0,0,0
119,0,0,0,1,10,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1,8,0,0,0,0,0,0,0,0
121,0,0,0,1,0,0,3,0,0,0,0,0,0,0
122,1,0,1,3,0,0,1,0,0,3,2,0,0,0
123,2,0,0,0,0,0,0,0,0,0,1,0,0,0
124,1,0,0,1,0,0,0,0,0,0,0,0,0,0
125,6,1,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,1,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,1,0,0,0,0,0,0,0,0
131,1,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0,0,2,0,0,0,0,0,0,1,3,0,0
133,0,0,0,0,2,0,0,0,0,0,1,0,0,0
134,1,0,0,0,0,3,0,0,0,0,1,0,0,0
135,1,2,0,1,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,3,0,0,0,0,0,1,0
137,2,1,0,0,0,0,0,0,0,0,1,1,0,0
138,2,0,0,0,0,0,0,0,0,0,0,0,0,0
139,4,3,0,0,0,0,2,0,0,1,0,0,0,0
140,4,2,1,1,0,0,0,1,0,0,0,0,0,0
141,3,6,0,0,1,0,2,0,0,0,0,0,0,0
142,2,1,0,1,0,0,0,0,0,1,2,0,0,1
143,6,0,0,1,6,2,5,0,0,0,1,0,0,1
144,6,0,1,4,5,4,2,0,0,0,0,0,2,0
145,5,3,0,3,0,2,4,0,0,0,0,0,0,0
146,8,2,0,0,3,2,3,0,0,0,1,0,0,0
147,4,2,0,4,4,0,1,0,0,1,2,0,0,0
148,1,0,0,0,0,0,0,0,0,0,1,0,0,0
149,1,0,0,2,0,0,1,0,0,0,0,2,0,0
150,0,2,0,1,0,0,0,0,0,0,0,0,0,0
151,0,0,1,0,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,2,0,0,0,0,0,0,0,0,0
