clid	venue	lon	lat	user	year	doy	dow	hour
15	BRGR Bar	-79.9256	40.4596	joefouche	2014	35	2	23	0.000
15	BRGR Bar	-79.9256	40.4596	RashanWalker	2014	43	3	0	0.000
15	BRGR Bar	-79.9256	40.4596	RashanWalker	2014	49	2	1	0.000
15	BRGR Bar	-79.9256	40.4596	SCARYDERRY	2014	57	3	19	0.000
15	BRGR Bar	-79.9256	40.4596	MemoirsOfAGrump	2014	64	3	0	0.000
15	BRGR Bar	-79.9256	40.4596	AbbyDinges	2014	105	2	19	0.000
15	BRGR Bar	-79.9256	40.4596	gurujonah	2014	124	0	16	0.000
15	BRGR Bar	-79.9256	40.4596	RachelMorgan2	2014	128	4	23	0.000
15	BRGR Bar	-79.9256	40.4596	unvegan	2014	142	4	16	0.000
0	Amtrak: Pittsburgh	-79.9916	40.4458	_Marusays	2014	214	6	4	0.000
0	Amtrak: Pittsburgh	-79.9916	40.4458	djgonzoWNCI	2014	340	6	0	0.000
0	Amtrak: Pittsburgh	-79.9916	40.4458	_Marusays	2014	214	6	4	0.000
0	Amtrak: Pittsburgh	-79.9916	40.4458	djgonzoWNCI	2014	340	6	0	0.000
0	Amtrak: Pittsburgh	-79.9916	40.4458	ValMartyn	2014	223	1	3	0.000
0	Amtrak: Pittsburgh	-79.9916	40.4458	ValMartyn	2014	223	1	3	0.000
0	Amtrak: Pittsburgh	-79.9916	40.4458	ValMartyn	2014	223	1	3	0.000
2	Captain Morgan Club	-79.9899	40.4399	BeautyandBalor	2015	286	2	22	0.000
6	East End Brewing Co	-79.9806	40.4536	DBaker513	2014	65	4	19	0.000
6	East End Brewing Co	-79.9806	40.4536	TravelingTricia	2014	123	6	16	0.000
6	East End Brewing Co	-79.9806	40.4536	DBaker513	2014	65	4	19	0.000
3	South Side Tattoo	-79.9742	40.4284	tsarcams	2014	53	6	16	0.000
11	Hampton Inn Pittsburgh Univercity Center	-79.9631	40.4360	BichonsNwine70	2015	160	2	22	0.000
