venue	txt	lon	lat	user	year	doy	dow	hour	senti_val
Dormont Vision Center	-80.0344	40.3951	Kneal46	2014	24	5	13	0.250	I'm at Dormont Vision Center (Pittsburgh, PA)
Dormont Vision Center	-80.0344	40.3951	Kneal46	2014	119	2	16	0.250	I'm at Dormont Vision Center (Pittsburgh, PA)
Dormont Vision Center	-80.0344	40.3951	Kneal46	2014	126	2	13	0.250	I'm at Dormont Vision Center (Pittsburgh, PA)
Moe's Southwest Grill	-80.0022	40.4405	AlisonNtheBurgh	2014	153	1	16	0.000	I'm at Moe's Southwest Grill - (Pittsburgh, PA)
Moe's Southwest Grill	-80.0022	40.4405	AlisonNtheBurgh	2014	153	1	16	0.000	I'm at Moe's Southwest Grill - (Pittsburgh, PA)
Moe's Southwest Grill	-80.0953	40.3833	LAKRx	2014	119	2	22	0.000	I'm at Moe's Southwest Grill - (Bridgeville, PA)
Moe's Southwest Grill	-80.0953	40.3833	LAKRx	2014	119	2	22	0.000	I'm at Moe's Southwest Grill - (Bridgeville, PA)
Moe's Southwest Grill	-80.0953	40.3833	lisarec	2014	221	6	21	0.000	I'm at Moe's Southwest Grill - in Bridgeville, PA
Moe's Southwest Grill	-80.0952	40.3831	kellll_k	2014	297	5	20	0.000	I'm at Moe's Southwest Grill - in Bridgeville, PA
Moe's Southwest Grill	-80.0953	40.3833	genericscissors	2014	32	6	22	0.000	I'm at Moe's Southwest Grill - (Bridgeville, PA)
Moe's Southwest Grill	-80.0022	40.4405	AlisonNtheBurgh	2014	153	1	16	0.000	I'm at Moe's Southwest Grill - (Pittsburgh, PA)
Moe's Southwest Grill	-80.0953	40.3833	lisarec	2014	221	6	21	0.000	I'm at Moe's Southwest Grill - in Bridgeville, PA
Moe's Southwest Grill	-80.0952	40.3831	kellll_k	2014	297	5	20	0.000	I'm at Moe's Southwest Grill - in Bridgeville, PA
Moe's Southwest Grill	-80.0953	40.3833	genericscissors	2014	32	6	22	0.000	I'm at Moe's Southwest Grill - (Bridgeville, PA)
Moe's Southwest Grill	-80.0952	40.3831	wandercapture	2014	332	5	18	0.000	I'm at Moe's Southwest Grill - in Bridgeville, PA
Moe's Southwest Grill	-80.0952	40.3831	A11ison_Marie	2014	313	0	1	0.000	I'm at Moe's Southwest Grill in Bridgeville, PA
Moe's Southwest Grill	-80.0953	40.3833	AlisonNtheBurgh	2014	172	6	21	0.000	I'm at Moe's Southwest Grill - (Bridgeville, PA)
Moe's Southwest Grill	-80.0953	40.3833	IPhillyBoy2011	2014	147	2	0	0.000	I'm at Moe's Southwest Grill - (Bridgeville, PA)
Moe's Southwest Grill	-80.0953	40.3833	LAKRx	2014	119	2	22	0.000	I'm at Moe's Southwest Grill - (Bridgeville, PA)
Moe's Southwest Grill	-80.0022	40.4405	AlisonNtheBurgh	2014	216	1	17	0.000	I'm at Moe's Southwest Grill - in Pittsburgh, PA
Moe's Southwest Grill	-80.0022	40.4405	AlisonNtheBurgh	2014	139	1	16	0.000	I'm at Moe's Southwest Grill - (Pittsburgh, PA)
Moe's Southwest Grill	-80.0953	40.3833	lisarec	2014	221	6	21	0.000	I'm at Moe's Southwest Grill - in Bridgeville, PA
Moe's Southwest Grill	-80.0952	40.3831	kellll_k	2014	297	5	20	0.000	I'm at Moe's Southwest Grill - in Bridgeville, PA
Moe's Southwest Grill	-80.0953	40.3833	genericscissors	2014	32	6	22	0.000	I'm at Moe's Southwest Grill - (Bridgeville, PA)
Pittsburgh Mcknight Road	-80.0102	40.5044	KD3RN	2014	335	1	22	0.000	I'm at Pittsburgh Mcknight Road in Pittsburgh, PA
Pittsburgh Mcknight Road	-80.0102	40.5044	KD3RN	2014	338	4	1	0.000	I'm at Pittsburgh Mcknight Road in Pittsburgh, PA
Pittsburgh Mcknight Road	-80.0102	40.5044	KD3RN	2014	339	5	1	0.000	I'm at Pittsburgh Mcknight Road in Pittsburgh, PA
Hollywood Theater	-80.0353	40.3962	oliverroy48	2015	304	6	23	0.000	I'm at Hollywood Theater - in Pittsburgh, PA
Hollywood Theater	-80.0351	40.3961	the_vic_mik	2014	201	0	3	0.000	I'm at Hollywood Theater - (Pittsburgh, PA)
Hollywood Theater	-80.0351	40.3961	JayHated	2014	115	5	0	0.000	I'm at Hollywood Theater - w/
Hollywood Theater	-80.0351	40.3961	spots87	2014	115	5	22	0.000	I'm at Hollywood Theater - (Pittsburgh, PA)
Hollywood Theater	-80.0351	40.3961	IPhillyBoy2011	2014	141	3	23	0.000	I'm at Hollywood Theater - for Donnie Darko (Pittsburgh, PA)
Hollywood Theater	-80.0353	40.3962	xbeautyxtruthx	2015	87	6	22	0.000	I'm at Hollywood Theater - in Pittsburgh, PA
Hollywood Theater	-80.0353	40.3962	xbeautyxtruthx	2015	87	6	22	0.000	I'm at Hollywood Theater - in Pittsburgh, PA
Hollywood Theater	-80.0351	40.3961	the_vic_mik	2014	201	0	3	0.000	I'm at Hollywood Theater - (Pittsburgh, PA)
Hollywood Theater	-80.0351	40.3961	JayHated	2014	115	5	0	0.000	I'm at Hollywood Theater - w/
Hollywood Theater	-80.0351	40.3961	spots87	2014	115	5	22	0.000	I'm at Hollywood Theater - (Pittsburgh, PA)
Hollywood Theater	-80.0351	40.3961	IPhillyBoy2011	2014	141	3	23	0.000	I'm at Hollywood Theater - for Donnie Darko (Pittsburgh, PA)
Hollywood Theater	-80.0353	40.3962	xbeautyxtruthx	2015	87	6	22	0.000	I'm at Hollywood Theater - in Pittsburgh, PA
Hollywood Theater	-80.0351	40.3961	Theo_Cratic	2014	299	0	3	-0.236	I'm at Hollywood Theater - for The Rocky Horror Picture Show in Pittsburgh, PA
Hollywood Theater	-80.0351	40.3961	Theo_Cratic	2014	299	0	3	-0.236	I'm at Hollywood Theater - for The Rocky Horror Picture Show in Pittsburgh, PA
South Lot Parking CEC	-79.9904	40.4411	thehatemachine	2014	124	0	20	0.000	I'm at South Lot Parking CEC (Pittsburgh, PA)
South Lot Parking CEC	-79.9904	40.4411	thehatemachine	2014	124	0	20	0.000	I'm at South Lot Parking CEC (Pittsburgh, PA)
I Tea Caf	-79.9343	40.4521	jamisgeek	2015	305	0	1	0.000	I'm at I Tea Caf in Pittsburgh, PA
Magee-Women's Hospital Of UPMC	-79.9607	40.4369	BurghJacks	2014	108	5	17	0.000	I'm at Magee-Women's Hospital Of UPMC (Pittsburgh, PA)
Magee-Women's Hospital Of UPMC	-79.9607	40.4369	BurghJacks	2014	108	5	17	0.000	I'm at Magee-Women's Hospital Of UPMC (Pittsburgh, PA)
West Penn Beverage Service	-80.0549	40.4722	IPhillyBoy2011	2014	156	4	12	0.000	I'm at West Penn Beverage Service (Mc Kees Rocks, PA)
9th Ward	-79.9551	40.4689	BeccaLynn1290	2014	45	5	15	0.000	I'm at 9th Ward (Pittsburgh, PA)
9th Ward	-79.9551	40.4689	BeccaLynn1290	2014	45	5	15	0.000	I'm at 9th Ward (Pittsburgh, PA)
9th Ward	-79.9551	40.4689	BeccaLynn1290	2014	45	5	15	0.000	I'm at 9th Ward (Pittsburgh, PA)
Thai Place II	-79.8856	40.4870	rockinet7	2015	166	1	16	0.000	I'm at Thai Place II in Pittsburgh, PA
