venue	lon	lat	checkin_n	user_n	doy_mode	dow_mode	hour_mode	senti_avg
Hazelwood, Pittsburgh, Pennsylvania	-79.9476	40.4079	6	1	2015	30	5	0.000
Local Bar + Kitchen	-79.9828	40.4289	6	4	2014	103	0	0.000
Element Church	-79.9750	40.4810	6	1	2014	26	0	0.000
Downtown Pgh_1	-80.0010	40.4415	6	3	2014	117	0	0.000
The Westin Convention Center Pittsburgh	-79.9953	40.4441	6	4	2014	233	4	0.000
Thrival Festival	-79.9526	40.4241	6	3	2015	269	6	0.444
Lawrenceville_2	-79.9669	40.4628	6	1	2014	111	1	0.000
Parks & Recreation Dept	-79.9466	40.4349	6	1	2015	283	6	0.000
Hey Betty	-79.9278	40.4580	6	3	2014	106	3	0.000
Bar Marco	-79.9817	40.4526	6	2	2014	95	6	0.000
Space Art Gallery	-79.9984	40.4428	6	1	2014	67	6	0.000
Pyrotopia	-79.9056	40.3981	6	1	2014	132	1	0.000
The ToonSeum	-79.9965	40.4436	6	1	2014	361	6	0.000
Pittsburg,PA	-80.0419	40.4245	6	2	2015	274	4	0.000
Spring Hill	-79.9930	40.4614	6	1	2014	58	4	0.000
North Shore Riverfront Park and Trail_2	-80.0120	40.4453	6	2	2014	207	4	0.000
Point State Park_2	-80.0074	40.4394	6	2	2014	183	0	0.000
Pnc Ballpark	-80.0049	40.4466	6	3	2014	208	0	0.000
Heinz Field_2	-80.0159	40.4461	6	4	2015	305	0	0.000
Cathedral Of Learning Nationality Rooms Tour	-79.9494	40.4491	6	1	2015	202	2	0.000
South Oakland, Pittsburgh, Pennsylvania	-79.9548	40.4328	6	2	2015	185	6	0.000
Seor Frogs	-80.0256	40.3989	5	2	2015	193	0	0.000
Northview Projects	-80.0011	40.4793	5	1	2014	357	2	0.000
IVY Pittsburgh	-79.9851	40.4509	5	2	2014	131	0	0.000
Strip District, Pittsburgh_1	-79.9850	40.4500	5	3	2015	241	6	0.000
Restaurant Depot	-79.9727	40.4638	5	1	2014	333	6	0.000
Heinz Stadium Gold Lot 1	-80.0127	40.4473	5	1	2015	275	5	0.000
Pamela's P&G Diner	-79.9836	40.4519	5	1	2014	60	6	0.000
Hot Mass	-79.9929	40.4457	5	2	2015	204	4	0.000
Sienna Mercato	-79.9964	40.4441	5	3	2014	60	0	0.000
The Milk Shake Factory	-79.9818	40.4289	5	2	2015	146	2	-0.221
Bloomfield, Pittsburgh, Pennsylvania	-79.9481	40.4611	5	1	2015	188	2	0.000
Sin City Clubhouse	-79.8885	40.4546	5	1	2015	274	4	-0.419
Big Shot Bob's House of Wings	-80.0618	40.5038	5	1	2015	204	4	0.000
Allegheny Center Mall	-80.0046	40.4510	5	1	2015	274	4	0.000
Schenley Plaza	-79.9525	40.4428	5	2	2015	178	6	0.000
Grandview Park	-79.9975	40.4261	5	1	2015	274	4	0.000
Fifth Avenue Place	-80.0033	40.4419	5	1	2015	274	4	0.000
Carnegie Museums of Pittsburgh	-79.9506	40.4428	5	1	2015	187	1	0.000
Studio 41 Entertainment	-80.0028	40.4413	5	1	2015	241	4	0.359
Port Authority South Hills Junction	-80.0075	40.4207	5	1	2014	38	5	0.157
Downtown Pgh_2	-79.9999	40.4422	5	2	2014	153	1	0.000
Mexican War Streets	-80.0107	40.4554	5	2	2015	52	1	-0.438
Dormont, Pennsylvania	-80.0375	40.3936	5	1	2015	275	5	0.000
Mount Lebanon Park	-80.0568	40.3750	5	1	2015	187	1	0.000
Wtae-Tv Channel 4	-79.8691	40.4356	5	3	2015	181	2	0.000
East Liberty Presbytarian Church	-79.9741	40.4375	5	1	2015	188	2	0.362
Pittsburgh's Strip District_2	-79.9815	40.4533	5	1	2015	276	6	0.000
Pamela's P & G Diner - Strip District	-79.9835	40.4520	5	3	2014	144	6	0.000
The Duquesne Incline_1	-80.0060	40.4314	5	4	2014	297	5	0.000
Gateway Center	-80.0049	40.4421	5	3	2014	163	3	0.000
The Duquesne Incline_2	-80.0190	40.4383	5	2	2014	118	1	0.000
CAVO Restaurant Lounge Nightclub	-79.9845	40.4513	4	2	2014	286	1	0.000
Squirrel Hill-forbes Ave	-79.9229	40.4381	4	1	2015	73	6	0.000
North Shore Riverfront Park and Trail_1	-80.0092	40.4464	4	2	2015	17	6	0.000
Pittsburgh Steelers	-79.9571	40.4226	4	1	2015	239	4	0.000
Kaya	-79.9845	40.4516	4	2	2015	144	0	0.000
Wintergarden Ppg	-80.0032	40.4398	4	2	2014	341	0	0.000
Fat Head's Saloon	-79.9803	40.4289	4	3	2014	81	6	0.000
Round Corner Cantina	-79.9641	40.4667	4	2	2014	91	2	0.000
Pittsburgh Brewing Company	-79.9662	40.4616	4	1	2014	85	3	0.000
Dormont Park	-80.0433	40.3969	4	3	2014	284	6	0.000
Prague	-79.9837	40.4542	4	1	2014	286	1	0.000
Duquesne University Tamburitzans	-79.9814	40.4360	4	1	2015	273	3	0.000
The Art Institute of Pittsburgh	-79.9995	40.4376	4	2	2014	309	3	0.000
Pittsburgh, PA_1	-80.0765	40.4817	4	2	2014	59	0	0.000
Prestogeorge Coffee & Tea	-79.9856	40.4501	4	1	2014	277	6	0.000
Mount Washington Scenic Overlook	-79.9745	40.4359	4	1	2015	277	0	0.000
castle Shannon Hamilton Park	-80.0187	40.3627	4	1	2015	145	1	0.000
Braddock, Pennsylvania	-79.8686	40.4033	4	1	2014	206	5	0.000
Stowe Township, Allegheny County, Pennsylvania	-80.0742	40.4728	4	1	2015	186	0	0.000
Miniature Railroad & Village	-80.0184	40.4460	4	1	2014	344	3	0.000
S.W. Randall Toyes and Giftes	-79.9969	40.4422	4	1	2014	354	6	0.000
Ursula and Deegan's	-79.9244	40.4727	4	1	2014	304	5	0.000
At the corner of bad&bitches	-80.0013	40.4386	4	1	2015	79	5	0.000
Great Allegheny Passage	-79.9186	40.4081	4	1	2015	242	0	0.451
The Allegheny Wine Mixer Inc	-79.9515	40.4825	4	2	2015	305	0	0.000
South Side Slopes	-79.9700	40.4200	4	3	2015	237	0	0.000
UPMC Shadyside_1	-79.9399	40.4547	4	1	2015	82	1	0.000
Mount Washington, Pittsburgh	-79.9496	40.4883	4	2	2015	87	6	0.000
Tamari	-79.9661	40.4645	4	1	2014	76	1	0.000
Lang Bar	-79.8975	40.4629	4	1	2014	74	6	0.000
Salem's Market & Grill	-79.9735	40.4584	4	1	2014	91	2	0.000
The Point	-80.0122	40.4422	4	2	2015	158	0	0.000
The Rink at PPG Place	-80.0034	40.4397	4	1	2014	47	0	0.000
Image One Salon	-79.9661	40.3983	4	1	2015	102	0	0.000
Lava Lounge	-79.9744	40.4283	4	1	2014	303	4	0.000
Run Around the Square	-79.8943	40.4312	4	2	2015	234	6	0.000
SouthSide Works	-79.9658	40.4278	4	2	2015	193	0	0.000
McNeilly Manor	-80.0291	40.3915	4	1	2014	15	4	0.000
The Secret City of Pittsburgh	-79.9022	40.4491	4	1	2014	28	0	0.000
bar11	-79.9874	40.4272	4	2	2015	200	0	0.000
Ten Penny	-79.9958	40.4443	4	2	2014	181	1	0.000
Carmi Family Restaurant	-80.0172	40.4518	4	1	2015	272	2	0.000
Pittsburgh Public Market	-79.9803	40.4538	4	1	2015	269	6	0.000
North Side, Pittsburgh, Pennsylvania_2	-80.0286	40.4706	4	1	2015	187	1	0.000
Carrie Furnace	-79.8897	40.4133	4	2	2015	144	0	0.000
Mallorca Restaurant	-79.9734	40.4281	4	1	2015	304	6	0.000
Hot Metal Bridge	-79.9607	40.4283	4	3	2014	143	5	0.000
grandmas house, Pgh	-80.0031	40.3606	4	1	2014	360	5	0.000
The Porch at Schenley	-79.9530	40.4429	4	1	2015	277	0	0.000
Allegheny River_1	-80.0141	40.4118	4	3	2014	169	3	0.000
Luke Wholey's Wild Alaskan Grille	-79.9828	40.4518	4	3	2014	241	6	0.000
The Urban Tap	-79.9859	40.4288	4	3	2014	109	6	0.000
Scott Twp Pool	-80.0881	40.3838	4	2	2015	158	0	0.000
Riverfront Trail_1	-79.9907	40.4537	4	2	2014	176	3	0.000
Popeyes	-79.9582	40.4415	4	1	2014	216	1	0.000
Highland Park, Pittsburgh, Pennsylvania	-79.9232	40.4757	4	2	2014	214	3	0.000
Allegheny River_2	-80.0054	40.4451	4	1	2015	185	6	0.000
Commonplace Coffee House	-79.9219	40.4381	4	2	2015	74	0	0.000
Happy 4th	-79.9714	40.3769	4	1	2015	186	0	0.481
Runaway Studio	-79.9534	40.4640	3	1	2015	194	1	0.000
August Wilson Center for African American Culture	-79.9957	40.4433	3	1	2014	195	1	0.000
pittsburgh magazine	-79.9761	40.4656	3	1	2015	85	4	0.000
Carnegie Coffee Company	-80.0863	40.4078	3	1	2014	193	6	0.000
Courthouse Tavern	-80.0004	40.4400	3	1	2014	113	3	0.000
Kickback Pinball Cafe	-79.9597	40.4713	3	1	2015	235	0	0.000
northside Pgh_2	-79.9934	40.4539	3	1	2014	296	4	0.000
I-376 East	-80.0805	40.4133	3	1	2014	289	4	0.000
Roberto Clemente Bridge_2	-80.0032	40.4449	3	2	2014	95	6	0.000
Police Memorial	-80.0135	40.4450	3	1	2015	271	1	0.000
Pittsburgh Steelers vs. Cincinnati Bengals	-80.0207	40.4476	3	3	2015	305	0	0.000
PAPA World Headquarters	-80.0950	40.4001	3	1	2014	87	5	0.000
Amazing Cafe	-79.9832	40.4287	3	2	2014	112	2	0.487
Allegheny Cemetary_2	-79.9450	40.4726	3	1	2015	119	3	0.000
Downtown Pittsburgh PA On 376 W	-79.9986	40.4368	3	3	2015	111	1	0.000
Smallman (The Strip	-79.9865	40.4504	3	2	2015	293	2	0.000
The Queendom	-80.0760	40.4736	3	1	2015	235	0	0.000
Phantom's Revenge	-79.8660	40.3890	3	2	2015	158	0	-0.459
South Side Bike Trail	-79.9781	40.4325	3	2	2014	146	1	0.000
Penn Ave	-79.9961	40.4455	3	1	2014	115	5	0.000
Route 28	-79.9884	40.4574	3	1	2015	2	5	0.000
The BeerHive	-79.9828	40.4521	3	2	2014	43	3	0.000
D's Six Pax & Dogz	-79.8938	40.4320	3	1	2015	282	5	0.000
Shop 412	-79.9658	40.4284	3	2	2015	77	3	0.000
St. Nicholas Croatian Church	-79.9700	40.4770	3	1	2014	359	4	0.000
Monterey Bay Fish Grotto	-80.0210	40.4388	3	2	2015	194	1	0.000
Big Tom's Barbershop	-79.9791	40.4442	3	1	2014	295	3	0.000
City of Pittsburgh_2	-79.9932	40.4447	3	2	2015	196	3	0.000
Golds Gym	-80.0040	40.4409	3	1	2014	120	3	0.000
Y47	-79.9668	40.3660	3	1	2014	234	5	0.000
Showcase BBQ	-79.9060	40.4581	3	1	2015	242	0	0.000
The Beer Market	-80.0041	40.4478	3	2	2014	205	4	0.000
West End Bridge	-80.0270	40.4463	3	1	2014	142	4	0.000
Jewish Association on Aging	-79.9213	40.4139	3	1	2014	100	4	0.000
Calvary Episcopal Church	-79.9220	40.4564	3	1	2015	152	1	0.000
Casbah	-79.9249	40.4582	3	1	2014	171	5	0.000
Dorothy 6 Cafe	-79.9098	40.4073	3	1	2015	40	1	0.000
Maggie's Farm Rum	-79.9702	40.4617	3	1	2014	298	6	0.000
Corner Cafe	-79.9839	40.4219	3	1	2015	280	3	0.000
Roland's Seafood Grill	-79.9844	40.4508	3	2	2015	73	6	0.000
William Pitt Union	-79.9548	40.4435	3	2	2015	265	2	0.000
Liberty Tunnel	-79.9994	40.4291	3	2	2015	158	0	0.459
Ikea Warehouse	-79.9696	40.4770	3	1	2014	185	5	0.000
East Carson Street Pittsburgh	-79.9819	40.4286	3	2	2015	227	6	0.000
Pittsburgh Improv Comedy Club	-79.9150	40.4091	3	1	2015	297	6	0.294
Thayer Hall	-80.0021	40.4390	3	1	2014	33	0	0.000
St. Joseph's Church	-79.9497	40.4620	3	1	2015	191	5	0.000
105.9 The X	-80.0492	40.4208	3	1	2015	282	5	0.000
Primanti Brothers_1	-80.0027	40.4403	3	1	2014	83	1	0.000
Pittsburgh, PA_3	-79.9486	40.4360	3	2	2015	116	0	0.000
U.S.X. Tower	-79.9953	40.4410	3	1	2015	193	0	0.000
modern hair world	-79.8883	40.4224	3	1	2015	184	5	0.000
Frick Park_1	-79.9049	40.4323	3	2	2015	194	1	0.000
Father Ryan Arts Center	-80.0584	40.4650	3	1	2015	32	0	0.000
Pittsburgh Opera	-79.9797	40.4533	3	1	2015	270	0	0.000
Brottier Hall	-79.9933	40.4375	3	2	2015	242	0	0.000
Steel Valley Heritage Trail	-79.8971	40.4128	3	1	2014	211	3	0.000
The Warhol: Store	-80.0021	40.4486	3	1	2014	81	6	0.000
Human Computer Interaction Institute	-79.9457	40.4435	3	1	2014	87	5	0.000
Leaf and Bean in the Strip	-79.9821	40.4521	3	2	2015	24	6	0.000
A To Z Highland Park	-79.9156	40.4738	3	1	2015	151	0	0.000
Double Wide Grill	-79.9712	40.4284	3	3	2014	144	0	0.000
Our Home Cubovia	-79.9856	40.4509	3	1	2015	280	3	0.000
Bobbie Pins Diaper Cakes & Crafts	-80.0201	40.3998	3	1	2015	271	1	0.000
Carlow University	-79.9633	40.4386	3	1	2015	278	1	0.000
Lili Cafe	-79.9659	40.4576	3	1	2014	147	2	0.000
31st Street Bridge	-79.9778	40.4638	3	1	2014	139	1	0.000
Mr. Smalls	-79.9723	40.4808	3	3	2014	97	1	0.000
Saint Nicholas Greek Orthodox Cathedral, Pittsburgh, PA	-79.9499	40.4449	3	1	2014	144	6	0.000
Contemporary Craft	-79.9843	40.4524	3	1	2015	159	1	0.000
Tilted Kilt Pittsburgh	-80.0108	40.4459	3	2	2014	111	1	0.000
Braddock, PA	-79.8670	40.4034	3	1	2014	58	4	0.000
still looking 4 the zaddys	-80.0013	40.4386	3	1	2015	88	0	0.000
The Pump House	-79.8970	40.4130	3	1	2014	222	0	0.000
Summerset at Frick Park (Pittsburgh, PA	-79.9163	40.4195	3	1	2014	222	0	0.000
on the river at Heinz Field	-80.0142	40.4447	3	1	2014	234	5	0.000
City View Apartments	-79.9864	40.4401	3	1	2015	281	4	0.000
River front dog park	-79.9765	40.4378	3	1	2014	144	6	0.000
Schenley Park Overlook	-79.9455	40.4307	3	2	2014	241	5	0.000
Rock Bottom - Pittsburgh	-79.9149	40.4097	3	1	2014	150	5	0.000
Spirit	-79.9557	40.4784	3	2	2015	277	0	0.362
Sandcastle	-79.9287	40.3972	3	2	2015	198	5	0.000
Frick Fine Arts Building	-79.9512	40.4417	3	1	2015	267	4	0.231
Squirrel Hill Tunnel	-79.8979	40.4261	3	1	2014	243	0	0.000
Sheraton Station Square Hotel	-80.0063	40.4350	3	3	2014	66	5	0.000
The Color Run Pittsburgh	-80.0076	40.4476	3	1	2014	319	6	0.000
the park, northshore	-80.0133	40.4518	3	1	2014	108	5	0.000
oceancity	-80.0808	40.4274	3	1	2014	160	1	0.000
Mr. Rogers Memorial	-80.0121	40.4456	3	1	2015	271	1	0.000
Cubovia	-79.9850	40.4209	3	1	2015	26	1	0.000
City Cafe	-79.9960	40.4434	3	1	2014	127	3	0.000
Sapling Press	-79.9655	40.4646	3	1	2014	197	3	0.000
Carnegie Mellon University (Pittsburgh Campus	-79.9424	40.4433	3	2	2015	57	4	0.000
Mount Lebanon, Pennsylvania	-80.0491	40.3768	3	2	2015	291	0	0.000
637 Summerlea Street	-79.9309	40.4540	3	1	2014	109	6	0.000
Peace, Love and Little Donuts	-79.9841	40.4521	3	2	2014	166	0	0.562
One on One Personal Training & Fitness	-79.9765	40.4562	3	1	2014	179	6	0.189
Boston, Massachusetts	-80.0712	40.4104	3	1	2015	84	3	0.000
Weiner World	-79.9970	40.4419	3	1	2014	116	6	0.000
Espresso A Mano	-79.9649	40.4660	3	1	2014	65	4	0.000
Grandview Pointe	-80.0213	40.4391	3	2	2015	283	6	0.000
Kiddapoloza	-79.9957	40.4458	3	1	2014	88	6	0.000
Wean Hall	-79.9462	40.4428	3	1	2014	23	4	0.000
Voodoo Homestead	-79.9097	40.4063	3	1	2015	53	0	0.000
Sal's City Deli	-80.0001	40.4426	3	1	2015	192	6	0.000
Three Rivers Rowing Association	-79.9758	40.4667	3	1	2014	87	5	0.000
The Gates Center for Computer Science	-79.9446	40.4436	3	2	2015	267	4	0.000
Eclipse Lounge	-79.9647	40.4666	3	1	2014	173	0	0.000
16th Street Bridge	-79.9888	40.4499	3	1	2015	196	3	0.000
Room 401	-80.0022	40.4352	2	1	2015	42	3	0.000
First Presbyterian Church of Pittsburgh	-79.9989	40.4415	2	2	2014	34	0	0.000
U.S. Steel Tower_1	-79.9947	40.4413	2	1	2015	292	1	0.000
northside Pgh_1	-80.0124	40.4545	2	1	2015	156	5	0.000
Whole Foods Market Pittsburgh	-79.9285	40.4588	2	1	2014	121	4	0.000
Biddle's Escape	-79.8922	40.4381	2	2	2014	134	3	0.298
Cioppino	-79.9829	40.4542	2	1	2014	361	6	0.000
Yinzers in the Burgh	-79.9826	40.4524	2	1	2015	3	6	0.000
russell senate office building	-80.0083	40.4488	2	1	2015	61	1	0.000
Dick's Sporting Goods Pittsburgh Marathon Finish Line	-80.0050	40.4396	2	1	2014	124	0	0.000
Heinz Feild	-80.0151	40.4475	2	1	2015	182	3	0.000
Braddock Farms	-79.8965	40.4371	2	1	2015	270	0	0.000
Consol Energy Center_2	-79.9902	40.4391	2	2	2015	50	4	0.296
Pittsburgh Highland Park Reservoir_1	-79.9148	40.4834	2	1	2014	181	1	0.000
DeLuca's Diner	-79.9837	40.4515	2	1	2015	305	0	0.000
Pop-Up Canada	-79.9969	40.4414	2	1	2014	113	3	0.000
The 'Burgh	-79.9221	40.4262	2	1	2015	301	3	0.000
Carnegie Library of Pittsburgh - Teen Services	-79.9488	40.4434	2	1	2015	158	0	0.000
Square Cafe	-79.8935	40.4320	2	1	2014	276	5	0.000
South Oakland	-79.9530	40.4289	2	2	2015	284	0	0.000
Home (Pittsburgh	-79.9882	40.4106	2	1	2015	197	4	0.000
Mary kay career conference	-79.9957	40.4453	2	1	2014	81	6	0.000
Gallery Crawl-Pittsburgh Cultural Trust	-79.9988	40.4429	2	1	2015	269	6	0.355
Katz Plaza	-80.0004	40.4432	2	1	2014	171	5	0.000
Avenue B	-79.9365	40.4565	2	1	2014	44	4	0.000
Hyde Park Steakhouse	-80.0085	40.4465	2	1	2014	120	3	0.000
Allegheny Coffee & Tea Exchange	-79.9839	40.4512	2	1	2014	166	0	0.000
Morningside, Pennsylvania	-79.9297	40.4825	2	1	2015	158	0	0.000
Atlantis	-79.9380	40.4694	2	1	2014	343	2	0.000
Highmark Stadium	-80.0099	40.4361	2	1	2015	142	5	0.000
Greyhound Station Pittsburgh	-79.9938	40.4444	2	1	2014	279	1	0.000
40th Street Bridge	-79.9692	40.4730	2	1	2014	173	0	0.000
Crazy Mocha	-79.9354	40.4579	2	1	2014	106	3	-0.375
Row House Cinema	-79.9612	40.4700	2	1	2015	7	3	0.000
James Street Gastropub and Speakeasy	-80.0011	40.4545	2	2	2014	246	0	0.000
North Shore Bike Trail	-80.0024	40.4474	2	1	2014	246	3	0.000
Tiki Lounge	-79.9774	40.4286	2	1	2014	185	5	0.000
Burgatory	-79.8929	40.4890	2	1	2014	28	2	0.000
no make up	-79.8911	40.3767	2	1	2015	181	2	-0.306
Piatt Place	-80.0000	40.4409	2	1	2014	93	4	0.000
Mellon Garage	-79.9978	40.4409	2	1	2015	182	3	0.000
Thai Cuisine	-79.9499	40.4622	2	1	2014	78	3	0.000
Allegheny Cemetery	-79.9524	40.4718	2	1	2014	221	6	0.000
The Mac & Gold Truck	-79.9443	40.4455	2	1	2014	278	0	0.000
Blue Moon Bar on Butler Street in Lawrenceville (Pgh	-79.9557	40.4789	2	1	2015	277	0	0.000
Smithfield Street Bridge	-80.0020	40.4350	2	2	2014	69	1	0.000
Krista's Cantina	-80.0344	40.4669	2	1	2014	197	3	0.000
East Street	-79.9996	40.4609	2	1	2014	54	0	0.000
Taylor Swift Concert	-80.0157	40.4465	2	1	2015	158	0	0.265
Three Rivers Chrysler Jeep Dodge	-80.0270	40.3980	2	1	2015	265	2	0.000
The Flats on Carson	-79.9833	40.4287	2	1	2015	145	1	0.000
Arts Festival	-80.0063	40.4422	2	1	2015	159	1	0.444
Mizu Japanese Restaurant	-80.0653	40.3630	2	1	2014	120	3	0.000
doubetree orlando seaworld	-79.9592	40.4394	2	1	2015	159	1	0.000
Kappa Sigma at CMU	-79.9417	40.4456	2	1	2014	163	4	0.000
Mon Wharf_1	-80.0043	40.4375	2	1	2015	196	3	0.000
Shadyside Inn Suites	-79.9340	40.4487	2	1	2015	3	6	0.000
Pittsburgh Highland Park Reservoir_2	-79.9151	40.4791	2	1	2015	116	0	0.000
Bigelow Blvd	-79.9807	40.4503	2	1	2015	242	0	0.000
Club Cafe	-79.9865	40.4289	2	1	2015	45	2	0.000
Niagara Falls	-79.9218	40.4298	2	1	2015	146	2	0.000
Bates Hill Apartments	-79.9527	40.4391	2	1	2015	115	6	0.000
The Claddagh - Pittsburgh	-79.9647	40.4281	2	1	2015	157	6	0.000
Shadyside	-79.9350	40.4500	2	2	2015	226	5	0.000
AMC Waterfront 22	-79.9180	40.4068	2	1	2015	144	0	0.000
Nikki's Thai Downtown	-79.9983	40.4438	2	1	2015	60	0	0.000
Wilson Park	-80.0509	40.4180	2	1	2015	138	1	0.000
Verde Mexican Kitchen & Cantina	-79.9327	40.4643	2	1	2014	124	0	0.000
