venue	lon	lat	user	year	doy	dow	hour	senti_val	txt
idk i love this picture	-79.9633	40.3663	jananedicc	2015	4	0	0	0.264	Just posted a photo idk i love this picture
idk i love this picture	-79.9633	40.3663	jananedicc	2015	4	0	0	0.264	Just posted a photo idk i love this picture
Soho	-80.0045	40.4483	coolc_412	2014	207	6	2	0.000	Just posted a photo Soho
Soho	-80.0045	40.4483	jrmpix	2014	94	5	0	0.000	Just posted a photo Soho
Schenley Plaza	-79.9525	40.4428	Timmy_186	2014	136	5	21	0.000	Just posted a photo Schenley Plaza
Schenley Plaza	-79.9525	40.4428	Timmy_186	2014	136	5	21	0.000	Just posted a photo Schenley Plaza
Schenley Plaza	-79.9525	40.4428	techburgh	2015	178	6	21	0.000	Just posted a photo Schenley Plaza
Schenley Plaza	-79.9525	40.4428	techburgh	2015	178	6	22	0.000	Just posted a photo Schenley Plaza
Schenley Plaza	-79.9525	40.4428	techburgh	2015	178	6	21	0.000	Just posted a photo Schenley Plaza
Mexican War Sweets	-80.0130	40.4579	JoshLouie	2015	302	4	2	-0.063	Just posted a photo Mexican War Sweets
Point State Park_2	-80.0074	40.4394	djakehayes	2014	306	0	16	0.000	Just posted a photo Point State Park
Point State Park_2	-80.0074	40.4394	ShawGalleries	2014	183	3	20	0.000	Just posted a photo Point State Park
Point State Park_2	-80.0074	40.4394	djakehayes	2014	306	0	16	0.000	Just posted a photo Point State Park
Point State Park_2	-80.0074	40.4394	ShawGalleries	2014	183	3	20	0.000	Just posted a photo Point State Park
Point State Park_2	-80.0074	40.4394	djakehayes	2014	306	0	16	0.000	Just posted a photo Point State Park
Point State Park_2	-80.0074	40.4394	ShawGalleries	2014	183	3	20	0.000	Just posted a photo Point State Park
National Aviary_2	-80.0102	40.4532	davidbowlin	2015	144	0	18	0.000	Just posted a photo National Aviary
National Aviary_2	-80.0102	40.4532	ArloAldo	2015	238	3	18	0.000	Just posted a photo National Aviary
National Aviary_2	-80.0102	40.4532	tigermd	2014	320	0	19	0.000	Just posted a photo National Aviary
National Aviary_2	-80.0102	40.4532	debcarlos	2014	356	1	21	0.000	Just posted a photo National Aviary
National Aviary_2	-80.0102	40.4532	BenzaBurgh	2014	134	3	5	0.000	Just posted a photo National Aviary
National Aviary_2	-80.0102	40.4532	BenzaBurgh	2014	134	3	4	0.000	Just posted a photo National Aviary
National Aviary_2	-80.0102	40.4532	rafaben222	2014	217	2	21	0.000	Just posted a photo National Aviary
National Aviary_2	-80.0102	40.4532	davidbowlin	2015	144	0	18	0.000	Just posted a photo National Aviary
National Aviary_2	-80.0102	40.4532	McKandes	2015	286	2	22	0.000	Just posted a photo National Aviary
National Aviary_2	-80.0102	40.4532	McKandes	2015	286	2	22	0.000	Just posted a photo National Aviary
National Aviary_2	-80.0102	40.4532	McKandes	2015	286	2	22	0.000	Just posted a photo National Aviary
National Aviary_2	-80.0102	40.4532	McKandes	2015	286	2	22	0.000	Just posted a photo National Aviary
National Aviary_2	-80.0102	40.4532	davidbowlin	2015	144	0	18	0.000	Just posted a photo National Aviary
National Aviary_2	-80.0102	40.4532	davidbowlin	2015	144	0	18	0.000	Just posted a photo National Aviary
National Aviary_2	-80.0102	40.4532	ArloAldo	2015	238	3	18	0.000	Just posted a photo National Aviary
National Aviary_1	-80.0097	40.4541	laurenashleyb89	2014	60	6	20	0.000	Just posted a photo National Aviary
National Aviary_1	-80.0097	40.4541	laurenashleyb89	2014	60	6	20	0.000	Just posted a photo National Aviary
National Aviary_1	-80.0097	40.4541	laurenashleyb89	2014	60	6	20	0.000	Just posted a photo National Aviary
National Aviary_1	-80.0097	40.4541	laurenashleyb89	2014	60	6	20	0.000	Just posted a photo National Aviary
National Aviary_1	-80.0097	40.4541	laurenashleyb89	2014	60	6	20	0.000	Just posted a photo National Aviary
National Aviary_1	-80.0097	40.4541	laurenashleyb89	2014	60	6	20	0.000	Just posted a photo National Aviary
The Smiling Moose	-79.9850	40.4288	BryanMcClaine	2014	28	2	21	0.375	Just posted a photo The Smiling Moose
The Smiling Moose	-79.9850	40.4288	benkeen	2014	243	0	4	0.375	Just posted a photo The Smiling Moose
The Smiling Moose	-79.9850	40.4288	VintsSalvatore	2015	77	3	5	0.375	Just posted a photo The Smiling Moose
The Smiling Moose	-79.9850	40.4288	Tyleraelan	2014	224	2	1	0.375	Just posted a photo The Smiling Moose
The Smiling Moose	-79.9850	40.4288	Tyleraelan	2014	224	2	1	0.375	Just posted a photo The Smiling Moose
The Smiling Moose	-79.9850	40.4288	Jasonvoytek	2015	247	5	2	0.375	Just posted a photo The Smiling Moose
The Smiling Moose	-79.9850	40.4288	Jasonvoytek	2015	247	5	2	0.375	Just posted a photo The Smiling Moose
Bedford Dwellings, Pittsburgh, Pennsylvania	-79.9745	40.4507	KillaCamSODMG	2015	239	4	17	0.000	Just posted a photo Bedford Dwellings, Pittsburgh, Pennsylvania
Bedford Dwellings, Pittsburgh, Pennsylvania	-79.9745	40.4507	KillaCamSODMG	2015	239	4	17	0.000	Just posted a photo Bedford Dwellings, Pittsburgh, Pennsylvania
The ToonSeum	-79.9965	40.4436	patheticboy	2014	361	6	21	0.000	Just posted a photo The ToonSeum
The ToonSeum	-79.9965	40.4436	patheticboy	2014	361	6	21	0.000	Just posted a photo The ToonSeum
The ToonSeum	-79.9965	40.4436	patheticboy	2014	361	6	21	0.000	Just posted a photo The ToonSeum
The ToonSeum	-79.9965	40.4436	patheticboy	2014	361	6	21	0.000	Just posted a photo The ToonSeum
The ToonSeum	-79.9965	40.4436	patheticboy	2014	361	6	21	0.000	Just posted a photo The ToonSeum
The ToonSeum	-79.9965	40.4436	patheticboy	2014	361	6	21	0.000	Just posted a photo The ToonSeum
Rita's Italian Ice Southside	-79.9698	40.4279	mommyna77	2014	79	4	19	0.000	Just posted a photo Rita's Italian Ice Southside
Rita's Italian Ice Southside	-79.9698	40.4279	mommyna77	2014	79	4	19	0.000	Just posted a photo Rita's Italian Ice Southside
La Huette Royal	-79.9826	40.4670	twisted_view	2015	60	0	17	0.000	Just posted a photo La Huette Royal
La Huette Royal	-79.9826	40.4670	twisted_view	2015	60	0	18	0.000	Just posted a photo La Huette Royal
La Huette Royal	-79.9826	40.4670	twisted_view	2015	60	0	18	0.000	Just posted a photo La Huette Royal
La Huette Royal	-79.9826	40.4670	twisted_view	2015	60	0	18	0.000	Just posted a photo La Huette Royal
La Huette Royal	-79.9826	40.4670	twisted_view	2015	60	0	18	0.000	Just posted a photo La Huette Royal
La Huette Royal	-79.9826	40.4670	twisted_view	2015	60	0	17	0.000	Just posted a photo La Huette Royal
La Huette Royal	-79.9826	40.4670	twisted_view	2015	60	0	18	0.000	Just posted a photo La Huette Royal
La Huette Royal	-79.9826	40.4670	twisted_view	2015	60	0	18	0.000	Just posted a photo La Huette Royal
