venue	lon	lat	user	year	doy	dow	hour	senti_val	txt
North Shore (Pittsburgh	-80.0090	40.4470	_YoureOnTV	2015	250	1	1	0.000	Just posted a photo North Shore (Pittsburgh)
Mount Washington, Pittsburgh	-79.9496	40.4883	alexbreski	2015	87	6	20	0.000	Just posted a photo Mount Washington, Pittsburgh
Mount Washington, Pittsburgh	-79.9496	40.4883	alexbreski	2015	87	6	20	0.000	Just posted a photo Mount Washington, Pittsburgh
Mount Washington, Pittsburgh	-79.9496	40.4883	alexbreski	2015	87	6	20	0.000	Just posted a photo Mount Washington, Pittsburgh
Mount Washington, Pittsburgh	-79.9496	40.4883	babs83xo	2015	236	1	22	0.000	Just posted a photo Mount Washington, Pittsburgh
Wholey's Fish Market	-79.9859	40.4501	Andy1Volz	2014	65	4	17	0.000	Just posted a photo Wholey's Fish Market
Duquesne University	-79.9905	40.4368	diannaconte	2015	10	6	7	0.000	Just posted a photo Duquesne University
Duquesne University	-79.9905	40.4368	deannadicesere	2015	245	3	23	0.000	Just posted a photo Duquesne University
Duquesne University	-79.9905	40.4368	DateDetectives	2014	147	2	12	0.000	Just posted a photo Duquesne University
Duquesne University	-79.9905	40.4368	ericabizjak	2015	85	4	0	0.000	Just posted a photo Duquesne University
Duquesne University	-79.9905	40.4368	_mikexlynch	2015	76	2	16	0.000	Just posted a photo Duquesne University
Duquesne University	-79.9905	40.4368	_mikexlynch	2015	76	2	16	0.000	Just posted a photo Duquesne University
Duquesne University	-79.9905	40.4368	deannadicesere	2015	245	3	23	0.000	Just posted a photo Duquesne University
Duquesne University	-79.9905	40.4368	ericabizjak	2015	85	4	0	0.000	Just posted a photo Duquesne University
Duquesne University	-79.9905	40.4368	ericabizjak	2015	85	4	0	0.000	Just posted a photo Duquesne University
Duquesne University	-79.9905	40.4368	ayeitscass_	2015	80	6	16	0.000	Just posted a photo Duquesne University
Mario Lemieux 6.6k	-79.9866	40.4418	LindseyNTingler	2015	277	0	12	0.000	Just posted a photo Mario Lemieux 6.6k
Mario Lemieux 6.6k	-79.9866	40.4418	moochbromarc	2015	277	0	14	0.000	Just posted a photo Mario Lemieux 6.6k
Mario Lemieux 6.6k	-79.9866	40.4418	LindseyNTingler	2015	277	0	12	0.000	Just posted a photo Mario Lemieux 6.6k
Mario Lemieux 6.6k	-79.9866	40.4418	moochbromarc	2015	277	0	14	0.000	Just posted a photo Mario Lemieux 6.6k
Mario Lemieux 6.6k	-79.9866	40.4418	LindseyNTingler	2015	277	0	12	0.000	Just posted a photo Mario Lemieux 6.6k
Mario Lemieux 6.6k	-79.9866	40.4418	moochbromarc	2015	277	0	14	0.000	Just posted a photo Mario Lemieux 6.6k
Mario Lemieux 6.6k	-79.9866	40.4418	LindseyNTingler	2015	277	0	12	0.000	Just posted a photo Mario Lemieux 6.6k
Mario Lemieux 6.6k	-79.9866	40.4418	moochbromarc	2015	277	0	14	0.000	Just posted a photo Mario Lemieux 6.6k
Primanti Bros. - South Side	-79.9792	40.4286	Varites	2014	153	1	23	0.000	Just posted a photo Primanti Bros. - South Side
On the T	-80.0062	40.4342	ahmadrakwad	2015	247	5	23	0.000	Just posted a photo On the T
Greentree Parkway Center	-80.0387	40.4248	PrincessMarva	2015	66	6	18	0.000	Just posted a photo Greentree Parkway Center
Stack'd	-79.9350	40.4512	dimascion	2014	57	3	4	0.000	Just posted a photo Stack'd
Stack'd	-79.9350	40.4512	dimascion	2014	57	3	4	0.000	Just posted a photo Stack'd
The Pete	-79.9620	40.4440	kidaruss	2015	120	4	11	0.000	Just posted a photo The Pete
The Brew Gentlemen	-79.8704	40.4046	UknowGMan	2014	143	5	23	0.000	Just posted a photo The Brew Gentlemen
Burgatory Waterfront	-79.9178	40.4072	NJLansberry	2015	227	6	17	0.000	Just posted a photo Burgatory Waterfront
Beehive Coffeehouse	-79.9841	40.4289	senatorCK	2014	162	3	15	0.000	Just posted a photo Beehive Coffeehouse
Beehive Coffeehouse	-79.9841	40.4289	senatorCK	2014	162	3	15	0.000	Just posted a photo Beehive Coffeehouse
Steelers Heinz Stadium	-80.0128	40.4455	_halftree	2015	247	5	0	0.000	Just posted a photo Steelers Heinz Stadium
Steelers Heinz Stadium	-80.0128	40.4455	mackskyy	2015	235	0	21	0.000	Just posted a photo Steelers Heinz Stadium
Mount Washington, Pittsburgh, Pennsylvania	-80.0211	40.4391	gabrielblsayegh	2014	145	0	17	0.000	Just posted a photo Mount Washington, Pittsburgh, Pennsylvania
Tazza D'Oro	-79.9188	40.4747	RMadisyn	2014	303	4	14	0.000	Just posted a photo Tazza D'Oro
Tazza D'Oro	-79.9188	40.4747	RMadisyn	2014	303	4	14	0.000	Just posted a photo Tazza D'Oro
space	-79.9322	40.4531	PiaBird	2014	133	2	4	0.000	Just posted a photo space
Strip District, Pittsburgh_2	-79.9838	40.4527	SamArthrell	2014	361	6	18	0.000	Just posted a photo Strip District, Pittsburgh
Pittsburgh, PA_3	-79.9486	40.4360	libho2	2015	116	0	17	0.000	Just posted a photo Pittsburgh, PA
Pittsburgh, PA_3	-79.9486	40.4360	libho2	2015	116	0	17	0.000	Just posted a photo Pittsburgh, PA
Pittsburgh, PA_3	-79.9486	40.4360	Liv_Kappler	2015	112	3	17	0.000	Just posted a photo Pittsburgh, PA
Penn Commons	-80.0028	40.4426	sherylrosem	2015	73	6	21	0.000	Just posted a photo Penn Commons
Penn Commons	-80.0028	40.4426	sherylrosem	2015	73	6	21	0.000	Just posted a photo Penn Commons
Carnegie Mellon School of Art	-79.9428	40.4419	buchino	2014	116	6	17	0.000	Just posted a photo Carnegie Mellon School of Art
West Park on the Northside	-80.0119	40.4533	JoshLouie	2014	300	1	22	0.000	Just posted a photo West Park on the Northside
Our Home	-79.9842	40.4213	mommyna77	2015	24	6	14	0.000	Just posted a photo Our Home
Hilton Garden Inn Pittsburgh University Place	-79.9594	40.4394	DreanaKennedy	2015	263	0	23	0.000	Just posted a photo Hilton Garden Inn Pittsburgh University Place
promise im not naked	-80.0134	40.4452	elizsmiz	2015	157	6	23	0.277	Just posted a photo promise im not naked
promise im not naked	-80.0134	40.4452	elizsmiz	2015	157	6	23	0.277	Just posted a photo promise im not naked
Crazy Mocha	-79.9354	40.4579	Andy1Volz	2014	106	3	14	-0.375	Just posted a photo Crazy Mocha
Crazy Mocha	-79.9354	40.4579	Andy1Volz	2014	106	3	14	-0.375	Just posted a photo Crazy Mocha
Piatt Place	-80.0000	40.4409	BenzaBurgh	2014	93	4	1	0.000	Just posted a photo Piatt Place
Piatt Place	-80.0000	40.4409	BenzaBurgh	2014	93	4	1	0.000	Just posted a photo Piatt Place
The Mac & Gold Truck	-79.9443	40.4455	corey_tags	2014	278	0	16	0.000	Just posted a photo The Mac &amp; Gold Truck
The Mac & Gold Truck	-79.9443	40.4455	corey_tags	2014	278	0	16	0.000	Just posted a photo The Mac &amp; Gold Truck
Krista's Cantina	-80.0344	40.4669	coolc_412	2014	197	3	6	0.000	Just posted a photo Krista's Cantina
Krista's Cantina	-80.0344	40.4669	coolc_412	2014	197	3	6	0.000	Just posted a photo Krista's Cantina
Craig Distributing	-79.9524	40.4521	mommyna77	2014	177	4	21	0.000	Just posted a photo Craig Distributing
Thunder Dome	-79.9715	40.4280	Jordankammerer	2014	114	4	3	0.000	Just posted a photo Thunder Dome
U.S.X. Tower	-79.9953	40.4410	_JenniferLynne	2015	193	0	16	0.000	Just posted a photo U.S.X. Tower
U.S.X. Tower	-79.9953	40.4410	_JenniferLynne	2015	193	0	16	0.000	Just posted a photo U.S.X. Tower
U.S.X. Tower	-79.9953	40.4410	_JenniferLynne	2015	193	0	16	0.000	Just posted a photo U.S.X. Tower
Downtown Pgh_1	-80.0010	40.4415	luket0ner_	2015	196	3	21	0.000	Just posted a photo Downtown Pgh
Downtown Pgh_1	-80.0010	40.4415	luket0ner_	2015	199	6	23	0.000	Just posted a photo Downtown Pgh
Downtown Pgh_1	-80.0010	40.4415	mistertug	2014	117	0	0	0.000	Just posted a photo Downtown Pgh
Downtown Pgh_1	-80.0010	40.4415	WillisSpencer1	2014	149	4	16	0.000	Just posted a photo Downtown Pgh
Downtown Pgh_1	-80.0010	40.4415	luket0ner_	2015	196	3	21	0.000	Just posted a photo Downtown Pgh
Downtown Pgh_1	-80.0010	40.4415	mistertug	2014	117	0	0	0.000	Just posted a photo Downtown Pgh
Latin Quarters, New York	-80.0465	40.4410	afrasta	2014	134	3	22	0.000	Just posted a photo Latin Quarters, New York
Art All Night: Lawrenceville	-79.9647	40.4716	JoshLouie	2014	117	0	4	0.000	Just posted a photo Art All Night: Lawrenceville
Art All Night: Lawrenceville	-79.9647	40.4716	JoshLouie	2014	117	0	3	0.000	Just posted a photo Art All Night: Lawrenceville
Art All Night: Lawrenceville	-79.9647	40.4716	JoshLouie	2014	117	0	3	0.000	Just posted a photo Art All Night: Lawrenceville
Art All Night: Lawrenceville	-79.9647	40.4716	taylordonawho	2015	116	0	3	0.000	Just posted a photo Art All Night: Lawrenceville
Art All Night: Lawrenceville	-79.9647	40.4716	JoshLouie	2014	117	0	4	0.000	Just posted a photo Art All Night: Lawrenceville
Art All Night: Lawrenceville	-79.9647	40.4716	JoshLouie	2014	117	0	3	0.000	Just posted a photo Art All Night: Lawrenceville
Art All Night: Lawrenceville	-79.9647	40.4716	JoshLouie	2014	117	0	3	0.000	Just posted a photo Art All Night: Lawrenceville
Art All Night: Lawrenceville	-79.9647	40.4716	JoshLouie	2014	117	0	4	0.000	Just posted a photo Art All Night: Lawrenceville
Art All Night: Lawrenceville	-79.9647	40.4716	JoshLouie	2014	117	0	3	0.000	Just posted a photo Art All Night: Lawrenceville
Art All Night: Lawrenceville	-79.9647	40.4716	JoshLouie	2014	117	0	3	0.000	Just posted a photo Art All Night: Lawrenceville
West Penn Allegheny Health System	-80.0036	40.4572	coolc_412	2015	17	6	0	0.000	Just posted a photo West Penn Allegheny Health System
modern hair world	-79.8883	40.4224	Kathalyn1	2015	184	5	18	0.000	Just posted a photo modern hair world
modern hair world	-79.8883	40.4224	Kathalyn1	2015	184	5	18	0.000	Just posted a photo modern hair world
modern hair world	-79.8883	40.4224	Kathalyn1	2015	184	5	18	0.000	Just posted a photo modern hair world
Square Cafe	-79.8935	40.4320	werbette	2014	276	5	22	0.000	Just posted a photo Square Cafe
Square Cafe	-79.8935	40.4320	werbette	2014	276	5	22	0.000	Just posted a photo Square Cafe
Arnold's Tea	-80.0005	40.4537	MattRooobison	2015	199	6	15	0.000	Just posted a photo Arnold's Tea
Whim Pgh	-80.0034	40.4323	pschfr	2014	115	5	6	0.000	Just posted a photo Whim Pgh
PA Wine & Spirits	-79.9266	40.4590	Andy1Volz	2014	111	1	22	0.000	Just posted a photo PA Wine &amp; Spirits
Hays Manor	-80.0565	40.4666	1theguynextdoor	2015	2	5	4	0.000	Just posted a photo Hays Manor
Cwenar Photography	-79.9839	40.4258	JessKeglovich	2014	322	2	23	0.000	Just posted a photo Cwenar Photography
Lazy Town	-80.0396	40.3886	fuck_algebruh1	2015	250	1	1	-0.385	Just posted a photo Lazy Town
Seviche	-79.9969	40.4439	SalonikaImports	2015	264	1	2	0.000	Just posted a photo Seviche
Frick Park_1	-79.9049	40.4323	teague_city	2015	199	6	18	0.000	Just posted a photo Frick Park
Frick Park_1	-79.9049	40.4323	Annareese	2015	194	1	22	0.000	Just posted a photo Frick Park
Frick Park_1	-79.9049	40.4323	Annareese	2015	194	1	22	0.000	Just posted a photo Frick Park
Father Ryan Arts Center	-80.0584	40.4650	itsLJDuncan	2015	32	0	1	0.000	Just posted a photo Father Ryan Arts Center
Father Ryan Arts Center	-80.0584	40.4650	itsLJDuncan	2015	32	0	1	0.000	Just posted a photo Father Ryan Arts Center
Father Ryan Arts Center	-80.0584	40.4650	itsLJDuncan	2015	32	0	1	0.000	Just posted a photo Father Ryan Arts Center
Pamela's P&G Diner	-79.9836	40.4519	laurenashleyb89	2014	60	6	15	0.000	Just posted a photo Pamela's P&amp;G Diner
Pamela's P&G Diner	-79.9836	40.4519	laurenashleyb89	2014	60	6	15	0.000	Just posted a photo Pamela's P&amp;G Diner
Pamela's P&G Diner	-79.9836	40.4519	laurenashleyb89	2014	60	6	15	0.000	Just posted a photo Pamela's P&amp;G Diner
Pamela's P&G Diner	-79.9836	40.4519	laurenashleyb89	2014	60	6	15	0.000	Just posted a photo Pamela's P&amp;G Diner
Pamela's P&G Diner	-79.9836	40.4519	laurenashleyb89	2014	60	6	15	0.000	Just posted a photo Pamela's P&amp;G Diner
Andy Warhol Bridge	-80.0014	40.4461	MsSarahHunter	2015	157	6	21	0.000	Just posted a photo Andy Warhol Bridge
Andy Warhol Bridge	-80.0014	40.4461	MsSarahHunter	2015	157	6	21	0.000	Just posted a photo Andy Warhol Bridge
Andy Warhol Bridge	-80.0014	40.4461	xtrpow	2014	216	1	0	0.000	Just posted a photo Andy Warhol Bridge
Andy Warhol Bridge	-80.0014	40.4461	willrupp	2014	201	0	3	0.000	Just posted a photo Andy Warhol Bridge
Andy Warhol Bridge	-80.0014	40.4461	xtrpow	2014	216	1	0	0.000	Just posted a photo Andy Warhol Bridge
Andy Warhol Bridge	-80.0014	40.4461	willrupp	2014	201	0	3	0.000	Just posted a photo Andy Warhol Bridge
Andy Warhol Bridge	-80.0014	40.4461	webbleebruce	2015	225	4	22	0.000	Just posted a photo Andy Warhol Bridge
Brottier Hall	-79.9933	40.4375	the_Nard_Dog_	2015	186	0	10	0.000	Just posted a photo Brottier Hall
Brottier Hall	-79.9933	40.4375	amanda_bigi	2015	242	0	1	0.000	Just posted a photo Brottier Hall
Brottier Hall	-79.9933	40.4375	amanda_bigi	2015	242	0	1	0.000	Just posted a photo Brottier Hall
Wendy's	-79.9375	40.4569	DAONEATL	2014	58	4	6	0.000	Just posted a photo Wendy's
Wendy's	-79.9375	40.4569	DAONEATL	2014	58	4	6	0.000	Just posted a photo Wendy's
Allegheny Landing	-80.0037	40.4471	412Turbo	2014	152	0	21	0.000	Just posted a photo Allegheny Landing
Penzeys Spices	-79.9853	40.4503	freebirdpaperie	2014	215	0	18	0.000	Just posted a photo Penzeys Spices
That Bathroom Scene	-79.9551	40.4436	julieee_o	2015	183	4	19	0.000	Just posted a photo That Bathroom Scene
That Bathroom Scene	-79.9551	40.4436	julieee_o	2015	183	4	19	0.000	Just posted a photo That Bathroom Scene
Cure	-79.9512	40.4828	Orangechairblog	2014	74	6	22	0.000	Just posted a photo Cure
Bar Marco	-79.9817	40.4526	tashiaw	2014	95	6	15	0.000	Just posted a photo Bar Marco
Bar Marco	-79.9817	40.4526	zanndtorre	2015	269	6	0	0.000	Just posted a photo Bar Marco
Bar Marco	-79.9817	40.4526	zanndtorre	2015	269	6	0	0.000	Just posted a photo Bar Marco
Bar Marco	-79.9817	40.4526	tashiaw	2014	95	6	15	0.000	Just posted a photo Bar Marco
Bar Marco	-79.9817	40.4526	tashiaw	2014	95	6	15	0.000	Just posted a photo Bar Marco
Bar Marco	-79.9817	40.4526	tashiaw	2014	95	6	15	0.000	Just posted a photo Bar Marco
Carnegie Library of Homestead	-79.9031	40.4072	techburgh	2014	340	6	22	0.000	Just posted a photo Carnegie Library of Homestead
Carnegie Library of Homestead	-79.9031	40.4072	techburgh	2014	340	6	22	0.000	Just posted a photo Carnegie Library of Homestead
Carnegie Library of Homestead	-79.9031	40.4072	techburgh	2015	10	6	18	0.000	Just posted a photo Carnegie Library of Homestead
Carnegie Library of Homestead	-79.9031	40.4072	techburgh	2015	306	1	17	0.000	Just posted a photo Carnegie Library of Homestead
Carnegie Library of Homestead	-79.9031	40.4072	techburgh	2014	340	6	22	0.000	Just posted a photo Carnegie Library of Homestead
Carnegie Library of Homestead	-79.9031	40.4072	techburgh	2014	340	6	22	0.000	Just posted a photo Carnegie Library of Homestead
Carnegie Library of Homestead	-79.9031	40.4072	techburgh	2015	10	6	18	0.000	Just posted a photo Carnegie Library of Homestead
Carnegie Library of Homestead	-79.9031	40.4072	techburgh	2014	340	6	22	0.000	Just posted a photo Carnegie Library of Homestead
Carnegie Library of Homestead	-79.9031	40.4072	techburgh	2014	340	6	22	0.000	Just posted a photo Carnegie Library of Homestead
Carnegie Library of Homestead	-79.9031	40.4072	techburgh	2015	10	6	18	0.000	Just posted a photo Carnegie Library of Homestead
Carnegie Library of Homestead	-79.9031	40.4072	techburgh	2015	117	1	16	0.000	Just posted a photo Carnegie Library of Homestead
Carnegie Library of Homestead	-79.9031	40.4072	techburgh	2015	117	1	15	0.000	Just posted a photo Carnegie Library of Homestead
Luke Wholey's Wild Alaskan Grille	-79.9828	40.4518	FLAWLESSBYQI	2014	192	5	1	0.000	Just posted a photo Luke Wholey's Wild Alaskan Grille
Luke Wholey's Wild Alaskan Grille	-79.9828	40.4518	BenzaBurgh	2014	132	1	3	0.000	Just posted a photo Luke Wholey's Wild Alaskan Grille
Luke Wholey's Wild Alaskan Grille	-79.9828	40.4518	BenZhye	2015	241	6	23	0.000	Just posted a photo Luke Wholey's Wild Alaskan Grille
Luke Wholey's Wild Alaskan Grille	-79.9828	40.4518	BenZhye	2015	241	6	23	0.000	Just posted a photo Luke Wholey's Wild Alaskan Grille
AMC Waterfront 22	-79.9180	40.4068	techburgh	2015	144	0	21	0.000	Just posted a photo AMC Waterfront 22
AMC Waterfront 22	-79.9180	40.4068	techburgh	2015	144	0	21	0.000	Just posted a photo AMC Waterfront 22
TGI Friday's - Consol Energy	-79.9901	40.4389	coolc_412	2015	110	1	22	0.259	Just posted a photo TGI Friday's - Consol Energy
The Secret City of Pittsburgh	-79.9022	40.4491	BenzaBurgh	2014	284	6	3	0.000	Just posted a photo The Secret City of Pittsburgh
The Secret City of Pittsburgh	-79.9022	40.4491	BenzaBurgh	2014	297	5	2	0.000	Just posted a photo The Secret City of Pittsburgh
The Secret City of Pittsburgh	-79.9022	40.4491	BenzaBurgh	2014	28	2	5	0.000	Just posted a photo The Secret City of Pittsburgh
The Secret City of Pittsburgh	-79.9022	40.4491	BenzaBurgh	2014	138	0	4	0.000	Just posted a photo The Secret City of Pittsburgh
Howard's Park Place Pub	-79.8944	40.4411	remingtonbrooks	2014	89	0	21	0.000	Just posted a photo Howard's Park Place Pub
Bayardstown Social Club	-79.9723	40.4589	DoriIsRad	2015	185	6	1	0.000	Just posted a photo Bayardstown Social Club
Bayardstown Social Club	-79.9723	40.4589	ddickison	2015	186	0	0	0.000	Just posted a photo Bayardstown Social Club
Bayardstown Social Club	-79.9723	40.4589	DoriIsRad	2015	186	0	2	0.000	Just posted a photo Bayardstown Social Club
Bayardstown Social Club	-79.9723	40.4589	EmilyKulaa	2014	178	5	3	0.000	Just posted a photo Bayardstown Social Club
Bayardstown Social Club	-79.9723	40.4589	DoriIsRad	2015	185	6	1	0.000	Just posted a photo Bayardstown Social Club
Bayardstown Social Club	-79.9723	40.4589	ddickison	2015	186	0	0	0.000	Just posted a photo Bayardstown Social Club
Bayardstown Social Club	-79.9723	40.4589	DoriIsRad	2015	186	0	2	0.000	Just posted a photo Bayardstown Social Club
Bayardstown Social Club	-79.9723	40.4589	DoriIsRad	2015	185	6	1	0.000	Just posted a photo Bayardstown Social Club
Bayardstown Social Club	-79.9723	40.4589	ddickison	2015	186	0	0	0.000	Just posted a photo Bayardstown Social Club
Bayardstown Social Club	-79.9723	40.4589	DoriIsRad	2015	186	0	2	0.000	Just posted a photo Bayardstown Social Club
Bayardstown Social Club	-79.9723	40.4589	EmilyKulaa	2014	178	5	3	0.000	Just posted a photo Bayardstown Social Club
Bayardstown Social Club	-79.9723	40.4589	EmilyKulaa	2014	178	5	3	0.000	Just posted a photo Bayardstown Social Club
Bayardstown Social Club	-79.9723	40.4589	DoriIsRad	2015	185	6	1	0.000	Just posted a photo Bayardstown Social Club
Bayardstown Social Club	-79.9723	40.4589	ddickison	2015	186	0	0	0.000	Just posted a photo Bayardstown Social Club
Bayardstown Social Club	-79.9723	40.4589	DoriIsRad	2015	186	0	2	0.000	Just posted a photo Bayardstown Social Club
Pittsburgh Marriott City Center	-79.9921	40.4400	BenzaBurgh	2014	92	3	5	0.000	Just posted a photo Pittsburgh Marriott City Center
Heinz Field - Mexican Suite	-79.8925	40.3972	BenzaBurgh	2014	307	1	3	0.000	Just posted a photo Heinz Field - Mexican Suite
Heinz Field - Mexican Suite	-79.8925	40.3972	BenzaBurgh	2014	307	1	3	0.000	Just posted a photo Heinz Field - Mexican Suite
Berean Fellowship Church	-80.0886	40.3692	KenGott1	2014	68	0	0	0.000	Just posted a photo Berean Fellowship Church
BOOM Concepts	-79.9414	40.4650	WhoIsMakayla	2014	185	5	2	0.000	Just posted a photo BOOM Concepts
Sheraton Pittsburgh Hotel at Station Square	-80.0063	40.4348	MHPhysique	2015	247	5	14	0.000	Just posted a photo Sheraton Pittsburgh Hotel at Station Square
Biergarten Hotel Monaco	-79.9963	40.4415	I_AmOfTheTower	2015	157	6	23	0.000	Just posted a photo Biergarten Hotel Monaco
The Strip_2	-79.9832	40.4517	chuck629	2015	262	6	16	0.000	Just posted a photo The Strip
The Strip_2	-79.9832	40.4517	Amanda__2017	2015	246	4	14	0.000	Just posted a photo The Strip
ShalerHeinz Field	-80.0169	40.4477	tfranc_04	2014	298	6	23	0.000	Just posted a photo ShalerHeinz Field
ShalerHeinz Field	-80.0169	40.4477	tfranc_04	2014	298	6	23	0.000	Just posted a photo ShalerHeinz Field
Great Allegheny Passage	-79.9186	40.4081	stynyr	2015	242	0	12	0.451	Just posted a photo Great Allegheny Passage
Great Allegheny Passage	-79.9186	40.4081	stynyr	2015	242	0	12	0.451	Just posted a photo Great Allegheny Passage
Great Allegheny Passage	-79.9186	40.4081	stynyr	2015	242	0	12	0.451	Just posted a photo Great Allegheny Passage
Great Allegheny Passage	-79.9186	40.4081	stynyr	2015	242	0	12	0.451	Just posted a photo Great Allegheny Passage
St. Joseph's Church	-79.9497	40.4620	AleitaH	2015	191	5	2	0.000	Just posted a photo St. Joseph's Church
St. Joseph's Church	-79.9497	40.4620	AleitaH	2015	191	5	2	0.000	Just posted a photo St. Joseph's Church
St. Joseph's Church	-79.9497	40.4620	AleitaH	2015	191	5	2	0.000	Just posted a photo St. Joseph's Church
Arsenal Park in Lawrenceville	-79.9592	40.4662	mgalioto10	2014	187	0	1	0.000	Just posted a photo Arsenal Park in Lawrenceville
piano slave for NHS	-79.9987	40.3684	petalfever	2015	119	3	21	0.000	Just posted a photo piano slave for NHS
Orangetheory Fitness Pittsburgh- East End	-79.9271	40.4624	renee_c_s24	2015	268	5	11	0.231	Just posted a photo Orangetheory Fitness Pittsburgh- East End
Orangetheory Fitness Pittsburgh- East End	-79.9271	40.4624	renee_c_s24	2015	268	5	11	0.231	Just posted a photo Orangetheory Fitness Pittsburgh- East End
The Warhol: Store	-80.0021	40.4486	BenzaBurgh	2014	81	6	3	0.000	Just posted a photo The Warhol: Store
The Warhol: Store	-80.0021	40.4486	BenzaBurgh	2014	81	6	3	0.000	Just posted a photo The Warhol: Store
The Warhol: Store	-80.0021	40.4486	BenzaBurgh	2014	81	6	3	0.000	Just posted a photo The Warhol: Store
Contemporary Craft	-79.9843	40.4524	NicolePeeler	2015	159	1	17	0.000	Just posted a photo Contemporary Craft
Contemporary Craft	-79.9843	40.4524	NicolePeeler	2015	159	1	17	0.000	Just posted a photo Contemporary Craft
Contemporary Craft	-79.9843	40.4524	NicolePeeler	2015	159	1	17	0.000	Just posted a photo Contemporary Craft
Nico's Recovery Room	-79.9489	40.4636	badley_bratt	2014	161	2	4	0.000	Just posted a photo Nico's Recovery Room
Beeler	-79.9346	40.4454	PKsDancingGirl	2014	67	6	16	0.000	Just posted a photo Beeler
Liberty & 25th Ave	-79.9788	40.4537	jrmpix	2014	87	5	16	0.362	Just posted a photo Liberty &amp; 25th Ave
Compact Cars of Pittsburgh	-80.0006	40.4009	emily4732	2015	159	1	0	0.000	Just posted a photo Compact Cars of Pittsburgh
Compact Cars of Pittsburgh	-80.0006	40.4009	emily4732	2015	159	1	0	0.000	Just posted a photo Compact Cars of Pittsburgh
City View Apartments	-79.9864	40.4401	ALi__Jawad	2015	281	4	18	0.000	Just posted a photo City View Apartments
City View Apartments	-79.9864	40.4401	ALi__Jawad	2015	281	4	18	0.000	Just posted a photo City View Apartments
City View Apartments	-79.9864	40.4401	ALi__Jawad	2015	281	4	18	0.000	Just posted a photo City View Apartments
Bates Hill Apartments	-79.9527	40.4391	NJLansberry	2015	115	6	1	0.000	Just posted a photo Bates Hill Apartments
Bates Hill Apartments	-79.9527	40.4391	NJLansberry	2015	115	6	1	0.000	Just posted a photo Bates Hill Apartments
Happy 4th	-79.9714	40.3769	Lesley_Murrio	2015	186	0	2	0.481	Just posted a photo Happy 4th
Happy 4th	-79.9714	40.3769	Lesley_Murrio	2015	186	0	2	0.481	Just posted a photo Happy 4th
Happy 4th	-79.9714	40.3769	Lesley_Murrio	2015	186	0	2	0.481	Just posted a photo Happy 4th
Happy 4th	-79.9714	40.3769	Lesley_Murrio	2015	186	0	2	0.481	Just posted a photo Happy 4th
Tilted Kilt Pittsburgh	-80.0108	40.4459	SevTST	2014	111	1	22	0.000	Just posted a photo Tilted Kilt Pittsburgh
Tilted Kilt Pittsburgh	-80.0108	40.4459	SevTST	2014	111	1	22	0.000	Just posted a photo Tilted Kilt Pittsburgh
Tilted Kilt Pittsburgh	-80.0108	40.4459	campuscop2003	2015	284	0	21	0.000	Just posted a photo Tilted Kilt Pittsburgh
VILLAGE TAVERN & TRATTORIA	-80.0339	40.4414	ThisisAnnaG	2015	235	0	3	0.000	Just posted a photo VILLAGE TAVERN &amp; TRATTORIA
VILLAGE TAVERN & TRATTORIA	-80.0339	40.4414	ThisisAnnaG	2015	235	0	3	0.000	Just posted a photo VILLAGE TAVERN &amp; TRATTORIA
31st Street Bridge	-79.9778	40.4638	JoshLouie	2014	139	1	21	0.000	Just posted a photo 31st Street Bridge
31st Street Bridge	-79.9778	40.4638	JoshLouie	2014	139	1	21	0.000	Just posted a photo 31st Street Bridge
31st Street Bridge	-79.9778	40.4638	JoshLouie	2014	139	1	21	0.000	Just posted a photo 31st Street Bridge
Scott Twp Pool	-80.0881	40.3838	cjredding76	2015	158	0	18	0.000	Just posted a photo Scott Twp Pool
Scott Twp Pool	-80.0881	40.3838	cjredding76	2015	158	0	18	0.000	Just posted a photo Scott Twp Pool
Scott Twp Pool	-80.0881	40.3838	spoiledlisa	2015	195	2	1	0.000	Just posted a photo Scott Twp Pool
Scott Twp Pool	-80.0881	40.3838	spoiledlisa	2015	195	2	1	0.000	Just posted a photo Scott Twp Pool
New Hazlett Theater	-80.0048	40.4530	neshacom1	2015	275	5	12	0.000	Just posted a photo New Hazlett Theater
IVY Pittsburgh	-79.9851	40.4509	412Turbo	2014	131	0	4	0.000	Just posted a photo IVY Pittsburgh
IVY Pittsburgh	-79.9851	40.4509	djtmac412	2014	179	6	2	0.000	Just posted a photo IVY Pittsburgh
IVY Pittsburgh	-79.9851	40.4509	412Turbo	2014	131	0	4	0.000	Just posted a photo IVY Pittsburgh
IVY Pittsburgh	-79.9851	40.4509	412Turbo	2014	131	0	4	0.000	Just posted a photo IVY Pittsburgh
IVY Pittsburgh	-79.9851	40.4509	412Turbo	2014	131	0	4	0.000	Just posted a photo IVY Pittsburgh
I-376 East	-80.0805	40.4133	chuck629	2014	289	4	20	0.000	Just posted a photo I-376 East
I-376 East	-80.0805	40.4133	chuck629	2014	289	4	20	0.000	Just posted a photo I-376 East
I-376 East	-80.0805	40.4133	chuck629	2014	289	4	20	0.000	Just posted a photo I-376 East
EQT Pittsburgh 10 Miler	-79.9951	40.4506	pride110309	2015	299	1	16	0.000	Just posted a photo EQT Pittsburgh 10 Miler
