how,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,NA
0,2,0,0,1,1,0,0,0,0,0,20
1,0,0,0,1,2,0,0,0,0,0,4
2,0,0,0,2,1,2,0,0,0,0,0
3,2,0,0,3,0,0,0,0,0,0,5
4,0,0,0,1,0,0,0,0,0,0,0
5,0,0,0,1,0,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,1
11,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,2
13,0,0,0,0,1,0,0,0,0,0,1
14,2,0,0,1,0,0,0,0,0,0,4
15,5,0,0,0,1,1,0,0,0,0,5
16,3,0,0,1,1,0,0,0,0,0,26
17,4,0,0,1,1,0,0,0,0,0,34
18,10,0,0,0,0,0,0,0,0,0,16
19,8,0,0,0,1,0,0,0,0,0,9
20,15,0,0,0,0,0,0,0,0,0,7
21,2,0,0,0,0,0,0,0,0,1,6
22,0,0,0,0,0,1,0,0,0,0,3
23,0,0,0,0,0,0,0,0,0,0,5
24,0,0,0,0,0,0,0,0,0,0,6
25,0,0,0,0,0,0,0,0,0,0,4
26,0,0,0,0,0,0,0,0,0,1,3
27,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,1
29,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,2
35,0,0,0,0,0,0,0,0,0,0,4
36,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,2,0,5
38,0,0,0,1,0,0,0,0,0,0,7
39,0,0,0,1,0,0,1,0,0,0,7
40,0,0,0,0,0,0,0,0,0,0,13
41,1,0,0,0,1,0,0,0,0,0,9
42,0,0,0,0,0,0,0,0,0,0,2
43,0,0,0,0,0,0,0,0,0,0,1
44,0,0,0,0,0,0,0,0,0,0,4
45,1,0,0,0,0,0,0,0,0,0,6
46,2,0,0,0,1,0,0,0,0,0,20
47,1,0,0,1,0,0,0,0,0,0,16
48,0,0,0,0,0,0,0,0,0,0,5
49,0,0,0,0,0,0,0,0,0,0,5
50,0,0,0,0,0,0,0,0,0,0,6
51,0,0,0,0,0,0,0,0,0,0,4
52,0,0,0,0,0,0,0,0,0,0,1
53,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,2
55,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,1
57,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,1
59,0,0,0,0,0,0,0,0,0,0,3
60,0,0,0,0,0,0,0,0,0,0,2
61,0,0,0,0,0,0,0,0,0,0,8
62,0,0,0,0,0,0,0,0,0,0,2
63,0,0,0,0,0,0,0,0,0,0,3
64,2,0,0,2,1,0,0,0,1,0,2
65,0,0,0,0,1,0,0,0,0,0,2
66,0,0,0,0,0,0,0,0,0,0,2
67,2,0,0,0,0,0,0,0,0,0,1
68,0,0,0,0,0,0,0,0,0,0,5
69,0,0,0,1,1,0,0,0,0,0,11
70,2,0,0,1,0,0,0,0,0,0,20
71,0,0,0,0,0,0,0,0,0,0,17
72,0,0,0,0,0,2,0,0,0,0,9
73,0,0,0,0,0,0,0,0,0,0,3
74,0,0,0,1,0,0,0,0,0,0,0
75,0,0,0,1,0,0,0,0,0,0,1
76,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,1
80,0,0,0,0,0,0,0,0,0,0,1
81,0,0,0,0,0,0,0,0,0,0,1
82,0,0,0,1,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,2
84,0,0,0,0,0,0,0,0,0,0,2
85,0,0,0,0,0,0,0,0,0,0,2
86,0,0,0,0,0,0,0,0,0,0,4
87,0,0,0,1,1,0,0,0,0,0,8
88,1,0,0,1,0,0,0,0,0,0,5
89,0,0,0,1,0,0,0,0,0,0,5
90,4,0,0,0,0,0,0,0,0,0,2
91,2,0,0,0,0,0,0,0,0,0,4
92,0,0,0,1,0,0,0,0,0,1,5
93,2,0,0,0,2,0,0,0,0,0,16
94,1,0,0,3,0,2,0,0,0,0,19
95,2,0,0,1,0,0,0,0,0,0,24
96,1,0,0,1,0,0,0,0,0,0,7
97,0,0,0,0,0,0,0,0,0,0,3
98,0,0,0,0,1,0,0,0,0,1,5
99,0,0,0,0,0,0,0,0,0,0,1
100,1,0,0,0,1,0,0,0,0,0,1
101,0,0,0,0,0,0,0,0,0,0,1
102,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,1
104,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,3
106,0,0,0,0,0,0,0,0,0,0,1
107,0,0,0,0,0,0,0,0,0,0,1
108,0,0,0,3,0,0,0,0,0,0,3
109,0,0,0,0,0,0,1,0,0,0,6
110,0,0,0,0,0,0,0,0,0,0,4
111,0,0,0,0,0,0,0,0,0,0,2
112,0,0,0,1,0,0,0,0,0,0,10
113,7,0,0,0,0,0,0,0,0,0,1
114,6,0,0,0,0,0,0,0,0,0,8
115,2,0,0,0,0,0,0,0,0,0,3
116,0,0,0,0,0,0,0,0,0,0,2
117,4,0,0,1,1,0,0,0,0,0,7
118,1,0,0,0,0,0,0,0,0,0,14
119,0,0,0,0,0,0,0,0,0,0,10
120,0,0,0,3,0,0,0,0,0,0,3
121,0,0,0,2,0,0,0,0,0,0,5
122,0,0,0,1,0,1,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,1
131,0,0,0,0,0,0,0,0,0,0,2
132,0,0,0,0,0,0,0,0,0,0,4
133,0,0,0,0,0,0,1,0,0,0,7
134,0,0,0,0,0,0,0,0,0,0,5
135,2,0,0,0,0,0,1,0,0,0,3
136,0,0,0,0,0,0,0,0,0,0,0
137,4,0,0,0,0,0,0,0,0,0,3
138,4,0,0,1,0,0,0,0,0,0,3
139,2,0,0,0,1,0,0,0,0,1,6
140,2,0,0,0,0,0,0,0,0,0,5
141,3,0,0,2,0,2,1,0,0,0,33
142,0,0,0,2,1,2,0,0,0,0,25
143,9,0,0,1,1,0,0,0,0,0,40
144,7,0,0,1,0,2,0,0,0,0,9
145,1,0,0,0,0,0,0,0,0,0,5
146,1,0,0,3,1,0,0,0,0,1,6
147,4,0,0,0,0,1,0,0,2,0,4
148,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,1
155,0,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0,0,0,2
158,4,0,0,0,0,0,0,0,0,0,5
159,8,0,0,1,1,0,0,0,0,0,4
160,12,0,0,0,0,2,0,0,0,0,2
161,4,1,0,0,1,0,0,0,0,0,8
162,10,0,0,0,1,0,2,0,0,0,12
163,7,0,0,0,0,2,0,0,0,0,26
164,0,0,0,0,2,1,0,0,0,0,17
165,4,0,0,0,2,2,0,0,0,0,15
166,0,0,0,1,4,0,0,0,0,0,29
167,6,0,0,1,2,0,0,0,0,0,18
