how,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,NA
0,38,7,0,52,23,2,5,0,10,10,62
1,13,4,0,43,21,5,6,0,11,10,28
2,14,2,0,34,35,2,8,1,2,4,24
3,11,4,0,22,45,1,1,0,1,5,31
4,8,0,0,25,43,0,2,0,0,2,15
5,6,1,0,4,33,0,2,0,0,2,12
6,0,1,0,5,8,0,3,0,1,4,2
7,0,1,0,5,1,0,0,0,0,2,3
8,0,0,0,2,4,0,0,0,0,0,1
9,0,0,0,1,0,0,1,0,0,0,1
10,0,0,0,0,0,0,0,0,7,0,2
11,0,2,0,0,0,1,0,0,1,0,4
12,4,1,0,5,0,1,32,0,6,2,13
13,2,3,0,7,1,5,20,0,1,2,9
14,7,4,0,30,0,7,21,0,5,0,24
15,8,1,0,24,6,8,8,1,8,10,26
16,30,6,0,30,6,4,8,1,9,8,67
17,24,3,0,36,6,5,12,0,25,12,83
18,24,4,0,30,2,0,7,0,13,7,52
19,24,1,0,29,8,3,1,0,8,3,33
20,33,3,0,35,8,0,13,0,17,5,35
21,19,4,0,28,11,3,6,0,9,8,46
22,28,7,0,30,12,8,11,0,7,11,33
23,47,4,0,18,14,2,4,1,15,12,38
24,15,3,0,15,10,7,6,0,8,8,28
25,8,5,0,4,7,3,0,0,3,4,18
26,5,0,0,17,14,0,2,0,13,3,12
27,4,2,0,6,6,3,1,0,4,3,10
28,0,4,0,0,5,0,3,0,4,8,7
29,0,0,0,1,8,0,0,0,1,2,5
30,0,0,0,2,2,0,0,0,1,0,4
31,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,1,0,0,0,0
34,3,6,0,0,0,2,1,0,2,2,5
35,1,3,0,2,0,4,6,0,6,0,11
36,1,1,0,3,0,2,6,0,4,0,16
37,1,4,0,4,0,7,16,1,13,8,29
38,5,6,0,7,0,5,6,0,2,5,23
39,6,5,0,16,2,10,14,0,21,0,30
40,5,4,0,16,2,6,4,0,4,0,35
41,15,9,0,11,3,7,17,0,13,1,35
42,0,10,0,12,1,1,16,0,7,6,14
43,12,7,0,13,0,7,14,0,14,4,27
44,14,2,0,10,4,9,5,0,8,3,30
45,10,7,0,14,5,9,8,0,8,11,30
46,14,7,0,21,11,7,6,1,9,3,48
47,15,4,0,27,3,4,3,0,7,14,43
48,20,2,0,19,10,3,4,0,6,11,29
49,16,7,0,16,4,5,7,1,7,4,25
50,16,2,0,9,6,10,3,0,10,2,30
51,12,10,0,1,4,5,2,0,0,1,13
52,1,1,0,2,1,0,1,0,0,3,8
53,0,2,0,0,1,0,0,0,0,2,2
54,0,3,0,0,1,0,0,0,2,0,3
55,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,2
57,0,0,0,0,0,0,0,0,0,0,2
58,0,6,0,0,0,0,3,0,0,0,7
59,0,3,0,2,0,4,5,1,7,2,15
60,0,8,0,1,0,3,6,0,13,5,34
61,4,4,0,10,1,0,20,0,2,3,28
62,12,8,0,5,0,20,11,1,7,4,27
63,6,6,0,20,2,9,6,0,7,5,20
64,7,7,0,22,9,4,17,1,10,6,27
65,11,6,0,15,1,6,5,0,10,1,23
66,6,17,0,14,2,0,9,0,10,6,10
67,10,7,0,16,3,2,7,0,6,4,20
68,12,8,0,16,1,8,4,0,10,7,17
69,16,6,0,16,7,10,5,0,6,7,33
70,42,13,0,30,5,5,6,0,2,14,49
71,40,3,0,28,12,2,4,0,0,4,42
72,14,1,0,28,7,5,3,0,8,1,36
73,7,2,0,9,8,1,1,0,16,4,20
74,6,0,0,10,6,4,1,0,8,2,12
75,4,2,0,4,11,0,1,0,4,7,10
76,2,0,0,3,6,0,6,0,0,4,7
77,1,1,0,3,1,0,0,0,0,0,4
78,0,0,0,3,0,0,2,0,0,0,3
79,0,0,0,0,0,0,0,0,0,0,1
80,0,0,0,0,1,0,2,0,0,4,3
81,0,0,0,0,0,0,0,0,0,0,1
82,0,7,0,1,0,0,4,0,0,2,4
83,0,1,0,0,0,3,3,0,2,4,10
84,5,1,0,1,0,0,1,0,13,0,21
85,1,5,0,5,0,4,11,1,5,0,18
86,2,5,0,9,0,6,6,0,1,1,20
87,2,9,0,12,1,8,10,0,9,2,31
88,16,13,0,23,1,5,6,0,17,4,23
89,5,7,0,22,2,2,3,0,12,4,30
90,7,8,0,22,4,5,5,0,14,5,17
91,20,9,0,14,2,7,8,1,5,9,36
92,8,13,0,8,1,5,6,0,9,12,29
93,10,2,0,30,9,6,2,0,5,6,43
94,26,2,0,40,13,8,5,1,16,5,45
95,53,6,0,35,15,5,2,0,8,7,55
96,23,10,0,30,18,4,1,0,6,5,25
97,23,1,0,23,12,3,1,0,6,0,19
98,10,3,0,17,5,5,1,0,1,4,23
99,12,2,0,14,15,1,0,0,4,0,16
100,4,0,0,6,5,0,1,0,3,4,9
101,0,0,0,0,5,0,0,0,0,2,5
102,0,0,0,0,0,0,1,0,0,0,1
103,0,1,0,2,0,0,0,0,0,0,3
104,0,1,0,0,0,0,1,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,4
106,2,6,0,0,0,0,4,0,2,1,5
107,2,4,0,4,0,2,5,0,2,4,11
108,18,4,0,12,0,1,3,0,3,1,29
109,4,9,0,5,0,4,8,0,4,5,48
110,9,3,0,7,1,4,24,0,3,10,33
111,5,5,0,22,1,10,10,0,9,5,35
112,9,11,0,29,6,8,10,0,16,4,26
113,12,11,0,10,5,9,9,0,16,6,25
114,16,7,0,18,1,1,11,1,6,17,30
115,11,8,0,20,6,10,5,0,3,8,26
116,9,8,0,6,5,6,4,0,7,3,23
117,15,9,0,30,9,3,8,0,7,1,31
118,32,2,0,34,17,6,1,0,11,4,48
119,58,4,0,32,17,3,5,0,9,3,45
120,32,0,0,24,12,5,3,0,22,3,33
121,8,3,0,25,22,2,0,0,11,7,26
122,16,2,0,10,14,6,3,0,6,7,21
123,7,2,0,5,24,0,3,0,6,6,15
124,4,1,0,5,6,1,0,1,0,3,8
125,1,4,0,4,7,0,6,0,4,3,6
126,0,0,0,0,4,0,1,0,0,0,6
127,0,0,0,4,1,0,0,0,0,3,3
128,0,1,0,0,0,1,0,0,0,0,1
129,0,0,0,0,0,1,0,0,2,0,5
130,0,6,0,0,0,0,3,0,4,0,4
131,0,1,0,4,0,5,6,0,5,3,16
132,0,5,0,4,0,4,10,0,3,4,34
133,1,9,0,9,0,3,14,0,11,10,30
134,5,7,0,5,0,6,9,0,8,7,29
135,7,5,0,20,0,3,11,0,14,3,28
136,6,10,0,38,3,5,19,0,16,3,28
137,6,10,0,34,9,7,21,0,9,9,28
138,18,6,0,28,16,0,13,0,14,3,26
139,8,5,0,20,9,2,11,0,7,4,25
