,14,,,7,,,13,,,6,,,28,,,16,,,19,,,26,,,30,,,31,,,15,,
18,1.4438,0.1491,Y,1.9174,0.0555,N,6.3238,0.0000,N,3.3844,0.0007,N,6.0514,0.0000,N,5.8125,0.0000,N,3.6406,0.0003,N,6.4143,0.0000,N,6.1889,0.0000,N,6.9461,0.0000,N,11.8779,0.0000,N
14,,,,0.3840,0.7011,Y,3.7143,0.0002,N,1.6822,0.0928,N,3.1668,0.0016,N,2.9634,0.0031,N,1.9106,0.0563,N,3.9095,0.0001,N,3.7423,0.0002,N,4.8587,0.0000,N,8.2714,0.0000,N
7,,,,,,,3.3963,0.0007,N,1.3333,0.1828,Y,2.8045,0.0051,N,2.5889,0.0098,N,1.5685,0.1171,Y,3.6058,0.0003,N,3.4322,0.0006,N,4.6103,0.0000,N,8.1900,0.0000,N
13,,,,,,,,,,-1.7909,0.0736,N,-1.7300,0.0839,N,-2.1597,0.0310,N,-1.4977,0.1345,Y,0.4965,0.6197,Y,0.2750,0.7834,Y,2.3682,0.0181,N,7.8714,0.0000,N
6,,,,,,,,,,,,,1.0263,0.3050,Y,0.7999,0.4240,Y,0.2373,0.8125,Y,2.0625,0.0394,N,1.8976,0.0580,N,3.3168,0.0009,N,6.6788,0.0000,N
28,,,,,,,,,,,,,,,,-0.7920,0.4286,Y,-0.7011,0.4834,Y,2.1218,0.0341,N,1.7987,0.0724,N,3.6064,0.0003,N,13.2868,0.0000,N
16,,,,,,,,,,,,,,,,,,,-0.4733,0.6361,Y,2.4958,0.0127,N,2.1598,0.0310,N,3.8502,0.0001,N,13.9075,0.0000,N
19,,,,,,,,,,,,,,,,,,,,,,1.7808,0.0753,N,1.6180,0.1060,Y,3.0813,0.0021,N,6.3894,0.0000,N
26,,,,,,,,,,,,,,,,,,,,,,,,,-0.1974,0.8436,Y,1.9271,0.0543,N,6.5645,0.0000,N
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0581,0.0398,N,6.6425,0.0000,N
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5062,0.0124,N
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
