,cluster14,,,cluster15,,,cluster18,,,cluster27,,
doy,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
71,6,-2.242,0,2,4,-0.896,0,0,0,0.000,0,0,0,0.000,0,0
72,4,2.208,2,0,5,-1.266,0,0,1,-0.142,0,0,0,0.000,0,0
73,18,10.143,4,0,8,-2.448,0,0,3,0.905,1,0,1,-0.142,0,0
74,11,6.877,5,0,8,-3.264,0,0,2,-0.206,0,0,0,0.000,0,0
75,4,0.202,1,0,8,-1.365,0,0,0,0.000,0,0,0,0.000,0,0
76,5,1.391,2,1,8,-0.038,1,0,1,-0.142,0,0,0,0.000,0,0
77,5,1.789,1,1,8,-0.610,0,0,2,-0.952,0,0,0,0.000,0,0
78,9,0.382,0,0,5,-2.149,0,1,0,0.000,0,0,0,0.000,0,0
79,4,1.856,2,0,5,-1.846,0,0,1,-0.142,0,0,0,0.000,0,0
80,8,0.372,0,0,12,-5.459,0,0,0,0.000,0,0,3,-0.426,0,0
81,11,-4.504,1,3,7,-1.640,0,0,2,1.476,0,0,1,-0.142,0,0
82,9,-1.655,1,1,4,-1.021,0,0,4,-0.568,0,0,5,-6.243,0,3
83,1,0.557,0,0,1,-0.128,0,0,0,0.000,0,0,0,0.000,0,0
84,6,2.738,2,2,6,-2.383,0,0,1,-0.142,0,0,0,0.000,0,0
85,4,-2.445,0,2,14,-4.674,0,0,0,0.000,0,0,1,-1.889,0,1
86,1,-0.142,0,0,5,-1.979,0,0,0,0.000,0,0,1,-0.142,0,0
87,6,-3.734,2,4,3,-0.999,0,0,1,-0.561,0,0,0,0.000,0,0
88,5,-3.549,0,2,4,-0.516,0,0,1,-0.142,0,0,0,0.000,0,0
89,4,-1.957,0,1,3,-0.992,0,0,0,0.000,0,0,0,0.000,0,0
90,4,0.117,1,0,2,0.613,0,0,1,-0.142,0,0,0,0.000,0,0
91,0,0.000,0,0,2,-0.252,0,0,0,0.000,0,0,0,0.000,0,0
92,3,2.230,1,0,9,-0.639,1,0,0,0.000,0,0,0,0.000,0,0
93,4,-1.783,1,1,2,-0.248,0,0,1,1.023,1,0,0,0.000,0,0
94,3,1.918,1,0,2,-0.935,0,0,1,1.378,1,0,0,0.000,0,0
95,3,-0.057,0,0,4,-1.465,0,0,0,0.000,0,0,0,0.000,0,0
96,2,0.131,0,0,1,0.110,0,0,1,0.387,0,0,0,0.000,0,0
97,4,-1.541,0,1,4,-1.240,0,0,1,-0.142,0,0,0,0.000,0,0
98,4,0.881,0,0,6,-2.496,0,0,3,0.781,0,0,0,0.000,0,0
99,12,-3.592,1,3,6,-0.644,0,0,2,-0.579,0,0,0,0.000,0,0
100,4,-1.293,1,2,6,-2.164,0,0,3,2.254,2,0,0,0.000,0,0
101,5,-0.693,0,1,3,-0.863,0,0,1,-0.142,0,0,1,-1.350,0,1
102,6,0.801,1,1,3,0.127,0,0,2,0.952,1,0,2,-0.284,0,0
103,6,4.993,4,1,1,-0.132,0,0,0,0.000,0,0,1,-0.142,0,0
104,2,-0.306,0,0,3,-0.740,0,0,0,0.000,0,0,0,0.000,0,0
105,3,-3.133,0,2,3,-0.928,0,0,0,0.000,0,0,4,-0.352,0,0
106,3,1.190,1,0,4,-1.811,0,0,1,-0.142,0,0,6,-0.405,2,2
107,8,2.101,1,0,2,-0.608,0,0,0,0.000,0,0,4,-4.454,0,2
108,7,0.773,1,1,6,-0.353,0,0,0,0.000,0,0,5,-0.349,1,1
109,5,0.320,1,1,3,-0.842,0,0,0,0.000,0,0,5,1.565,1,0
110,1,-0.142,0,0,5,-0.548,0,0,2,-0.284,0,0,2,-2.468,0,1
111,5,0.908,0,1,6,-2.339,0,0,3,0.926,0,0,3,-0.033,1,1
112,3,0.784,1,0,13,-5.386,1,1,3,-0.426,0,0,2,-1.314,0,1
113,4,0.287,0,0,4,-1.326,0,0,0,0.000,0,0,2,-1.570,0,1
114,7,-0.486,0,0,1,-0.128,0,0,0,0.000,0,0,1,0.266,0,0
115,17,2.490,2,1,14,-3.024,0,0,5,0.860,0,0,2,1.441,1,0
116,8,0.483,1,1,7,-1.834,0,0,7,2.622,2,1,4,1.320,1,0
117,4,3.054,2,1,11,-0.252,0,0,5,-1.159,0,1,0,0.000,0,0
118,5,-2.280,1,1,4,-0.357,0,0,1,-0.870,0,0,0,0.000,0,0
119,4,-3.605,0,2,7,0.581,1,0,1,-1.850,0,1,3,0.106,1,0
120,6,-0.852,0,0,9,-3.955,0,0,3,1.861,1,0,4,-1.137,0,0
121,5,0.180,1,1,5,-2.339,0,0,1,-0.142,0,0,1,0.891,0,0
122,7,-0.974,1,1,4,-0.636,0,0,1,-0.142,0,0,8,-3.904,1,3
123,4,3.905,2,0,8,-3.139,0,0,1,1.459,1,0,2,-2.638,0,1
124,4,-0.345,1,1,3,-1.013,0,0,1,-0.142,0,0,0,0.000,0,0
125,1,-1.200,0,1,3,-0.394,0,0,1,-0.142,0,0,0,0.000,0,0
126,4,0.387,1,0,3,-0.750,0,0,0,0.000,0,0,0,0.000,0,0
127,0,0.000,0,0,2,-0.252,0,0,0,0.000,0,0,0,0.000,0,0
128,6,-0.488,0,0,4,-1.094,0,0,2,-0.394,0,0,0,0.000,0,0
129,5,-2.301,0,1,2,-0.260,0,0,1,1.587,1,0,0,0.000,0,0
130,5,1.750,1,0,3,-1.364,0,0,0,0.000,0,0,0,0.000,0,0
