,cluster14,,,cluster15,,,cluster18,,,cluster27,,
doy,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
304,18,-2.963,1,2,11,-2.570,0,0,32,1.941,4,2,4,-0.568,0,0
305,7,5.272,3,0,10,-3.334,0,0,47,21.087,17,1,3,0.025,1,1
306,10,6.522,5,0,16,-1.083,0,0,28,10.811,6,0,5,0.920,1,0
307,10,1.672,1,1,13,-0.004,0,0,19,8.525,5,0,16,-0.811,2,2
308,7,-0.761,1,0,11,-1.811,0,0,32,4.842,3,0,6,1.196,1,1
309,16,-3.702,2,2,11,-3.953,0,0,13,2.569,2,1,0,0.000,0,0
310,19,2.765,3,1,11,-1.825,1,0,23,13.413,8,1,13,-1.948,0,2
311,1,-0.142,0,0,2,-0.068,0,0,6,-0.032,0,0,3,0.330,0,0
312,8,2.561,1,0,4,0.567,0,0,4,1.683,0,0,8,-6.059,0,3
313,6,0.781,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
314,1,1.019,1,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
315,6,0.375,2,2,0,0.000,0,0,1,-0.142,0,0,5,1.505,0,0
316,13,-1.726,2,1,0,0.000,0,0,2,-1.900,0,1,11,-1.685,1,2
317,20,3.837,5,3,0,0.000,0,0,0,0.000,0,0,22,-1.167,2,2
318,3,2.876,2,0,0,0.000,0,0,0,0.000,0,0,7,3.413,1,0
319,6,0.607,0,0,0,0.000,0,0,2,1.157,0,0,9,-4.570,0,2
320,3,-1.276,0,1,0,0.000,0,0,1,-0.142,0,0,5,-3.250,0,2
321,5,-1.947,1,1,1,-0.124,0,0,1,-0.142,0,0,5,-7.871,0,4
322,2,0.848,1,1,1,-0.441,0,0,1,-0.142,0,0,4,-5.018,0,2
323,6,-2.404,0,2,2,-0.871,0,0,2,0.355,0,0,7,0.685,1,1
324,2,0.685,0,0,0,0.000,0,0,0,0.000,0,0,3,1.988,1,0
325,4,-1.399,1,1,1,-0.441,0,0,1,-0.142,0,0,31,-0.118,5,5
326,14,4.931,5,2,0,0.000,0,0,2,-0.264,0,1,22,-4.405,2,4
327,10,3.014,2,0,0,0.000,0,0,0,0.000,0,0,14,-14.004,0,7
328,1,-0.142,0,0,0,0.000,0,0,0,0.000,0,0,5,0.237,2,1
329,15,-3.829,3,5,0,0.000,0,0,0,0.000,0,0,10,8.993,5,0
330,2,2.187,1,0,0,0.000,0,0,3,-0.657,0,1,38,-9.955,2,8
331,5,-0.664,0,0,0,0.000,0,0,3,2.045,1,0,15,-4.798,1,3
332,1,-0.142,0,0,0,0.000,0,0,1,0.785,0,0,5,-2.170,0,1
333,2,0.894,1,0,0,0.000,0,0,0,0.000,0,0,9,3.166,4,1
334,8,2.499,4,1,0,0.000,0,0,1,-0.142,0,0,21,-16.912,1,8
335,2,-0.284,0,0,0,0.000,0,0,0,0.000,0,0,9,-7.846,1,6
336,14,6.472,3,0,0,0.000,0,0,2,0.330,0,0,4,-0.746,0,1
337,12,1.892,1,0,0,0.000,0,0,1,-0.142,0,0,11,1.970,2,2
338,5,1.920,1,0,0,0.000,0,0,0,0.000,0,0,16,-11.263,1,5
339,0,0.000,0,0,0,0.000,0,0,2,-1.360,0,1,3,4.215,1,0
340,6,5.624,3,1,0,0.000,0,0,3,-1.065,0,0,17,-9.678,0,3
341,10,7.950,5,0,0,0.000,0,0,0,0.000,0,0,9,-1.811,1,1
342,4,2.148,1,0,0,0.000,0,0,1,-0.142,0,0,5,1.513,1,0
343,1,0.777,0,0,1,-0.465,0,0,2,-0.579,0,0,13,-7.124,1,4
344,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
345,0,0.000,0,0,0,0.000,0,0,3,-0.199,0,0,4,-2.145,0,1
346,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
347,2,2.674,1,0,0,0.000,0,0,0,0.000,0,0,2,1.963,1,0
348,4,-0.980,0,0,0,0.000,0,0,0,0.000,0,0,10,3.752,2,0
349,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,2,-1.566,0,1
350,9,2.321,0,0,0,0.000,0,0,0,0.000,0,0,4,-2.404,1,1
351,1,-0.174,0,0,0,0.000,0,0,0,0.000,0,0,5,0.123,0,0
352,1,2.216,1,0,0,0.000,0,0,0,0.000,0,0,3,-2.649,0,1
353,1,-2.905,0,1,0,0.000,0,0,0,0.000,0,0,3,-0.007,0,0
354,4,1.771,2,1,3,-1.055,0,0,0,0.000,0,0,13,-7.282,1,3
355,6,-0.271,1,1,0,0.000,0,0,0,0.000,0,0,10,-7.497,0,5
356,1,-0.636,0,0,3,-0.232,0,0,0,0.000,0,0,11,1.110,2,0
357,2,-0.710,0,0,1,-0.441,0,0,0,0.000,0,0,9,0.143,1,0
358,3,2.588,2,0,0,0.000,0,0,0,0.000,0,0,8,1.806,1,0
359,0,0.000,0,0,2,-0.871,0,0,0,0.000,0,0,6,4.875,2,0
360,0,0.000,0,0,1,-0.451,0,0,0,0.000,0,0,5,0.095,1,1
361,8,-0.772,1,2,1,0.326,0,0,0,0.000,0,0,7,-5.328,0,2
362,5,2.312,3,1,0,0.000,0,0,0,0.000,0,0,4,-1.488,0,1
363,2,1.349,1,0,1,-0.451,0,0,0,0.000,0,0,13,2.830,3,2
364,2,1.314,1,0,0,0.000,0,0,0,0.000,0,0,4,-4.067,1,2
365,7,-0.644,2,0,1,-0.128,0,0,0,0.000,0,0,2,-2.021,0,1
0,0,0.000,0,0,13,6.425,4,1,1,1.474,1,0,0,0.000,0,0,0,0.000,0,0
251,0,0.000,0,0,0,0.000,0,0,5,3.486,3,0,1,-0.142,0,0,0,0.000,0,0,0,0.000,0,0
252,0,0.000,0,0,0,0.000,0,0,1,-0.707,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
253,0,0.000,0,0,0,0.000,0,0,8,0.713,2,1,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
254,0,0.000,0,0,0,0.000,0,0,1,1.271,1,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
255,0,0.000,0,0,0,0.000,0,0,3,1.952,1,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
256,0,0.000,0,0,0,0.000,0,0,2,2.262,1,0,1,-1.215,0,1,0,0.000,0,0,0,0.000,0,0
257,0,0.000,0,0,0,0.000,0,0,6,-0.076,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
258,0,0.000,0,0,0,0.000,0,0,3,-0.426,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
259,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,1,0.735,0,0,0,0.000,0,0,0,0.000,0,0
260,0,0.000,0,0,0,0.000,0,0,3,0.245,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
261,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
262,0,0.000,0,0,0,0.000,0,0,10,0.696,2,1,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
263,0,0.000,0,0,0,0.000,0,0,5,0.848,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
264,0,0.000,0,0,0,0.000,0,0,13,3.274,2,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
265,0,0.000,0,0,0,0.000,0,0,18,5.252,5,1,0,0.000,0,0,1,-1.133,0,1,0,0.000,0,0
266,0,0.000,0,0,0,0.000,0,0,12,4.667,3,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
267,0,0.000,0,0,0,0.000,0,0,23,-2.220,1,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
268,0,0.000,0,0,1,-0.590,0,0,23,0.375,2,1,1,-0.142,0,0,0,0.000,0,0,0,0.000,0,0
269,0,0.000,0,0,0,0.000,0,0,29,10.585,8,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
270,3,0.620,0,1,0,0.000,0,0,28,12.799,10,1,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
271,0,0.000,0,0,0,0.000,0,0,24,5.633,4,1,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
272,1,-0.142,0,0,0,0.000,0,0,17,0.832,2,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
273,0,0.000,0,0,29,11.780,6,0,27,-0.172,3,3,5,-2.713,0,1,1,-0.338,0,0,0,0.000,0,0
274,2,0.465,0,0,1,-0.963,0,0,27,8.211,6,1,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
275,6,1.211,1,0,2,1.442,1,0,22,4.579,4,1,15,-8.123,1,4,3,2.006,1,0,0,0.000,0,0
276,0,0.000,0,0,10,0.450,2,1,37,11.447,7,1,21,-8.938,4,7,1,1.058,1,0,0,0.000,0,0
277,1,0.437,0,0,1,-0.142,0,0,24,-0.035,2,1,17,-1.298,1,1,2,0.394,0,0,0,0.000,0,0
278,4,-1.122,0,0,6,-0.792,0,0,34,6.741,6,2,83,-29.330,13,24,0,0.000,0,0,0,0.000,0,0
279,3,1.520,1,0,3,0.255,0,0,13,10.098,5,0,9,-2.674,2,2,2,0.145,0,0,0,0.000,0,0
280,1,0.845,0,0,0,0.000,0,0,20,-0.358,3,3,26,-11.122,3,7,4,0.812,1,1,0,0.000,0,0
281,1,0.920,0,0,6,1.583,1,0,29,17.370,9,1,5,-0.405,1,1,2,-0.877,0,0,1,-3.274,0,1
282,0,0.000,0,0,2,1.211,1,0,15,-1.904,0,1,14,-1.852,0,2,1,-0.142,0,0,1,-0.142,0,0
283,2,-1.012,0,0,1,-0.142,0,0,24,13.838,6,0,13,-7.138,0,2,0,0.000,0,0,0,0.000,0,0
284,1,-0.142,0,0,0,0.000,0,0,34,1.246,5,3,9,-10.264,0,5,0,0.000,0,0,0,0.000,0,0
285,3,-0.426,0,0,0,0.000,0,0,24,3.662,3,1,15,-3.247,0,2,0,0.000,0,0,0,0.000,0,0
286,1,-0.142,0,0,4,0.895,1,0,6,1.643,1,0,37,2.310,8,5,1,-0.142,0,0,0,0.000,0,0
287,0,0.000,0,0,5,1.992,1,0,4,3.050,2,0,20,-2.509,2,3,1,-2.401,0,1,0,0.000,0,0
288,1,-0.142,0,0,0,0.000,0,0,0,0.000,0,0,18,1.031,3,4,2,-0.284,0,0,0,0.000,0,0
289,1,-0.142,0,0,2,-0.284,0,0,7,0.418,0,1,15,-4.343,3,4,2,-0.032,0,0,0,0.000,0,0
290,1,2.155,1,0,0,0.000,0,0,11,7.298,2,0,8,-0.210,0,0,6,-4.205,1,2,0,0.000,0,0
291,2,-0.284,0,0,0,0.000,0,0,11,-1.858,0,1,7,-4.277,0,2,0,0.000,0,0,0,0.000,0,0
292,0,0.000,0,0,0,0.000,0,0,5,2.578,2,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
293,0,0.000,0,0,0,0.000,0,0,5,0.880,0,0,3,-0.426,0,0,0,0.000,0,0,0,0.000,0,0
294,1,-0.142,0,0,23,2.984,4,4,10,-0.419,0,0,18,1.773,3,3,6,1.164,1,0,1,-0.142,0,0
295,0,0.000,0,0,5,7.676,4,1,11,5.972,3,0,8,-2.550,0,1,7,-1.684,2,3,0,0.000,0,0
296,3,-2.351,0,1,1,-0.352,0,0,11,1.775,3,2,1,0.770,0,0,1,-0.142,0,0,0,0.000,0,0
297,0,0.000,0,0,7,2.624,1,0,10,-4.823,0,3,0,0.000,0,0,5,-2.302,1,2,0,0.000,0,0
298,0,0.000,0,0,9,0.216,1,0,36,8.554,10,3,1,-0.142,0,0,1,-0.693,0,0,6,-1.083,1,2
299,3,-1.623,1,2,7,-1.404,2,2,20,-1.074,2,3,20,4.535,5,4,6,0.642,2,1,0,0.000,0,0
300,2,-0.284,0,0,3,2.496,1,0,18,0.403,1,1,29,-17.859,1,8,0,0.000,0,0,0,0.000,0,0
301,3,-4.887,0,3,0,0.000,0,0,14,-4.091,0,2,29,-7.301,1,4,10,-1.177,0,1,0,0.000,0,0
302,1,-0.142,0,0,5,-2.000,1,2,20,7.591,5,0,20,-9.575,1,5,0,0.000,0,0,3,2.454,2,0
303,4,3.636,2,0,6,1.971,1,0,26,6.027,4,1,31,-12.485,3,8,3,-0.142,0,0,6,-4.010,0,3
304,1,-0.142,0,0,1,3.409,1,0,32,1.941,4,2,28,0.151,6,5,1,-0.142,0,0,4,-0.568,0,0
305,2,-0.284,0,0,4,-0.405,0,0,47,21.087,17,1,86,-39.329,12,30,0,0.000,0,0,3,0.025,1,1
306,0,0.000,0,0,0,0.000,0,0,28,10.811,6,0,24,-2.373,4,4,2,1.296,0,0,5,0.920,1,0
307,1,-0.142,0,0,4,-0.568,0,0,19,8.525,5,0,19,-6.774,1,2,1,0.852,0,0,16,-0.811,2,2
308,1,1.797,1,0,0,0.000,0,0,32,4.842,3,0,20,-0.993,4,4,3,0.682,1,1,6,1.196,1,1
309,2,0.898,1,0,5,-0.679,0,0,13,2.569,2,1,5,-4.461,1,3,2,-1.577,0,1,0,0.000,0,0
310,7,0.854,2,1,36,-5.319,5,6,23,13.413,8,1,17,1.204,3,2,2,-0.771,0,1,13,-1.948,0,2
311,1,1.225,1,0,0,0.000,0,0,6,-0.032,0,0,7,-5.621,0,2,0,0.000,0,0,3,0.330,0,0
312,13,4.200,4,1,0,0.000,0,0,4,1.683,0,0,65,-21.161,7,16,2,1.690,1,0,8,-6.059,0,3
313,1,-0.142,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
314,1,-0.142,0,0,0,0.000,0,0,0,0.000,0,0,2,2.379,1,0,1,-0.558,0,0,0,0.000,0,0
315,8,3.985,2,0,0,0.000,0,0,1,-0.142,0,0,6,-7.619,0,3,0,0.000,0,0,5,1.505,0,0
316,13,2.031,3,3,0,0.000,0,0,2,-1.900,0,1,19,-14.359,2,7,1,-0.142,0,0,11,-1.685,1,2
317,5,-0.829,1,1,0,0.000,0,0,0,0.000,0,0,16,-4.870,2,3,1,-0.142,0,0,22,-1.167,2,2
318,7,-10.030,0,5,0,0.000,0,0,0,0.000,0,0,16,-11.179,1,7,0,0.000,0,0,7,3.413,1,0
319,7,-0.101,2,2,0,0.000,0,0,2,1.157,0,0,50,-14.957,8,14,0,0.000,0,0,9,-4.570,0,2
320,20,1.040,6,4,0,0.000,0,0,1,-0.142,0,0,48,-14.817,8,12,0,0.000,0,0,5,-3.250,0,2
321,11,3.030,4,2,0,0.000,0,0,1,-0.142,0,0,14,-4.562,4,4,0,0.000,0,0,5,-7.871,0,4
322,20,2.867,3,2,4,-0.568,0,0,1,-0.142,0,0,10,-2.703,0,2,2,-0.650,0,0,4,-5.018,0,2
323,18,-5.539,2,4,0,0.000,0,0,2,0.355,0,0,6,2.226,1,0,1,0.529,0,0,7,0.685,1,1
324,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,3,1.988,1,0
325,7,0.911,2,1,0,0.000,0,0,1,-0.142,0,0,0,0.000,0,0,1,-0.142,0,0,31,-0.118,5,5
326,5,1.832,1,0,0,0.000,0,0,2,-0.264,0,1,39,-8.180,8,10,1,1.342,1,0,22,-4.405,2,4
327,17,2.331,3,1,1,-0.142,0,0,0,0.000,0,0,30,-1.786,6,6,0,0.000,0,0,14,-14.004,0,7
328,8,-1.662,2,2,0,0.000,0,0,0,0.000,0,0,13,-5.334,2,5,1,-0.142,0,0,5,0.237,2,1
329,2,0.984,1,1,1,-1.158,0,1,0,0.000,0,0,10,1.216,0,2,0,0.000,0,0,10,8.993,5,0
330,5,0.245,2,1,0,0.000,0,0,3,-0.657,0,1,19,-5.377,3,4,1,1.928,1,0,38,-9.955,2,8
331,4,-1.910,0,1,0,0.000,0,0,3,2.045,1,0,23,-9.629,2,5,1,-0.142,0,0,15,-4.798,1,3
332,3,0.213,0,0,2,1.573,1,0,1,0.785,0,0,34,5.471,8,4,1,0.305,0,0,5,-2.170,0,1
333,15,3.583,6,1,0,0.000,0,0,0,0.000,0,0,18,-9.657,3,5,1,-1.083,0,1,9,3.166,4,1
334,2,0.845,0,0,0,0.000,0,0,1,-0.142,0,0,24,-4.239,3,5,0,0.000,0,0,21,-16.912,1,8
335,6,-1.413,0,1,0,0.000,0,0,0,0.000,0,0,5,-2.528,0,1,0,0.000,0,0,9,-7.846,1,6
336,1,-0.142,0,0,0,0.000,0,0,2,0.330,0,0,0,0.000,0,0,0,0.000,0,0,4,-0.746,0,1
337,7,2.916,1,0,0,0.000,0,0,1,-0.142,0,0,3,-0.426,0,0,2,-1.385,0,1,11,1.970,2,2
338,0,0.000,0,0,1,1.243,1,0,0,0.000,0,0,2,-0.284,0,0,0,0.000,0,0,16,-11.263,1,5
339,2,-2.088,0,1,1,0.156,0,0,2,-1.360,0,1,0,0.000,0,0,0,0.000,0,0,3,4.215,1,0
340,1,-0.142,0,0,0,0.000,0,0,3,-1.065,0,0,0,0.000,0,0,0,0.000,0,0,17,-9.678,0,3
341,9,-0.483,2,2,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,9,-1.811,1,1
342,5,3.856,2,1,3,-2.901,0,1,1,-0.142,0,0,3,-0.395,0,0,0,0.000,0,0,5,1.513,1,0
343,0,0.000,0,0,3,1.378,1,0,2,-0.579,0,0,0,0.000,0,0,1,-0.732,0,0,13,-7.124,1,4
344,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
345,0,0.000,0,0,0,0.000,0,0,3,-0.199,0,0,1,-0.142,0,0,1,0.898,0,0,4,-2.145,0,1
346,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
347,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,1,-0.142,0,0,1,1.040,1,0,2,1.963,1,0
348,4,0.926,1,0,1,-2.053,0,1,0,0.000,0,0,1,-0.142,0,0,3,-0.426,0,0,10,3.752,2,0
349,1,0.586,0,0,2,-0.533,0,1,0,0.000,0,0,3,-3.609,0,1,5,-1.570,0,1,2,-1.566,0,1
350,7,7.005,4,0,2,-2.383,0,2,0,0.000,0,0,5,1.824,0,0,1,-0.142,0,0,4,-2.404,1,1
351,1,-1.176,0,1,1,1.481,1,0,0,0.000,0,0,0,0.000,0,0,1,1.108,1,0,5,0.123,0,0
352,2,0.991,1,0,0,0.000,0,0,0,0.000,0,0,2,-0.284,0,0,1,-0.309,0,0,3,-2.649,0,1
353,2,-0.100,0,0,1,-0.345,0,0,0,0.000,0,0,0,0.000,0,0,14,-5.310,0,3,3,-0.007,0,0
354,1,-1.286,0,1,4,-3.019,0,2,0,0.000,0,0,0,0.000,0,0,2,1.513,1,0,13,-7.282,1,3
355,1,-0.142,0,0,5,-1.051,0,0,0,0.000,0,0,0,0.000,0,0,14,-2.423,3,3,10,-7.497,0,5
356,3,1.289,1,0,4,2.299,1,0,0,0.000,0,0,0,0.000,0,0,5,1.126,2,1,11,1.110,2,0
357,2,-1.900,0,1,6,-0.788,0,1,0,0.000,0,0,1,-0.142,0,0,8,1.330,1,1,9,0.143,1,0
358,0,0.000,0,0,2,-0.355,0,0,0,0.000,0,0,0,0.000,0,0,3,-0.394,0,0,8,1.806,1,0
359,0,0.000,0,0,2,-1.478,0,1,0,0.000,0,0,0,0.000,0,0,19,-17.484,0,8,6,4.875,2,0
360,3,-0.980,0,0,1,-0.995,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,5,0.095,1,1
361,1,1.960,1,0,0,0.000,0,0,0,0.000,0,0,1,1.054,1,0,4,0.923,1,2,7,-5.328,0,2
362,7,-0.317,1,1,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,2,-1.424,1,1,4,-1.488,0,1
363,4,-0.235,1,1,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,32,-13.333,0,7,13,2.830,3,2
364,4,-0.672,1,1,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,2,-0.870,0,0,4,-4.067,1,2
365,5,3.807,3,1,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,2,-4.735,0,2,2,-2.021,0,1
