,cluster0,,,,cluster1,,,,cluster2,,,,cluster3,,,,cluster4,,,,cluster5,,,,cluster6,,,,cluster7,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
110,434,3.438,19.151,16.084,251,17.038,24.356,12.177,67,1.270,6.003,6.001,66,10.399,9.135,4.503,44,9.438,7.000,1.000,49,1.952,4.368,3.368,45,-3.350,3.406,3.004,25,0.388,0.135,0.000
111,429,19.207,31.240,14.513,285,-11.540,20.364,31.341,63,4.692,3.138,1.000,79,-2.368,3.391,5.271,39,-0.363,2.135,0.000,37,7.058,3.736,0.000,36,10.394,6.135,1.616,33,-3.570,3.104,3.000
112,384,1.289,28.602,18.406,343,3.889,28.186,24.423,107,19.888,11.376,3.069,104,1.625,11.000,9.007,55,1.304,4.000,4.000,36,3.779,2.000,0.368,60,3.141,6.007,5.000,29,4.066,4.000,0.007
113,400,15.783,27.609,18.869,337,11.204,27.953,17.200,105,-12.361,5.623,7.387,88,-12.301,4.377,10.369,53,2.351,5.000,2.000,47,-3.847,1.000,2.000,48,-5.731,3.747,3.010,31,3.527,2.000,0.368
114,407,-2.846,30.022,22.483,339,-34.799,13.557,31.347,90,16.413,11.763,2.339,104,-3.358,8.503,5.000,59,2.309,5.135,4.000,29,-0.277,0.000,0.000,54,-2.278,3.420,4.000,35,-2.749,3.037,4.000
115,392,14.205,24.977,14.249,340,-11.284,23.764,26.505,104,12.313,8.312,4.020,101,-12.523,6.199,9.271,59,5.292,7.000,2.000,49,-1.288,4.000,3.000,55,2.417,4.503,2.004,43,1.233,2.000,0.135
116,342,-2.416,28.106,18.235,294,5.105,29.382,20.242,122,-2.965,6.052,5.493,102,-0.845,6.156,7.419,58,-0.095,4.000,3.000,46,0.095,2.000,2.000,43,1.640,3.529,2.000,29,-1.116,3.000,2.000
117,347,0.428,21.850,15.142,272,-10.868,21.654,19.070,127,14.624,14.605,9.390,102,-6.847,3.057,7.137,62,5.084,4.000,2.000,82,5.128,9.000,4.000,43,0.904,3.021,2.234,43,2.853,4.000,2.000
118,296,12.046,21.704,9.114,279,2.600,25.597,20.677,142,21.565,13.781,7.163,155,5.165,11.192,15.019,109,5.052,11.736,6.000,92,3.455,6.135,4.368,79,13.056,9.390,3.206,42,6.900,4.135,0.000
119,300,24.824,30.122,9.395,300,3.497,17.034,16.186,170,17.411,22.573,12.000,244,49.148,47.364,15.241,159,16.953,20.135,4.503,179,16.690,21.007,9.000,64,-2.879,6.423,8.000,53,2.203,6.368,2.000
120,334,28.570,26.138,11.419,264,8.427,19.254,13.186,159,12.815,22.559,11.053,241,33.086,40.560,16.508,149,19.954,18.804,7.289,210,23.152,25.874,8.368,79,0.286,9.019,5.755,41,2.074,4.503,1.000
121,304,-16.406,16.142,14.375,317,3.015,18.540,15.427,185,17.282,17.671,3.874,234,26.457,32.176,15.533,103,-5.256,9.037,9.000,160,-3.302,13.368,7.000,62,2.423,6.154,4.074,72,14.477,8.472,0.756
122,298,1.791,16.284,9.136,328,-10.500,20.592,22.387,229,7.769,24.427,12.768,139,13.529,21.743,8.754,96,18.863,15.000,3.000,136,6.327,12.000,3.000,52,-3.589,2.000,5.000,41,1.078,5.052,4.375
123,261,-3.366,10.611,12.087,300,13.405,23.996,16.522,208,-1.610,17.548,15.529,103,7.950,8.303,6.161,55,6.097,6.006,2.000,69,6.016,10.368,5.000,45,-6.500,4.000,5.004,52,-2.192,7.271,8.000
124,182,-8.280,11.315,6.276,316,15.716,28.800,14.342,175,6.127,16.104,12.003,73,-2.148,3.242,4.000,34,-4.777,2.000,2.000,32,2.546,3.000,1.000,33,-1.884,2.021,3.202,45,9.249,7.000,2.000
125,157,4.898,8.472,4.007,204,8.960,12.126,7.210,120,3.287,17.289,7.000,73,5.266,6.167,1.386,21,0.229,1.000,0.135,30,5.020,4.368,1.000,25,3.895,4.738,1.004,36,-4.472,4.000,3.368
126,122,0.964,5.376,3.000,121,-3.665,6.100,9.795,69,2.878,6.143,3.418,47,-1.221,4.368,2.000,13,2.607,1.368,0.000,11,1.299,0.000,0.000,17,5.817,3.002,0.004,17,5.932,3.000,2.000
127,68,-4.224,2.155,2.000,67,1.122,5.528,7.007,29,-5.566,0.000,2.000,21,-0.077,1.018,0.368,4,-0.142,0.000,0.000,2,-0.178,0.000,0.000,13,-4.960,0.001,3.000,8,1.171,2.000,1.000
128,43,0.294,1.000,1.000,29,-4.035,2.000,2.553,26,1.387,2.000,1.018,7,-0.254,0.018,0.000,2,-0.984,0.000,0.000,1,0.870,0.000,0.000,5,0.707,0.018,0.000,2,-1.342,0.000,1.000
129,46,-3.519,0.000,2.001,7,-1.308,0.000,1.000,28,0.504,0.149,0.000,7,-4.616,0.000,2.000,5,-1.062,0.000,1.000,5,3.298,2.000,0.000,2,1.349,1.000,0.000,0,0.000,0.000,0.000
130,112,0.817,6.736,2.050,27,7.189,5.018,0.000,20,2.010,1.368,0.000,4,4.719,3.000,0.000,5,1.351,1.001,0.000,25,-2.748,1.000,2.000,9,1.525,2.000,0.000,0,0.000,0.000,0.000
131,146,-5.558,5.001,6.001,52,1.111,4.000,4.050,25,4.893,3.517,1.000,20,-2.210,1.000,2.368,6,-2.870,0.000,1.000,18,1.629,1.000,0.000,23,3.787,3.185,1.000,10,-0.242,0.000,0.368
132,274,20.448,15.520,7.305,93,0.107,8.068,5.151,51,-0.418,3.001,4.107,35,0.799,4.068,5.000,17,0.379,1.000,1.000,13,5.054,2.368,0.000,43,-1.153,5.135,5.000,10,2.109,1.002,0.000
133,290,11.131,26.886,13.204,143,5.620,15.389,11.375,69,8.131,5.072,2.871,73,6.558,7.339,3.289,21,-0.874,1.000,1.135,34,-0.336,1.000,1.000,45,3.171,3.418,3.031,22,5.139,3.000,0.000
134,328,11.430,29.662,14.387,226,13.205,18.437,13.376,81,3.882,7.515,4.138,100,4.147,8.211,7.408,25,6.035,5.000,0.000,50,5.662,6.368,2.000,49,14.448,8.186,1.503,29,2.714,4.050,0.007
135,339,-2.789,21.904,23.958,291,-13.831,19.892,22.726,77,6.738,8.003,6.754,100,8.626,8.441,3.003,33,-1.661,2.000,3.000,61,-2.184,2.000,3.368,33,2.628,3.371,2.549,56,3.730,6.104,5.000
136,412,-0.084,31.485,29.296,285,1.092,23.315,18.712,90,12.493,9.467,1.000,95,-8.421,2.237,8.000,49,-0.680,2.050,1.271,42,-2.201,4.000,4.000,57,1.313,6.185,5.028,56,8.414,9.368,4.000
137,341,25.470,25.804,15.110,312,-7.921,21.797,20.025,104,8.665,10.871,4.135,105,0.315,8.763,9.376,29,3.966,4.000,1.368,55,10.928,10.000,2.000,60,-0.746,3.743,3.202,57,10.068,12.050,4.368
138,370,13.624,31.434,18.371,285,12.020,16.439,9.154,109,4.808,9.014,3.426,94,3.373,6.145,3.505,39,3.417,3.368,2.000,50,-2.613,1.000,2.000,43,-7.251,3.003,5.004,44,9.585,9.005,2.000
139,368,7.477,22.868,16.252,230,1.866,26.000,15.900,101,7.919,9.436,3.143,93,11.675,12.389,4.371,48,6.153,5.368,1.018,49,1.498,3.000,1.000,57,-0.343,4.736,3.000,49,6.324,8.368,4.368
140,381,10.118,32.178,18.612,233,17.568,30.598,22.142,96,0.303,7.142,4.386,88,14.156,13.271,2.738,62,8.371,9.000,0.368,57,9.716,9.000,6.000,47,9.810,7.386,1.004,48,-1.316,1.000,2.368
141,357,18.817,32.170,13.186,178,16.657,12.686,5.000,125,10.806,17.503,7.019,73,14.460,10.512,0.368,130,2.507,12.548,8.368,65,4.534,5.000,0.000,58,6.605,5.000,1.553,38,1.012,3.135,1.000
142,296,23.829,22.716,9.206,175,2.633,13.168,10.019,138,26.330,27.504,8.000,109,9.854,9.639,5.368,242,33.090,35.375,7.736,63,3.006,8.135,6.000,67,20.650,14.736,1.553,52,3.784,2.021,1.135
143,347,31.050,35.065,8.168,221,6.698,25.503,19.676,167,10.523,17.683,11.000,132,10.087,14.662,12.000,331,15.265,35.543,14.368,75,4.972,10.000,5.000,82,9.447,7.405,3.000,46,8.758,8.000,3.000
144,413,53.510,49.288,12.736,216,4.968,18.793,12.185,167,9.675,21.787,14.138,160,17.783,25.034,11.639,269,47.777,42.210,10.104,88,6.354,7.000,3.000,53,6.208,5.138,1.202,52,14.630,10.368,3.000
145,337,17.871,33.477,12.009,271,24.011,26.310,11.398,177,14.636,22.395,10.050,174,28.641,32.689,10.135,223,18.276,26.320,11.135,74,11.298,9.368,3.736,47,-0.586,2.370,3.000,55,6.045,10.368,6.368
146,382,18.081,27.303,12.621,308,-7.784,25.771,22.478,207,1.782,24.842,19.303,123,16.534,18.000,9.643,200,26.333,30.780,11.104,76,0.986,6.000,5.736,61,13.732,6.056,0.000,42,5.954,7.000,4.000
147,286,19.554,26.282,12.185,291,-13.746,27.340,29.937,235,5.659,25.269,18.781,88,12.142,10.037,1.368,84,-1.564,9.136,8.000,52,6.068,9.000,6.000,43,-8.407,3.050,6.404,45,3.118,7.050,3.736
148,203,6.654,14.524,7.405,259,18.740,33.572,16.728,239,-9.785,27.553,28.001,72,11.946,9.754,4.000,48,2.928,4.135,1.000,34,6.563,6.368,1.000,58,3.419,6.737,5.405,49,-1.172,4.000,3.000
149,154,9.725,11.723,4.436,218,-14.104,13.138,18.761,201,-1.873,22.470,19.736,62,-1.091,3.050,2.019,28,5.997,4.000,0.000,14,6.831,4.000,0.000,35,1.180,4.050,3.549,35,-5.878,5.000,5.368
150,108,-4.531,7.640,4.002,148,-0.437,12.174,7.924,131,-9.401,9.035,12.108,43,1.233,4.018,4.057,19,1.538,2.000,0.000,10,3.330,2.000,0.000,17,1.942,2.018,0.004,12,8.521,5.000,0.000
151,81,-8.333,4.138,6.000,113,6.186,14.437,9.001,44,-1.939,5.000,3.019,36,-5.635,3.153,6.002,11,1.236,1.000,0.000,2,-0.142,0.000,0.000,21,-0.786,1.138,1.000,4,1.271,1.000,0.000
152,70,-4.056,1.018,1.000,43,-5.764,0.000,2.100,10,-2.696,0.000,0.368,19,1.689,1.018,0.014,3,0.472,1.000,0.000,1,0.000,0.000,0.000,6,-1.971,0.000,0.553,2,-0.194,0.000,0.000
153,76,1.029,4.135,2.000,22,-0.681,3.018,2.000,10,0.220,1.000,0.000,11,0.934,1.000,0.000,7,0.813,1.000,0.000,6,-2.443,0.000,1.000,2,0.219,0.135,0.000,2,-0.284,0.000,0.000
154,61,3.248,5.000,1.000,17,5.940,4.000,1.000,10,-0.031,0.000,0.000,5,0.163,1.000,1.000,5,-1.006,1.000,1.000,10,-1.810,0.000,1.000,8,-2.895,0.000,2.000,2,0.845,0.000,0.000
155,108,-1.597,5.032,3.000,33,1.370,5.000,4.000,24,1.058,3.104,2.000,5,-3.123,0.000,1.368,16,1.032,0.000,1.000,22,2.791,1.000,0.000,12,1.642,0.135,0.000,3,0.483,0.000,0.000
156,158,8.394,8.149,2.025,57,0.957,4.185,1.000,38,-0.719,2.749,2.000,19,8.116,4.000,0.050,16,-0.245,1.000,0.000,22,4.113,2.135,0.000,26,-1.495,1.522,2.549,13,2.744,2.368,0.000
157,179,9.118,14.736,10.000,109,6.364,11.553,7.000,67,-3.792,6.381,4.018,39,0.189,2.138,2.050,18,-0.448,3.368,3.000,42,1.946,3.000,1.000,36,5.663,0.413,0.000,30,5.898,4.000,1.000
158,260,29.040,28.154,5.021,120,0.264,13.000,10.000,102,2.122,9.019,6.405,55,-0.360,9.454,4.368,34,0.073,4.000,3.000,47,10.803,10.135,3.000,41,4.365,4.007,1.549,50,5.851,7.472,2.000
159,286,20.074,26.621,13.000,214,1.516,21.475,15.142,130,8.429,12.167,7.197,61,12.379,13.470,4.000,43,10.557,8.000,2.000,86,3.300,8.368,5.000,55,9.571,9.007,3.000,70,15.239,10.871,2.000
160,329,32.551,34.346,9.743,237,35.466,32.257,8.470,148,11.580,15.034,6.553,78,5.580,8.772,5.135,47,5.714,6.001,1.000,114,7.794,13.368,4.000,58,6.166,6.002,4.010,71,9.321,9.503,3.000
161,298,18.002,24.003,11.285,259,20.985,29.114,18.061,159,25.901,23.150,8.289,84,14.642,14.240,5.369,50,12.690,8.000,1.000,123,11.505,12.736,4.368,68,1.130,4.135,3.027,88,9.931,11.368,5.736
162,362,4.579,27.363,19.050,252,-9.262,20.290,24.420,150,11.968,18.000,8.013,123,17.849,18.389,6.418,56,11.424,10.368,2.135,90,19.897,17.373,3.000,74,-3.269,6.739,9.267,73,7.233,11.000,5.007
163,305,22.740,29.387,16.130,270,21.977,31.007,15.162,153,13.238,23.551,11.571,154,18.121,28.037,13.154,149,21.901,22.424,7.000,101,13.668,11.002,3.368,78,-0.840,11.522,9.000,72,7.302,9.368,1.136
164,310,14.869,25.953,13.053,224,31.450,28.520,10.016,159,15.531,23.060,5.468,127,15.818,16.368,8.007,187,46.036,36.418,7.104,154,22.516,21.370,9.368,63,10.821,8.186,1.031,64,1.307,6.736,4.413
165,317,21.625,33.450,17.395,241,5.054,18.196,13.317,138,4.690,10.094,7.375,105,-6.962,12.320,15.000,180,10.980,24.889,9.018,140,18.190,16.000,6.000,55,1.637,4.386,3.033,45,3.567,5.368,2.000
166,286,36.087,32.260,9.390,222,25.219,19.611,8.382,166,6.873,13.739,6.051,154,36.505,28.691,9.019,241,20.408,34.222,13.374,139,22.065,26.503,11.000,59,2.704,6.022,3.000,60,0.354,9.368,7.504
167,306,10.287,27.922,12.503,240,-2.754,19.856,15.179,173,21.759,27.788,11.000,213,36.546,38.977,11.155,281,17.012,35.326,14.000,137,17.374,23.000,11.000,70,1.016,8.001,5.176,47,5.303,6.000,2.000
