,cluster0,,,,cluster1,,,,cluster2,,,,cluster3,,,,cluster4,,,,cluster5,,,,cluster6,,,,cluster7,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
11,125,-0.194,3.368,0.001,23,-3.643,2.000,4.000,11,-1.552,0.000,1.000,16,-1.408,3.000,4.002,4,-0.313,0.000,0.000,17,1.310,0.000,0.000,8,-1.654,0.018,1.000,2,0.582,0.000,0.000
12,162,6.370,7.504,2.000,44,5.177,7.050,2.373,30,11.421,8.000,0.386,18,6.870,4.000,0.000,12,-2.720,0.000,1.000,27,4.676,3.000,1.000,17,2.114,1.025,0.005,12,3.844,2.368,0.000
13,172,-5.897,11.386,8.000,73,2.279,8.050,4.000,52,5.931,1.018,0.000,26,11.987,8.368,1.000,27,8.241,6.000,1.368,49,5.790,6.000,2.000,24,6.324,3.375,1.000,21,0.261,1.104,1.000
14,189,16.494,15.576,5.002,133,8.748,15.871,5.000,76,3.237,7.000,5.135,58,7.723,8.609,3.007,46,14.665,10.368,0.000,68,13.102,7.135,1.000,37,4.071,3.742,2.000,51,2.861,2.503,0.368
15,267,20.181,25.824,8.018,204,-10.516,9.028,19.757,108,14.680,22.871,7.804,68,18.598,9.272,3.000,54,6.466,7.472,3.368,88,11.304,11.135,0.000,38,3.319,4.000,1.000,50,10.168,8.736,1.368
16,287,6.322,23.542,15.006,231,10.165,18.743,10.029,137,11.671,15.105,4.001,112,20.465,14.895,5.001,111,16.498,15.607,1.000,111,8.794,10.000,4.000,52,-0.608,6.139,4.549,74,20.214,10.959,2.000
17,266,6.040,20.639,11.000,295,16.680,27.063,19.050,152,11.817,21.260,11.343,125,13.072,18.333,11.272,213,35.567,32.639,8.000,143,12.738,13.000,6.000,64,-1.509,6.001,3.927,73,11.322,5.050,0.007
18,261,44.142,28.007,6.001,258,11.437,24.943,15.369,140,-0.998,9.278,6.418,122,-0.108,13.271,10.736,178,24.977,24.374,9.050,147,34.123,20.736,2.000,60,5.209,5.757,4.206,40,5.216,4.889,1.368
19,277,-0.375,21.515,16.786,265,3.012,24.175,21.411,145,9.869,14.154,7.057,79,-10.908,8.749,12.414,167,13.999,25.406,13.000,134,18.142,16.368,5.104,53,-1.502,2.369,3.001,43,4.742,6.000,5.000
20,281,31.474,33.838,9.019,234,12.670,25.856,14.371,121,2.984,11.002,3.387,76,-2.468,9.201,6.172,139,1.257,17.368,13.135,145,15.440,13.239,6.000,52,-1.572,5.002,5.000,42,10.369,7.736,3.000
21,234,24.017,21.086,8.507,253,-3.918,17.687,16.143,140,7.974,11.208,5.407,99,2.652,8.425,6.369,97,4.484,6.792,3.000,128,9.158,11.368,3.000,55,-1.699,7.000,7.239,14,-3.493,0.050,2.000
22,251,20.614,23.423,9.468,222,16.342,20.162,13.206,126,2.416,10.016,6.145,95,11.810,12.849,6.271,95,10.420,10.000,3.000,115,14.644,16.000,3.000,57,-6.898,2.018,5.027,37,5.236,5.135,1.000
23,268,32.793,27.073,6.003,308,-10.703,18.931,19.610,159,27.118,22.368,6.055,152,25.699,21.037,7.000,96,26.809,20.871,3.000,101,18.561,14.000,3.000,69,4.910,7.003,5.000,25,6.003,5.050,1.368
24,307,10.882,16.386,8.086,263,10.740,16.806,8.874,165,0.722,18.511,15.061,148,3.261,14.380,11.369,84,16.407,14.657,1.000,101,-0.935,7.736,4.000,78,9.190,11.038,3.237,30,-0.630,4.000,2.000
25,341,21.793,22.264,9.284,438,-14.213,27.753,27.540,177,13.353,17.667,9.026,174,2.956,17.516,13.649,69,0.389,4.000,5.000,93,9.585,11.000,3.000,90,9.404,13.022,4.196,23,6.162,4.050,0.000
26,301,-0.813,16.014,14.874,362,-0.637,30.039,32.142,179,-7.050,10.376,11.104,169,0.918,19.817,14.789,46,8.707,6.736,3.000,93,-3.505,8.000,7.000,73,-3.436,6.022,7.415,22,2.588,4.002,2.000
27,258,-3.334,15.794,13.385,373,-18.264,22.899,33.265,148,3.718,10.385,7.059,146,3.419,14.848,11.156,50,6.741,6.804,1.000,59,8.823,11.000,4.000,62,9.023,6.140,2.549,25,6.728,5.000,0.000
28,210,0.695,11.380,6.747,265,14.066,21.548,15.062,124,-7.699,5.394,7.739,94,-11.212,3.806,8.504,33,-1.564,3.000,3.000,39,14.746,8.368,1.000,39,-7.693,3.002,4.407,15,4.064,4.000,0.000
29,140,2.607,10.288,3.075,169,1.481,11.384,9.193,88,4.833,13.386,6.210,65,-2.270,3.104,6.664,19,-2.075,1.000,2.000,16,7.210,3.368,0.000,21,2.302,2.021,1.000,9,-2.681,0.000,2.000
30,109,-0.715,5.376,3.002,93,6.016,5.375,4.057,28,-0.963,3.000,3.000,33,-4.828,0.039,4.271,12,-0.287,0.000,0.000,4,2.254,1.000,0.000,9,-1.378,0.001,1.000,2,-0.284,0.000,0.000
31,96,2.421,6.007,2.000,52,2.797,4.368,1.792,8,-1.637,1.000,1.000,28,1.320,2.100,2.368,8,-0.578,0.000,0.000,3,-0.142,0.000,0.000,15,-1.993,1.386,2.000,0,0.000,0.000,0.000
32,65,-6.244,0.000,1.000,22,3.825,2.013,1.050,15,-1.263,0.000,0.000,12,5.919,3.000,0.002,2,-0.000,0.000,0.000,5,-0.000,0.000,0.000,4,0.598,1.000,1.000,1,1.864,1.000,0.000
33,57,-7.228,0.000,2.018,12,3.305,1.000,0.000,15,3.299,2.000,0.000,10,-2.372,0.000,1.000,1,0.000,0.000,0.000,3,-0.000,0.000,0.000,6,4.680,3.000,0.000,1,-0.142,0.000,0.000
