,cluster0,,,,cluster1,,,,cluster2,,,,cluster3,,,,cluster4,,,,cluster5,,,,cluster6,,,,cluster7,,,
doy,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
34,138,-3.802,6.018,8.110,336,6.411,28.541,20.601,137,9.881,15.246,5.645,107,0.113,8.523,9.503,3,-0.161,0.000,0.000,3,2.560,1.000,0.000,44,-2.500,2.002,2.000,3,0.306,0.000,0.000
35,138,-8.627,4.069,7.143,243,-18.357,9.631,16.982,71,0.507,6.154,2.037,94,8.831,12.289,5.536,11,0.699,0.000,0.000,1,-0.693,0.000,0.000,46,4.481,3.002,2.276,7,-0.644,0.000,0.000
36,151,-5.245,11.156,9.010,255,-14.039,11.856,17.371,74,1.616,4.086,3.526,77,-3.216,6.553,7.051,10,0.428,0.000,0.000,6,-0.377,0.000,0.000,29,-0.034,1.368,2.202,4,2.787,2.000,0.000
37,157,13.975,14.051,5.059,248,-8.876,12.662,13.467,112,11.094,8.420,4.427,103,3.627,12.046,8.136,11,0.049,1.000,1.000,6,0.899,0.368,0.000,23,3.872,1.368,0.000,9,-0.270,0.000,1.000
38,146,-13.243,7.043,10.057,235,11.012,18.640,12.817,155,0.546,11.939,9.775,109,16.487,18.558,6.021,5,-1.346,0.000,1.000,10,-1.832,1.000,1.000,35,8.665,6.007,0.011,12,2.560,2.368,0.000
39,133,0.810,12.928,12.368,239,-3.600,23.690,19.204,144,5.102,12.924,9.142,142,0.526,21.543,16.339,9,-0.526,1.000,1.000,10,-0.224,2.000,2.000,42,-2.716,2.154,4.035,19,5.729,2.368,0.000
40,141,-9.954,10.064,9.369,254,4.689,25.159,17.652,97,7.926,8.055,4.050,96,-5.541,5.148,7.522,15,-0.719,1.000,2.000,3,0.454,0.000,0.000,42,-6.527,2.038,5.549,5,0.032,0.000,0.000
41,179,12.070,13.036,5.518,239,11.711,14.949,9.874,77,4.523,2.007,2.018,93,-7.838,6.895,6.192,5,0.209,0.000,0.000,8,-4.305,0.000,2.000,30,-2.674,2.000,5.000,10,0.836,1.000,0.000
42,159,-1.973,8.138,7.708,271,7.016,17.774,12.450,69,3.431,4.050,2.872,75,1.295,4.562,3.135,10,-0.651,1.000,1.000,21,-0.689,2.368,3.000,32,-0.570,3.000,1.000,9,1.896,1.368,0.000
43,188,-8.964,11.437,9.059,227,-13.377,17.567,20.610,90,5.672,4.406,1.000,99,6.933,13.326,4.138,14,5.269,3.000,0.000,9,0.256,1.368,1.000,33,-2.828,2.000,3.000,7,-0.044,1.000,1.000
44,207,-12.038,10.514,12.108,282,-31.898,13.827,28.713,93,7.716,8.035,3.105,82,-3.112,5.556,5.000,15,2.653,2.000,0.000,2,-0.142,0.000,0.000,36,2.531,2.000,1.000,7,-0.994,0.000,0.000
45,206,14.314,13.186,6.375,250,7.737,19.759,16.660,109,14.656,16.420,4.294,85,6.418,5.520,1.754,14,0.701,1.000,0.135,2,0.944,1.000,0.000,36,3.439,3.375,1.576,18,3.599,3.368,2.135
46,220,1.156,18.721,10.122,228,20.158,24.958,11.402,127,30.530,18.368,6.368,59,5.917,7.738,2.154,18,-1.533,0.368,2.000,7,-3.273,0.000,1.368,37,-4.880,1.368,3.098,18,-2.101,3.050,3.000
47,215,25.336,21.143,5.368,236,-12.771,18.253,25.173,101,-1.525,7.010,6.368,80,1.842,6.799,4.106,4,1.023,1.000,0.000,6,2.544,1.000,0.000,37,2.221,5.018,3.553,26,1.255,1.000,1.018
48,201,3.760,9.645,7.077,271,-2.609,15.481,17.896,67,12.769,9.026,0.001,71,-8.480,0.814,6.524,12,-0.720,0.000,0.000,4,-2.650,0.000,1.000,23,-3.161,3.000,2.000,8,-2.130,0.000,1.000
49,184,-9.407,8.529,7.753,249,-21.333,13.538,23.940,85,10.367,8.002,2.118,109,-5.856,8.277,10.007,18,-1.539,0.000,1.000,9,0.329,1.000,1.000,20,1.449,1.007,0.000,17,-0.070,0.503,0.000
50,169,-8.746,7.507,9.379,231,-8.530,17.342,16.495,78,2.184,4.508,3.000,84,-9.181,2.472,4.001,15,1.856,2.000,1.000,6,1.434,1.000,1.000,31,6.512,4.001,0.000,12,3.310,2.000,0.000
51,205,5.305,13.947,4.050,217,-17.424,12.562,19.007,70,11.023,9.428,0.071,95,-5.089,7.396,7.272,14,2.858,2.000,0.000,5,-1.906,0.000,0.000,32,-1.995,1.368,2.000,17,2.599,1.050,0.000
52,223,11.337,17.736,11.145,235,0.729,11.057,12.606,90,7.435,14.009,6.368,95,-5.261,6.021,9.006,15,3.548,2.000,0.000,12,0.975,1.000,1.000,25,3.959,4.002,0.000,28,4.935,3.050,1.000
53,202,13.709,17.522,7.001,228,-3.877,20.120,23.921,78,3.821,10.280,6.142,106,7.594,10.048,3.003,9,-3.595,0.001,1.000,12,2.931,3.000,1.000,45,-5.508,1.003,4.001,25,1.479,2.000,1.368
54,136,-7.917,7.898,5.368,263,-9.148,18.792,18.512,98,1.376,9.135,8.161,69,5.767,7.246,4.058,16,2.922,3.000,2.000,2,0.337,0.000,0.000,26,-4.785,0.000,1.549,15,4.069,3.000,1.000
55,159,2.841,9.110,2.058,250,6.124,18.482,16.629,56,6.719,5.135,0.368,70,-6.929,3.075,4.135,12,1.107,0.000,0.000,9,0.610,2.000,1.000,24,-1.951,2.002,3.031,12,-0.589,1.000,0.000
56,210,-17.711,12.739,15.737,214,-12.761,13.817,19.014,58,1.970,4.368,3.018,66,-11.791,1.037,6.368,28,0.843,2.000,0.000,11,2.752,1.000,0.000,26,1.515,2.000,0.004,19,-6.375,0.000,5.018
57,136,10.876,10.660,3.023,276,-14.649,12.636,16.069,58,4.111,3.018,2.138,61,4.945,5.377,5.057,14,-0.884,1.001,1.000,6,-0.167,0.000,0.000,23,-0.280,2.050,2.000,14,1.193,1.018,1.000
58,177,-0.123,15.558,9.000,264,-6.717,12.801,15.586,63,6.700,9.407,3.010,85,-1.653,4.138,5.069,12,0.309,0.000,0.000,5,0.735,0.000,0.000,30,-1.734,1.000,1.237,35,2.633,5.239,3.000
59,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
60,129,12.201,9.007,3.135,168,-0.041,13.457,9.290,73,-0.152,8.386,6.053,54,2.488,7.135,6.271,16,-4.832,0.000,2.000,7,-2.557,0.000,1.000,39,-1.913,2.004,2.078,21,1.611,3.000,1.000
61,89,3.484,8.000,4.136,190,-8.513,13.495,18.310,54,-0.033,6.000,4.037,19,3.536,2.000,1.000,10,-2.834,0.000,1.000,11,2.357,2.000,1.000,36,0.973,1.002,0.183,19,2.291,2.368,1.018
62,101,-3.469,5.022,6.007,189,22.186,21.531,6.369,56,0.994,2.503,2.005,3,0.639,0.000,0.000,18,-1.322,0.000,1.000,5,1.264,1.000,0.000,30,4.217,4.005,2.404,10,1.334,1.000,0.000
63,98,-6.527,4.019,6.057,179,1.229,15.203,7.051,46,6.616,3.135,1.001,4,1.729,1.000,0.000,14,4.062,1.000,0.000,4,-0.142,0.000,0.000,15,-4.350,0.000,2.000,7,1.390,1.000,0.000
64,91,6.002,9.001,1.007,162,-1.497,7.657,8.290,69,-0.264,4.050,1.000,7,-1.066,1.000,1.000,10,2.024,1.000,0.000,4,-1.062,0.000,1.000,46,12.196,4.002,0.282,5,1.842,1.000,0.000
65,105,-2.476,3.369,6.021,146,-1.095,8.163,9.018,49,0.620,4.503,5.000,14,1.054,2.000,1.000,10,-0.448,0.000,1.000,2,1.523,1.000,0.000,16,2.211,1.018,1.202,18,2.437,2.000,0.000
66,99,-1.025,5.736,5.000,129,-0.135,13.000,6.050,69,1.496,8.271,6.001,11,1.479,2.000,1.000,14,-1.048,0.000,0.000,6,-2.394,0.000,1.000,26,-2.106,0.003,2.300,17,6.638,5.000,3.000
67,102,19.832,15.745,3.368,52,10.390,9.000,1.003,65,-7.121,6.368,6.050,25,4.586,3.018,2.000,11,1.477,1.000,0.000,9,0.187,1.000,1.000,11,-0.131,1.370,1.000,30,-0.483,7.000,4.000
68,108,-0.787,7.159,5.068,37,3.829,7.100,5.000,54,14.207,9.025,2.000,29,2.944,3.026,0.000,11,-1.552,1.000,1.000,14,6.223,3.000,0.000,21,2.413,3.135,3.202,17,1.306,2.503,2.000
69,143,7.326,11.136,5.156,45,-0.926,2.000,2.154,50,-0.174,6.368,2.000,54,-1.608,4.003,3.000,7,-0.284,0.000,0.000,10,-0.416,0.000,0.000,26,2.355,2.000,0.549,6,2.537,1.050,0.000
70,140,-4.197,4.385,8.102,48,5.782,7.000,3.018,62,0.935,6.375,4.059,80,11.586,9.204,3.000,11,-2.462,0.000,1.000,2,-0.686,0.000,0.000,22,5.822,4.002,1.000,7,2.021,2.000,0.000
71,146,-15.756,6.522,11.368,58,-0.317,4.050,4.000,44,-6.382,1.001,3.068,82,-3.948,7.503,10.000,12,3.979,2.000,0.000,8,1.381,0.000,0.000,25,1.914,4.000,2.000,4,1.136,1.000,0.000
72,158,6.559,9.308,6.183,47,-1.588,7.418,4.009,48,7.378,6.001,1.013,101,-5.196,7.792,11.000,17,0.451,0.000,0.000,4,1.648,1.000,0.000,15,-0.847,0.000,1.004,18,1.903,3.000,2.000
73,204,4.025,17.779,10.823,62,2.217,8.375,5.503,98,9.672,15.736,8.375,133,21.133,22.034,12.001,25,-2.884,1.000,2.503,15,-1.329,0.000,1.000,17,-5.592,1.000,2.004,16,-0.337,0.000,0.000
74,194,8.531,23.947,9.475,132,-21.827,12.277,15.982,150,9.430,26.057,19.657,120,-9.925,13.522,18.000,18,-1.038,0.368,1.503,18,1.468,2.000,0.000,38,7.322,5.000,0.350,18,-2.614,1.135,2.000
75,155,6.439,8.528,6.001,184,-4.115,17.493,14.943,74,10.050,8.008,2.000,117,-10.457,5.030,11.002,10,-0.814,1.000,1.000,10,1.594,1.000,0.000,35,1.692,2.368,1.606,21,6.430,4.368,0.000
76,154,2.401,12.874,9.424,239,3.572,21.438,13.897,64,-0.976,3.009,3.368,85,10.270,7.736,1.391,15,-0.729,0.000,0.000,11,0.521,1.000,0.000,22,-1.645,2.000,2.027,10,0.826,0.000,0.000
77,151,-1.018,14.378,8.064,241,-16.571,14.145,19.207,76,6.357,6.458,3.018,98,-1.845,7.738,4.737,7,-0.534,0.000,0.000,10,1.046,1.000,0.000,23,2.004,1.154,1.000,7,-1.758,0.135,1.000
78,141,1.843,13.055,8.156,169,-2.599,11.418,10.285,27,2.599,5.007,2.387,90,6.388,9.381,6.000,9,-2.408,1.000,1.000,11,-0.532,0.000,1.000,12,3.109,2.000,1.000,8,-4.199,0.000,2.000
79,146,-3.627,10.540,7.345,266,1.872,16.383,18.320,54,5.222,8.050,5.368,85,-6.790,4.768,9.418,18,-0.217,0.000,0.000,8,-0.568,1.000,1.000,32,-4.334,2.418,5.000,18,-3.777,0.000,1.000
80,184,-8.886,14.590,15.543,275,2.669,20.953,17.542,62,11.079,9.000,3.000,123,4.462,11.463,7.892,18,-1.238,0.000,1.135,16,1.768,2.000,0.000,40,8.493,9.490,2.000,25,2.090,5.000,1.000
81,159,6.078,16.436,10.368,252,-19.911,23.658,29.105,89,19.162,17.157,6.052,181,26.818,22.393,9.481,16,1.168,0.000,0.000,11,1.185,1.368,0.000,28,2.394,4.018,2.028,26,2.444,3.135,1.007
82,104,-0.133,7.725,4.204,179,-2.791,12.272,13.386,71,1.115,5.136,4.018,79,2.272,7.553,5.007,5,1.165,1.000,0.000,12,1.874,2.000,1.000,11,0.855,2.000,0.549,7,2.425,2.000,0.000
83,87,-6.374,2.018,4.059,133,-0.637,5.035,7.018,22,5.656,4.000,0.135,38,-2.787,2.102,3.504,2,-0.052,0.000,0.000,7,-0.111,0.000,0.000,10,0.161,2.368,2.000,6,0.981,0.000,0.000
84,200,1.531,8.591,7.152,215,-12.143,15.610,16.394,48,0.517,3.014,4.000,108,7.964,14.239,6.738,25,3.352,2.000,0.000,16,1.349,1.368,0.000,13,2.977,2.000,1.000,16,1.126,3.000,1.000
85,174,17.563,14.775,5.032,227,-0.985,13.457,13.140,45,3.623,3.136,1.002,86,13.572,13.149,3.000,13,-0.716,0.000,0.368,22,2.704,3.000,1.000,27,0.954,3.000,2.000,21,1.045,2.000,0.000
86,125,5.245,9.368,7.000,214,3.326,13.536,11.739,44,11.192,5.419,0.368,59,0.396,4.002,3.000,12,-2.367,0.003,1.368,7,-1.889,0.000,1.000,20,-3.269,0.007,2.000,8,4.051,2.000,0.000
87,155,15.023,16.559,7.001,149,-10.692,10.382,15.187,54,6.812,6.274,1.368,76,10.999,14.135,5.000,16,3.750,2.000,0.000,17,-0.836,2.000,3.000,11,0.533,1.000,1.000,32,0.917,3.104,2.000
88,100,1.306,9.000,2.736,147,5.573,14.874,10.000,52,5.282,7.010,2.386,30,0.055,2.023,2.000,15,-4.424,1.000,2.000,6,1.592,1.000,0.000,20,0.839,2.000,1.000,18,2.918,4.000,1.000
89,76,7.618,7.368,3.068,157,-2.101,9.788,13.510,57,1.205,5.140,2.371,64,10.458,10.376,4.467,5,-1.275,0.000,1.000,4,-0.336,0.000,0.000,19,1.337,2.000,0.202,20,7.746,5.000,1.000
90,128,5.711,8.055,5.389,170,-14.644,8.531,14.137,38,-0.632,3.003,4.050,77,-0.004,10.738,8.375,118,11.823,17.307,11.000,20,2.799,6.000,4.368,27,1.560,3.000,1.751,6,1.369,1.368,0.000
91,93,-1.874,2.149,3.005,166,-3.417,11.873,13.826,34,-5.200,2.003,4.002,60,-1.263,6.000,6.472,8,0.082,1.000,0.000,2,-0.142,0.000,0.000,15,0.919,1.000,1.000,7,0.646,1.000,0.000
92,77,-4.634,3.000,3.096,118,8.274,7.002,2.185,32,-1.594,2.000,2.050,64,-1.595,7.021,7.001,41,-3.914,1.000,2.000,11,4.101,2.000,0.000,8,0.693,0.000,0.000,9,0.238,0.368,0.000
93,84,4.280,6.156,2.368,184,4.183,13.371,9.021,31,-1.811,0.003,0.000,47,-5.795,3.135,3.007,105,14.094,12.050,5.154,5,-0.146,0.368,1.000,21,-4.623,1.003,3.000,14,6.980,3.368,0.000
94,68,-5.927,2.371,3.050,126,2.434,8.762,5.407,40,-2.903,2.135,4.000,25,2.590,1.503,1.000,39,6.215,4.368,1.000,8,-0.661,0.000,0.000,11,3.824,2.000,0.000,7,-0.918,1.000,1.000
95,72,3.598,5.368,2.763,109,2.244,8.426,6.425,47,-4.606,3.273,4.000,31,-5.962,2.431,3.001,102,13.090,12.503,4.368,8,3.003,2.000,0.000,17,-1.593,1.000,2.404,13,-1.870,1.000,2.000
96,80,9.687,12.002,5.000,140,2.458,8.376,7.836,48,5.596,6.138,1.001,26,1.362,5.122,2.368,89,10.090,9.503,5.050,7,-5.543,1.000,3.000,17,-0.958,1.000,1.000,11,1.429,0.000,0.000
97,105,-5.197,6.893,5.057,195,-9.281,11.275,13.071,32,0.517,3.000,1.010,57,-1.645,7.639,3.369,10,-0.071,0.000,0.000,6,-0.220,0.000,0.000,22,-5.964,0.000,3.004,5,1.459,1.000,0.000
98,147,-3.851,9.386,9.007,244,1.332,13.543,12.091,46,2.354,5.368,3.375,78,5.756,5.610,2.419,20,-1.477,0.000,0.000,11,0.580,0.000,0.000,23,2.460,3.002,0.000,17,0.556,1.000,0.000
99,152,4.674,11.176,7.298,246,-2.118,13.053,14.044,45,5.372,6.110,2.000,85,15.462,10.320,4.000,30,-0.679,0.368,1.000,13,-1.304,0.000,0.000,26,2.233,3.000,1.004,13,2.565,2.104,0.000
100,83,-2.261,3.508,2.503,157,4.769,10.389,8.136,53,7.468,8.368,3.368,86,27.441,17.761,3.015,6,-1.577,0.000,0.000,15,1.109,2.000,0.368,16,-0.773,1.000,1.405,8,-1.719,0.000,1.000
101,65,10.227,8.135,2.051,120,-13.984,5.154,9.002,42,1.022,2.377,1.137,29,-8.077,1.028,3.000,6,0.905,1.000,0.000,9,1.019,1.000,0.000,16,6.678,3.369,0.000,5,4.385,3.000,0.000
102,66,-3.741,0.000,5.138,110,-13.522,10.560,16.018,38,12.114,7.002,0.001,75,-6.299,9.000,11.007,14,3.621,2.000,0.000,6,-0.345,0.000,1.000,18,-2.683,2.000,2.000,22,-3.898,3.000,3.406
103,84,3.925,6.154,5.172,126,2.819,12.369,10.013,46,-1.526,5.185,5.002,59,3.274,6.574,6.368,33,2.605,3.000,3.000,13,0.123,0.000,1.000,10,1.414,1.002,1.001,15,-0.199,2.000,2.368
104,87,-8.206,4.406,9.000,130,9.483,11.368,3.759,30,3.414,2.000,1.002,57,1.799,4.140,3.136,14,5.576,2.000,0.000,13,2.269,1.000,0.000,15,-1.123,1.000,1.000,4,2.407,1.000,0.000
105,78,7.204,6.000,2.211,140,-8.831,8.743,10.018,32,-2.510,0.418,1.007,31,6.814,4.506,1.000,17,1.952,3.000,1.000,9,3.562,2.000,0.368,13,1.004,1.000,1.000,8,-1.347,1.000,1.000
106,96,5.519,5.554,0.019,127,0.685,8.892,10.664,33,0.546,2.000,1.025,77,18.238,15.039,3.368,10,3.078,1.000,0.000,3,-0.142,0.000,0.000,15,-4.011,1.000,3.000,8,4.037,2.000,0.000
107,58,10.229,8.512,3.050,125,-5.526,7.167,10.000,33,13.734,7.050,1.000,64,2.066,12.368,10.000,25,1.329,2.368,0.000,5,-2.990,0.000,1.000,19,0.024,0.000,1.004,8,-0.454,1.000,0.000
108,96,5.256,7.896,4.050,111,3.514,7.911,4.000,37,2.153,2.272,2.000,22,3.032,2.271,0.541,82,16.658,20.368,7.000,9,2.322,1.000,0.000,14,4.577,2.000,0.001,16,3.287,3.000,2.000
109,39,3.043,5.000,2.037,110,2.124,4.743,4.155,33,-1.504,1.000,1.000,61,20.243,13.368,1.000,103,15.246,17.754,3.000,12,-1.741,0.000,1.736,11,0.426,0.000,0.000,21,2.489,2.000,1.135
110,94,5.932,10.503,4.387,152,-2.886,12.893,9.186,44,3.948,6.000,2.368,100,-10.608,12.368,13.000,111,-3.859,13.639,10.503,4,1.058,1.000,0.000,13,2.391,0.386,0.000,5,0.031,0.368,0.000
111,170,0.553,12.160,9.424,203,-7.043,15.977,15.437,47,7.619,8.000,2.007,106,2.703,13.737,10.104,83,11.864,12.503,3.000,23,-1.734,2.000,1.000,21,-2.542,2.000,2.007,12,5.074,4.368,0.000
112,189,18.317,21.842,13.444,258,19.002,28.211,10.527,44,4.241,2.000,2.018,122,-0.302,9.780,11.000,76,9.431,10.239,6.368,15,0.675,1.000,1.000,33,-5.149,1.001,3.008,24,-2.802,3.000,2.736
113,106,11.559,13.203,4.140,112,-1.845,8.418,6.386,34,-2.429,2.000,3.135,74,14.531,11.345,3.368,34,5.931,5.000,1.018,7,2.751,1.000,0.000,12,-2.243,1.002,3.000,13,0.041,3.000,1.736
114,122,-4.157,6.975,7.243,127,-12.859,3.560,12.145,31,6.072,3.000,0.000,32,5.302,4.002,1.503,41,-0.401,4.135,4.000,7,-2.156,0.000,1.000,18,-1.727,0.000,1.000,9,0.348,1.000,0.000
