,cluster0,,,cluster1,,,cluster2,,,cluster3,,,cluster4,,
date,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
2014-11-06,65,-0.769,8,6,42,-2.610,1,1,43,9.070,8,1,8,1.604,2,0,3,2.017,1,0
2014-11-07,67,-1.269,7,4,36,-1.892,4,6,17,-2.246,1,2,3,-0.426,0,0,6,-0.852,0,0
2014-11-08,56,4.587,4,2,49,1.422,10,6,26,4.063,7,2,5,0.842,1,0,3,0.675,0,0
2014-11-09,17,3.531,2,1,10,-1.397,1,1,12,5.213,2,1,0,0.000,0,0,3,0.802,1,0
2014-11-10,53,-3.826,5,5,24,-7.062,2,3,10,-0.296,1,2,1,1.001,1,0,2,-0.284,0,0
2014-11-11,75,4.604,10,7,46,-12.627,3,11,20,7.961,8,2,2,0.387,0,0,2,-0.284,0,0
2014-11-12,67,10.715,10,1,36,4.000,9,6,31,4.901,4,3,3,-0.426,0,0,6,-1.360,0,0
2014-11-13,80,-0.009,11,9,48,5.403,6,5,38,-2.962,4,4,2,-1.747,0,1,9,1.541,1,0
2014-11-14,61,0.376,8,4,36,7.331,5,2,16,0.392,4,4,3,0.394,0,0,4,0.351,0,0
2014-11-15,64,-3.555,6,7,45,-6.135,6,5,29,0.791,4,1,11,0.553,2,1,3,-0.426,0,0
2014-11-16,74,13.783,15,7,66,-7.637,4,8,57,8.825,13,6,4,-0.568,0,0,3,0.142,0,0
2014-11-17,68,-5.686,8,10,40,11.360,10,1,21,-3.845,2,3,7,1.061,1,0,2,-1.854,0,0
2014-11-18,85,-14.607,10,17,51,1.670,8,4,21,8.637,5,1,4,-0.568,0,0,8,1.978,2,0
2014-11-19,82,3.227,11,7,34,-4.990,1,3,19,0.793,4,2,4,-0.068,0,0,1,-0.142,0,0
2014-11-20,11,2.393,3,2,5,-2.205,0,1,0,0.000,0,0,1,-1.282,0,1,1,0.355,0,0
2014-11-21,107,8.290,15,9,53,2.604,8,7,25,7.466,7,1,4,-1.097,0,0,9,-0.956,1,2
2014-11-22,99,11.383,15,7,52,-2.356,7,5,34,5.832,7,3,11,-4.519,1,3,22,6.388,5,2
2014-11-23,31,4.771,4,1,36,2.275,5,4,20,-5.518,1,4,1,-0.142,0,0,6,0.515,1,0
2014-11-24,40,-0.808,5,5,52,-0.032,8,6,16,-2.898,0,1,0,0.000,0,0,3,-0.426,0,0
2014-11-25,49,-3.520,5,3,57,-10.934,6,7,13,1.853,1,0,3,1.104,0,0,1,-0.142,0,0
2014-11-26,47,12.687,9,2,20,4.373,2,0,11,1.097,1,0,6,-3.271,0,2,2,0.898,1,0
2014-11-27,40,2.549,4,3,8,4.835,4,1,17,2.502,3,3,3,0.820,0,0,6,6.849,3,0
2014-11-28,43,2.284,5,1,5,0.827,0,0,5,0.283,1,1,3,0.341,0,0,4,3.398,2,0
2014-11-29,77,-4.025,9,9,11,-2.441,1,3,28,7.477,7,3,2,0.681,0,0,3,0.923,1,0
2014-11-30,45,-2.477,5,5,16,-0.495,2,3,28,0.771,4,2,5,0.624,0,0,31,3.561,3,0
2014-12-01,70,4.032,12,6,30,0.712,3,2,17,2.530,3,1,1,-0.142,0,0,1,-0.142,0,0
2014-12-02,73,4.833,9,5,43,2.183,7,4,12,-1.405,1,1,1,-0.142,0,0,7,-0.892,0,1
2014-12-03,93,1.657,12,8,52,0.269,9,8,12,-1.700,3,2,4,2.514,1,0,9,2.441,1,1
2014-12-04,70,-2.292,8,8,58,-10.107,5,9,12,2.319,2,0,0,0.000,0,0,2,-0.583,0,0
2014-12-05,90,13.964,12,3,56,-13.352,5,9,38,-8.075,7,8,3,-1.499,0,1,6,1.395,1,0
2014-12-06,82,11.834,13,5,56,-6.309,10,12,22,0.064,2,3,1,-0.142,0,0,8,1.929,0,0
2014-12-07,55,16.321,12,6,57,6.964,9,6,47,1.975,9,6,1,0.802,0,0,7,3.220,3,0
2014-12-08,84,2.106,12,9,61,4.581,8,3,17,0.535,2,2,3,2.418,2,0,1,1.743,1,0
2014-12-09,78,6.048,12,5,55,-9.894,5,10,20,0.620,2,0,6,-0.310,0,1,7,0.551,2,1
2014-12-10,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2014-12-11,83,-0.096,7,6,44,-4.676,2,5,24,-6.835,4,5,3,0.756,1,0,1,-0.142,0,0
2014-12-12,6,7.979,3,0,2,-1.193,0,1,4,-2.955,0,1,0,0.000,0,0,2,-0.284,0,0
2014-12-13,37,11.363,8,0,8,1.036,1,0,8,-0.385,2,2,1,-0.142,0,0,0,0.000,0,0
2014-12-14,80,1.652,10,5,24,9.647,9,3,33,7.633,7,3,3,0.344,0,0,9,0.373,1,0
2014-12-15,71,10.756,8,6,20,7.585,3,1,21,5.756,5,0,3,0.194,2,1,6,2.297,3,1
2014-12-16,81,12.060,15,8,6,-1.001,2,2,23,4.967,7,5,1,0.167,0,0,12,0.560,1,0
2014-12-17,75,1.059,13,7,13,-0.533,0,1,14,3.568,2,0,2,-1.186,0,1,1,1.587,1,0
2014-12-18,65,-4.683,10,13,14,-1.814,1,3,19,-0.978,3,4,0,0.000,0,0,1,-0.142,0,0
2014-12-19,43,10.760,9,2,9,-2.107,0,2,19,2.410,1,1,3,-1.662,0,1,4,0.447,0,0
2014-12-20,53,7.705,8,3,21,4.926,4,1,17,1.970,2,0,3,0.593,0,0,6,0.866,2,1
2014-12-21,68,14.808,13,5,9,1.786,1,0,24,-1.355,3,3,7,1.665,2,1,36,4.624,7,2
2014-12-22,24,2.959,3,1,8,-2.564,0,1,5,-2.508,0,2,4,-1.711,0,1,3,0.983,1,0
2014-12-23,31,4.303,4,1,8,3.333,4,2,5,0.390,2,1,7,-0.967,0,1,1,0.412,0,0
2014-12-24,30,0.157,8,6,8,1.682,2,1,9,5.590,4,1,1,0.788,0,0,1,0.476,0,0
2014-12-25,16,3.544,2,1,2,0.198,0,0,5,1.957,1,0,0,0.000,0,0,2,-1.435,0,1
2014-12-26,24,3.455,3,0,5,-1.034,1,0,8,2.800,1,0,0,0.000,0,0,2,3.348,1,0
2014-12-27,24,-3.876,0,2,14,-1.271,0,0,32,-0.616,2,3,2,0.610,1,0,6,2.759,2,0
2014-12-28,47,7.765,7,4,13,-5.771,0,2,25,3.698,6,3,6,4.343,3,0,8,-0.554,0,0
2014-12-29,34,-3.738,4,3,14,-3.571,1,2,9,5.154,3,0,8,7.190,4,0,68,3.161,11,6
2014-12-30,39,2.465,5,3,14,-4.507,1,2,6,3.174,3,1,1,-0.142,0,0,6,-0.852,0,0
2014-12-31,29,10.253,7,2,31,-1.385,5,4,25,2.367,5,4,0,0.000,0,0,6,0.543,0,0
2015-01-01,34,11.805,6,1,14,-1.891,1,1,43,-1.772,7,6,3,-0.426,0,0,7,1.786,1,0
2015-01-02,23,3.960,2,0,3,2.059,1,0,10,7.333,3,0,2,-1.204,0,1,6,2.336,3,2
2015-01-03,35,4.740,6,4,13,5.351,4,0,23,-2.188,3,3,10,-3.101,0,1,14,1.808,2,0
2015-01-04,47,10.736,10,4,34,-11.508,2,5,28,-6.892,1,5,4,1.210,0,0,66,17.908,18,7
2015-01-05,28,-2.191,3,5,50,1.193,6,5,15,1.363,2,2,2,0.731,1,0,3,2.212,2,0
2015-01-06,20,-2.971,2,3,48,7.985,8,3,32,-8.931,4,7,3,-0.426,0,0,2,0.096,0,0
2015-01-07,27,5.157,5,0,32,2.783,3,2,18,-7.443,1,6,1,-0.142,0,0,0,0.000,0,0
2015-01-08,71,13.954,19,7,49,4.841,6,5,18,-8.457,2,5,0,0.000,0,0,1,-0.142,0,0
2015-01-09,46,3.366,8,7,42,-1.318,2,3,44,-8.189,2,5,2,-1.967,0,1,4,0.202,1,1
2015-01-10,36,-1.883,5,7,41,1.886,4,2,44,4.595,8,5,0,0.000,0,0,1,-0.142,0,0
2015-01-11,39,-4.818,6,9,71,-4.213,10,12,45,1.564,9,3,0,0.000,0,0,2,0.660,0,0
2015-01-12,48,-4.107,9,11,45,10.654,10,6,15,-0.619,1,2,5,2.688,1,0,2,0.944,1,0
2015-01-13,45,14.440,9,3,49,-3.948,10,7,26,-4.371,2,3,3,1.089,1,1,1,-0.142,0,0
2015-01-14,63,7.492,8,6,41,-0.046,4,6,31,-5.372,2,8,2,2.152,1,0,3,0.543,0,0
2015-01-15,45,9.227,5,2,56,1.568,10,5,39,-6.165,6,8,3,-0.014,0,0,3,0.025,0,0
2015-01-16,28,-4.781,5,4,36,4.272,7,1,22,1.488,3,1,9,2.445,1,0,3,-0.426,0,0
2015-01-17,36,6.907,7,2,47,10.348,9,3,27,1.388,4,1,2,0.994,0,0,1,1.505,1,0
2015-01-18,61,6.591,10,5,42,-3.836,4,5,46,13.138,14,4,2,1.534,1,0,2,0.337,0,0
2015-01-19,45,6.487,10,5,29,-0.911,2,2,13,5.383,3,1,1,-0.142,0,0,2,0.966,1,0
2015-01-20,50,3.649,8,4,38,-2.602,4,3,28,3.545,5,4,5,4.205,2,0,2,-0.284,0,0
2015-01-21,71,9.374,11,5,52,5.737,5,4,25,-6.359,1,3,0,0.000,0,0,2,1.321,1,0
2015-01-22,85,4.113,15,13,51,4.739,8,3,15,-4.976,0,2,4,-2.349,0,1,2,-0.026,0,0
2015-01-23,67,5.359,10,4,39,2.191,4,3,62,-11.486,10,12,3,0.156,0,0,1,-0.142,0,0
2015-01-24,46,13.090,9,3,55,-3.797,8,9,29,1.980,7,2,1,-0.142,0,0,5,5.578,4,0
2015-01-25,57,11.560,8,5,32,-4.597,2,4,31,7.472,6,1,1,1.054,1,0,2,-0.764,0,0
2015-01-26,65,-0.769,9,5,54,0.969,8,8,8,-4.042,0,2,2,0.763,0,0,3,-0.426,0,0
2015-01-27,61,2.724,9,8,45,6.254,8,4,16,10.247,5,1,2,-0.714,0,0,2,-1.286,0,1
2015-01-28,76,14.226,15,6,42,10.701,8,2,21,-2.699,2,5,3,3.135,2,0,0,0.000,0,0
2015-01-29,45,2.069,7,4,45,-5.491,3,5,50,-10.778,7,8,1,1.125,1,0,6,-2.227,1,1
2015-01-30,54,5.892,8,2,43,-5.183,6,5,29,7.450,6,4,1,0.930,0,0,1,1.825,1,0
2015-01-31,53,14.578,10,1,44,7.524,9,5,35,-0.503,5,4,2,1.168,1,0,4,0.959,0,0
2015-02-01,63,16.822,16,6,44,2.798,7,5,34,6.314,7,4,3,0.447,0,0,5,3.419,2,0
2015-02-02,52,7.140,10,2,99,-17.176,14,22,38,-1.219,6,2,8,-2.253,1,2,1,-0.526,0,0
2015-02-03,56,-8.622,6,10,50,2.447,8,8,24,7.799,5,2,0,0.000,0,0,1,-0.142,0,0
2015-02-04,49,0.373,8,5,49,-6.101,4,11,15,2.233,3,1,3,0.330,1,0,4,3.895,2,0
2015-02-05,48,5.790,8,3,59,-4.298,8,9,18,6.966,3,1,3,-0.092,0,0,1,-0.142,0,0
2015-02-06,69,5.498,9,6,46,-2.234,6,5,47,-5.824,6,10,3,0.092,0,0,3,1.420,1,0
2015-02-07,70,20.075,17,6,51,4.410,7,6,77,-11.674,11,14,0,0.000,0,0,0,0.000,0,0
2015-02-08,61,15.848,16,4,53,-3.085,11,10,55,-15.921,3,8,5,-3.129,0,1,3,-0.849,0,0
2015-02-09,83,-2.278,13,10,79,0.400,18,16,22,-5.012,1,2,1,0.777,0,0,2,-0.835,0,0
2015-02-10,48,0.194,8,8,55,2.324,7,5,32,-15.967,1,6,3,1.917,0,0,1,0.401,0,0
2015-02-11,59,5.178,10,4,98,1.654,13,9,25,-3.880,3,4,2,0.152,1,1,9,5.843,5,1
2015-02-12,97,14.824,16,9,68,-18.926,7,16,30,-5.138,4,5,4,1.470,1,0,10,8.656,5,0
2015-02-13,79,6.494,11,5,43,2.124,4,3,22,-0.139,4,3,2,0.657,0,0,1,-0.142,0,0
2015-02-14,61,5.685,9,5,60,9.063,11,5,30,5.939,5,3,2,1.062,1,0,2,1.537,1,0
2015-02-15,67,4.106,12,7,49,0.868,9,8,25,-2.313,2,2,8,-0.014,0,0,2,1.474,1,0
2015-02-16,108,13.743,15,6,62,-6.202,6,6,17,7.165,5,0,4,1.793,1,0,2,-0.284,0,0
2015-02-17,63,8.712,10,3,66,0.311,10,8,8,1.058,1,2,3,1.008,1,0,0,0.000,0,0
2015-02-18,80,-11.464,7,14,57,-4.189,4,6,13,-0.462,2,1,1,-0.142,0,0,7,2.112,1,0
2015-02-19,76,5.019,10,6,52,6.613,7,2,23,-3.150,4,4,5,1.668,1,0,0,0.000,0,0
2015-02-20,84,17.628,17,5,45,-2.679,5,3,16,6.950,5,0,4,0.646,1,0,1,0.245,0,0
2015-02-21,109,9.312,12,6,42,5.241,7,4,23,-1.123,2,3,4,1.612,1,0,3,1.676,1,0
2015-02-22,114,11.120,12,3,55,-8.591,8,9,17,3.813,3,0,3,0.756,1,0,2,3.593,2,0
2015-02-23,65,21.693,13,5,71,5.466,9,5,18,0.672,4,4,3,1.448,1,0,1,-0.142,0,0
2015-02-24,72,11.994,12,4,57,5.477,9,5,26,2.655,5,2,4,-0.568,0,0,0,0.000,0,0
2015-02-25,74,-10.397,7,9,48,6.984,8,5,20,3.760,5,1,6,-2.138,0,2,2,0.778,0,0
2015-02-26,47,15.322,13,1,64,-23.334,2,11,25,-4.559,2,4,4,0.479,1,0,3,3.125,1,0
2015-02-27,65,4.732,8,7,58,2.146,10,8,16,3.092,2,2,4,-0.320,1,1,1,-0.050,0,0
2015-02-28,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2015-03-01,58,10.159,9,2,48,-0.696,8,5,28,-4.590,2,3,5,-0.118,0,0,3,1.338,1,0
2015-03-02,45,4.831,3,2,51,4.320,8,3,7,-1.239,2,2,5,-0.146,0,0,2,-0.284,0,0
2015-03-03,38,-7.103,3,5,48,9.580,7,3,25,8.374,6,1,3,0.461,1,1,3,-2.031,0,1
2015-03-04,37,1.329,6,4,45,0.275,4,4,23,2.122,3,2,1,-0.437,0,0,0,0.000,0,0
2015-03-05,34,2.544,3,2,49,5.590,8,6,33,-8.212,4,6,4,-1.698,0,1,0,0.000,0,0
2015-03-06,56,10.014,2,1,42,0.229,6,4,25,-0.726,3,3,1,-0.142,0,0,1,-0.142,0,0
2015-03-07,35,4.338,3,1,18,-0.777,3,2,19,8.311,5,0,4,0.966,0,0,2,1.534,1,0
2015-03-08,55,3.756,5,2,12,2.704,4,1,31,3.515,5,2,4,0.806,1,0,3,2.830,1,0
2015-03-09,74,12.605,11,6,8,1.615,0,0,11,0.312,0,0,1,-0.142,0,0,2,1.065,0,0
2015-03-10,104,-7.948,11,11,13,-5.800,0,3,25,-3.829,1,6,0,0.000,0,0,2,1.321,1,0
2015-03-11,71,-1.816,5,5,20,-2.409,2,3,33,3.356,3,0,1,-0.142,0,0,1,-0.142,0,0
2015-03-12,107,14.741,19,5,21,2.081,2,1,25,2.197,3,1,3,-0.426,0,0,3,1.935,1,0
2015-03-13,86,15.184,14,5,12,0.663,2,1,18,-2.168,2,3,4,0.401,0,0,2,1.083,1,0
2015-03-14,210,67.697,48,12,45,4.706,9,6,65,5.717,13,10,13,3.086,3,0,10,1.963,1,0
2015-03-15,162,15.201,24,18,67,2.501,14,9,69,-0.167,12,9,7,5.244,3,0,3,-0.426,0,0
2015-03-16,136,16.759,18,11,87,-1.935,9,6,13,-1.862,1,2,4,0.301,1,1,7,4.243,3,0
2015-03-17,94,-8.928,13,11,95,-2.365,12,13,37,-7.325,7,9,6,-0.913,0,0,4,-2.813,0,1
2015-03-18,99,0.250,16,10,74,-13.056,6,12,51,2.437,9,4,5,-1.071,1,0,4,-0.121,1,1
2015-03-19,67,-8.060,3,7,49,-0.679,8,8,13,-6.020,1,3,3,-1.829,1,1,5,-3.157,0,2
2015-03-20,107,16.573,19,9,78,0.959,7,9,18,3.193,2,1,4,-0.568,0,0,6,0.646,1,0
2015-03-21,135,-9.643,14,16,89,25.463,19,2,30,6.620,5,3,7,2.950,3,0,6,-0.234,0,0
2015-03-22,166,-5.214,20,16,98,13.024,21,10,33,0.122,5,4,7,-1.811,0,1,10,-0.525,1,0
2015-03-23,31,8.387,5,3,30,-11.721,0,6,7,4.629,3,0,0,0.000,0,0,3,0.614,0,0
2015-03-24,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2015-03-25,122,12.265,23,9,87,2.074,9,7,29,-6.842,3,5,7,0.972,2,1,4,0.106,1,0
2015-03-26,115,16.640,25,11,79,-4.519,9,13,24,6.337,5,1,2,0.582,0,0,12,3.838,3,1
2015-03-27,36,4.559,6,3,30,3.506,9,5,7,-1.701,2,2,1,1.360,1,0,5,-0.710,0,0
2015-03-28,43,14.426,9,3,24,-8.831,1,7,10,-0.902,0,1,3,-0.426,0,0,2,0.664,0,0
2015-03-29,22,1.048,0,1,25,-4.386,4,5,9,-4.173,1,2,0,0.000,0,0,3,-0.792,0,1
2015-03-30,18,-1.509,4,3,3,0.706,0,0,1,-0.142,0,0,2,1.712,1,0,0,0.000,0,0
2015-03-31,5,-2.867,0,2,4,-0.117,1,1,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2015-04-01,6,1.928,2,0,2,1.026,1,0,1,-0.142,0,0,0,0.000,0,0,0,0.000,0,0
2015-04-02,21,4.755,5,1,4,0.263,0,0,1,0.362,0,0,1,2.201,1,0,1,-0.142,0,0
2015-04-03,13,-2.689,0,1,6,-1.890,0,1,5,-0.710,0,0,0,0.000,0,0,0,0.000,0,0
2015-04-04,5,-0.710,0,0,5,-0.093,0,0,2,-0.284,0,0,1,-0.142,0,0,0,0.000,0,0
2015-04-05,7,1.861,1,0,5,-3.135,1,2,2,1.008,1,1,1,0.568,0,0,2,-0.284,0,0
2015-04-06,1,-0.142,0,0,1,0.344,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2015-04-07,53,-0.597,7,6,43,8.847,11,4,4,1.047,0,0,3,-0.465,0,0,3,-0.426,0,0
2015-04-08,129,1.624,18,13,101,-3.060,13,11,15,6.329,5,1,10,2.334,1,0,8,1.615,1,0
2015-04-09,100,6.968,13,8,117,-4.914,17,12,12,4.012,3,0,23,5.626,5,3,13,0.756,1,0
2015-04-10,32,7.990,6,0,26,5.799,4,0,15,-1.128,2,1,2,-0.437,0,1,9,0.938,1,0
2015-04-11,11,6.216,5,1,5,0.049,0,0,3,0.866,1,0,1,-1.183,0,1,1,-0.142,0,0
2015-04-12,5,3.078,2,0,5,0.183,0,0,2,-1.804,0,1,2,1.278,1,0,0,0.000,0,0
2015-04-13,18,8.802,4,0,6,2.411,1,0,3,-0.426,0,0,19,5.616,3,0,2,1.179,1,0
2015-04-14,18,7.179,4,0,3,2.687,2,0,1,-1.073,0,1,10,2.248,1,0,5,2.028,1,0
2015-04-15,11,8.691,4,0,8,1.004,0,0,2,0.131,0,0,5,4.254,1,0,2,1.491,1,0
2015-04-16,34,9.621,8,3,13,0.601,1,1,0,0.000,0,0,5,2.503,1,0,0,0.000,0,0
2015-04-17,17,-0.100,1,1,4,5.699,2,0,1,-0.142,0,0,0,0.000,0,0,0,0.000,0,0
2015-04-18,6,0.831,1,0,4,-2.291,0,1,3,0.625,0,0,7,-1.069,0,0,2,0.276,1,0
2015-04-19,7,-1.336,1,1,4,0.476,0,0,0,0.000,0,0,10,3.299,3,0,0,0.000,0,0
2015-04-20,79,5.376,15,12,16,6.592,5,3,2,1.548,1,0,19,7.317,5,0,3,0.341,0,0
2015-04-21,208,11.192,30,16,101,4.941,20,10,14,3.095,4,1,67,6.124,9,4,13,-2.455,1,1
2015-04-22,171,38.958,35,18,115,16.362,19,9,21,3.987,3,2,33,7.145,8,2,18,-1.191,1,2
2015-04-23,12,3.973,1,0,3,-0.157,1,1,5,-2.351,0,1,5,-0.157,0,0,3,1.683,1,0
2015-04-24,20,0.832,2,1,8,2.876,2,0,5,2.273,1,0,0,0.000,0,0,2,-0.284,0,0
2015-04-25,168,29.947,22,4,83,10.812,15,4,63,-6.520,8,7,11,6.213,4,1,9,3.493,2,0
2015-04-26,118,-3.111,13,10,73,-7.816,6,7,52,-1.331,10,7,16,6.972,4,1,8,-1.983,1,1
2015-04-27,128,-8.722,14,16,42,-3.604,10,9,28,-6.864,3,5,8,6.782,4,0,6,2.202,2,0
2015-04-28,54,0.237,5,3,13,8.280,5,0,5,-0.043,1,0,5,1.417,1,0,4,-1.332,0,1
2015-04-29,63,7.503,10,4,10,1.139,1,1,9,1.529,1,0,2,1.182,0,0,4,-0.568,0,0
2015-04-30,64,-3.765,4,6,4,1.772,1,0,11,4.347,2,0,6,0.213,0,0,13,0.762,1,1
2015-05-01,53,-2.255,3,2,10,2.487,2,2,5,2.535,2,1,3,0.295,0,0,14,4.573,3,0
2015-05-02,30,2.792,4,1,5,1.928,0,0,3,1.789,1,0,4,-0.647,0,1,18,5.876,4,1
2015-05-03,10,1.367,1,0,2,-0.366,0,1,4,-1.726,0,1,3,0.099,1,1,4,-0.568,0,0
2015-05-04,5,0.771,0,0,2,0.309,0,0,3,0.504,0,0,2,0.589,0,0,1,-0.142,0,0
2015-05-05,6,5.158,3,0,1,0.678,0,0,0,0.000,0,0,2,-0.284,0,0,0,0.000,0,0
2015-05-06,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2015-05-07,4,-0.568,0,0,2,0.731,0,0,1,-0.142,0,0,2,-0.284,0,0,1,-0.142,0,0
2015-05-08,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2015-05-09,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2015-05-10,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2015-05-11,11,-0.632,0,0,1,-0.142,0,0,1,0.951,0,0,1,-0.142,0,0,0,0.000,0,0
2015-05-12,14,1.817,3,1,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,1,-0.142,0,0
2015-05-13,17,10.656,6,0,2,-0.284,0,0,1,1.136,1,0,3,1.150,1,0,1,-0.142,0,0
2015-05-14,9,0.984,1,0,1,1.605,1,0,1,-0.142,0,0,1,-0.142,0,0,0,0.000,0,0
2015-05-15,10,1.140,1,0,2,0.277,0,0,4,0.287,0,0,1,0.873,0,0,0,0.000,0,0
2015-05-16,6,1.917,0,0,0,0.000,0,0,2,1.420,1,0,4,0.039,0,0,1,-0.142,0,0
2015-05-17,26,4.054,2,0,4,1.995,1,0,4,1.913,1,0,4,-1.389,0,0,3,1.914,1,0
2015-05-18,54,9.300,5,0,8,1.093,2,2,7,1.328,1,0,6,-0.907,1,0,3,0.905,1,0
2015-05-19,8,-1.545,0,1,1,-2.379,0,1,3,-0.426,0,0,4,-0.568,0,0,7,0.305,1,0
2015-05-20,10,1.406,1,0,0,0.000,0,0,6,3.401,1,0,10,0.370,1,1,4,0.791,0,0
2015-05-21,49,0.043,6,3,12,1.051,1,0,5,1.562,1,0,14,4.771,4,0,13,-2.748,0,1
2015-05-22,49,4.194,3,2,12,5.347,2,1,8,0.035,0,0,32,-0.532,3,2,18,1.007,4,2
2015-05-23,62,13.885,8,1,2,-0.284,0,0,7,1.998,0,0,88,32.943,23,2,11,3.131,3,1
2015-05-24,40,1.182,4,2,11,5.904,2,0,17,5.955,3,0,34,10.370,9,1,4,0.085,0,0
2015-05-25,33,5.629,4,1,1,1.086,1,0,8,2.530,1,0,23,2.687,2,0,1,-0.142,0,0
2015-05-26,36,2.179,7,3,5,1.299,2,1,4,1.888,1,1,16,4.406,1,0,14,1.718,0,0
2015-05-27,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2015-05-28,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2015-05-29,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2015-05-30,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2015-05-31,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2015-06-01,35,-1.797,2,1,9,3.312,2,0,7,1.317,2,1,10,3.709,0,0,8,1.018,2,1
2015-06-02,52,3.361,6,3,1,0.873,0,0,6,-0.930,0,0,6,1.892,0,0,8,-0.022,1,0
2015-06-03,28,-0.292,1,0,6,3.288,3,0,5,2.527,1,0,5,0.199,0,0,10,4.857,2,0
2015-06-04,47,0.838,6,2,8,3.524,2,0,10,0.837,1,0,7,1.299,1,0,21,-0.494,0,1
2015-06-05,49,4.975,7,4,11,1.285,1,1,17,5.968,6,1,3,0.231,0,0,12,3.064,3,1
2015-06-06,43,11.041,7,1,4,0.742,1,0,12,3.670,3,1,6,2.889,3,1,45,18.720,11,1
2015-06-07,50,7.469,9,3,9,5.454,3,0,16,0.684,1,1,6,4.054,3,1,75,38.911,23,3
2015-06-08,64,9.095,7,1,12,6.238,3,0,4,2.780,2,0,9,3.490,2,0,12,2.936,2,0
2015-06-09,40,5.274,5,0,7,1.580,1,1,6,2.825,2,1,23,-2.262,1,1,10,-0.439,3,2
2015-06-10,27,9.657,7,0,5,0.696,1,1,5,1.669,1,0,17,6.625,3,0,14,-4.381,0,4
2015-06-11,62,12.833,9,2,4,1.118,0,0,2,-0.284,0,0,14,1.969,2,0,5,-1.225,0,0
2015-06-12,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2015-06-13,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2015-06-14,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2015-06-15,27,10.590,7,0,4,-1.030,0,0,6,2.879,2,0,14,1.430,1,1,9,4.086,2,0
2015-06-16,6,-0.852,0,0,0,0.000,0,0,1,-0.142,0,0,6,3.018,2,0,2,2.752,1,0
2015-06-17,6,-0.852,0,0,1,1.015,1,0,3,-0.501,0,1,5,0.972,1,1,0,0.000,0,0
2015-06-18,14,3.402,1,0,4,-0.522,0,0,1,-0.142,0,0,0,0.000,0,0,2,0.575,0,0
2015-06-19,8,-0.434,1,0,3,0.369,0,0,4,1.243,0,0,1,1.434,1,0,3,1.296,1,0
2015-06-20,7,2.592,1,0,1,-0.142,0,0,3,-0.981,0,0,1,-1.765,0,1,5,-0.710,0,0
2015-06-21,8,4.418,2,0,1,1.300,1,0,2,1.857,0,0,1,-1.708,0,1,3,-0.225,0,0
2015-06-22,9,4.154,2,0,1,1.392,1,0,2,-0.565,0,1,0,0.000,0,0,2,-0.284,0,0
2015-06-23,12,-1.119,0,0,1,-0.142,0,0,1,1.015,1,0,2,0.774,0,0,4,2.510,1,0
2015-06-24,13,-1.006,0,0,0,0.000,0,0,3,-0.426,0,0,11,1.051,1,0,3,0.845,1,0
2015-06-25,29,3.355,4,0,2,-0.284,0,0,6,1.381,1,1,4,1.754,1,0,2,2.113,1,0
2015-06-26,37,4.852,7,3,1,-0.142,0,0,4,0.302,0,0,10,1.157,0,0,3,0.121,0,0
2015-06-27,57,3.760,5,2,8,2.997,2,0,11,3.135,2,0,33,13.755,9,0,6,-0.852,0,0
2015-06-28,47,0.310,2,0,3,-0.426,0,0,23,1.632,4,2,38,8.307,8,3,8,2.616,1,0
2015-06-29,62,-3.271,5,1,6,-0.813,0,0,4,2.806,1,0,10,1.438,2,0,8,2.450,1,0
