,cluster0,,,,cluster2,,,,cluster4,,,,cluster9,,,,cluster6,,,,cluster1,,,,cluster3,,,,cluster7,,,,cluster22,,,,cluster5,,,
how,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n
20,281,121.054,33.838,9.019,121,41.015,11.002,3.387,139,76.792,17.368,13.135,22,20.209,4.000,6.000,52,27.586,5.002,5.000,234,104.444,25.856,14.371,76,35.722,9.201,6.172,42,26.652,7.736,3.000,12,5.493,1.000,1.000,145,53.122,13.239,6.000
21,234,94.868,21.086,8.507,140,48.382,11.208,5.407,97,33.167,6.792,3.000,22,9.129,3.000,0.000,55,27.497,7.000,7.239,253,93.967,17.687,16.143,99,46.282,8.425,6.369,14,4.120,0.050,2.000,18,7.360,3.050,1.002,128,42.404,11.368,3.000
22,251,101.789,23.423,9.468,126,52.261,10.016,6.145,95,34.296,10.000,3.000,19,6.156,1.154,1.000,57,17.874,2.018,5.027,222,85.785,20.162,13.206,95,43.547,12.849,6.271,37,15.890,5.135,1.000,7,0.710,0.000,0.000,115,42.262,16.000,3.000
23,268,93.579,27.073,6.003,159,70.944,22.368,6.055,96,49.443,20.871,3.000,32,14.249,4.000,0.000,69,31.584,7.003,5.000,308,116.970,18.931,19.610,152,82.301,21.037,7.000,25,15.268,5.050,1.368,14,10.586,2.000,3.000,101,40.239,14.000,3.000
24,307,84.544,16.386,8.086,165,74.387,18.511,15.061,84,30.266,14.657,1.000,32,17.549,3.368,3.000,78,32.942,11.038,3.237,263,78.106,16.806,8.874,148,71.690,14.380,11.369,30,15.500,4.000,2.000,14,5.635,1.000,0.000,101,32.581,7.736,4.000
25,341,92.266,22.264,9.284,177,66.923,17.667,9.026,69,26.477,4.000,5.000,35,12.752,3.368,2.000,90,35.314,13.022,4.196,438,154.521,27.753,27.540,174,89.117,17.516,13.649,23,9.057,4.050,0.000,11,4.730,1.000,0.000,93,36.883,11.000,3.000
26,301,75.823,16.014,14.874,179,57.726,10.376,11.104,46,24.770,6.736,3.000,23,5.082,1.871,0.135,73,34.395,6.022,7.415,362,147.226,30.039,32.142,169,85.037,19.817,14.789,22,13.322,4.002,2.000,10,3.753,1.000,0.000,93,38.547,8.000,7.000
27,258,70.403,15.794,13.385,148,48.757,10.385,7.059,50,18.743,6.804,1.000,27,8.215,2.000,0.000,62,25.799,6.140,2.549,373,134.221,22.899,33.265,146,59.545,14.848,11.156,25,14.214,5.000,0.000,8,1.921,0.000,0.002,59,29.397,11.000,4.000
28,210,50.929,11.380,6.747,124,30.592,5.394,7.739,33,12.940,3.000,3.000,11,1.929,1.018,0.000,39,17.102,3.002,4.407,265,95.812,21.548,15.062,94,35.594,3.806,8.504,15,6.625,4.000,0.000,6,4.283,1.000,0.000,39,23.858,8.368,1.000
29,140,35.141,10.288,3.075,88,32.701,13.386,6.210,19,6.981,1.000,2.000,10,3.555,1.000,1.000,21,10.000,2.021,1.000,169,65.843,11.384,9.193,65,21.858,3.104,6.664,9,5.565,0.000,2.000,6,1.825,0.000,0.000,16,9.078,3.368,0.000
