,cluster0,,,,cluster2,,,,cluster4,,,,cluster9,,,,cluster6,,,,cluster1,,,,cluster3,,,,cluster7,,,,cluster22,,,,cluster5,,,
how,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n
91,343,111.447,18.389,15.104,86,28.093,4.135,4.037,63,24.430,8.000,2.000,31,7.893,2.368,0.000,58,21.626,5.411,2.000,266,103.233,20.426,16.019,88,37.261,8.050,3.053,28,13.741,5.000,0.000,7,2.986,1.000,0.000,41,10.961,2.000,1.000
92,352,116.979,24.006,14.793,87,33.345,8.059,2.000,63,28.709,8.000,4.000,32,9.726,3.050,2.375,47,24.436,1.000,9.000,318,135.978,23.320,26.059,103,42.543,6.506,8.000,32,14.699,5.418,1.007,4,2.511,0.000,1.000,47,12.251,5.000,0.000
93,351,131.621,27.693,20.206,105,35.567,6.002,5.240,75,27.624,6.418,3.000,31,12.676,3.050,2.018,48,29.109,6.000,6.202,286,121.655,21.425,20.162,114,45.740,14.277,3.556,29,15.918,4.000,2.000,6,3.453,1.368,0.000,42,15.060,4.000,2.000
94,314,125.749,24.555,17.057,121,34.151,6.571,4.203,186,64.300,20.204,5.154,43,25.141,6.000,4.000,43,18.479,4.368,3.000,260,103.843,27.431,12.456,101,50.692,16.050,4.025,33,13.792,1.368,3.000,8,3.349,1.050,1.000,48,20.954,3.000,5.000
95,297,94.867,19.923,11.468,146,59.531,17.267,3.370,302,119.724,28.375,9.436,51,16.889,4.007,4.000,74,33.916,11.003,4.549,263,95.901,22.382,11.050,188,90.243,22.527,9.370,40,16.616,5.000,3.000,12,4.278,0.368,1.000,53,15.415,4.000,1.000
96,297,100.329,25.008,13.617,154,60.075,16.072,10.370,276,138.197,39.368,14.000,41,12.265,2.368,2.000,70,36.556,13.142,3.014,351,127.798,21.533,27.569,228,123.591,34.647,14.871,50,30.448,9.153,4.000,12,2.620,1.000,0.000,59,20.322,2.368,4.000
97,290,80.730,16.518,9.018,168,59.874,14.419,7.188,216,96.677,29.702,8.571,48,17.142,5.000,4.000,81,26.814,5.368,2.160,332,120.102,14.790,23.423,189,94.203,28.527,12.162,38,11.431,2.104,1.007,8,6.683,3.135,1.000,60,21.020,7.000,4.000
98,308,80.029,19.007,11.032,222,79.888,18.527,13.054,189,88.213,19.374,16.922,68,18.037,4.375,1.000,71,24.607,2.003,3.604,375,153.074,26.097,28.785,179,94.836,27.143,13.014,40,18.289,6.000,1.000,10,6.396,1.000,1.000,49,13.689,4.368,2.000
99,259,65.586,9.812,10.000,159,59.512,16.136,10.751,123,57.582,14.878,8.185,34,9.992,1.000,2.000,58,18.650,0.693,5.580,337,99.305,17.025,20.398,155,64.951,15.021,11.782,23,8.719,1.135,1.000,14,3.203,1.000,0.000,22,8.153,2.368,1.000
100,209,56.296,13.503,3.142,182,53.229,12.150,8.437,56,18.035,3.000,2.000,15,5.494,1.000,2.000,32,13.378,4.001,1.004,270,103.131,15.716,21.878,87,32.318,11.448,3.529,13,4.112,0.000,1.000,6,4.080,2.000,0.000,18,7.399,5.000,0.000
101,148,32.663,5.622,3.555,109,30.211,10.789,3.000,24,5.826,1.050,0.000,15,4.075,1.000,0.000,26,6.409,2.005,0.014,177,56.538,14.549,7.534,73,28.134,6.241,4.890,5,0.710,0.000,0.000,2,0.667,0.000,0.000,10,3.384,2.000,0.000
102,100,26.326,4.002,6.050,63,20.154,5.005,3.370,12,1.143,0.368,0.000,8,0.196,0.000,0.000,26,1.870,0.002,0.030,98,40.147,6.386,8.871,33,15.534,2.000,4.000,3,0.426,0.000,0.000,7,3.495,1.000,1.000,5,0.142,0.000,0.000
103,68,9.007,1.000,0.000,33,7.946,2.000,1.375,8,0.927,0.000,0.000,4,0.000,0.000,0.000,16,5.276,1.000,2.202,59,16.865,3.443,3.135,17,7.407,0.368,2.000,4,2.298,1.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
104,65,9.279,1.018,0.057,17,3.485,0.008,2.018,6,2.042,0.000,1.000,1,0.000,0.000,0.000,3,0.468,0.000,0.000,25,8.387,2.000,2.000,7,1.522,1.000,0.000,2,2.471,0.368,1.000,0,0.000,0.000,0.000,3,0.000,0.000,0.000
105,58,8.416,0.135,1.050,15,0.868,0.050,0.000,4,0.000,0.000,0.000,2,1.073,0.000,0.000,8,7.894,0.000,2.000,12,6.360,1.000,1.000,6,2.021,0.000,0.368,2,2.087,2.000,0.000,0,0.000,0.000,0.000,1,1.960,1.000,0.000
106,76,14.463,1.000,1.000,8,2.847,1.000,0.000,4,1.477,1.000,0.000,2,0.934,0.000,0.000,9,5.079,1.000,1.549,27,6.407,1.000,1.000,7,0.701,0.000,0.000,6,2.936,1.000,0.000,0,0.000,0.000,0.000,16,0.142,0.000,0.000
107,158,48.964,6.303,10.135,36,11.636,2.135,2.050,14,2.770,0.003,1.000,1,0.721,0.000,0.000,31,14.944,3.050,1.020,44,20.233,4.000,2.000,18,5.821,1.007,0.000,14,6.463,1.050,0.000,2,1.768,1.000,0.000,19,1.502,0.000,0.000
108,277,93.777,13.292,13.211,35,13.784,4.386,1.000,19,9.348,2.000,2.368,10,2.118,0.007,0.000,26,10.696,3.068,1.000,98,43.640,8.503,8.057,36,16.379,3.000,4.000,10,2.229,1.050,0.000,6,3.875,1.050,0.368,25,6.565,1.000,1.000
109,331,109.642,26.220,8.402,60,15.076,3.396,1.000,35,11.467,3.368,0.000,14,4.336,0.007,2.018,31,10.193,2.154,0.000,167,60.833,8.087,14.001,56,22.025,2.774,2.051,18,9.353,2.000,1.000,10,3.346,1.000,0.000,43,12.347,4.368,1.000
110,434,119.352,19.151,16.084,67,29.640,6.003,6.001,44,17.372,7.000,1.000,11,4.171,0.000,1.000,45,16.227,3.406,3.004,251,95.130,24.356,12.177,66,36.146,9.135,4.503,25,6.865,0.135,0.000,3,1.503,0.000,0.000,49,13.571,4.368,3.368
111,429,153.362,31.240,14.513,63,18.482,3.138,1.000,39,8.333,2.135,0.000,11,1.434,0.050,0.386,36,19.705,6.135,1.616,285,130.797,20.364,31.341,79,31.147,3.391,5.271,33,17.034,3.104,3.000,9,4.867,1.000,0.002,37,10.070,3.736,0.000
112,384,135.783,28.602,18.406,107,41.948,11.376,3.069,55,23.236,4.000,4.000,28,10.913,2.007,4.050,60,26.233,6.007,5.000,343,143.342,28.186,24.423,104,49.408,11.000,9.007,29,12.026,4.000,0.007,6,3.153,1.000,0.000,36,11.484,2.000,0.368
113,400,141.006,27.609,18.869,105,37.291,5.623,7.387,53,20.180,5.000,2.000,40,15.742,4.503,2.185,48,21.176,3.747,3.010,337,134.278,27.953,17.200,88,41.589,4.377,10.369,31,11.667,2.000,0.368,10,4.218,2.000,0.000,47,9.747,1.000,2.000
114,407,149.742,30.022,22.483,90,34.614,11.763,2.339,59,24.085,5.135,4.000,29,6.531,2.000,1.000,54,18.588,3.420,4.000,339,128.140,13.557,31.347,104,39.788,8.503,5.000,35,17.621,3.037,4.000,12,5.576,0.503,1.000,29,1.519,0.000,0.000
115,392,129.610,24.977,14.249,104,39.046,8.312,4.020,59,25.102,7.000,2.000,37,13.443,2.237,2.375,55,20.603,4.503,2.004,340,139.166,23.764,26.505,101,38.244,6.199,9.271,43,9.863,2.000,0.135,14,8.732,2.000,1.000,49,13.778,4.000,3.000
116,342,143.511,28.106,18.235,122,37.099,6.052,5.493,58,15.925,4.000,3.000,30,14.393,3.368,2.000,43,15.475,3.529,2.000,294,121.090,29.382,20.242,102,38.206,6.156,7.419,29,13.700,3.000,2.000,8,7.002,3.000,2.000,46,8.937,2.000,2.000
117,347,116.153,21.850,15.142,127,57.131,14.605,9.390,62,19.639,4.000,2.000,22,8.995,2.000,1.000,43,15.672,3.021,2.234,272,105.624,21.654,19.070,102,30.516,3.057,7.137,43,16.020,4.000,2.000,11,5.161,1.135,1.000,82,31.436,9.000,4.000
118,296,95.679,21.704,9.114,142,66.924,13.781,7.163,109,45.889,11.736,6.000,40,12.316,2.010,1.000,79,35.842,9.390,3.206,279,119.399,25.597,20.677,155,67.313,11.192,15.019,42,14.210,4.135,0.000,10,1.864,0.000,0.000,92,34.120,6.135,4.368
119,300,110.560,30.122,9.395,170,75.822,22.573,12.000,159,65.465,20.135,4.503,41,19.316,6.000,1.368,64,31.666,6.423,8.000,300,96.974,17.034,16.186,244,135.212,47.364,15.241,53,18.749,6.368,2.000,9,2.345,1.000,0.000,179,75.737,21.007,9.000
120,334,113.628,26.138,11.419,159,64.042,22.559,11.053,149,63.283,18.804,7.289,53,15.245,4.014,2.368,79,37.883,9.019,5.755,264,92.957,19.254,13.186,241,136.716,40.560,16.508,41,12.128,4.503,1.000,14,4.655,1.368,0.000,210,92.389,25.874,8.368
121,304,102.591,16.142,14.375,185,62.921,17.671,3.874,103,42.579,9.037,9.000,58,22.295,4.021,3.736,62,24.802,6.154,4.074,317,110.375,18.540,15.427,234,121.736,32.176,15.533,72,26.509,8.472,0.756,11,9.263,3.000,1.000,160,47.360,13.368,7.000
122,298,86.599,16.284,9.136,229,97.591,24.427,12.768,96,42.647,15.000,3.000,40,20.008,7.018,2.000,52,23.783,2.000,5.000,328,120.853,20.592,22.387,139,71.439,21.743,8.754,41,20.774,5.052,4.375,23,4.873,0.000,0.000,136,45.801,12.000,3.000
123,261,72.614,10.611,12.087,208,93.101,17.548,15.529,55,17.715,6.006,2.000,27,3.922,1.000,0.001,45,23.279,4.000,5.004,300,114.211,23.996,16.522,103,37.819,8.303,6.161,52,33.463,7.271,8.000,8,2.337,0.135,0.000,69,33.042,10.368,5.000
124,182,55.705,11.315,6.276,175,66.255,16.104,12.003,34,11.334,2.000,2.000,27,3.946,0.000,1.000,33,11.048,2.021,3.202,316,108.999,28.800,14.342,73,20.948,3.242,4.000,45,23.126,7.000,2.000,12,8.061,2.000,1.002,32,10.240,3.000,1.000
125,157,44.408,8.472,4.007,120,48.874,17.289,7.000,21,3.499,1.000,0.135,5,4.536,0.135,2.000,25,11.491,4.738,1.004,204,65.150,12.126,7.210,73,17.181,6.167,1.386,36,20.132,4.000,3.368,1,0.998,0.000,0.000,30,11.412,4.368,1.000
126,122,29.778,5.376,3.000,69,20.249,6.143,3.418,13,2.891,1.368,0.000,5,0.000,0.000,0.000,17,6.740,3.002,0.004,121,40.604,6.100,9.795,47,14.934,4.368,2.000,17,15.172,3.000,2.000,0,0.000,0.000,0.000,11,1.299,0.000,0.000
127,68,17.215,2.155,2.000,29,5.689,0.000,2.000,4,0.142,0.000,0.000,2,3.083,0.000,1.000,13,6.566,0.001,3.000,67,29.221,5.528,7.007,21,4.801,1.018,0.368,8,5.575,2.000,1.000,0,0.000,0.000,0.000,2,1.470,0.000,0.000
128,43,12.709,1.000,1.000,26,4.045,2.000,1.018,2,0.984,0.000,0.000,2,0.015,0.000,0.000,5,0.707,0.018,0.000,29,9.419,2.000,2.553,7,0.314,0.018,0.000,2,1.342,0.000,1.000,2,0.152,0.000,0.000,1,0.870,0.000,0.000
129,46,11.505,0.000,2.001,28,1.072,0.149,0.000,5,1.062,0.000,1.000,0,0.000,0.000,0.000,2,1.349,1.000,0.000,7,2.408,0.000,1.000,7,4.616,0.000,2.000,0,0.000,0.000,0.000,1,0.142,0.000,0.000,5,3.582,2.000,0.000
130,112,31.038,6.736,2.050,20,5.351,1.368,0.000,5,1.351,1.001,0.000,5,1.967,0.000,0.000,9,5.269,2.000,0.000,27,11.050,5.018,0.000,4,5.003,3.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,25,5.220,1.000,2.000
131,146,41.136,5.001,6.001,25,10.466,3.517,1.000,6,3.808,0.000,1.000,6,1.435,0.000,1.000,23,10.734,3.185,1.000,52,20.557,4.000,4.050,20,7.345,1.000,2.368,10,2.558,0.000,0.368,3,1.507,0.135,0.000,18,3.049,1.000,0.000
132,274,96.197,15.520,7.305,51,17.802,3.001,4.107,17,4.501,1.000,1.000,6,0.388,0.007,0.000,43,27.126,5.135,5.000,93,35.338,8.068,5.151,35,21.560,4.068,5.000,10,2.687,1.002,0.000,7,1.221,0.000,0.000,13,6.190,2.368,0.000
133,290,111.092,26.886,13.204,69,22.847,5.072,2.871,21,4.752,1.000,1.135,9,1.397,0.000,0.000,45,18.710,3.418,3.031,143,69.774,15.389,11.375,73,28.811,7.339,3.289,22,8.081,3.000,0.000,12,4.561,2.050,0.000,34,6.320,1.000,1.000
134,328,117.661,29.662,14.387,81,24.457,7.515,4.138,25,9.323,5.000,0.000,9,1.928,0.135,1.000,49,24.361,8.186,1.503,226,99.166,18.437,13.376,100,47.964,8.211,7.408,29,9.746,4.050,0.007,9,3.221,0.000,1.000,50,19.326,6.368,2.000
135,339,134.326,21.904,23.958,77,35.926,8.003,6.754,33,15.273,2.000,3.000,13,3.488,0.000,1.000,33,12.380,3.371,2.549,291,119.741,19.892,22.726,100,34.898,8.441,3.003,56,29.295,6.104,5.000,6,3.106,2.000,0.000,61,22.574,2.000,3.368
136,412,172.712,31.485,29.296,90,30.411,9.467,1.000,49,12.684,2.050,1.271,25,11.680,1.370,1.000,57,28.329,6.185,5.028,285,112.052,23.315,18.712,95,35.010,2.237,8.000,56,32.963,9.368,4.000,11,7.385,1.000,1.000,42,17.273,4.000,4.000
137,341,129.303,25.804,15.110,104,36.325,10.871,4.135,29,12.317,4.000,1.368,25,6.742,1.368,1.000,60,20.589,3.743,3.202,312,120.868,21.797,20.025,105,41.936,8.763,9.376,57,33.143,12.050,4.368,10,4.864,1.000,0.000,55,24.878,10.000,2.000
138,370,140.781,31.434,18.371,109,39.011,9.014,3.426,39,18.026,3.368,2.000,22,6.437,2.000,0.000,43,24.073,3.003,5.004,285,89.416,16.439,9.154,94,29.760,6.145,3.505,44,23.633,9.005,2.000,16,6.557,1.000,2.001,50,13.489,1.000,2.000
139,368,130.542,22.868,16.252,101,40.638,9.436,3.143,48,17.252,5.368,1.018,27,9.006,2.368,1.000,57,23.120,4.736,3.000,230,103.792,26.000,15.900,93,38.993,12.389,4.371,49,26.810,8.368,4.368,9,2.819,1.000,0.000,49,13.878,3.000,1.000
140,381,153.418,32.178,18.612,96,34.564,7.142,4.386,62,22.636,9.000,0.368,37,14.150,1.050,3.000,47,20.144,7.386,1.004,233,112.667,30.598,22.142,88,35.141,13.271,2.738,48,18.676,1.000,2.368,15,5.880,1.000,1.000,57,30.578,9.000,6.000
141,357,131.670,32.170,13.186,125,60.748,17.503,7.019,130,52.881,12.548,8.368,41,11.060,2.135,1.000,58,23.200,5.000,1.553,178,62.176,12.686,5.000,73,29.716,10.512,0.368,38,15.834,3.135,1.000,14,10.330,5.000,1.000,65,14.434,5.000,0.000
142,296,110.355,22.716,9.206,138,75.631,27.504,8.000,242,108.930,35.375,7.736,68,35.464,6.002,7.000,67,37.715,14.736,1.553,175,64.597,13.168,10.019,109,48.951,9.639,5.368,52,17.067,2.021,1.135,9,1.679,0.000,0.002,63,33.150,8.135,6.000
143,347,125.182,35.065,8.168,167,74.835,17.683,11.000,331,135.145,35.543,14.368,54,21.214,3.000,1.522,82,31.018,7.405,3.000,221,109.684,25.503,19.676,132,72.381,14.662,12.000,46,22.192,8.000,3.000,11,3.884,1.000,0.000,75,33.260,10.000,5.000
144,413,165.512,49.288,12.736,167,86.692,21.787,14.138,269,128.537,42.210,10.104,79,38.123,9.368,4.503,53,21.625,5.138,1.202,216,86.890,18.793,12.185,160,92.545,25.034,11.639,52,31.943,10.368,3.000,13,7.499,3.368,0.000,88,29.764,7.000,3.000
145,337,113.539,33.477,12.009,177,83.778,22.395,10.050,223,99.947,26.320,11.135,43,25.765,7.000,4.000,47,16.142,2.370,3.000,271,101.195,26.310,11.398,174,102.202,32.689,10.135,55,38.406,10.368,6.368,11,4.005,0.368,0.000,74,31.396,9.368,3.736
146,382,118.819,27.303,12.621,207,107.300,24.842,19.303,200,103.154,30.780,11.104,44,18.938,4.149,5.000,61,22.132,6.056,0.000,308,120.882,25.771,22.478,123,77.806,18.000,9.643,42,27.447,7.000,4.000,13,8.302,2.050,1.368,76,31.200,6.000,5.736
147,286,108.194,26.282,12.185,235,116.846,25.269,18.781,84,38.948,9.136,8.000,29,15.357,4.000,1.135,43,21.971,3.050,6.404,291,140.410,27.340,29.937,88,35.799,10.037,1.368,45,23.987,7.050,3.736,17,9.589,3.736,1.000,52,28.470,9.000,6.000
148,203,64.751,14.524,7.405,239,137.831,27.553,28.001,48,12.928,4.135,1.000,28,13.739,4.000,3.000,58,29.705,6.737,5.405,259,131.218,33.572,16.728,72,35.326,9.754,4.000,49,24.142,4.000,3.000,18,11.167,2.000,2.000,34,12.652,6.368,1.000
149,154,51.975,11.723,4.436,201,110.099,22.470,19.736,28,8.843,4.000,0.000,14,6.312,0.135,1.000,35,21.891,4.050,3.549,218,86.785,13.138,18.761,62,21.966,3.050,2.019,35,24.470,5.000,5.368,9,7.723,2.000,1.000,14,9.261,4.000,0.000
150,108,31.481,7.640,4.002,131,53.647,9.035,12.108,19,2.964,2.000,0.000,2,1.118,1.000,0.000,17,5.712,2.018,0.004,148,62.031,12.174,7.924,43,20.689,4.018,4.057,12,9.941,5.000,0.000,0,0.000,0.000,0.000,10,3.898,2.000,0.000
151,81,28.313,4.138,6.000,44,17.630,5.000,3.019,11,1.520,1.000,0.000,2,0.955,0.000,0.000,21,5.514,1.138,1.000,113,59.575,14.437,9.001,36,17.396,3.153,6.002,4,1.839,1.000,0.000,0,0.000,0.000,0.000,2,0.142,0.000,0.000
152,70,10.916,1.018,1.000,10,2.696,0.000,0.368,3,2.134,1.000,0.000,1,0.355,0.000,0.000,6,1.974,0.000,0.553,43,10.139,0.000,2.100,19,3.162,1.018,0.014,2,0.194,0.000,0.000,1,0.000,0.000,0.000,1,0.000,0.000,0.000
153,76,18.033,4.135,2.000,10,2.862,1.000,0.000,7,1.829,1.000,0.000,1,2.297,1.000,0.000,2,0.277,0.135,0.000,22,12.105,3.018,2.000,11,1.508,1.000,0.000,2,0.284,0.000,0.000,0,0.000,0.000,0.000,6,2.443,0.000,1.000
154,61,18.606,5.000,1.000,10,2.305,0.000,0.000,5,4.364,1.000,1.000,4,4.707,0.000,2.368,8,2.895,0.000,2.000,17,9.135,4.000,1.000,5,3.473,1.000,1.000,2,1.129,0.000,0.000,1,0.945,0.000,0.000,10,1.810,0.000,1.000
155,108,30.099,5.032,3.000,24,10.112,3.104,2.000,16,6.458,0.000,1.000,2,0.614,0.000,0.000,12,2.934,0.135,0.000,33,15.354,5.000,4.000,5,3.123,0.000,1.368,3,1.051,0.000,0.000,2,0.002,0.000,0.001,22,3.955,1.000,0.000
156,158,43.870,8.149,2.025,38,13.904,2.749,2.000,16,5.401,1.000,0.000,4,0.859,0.000,0.000,26,9.619,1.522,2.549,57,20.375,4.185,1.000,19,9.950,4.000,0.050,13,5.350,2.368,0.000,7,1.704,1.000,0.000,22,5.845,2.135,0.000
157,179,66.603,14.736,10.000,67,25.268,6.381,4.018,18,13.490,3.368,3.000,10,5.166,2.000,0.368,36,11.169,0.413,0.000,109,57.606,11.553,7.000,39,15.297,2.138,2.050,30,17.928,4.000,1.000,8,1.577,0.000,0.000,42,10.126,3.000,1.000
158,260,89.993,28.154,5.021,102,41.437,9.019,6.405,34,15.799,4.000,3.000,12,4.857,3.000,0.000,41,16.179,4.007,1.549,120,55.237,13.000,10.000,55,28.585,9.454,4.368,50,21.553,7.472,2.000,11,4.250,0.000,1.000,47,23.615,10.135,3.000
159,286,113.525,26.621,13.000,130,46.931,12.167,7.197,43,26.065,8.000,2.000,26,9.761,2.368,1.000,55,29.707,9.007,3.000,214,102.961,21.475,15.142,61,35.342,13.470,4.000,70,36.668,10.871,2.000,14,4.526,1.000,0.001,86,36.658,8.368,5.000
160,329,123.494,34.346,9.743,148,57.697,15.034,6.553,47,20.931,6.001,1.000,35,18.637,4.135,2.000,58,27.191,6.002,4.010,237,106.173,32.257,8.470,78,33.591,8.772,5.135,71,28.719,9.503,3.000,16,5.768,1.135,0.000,114,49.322,13.368,4.000
161,298,108.199,24.003,11.285,159,79.106,23.150,8.289,50,25.252,8.000,1.000,43,23.229,0.000,6.136,68,26.099,4.135,3.027,259,117.488,29.114,18.061,84,43.409,14.240,5.369,88,44.473,11.368,5.736,13,6.630,1.000,1.000,123,48.343,12.736,4.368
162,362,145.665,27.363,19.050,150,63.524,18.000,8.013,56,30.980,10.368,2.135,48,23.415,4.603,3.000,74,32.003,6.739,9.267,252,115.073,20.290,24.420,123,57.360,18.389,6.418,73,38.155,11.000,5.007,12,8.362,4.000,1.000,90,45.455,17.373,3.000
163,305,134.060,29.387,16.130,153,76.688,23.551,11.571,149,79.232,22.424,7.000,44,26.843,3.000,6.000,78,47.360,11.522,9.000,270,120.181,31.007,15.162,154,87.711,28.037,13.154,72,27.703,9.368,1.136,18,9.359,3.000,0.000,101,46.911,11.002,3.368
164,310,118.185,25.953,13.053,159,77.012,23.060,5.468,187,107.939,36.418,7.104,49,27.321,11.000,1.503,63,27.190,8.186,1.031,224,100.364,28.520,10.016,127,61.078,16.368,8.007,64,31.552,6.736,4.413,21,10.578,4.000,0.000,154,78.677,21.370,9.368
165,317,134.351,33.450,17.395,138,57.241,10.094,7.375,180,74.622,24.889,9.018,41,16.765,6.736,2.050,55,20.696,4.386,3.033,241,89.612,18.196,13.317,105,66.018,12.320,15.000,45,19.598,5.368,2.000,9,2.937,0.000,1.000,140,62.174,16.000,6.000
166,286,117.665,32.260,9.390,166,60.583,13.739,6.051,241,116.283,34.222,13.374,35,25.250,2.368,5.050,59,24.622,6.022,3.000,222,86.181,19.611,8.382,154,90.176,28.691,9.019,60,34.279,9.368,7.504,14,6.138,2.368,1.000,139,78.248,26.503,11.000
167,306,114.739,27.922,12.503,173,87.884,27.788,11.000,281,126.782,35.326,14.000,48,22.003,6.018,3.000,70,32.647,8.001,5.176,240,91.836,19.856,15.179,213,111.677,38.977,11.155,47,21.499,6.000,2.000,15,5.160,1.000,1.000,137,80.998,23.000,11.000
