,cluster0,,,,cluster2,,,,cluster4,,,,cluster9,,,,cluster6,,,,cluster1,,,,cluster3,,,,cluster7,,,,cluster22,,,,cluster5,,,
how,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n
87,343,-1.840,24.758,15.721,63,-5.557,2.005,4.553,39,-2.424,1.000,3.000,21,-0.191,1.007,0.406,53,-0.582,6.052,4.007,287,-7.220,14.812,18.765,99,-7.012,3.691,7.791,37,14.979,10.050,0.000,9,1.031,1.050,0.000,58,0.915,3.000,2.000
88,380,16.287,28.560,12.166,73,2.095,6.056,3.000,42,5.434,3.000,1.000,18,-1.685,0.000,2.000,50,-3.934,3.003,6.207,283,3.914,24.655,19.161,99,-2.877,10.156,9.504,39,6.545,4.368,0.000,12,0.664,0.000,0.001,32,5.846,5.368,2.000
89,357,37.864,27.714,9.142,93,3.545,7.424,6.000,46,3.196,2.736,0.135,16,4.021,3.000,0.149,51,5.814,6.004,2.754,323,-16.701,23.712,25.716,99,-6.884,5.774,3.135,57,10.804,9.503,2.000,11,1.147,2.000,1.000,47,-0.102,2.000,2.000
90,358,15.803,25.425,10.938,102,1.684,6.522,6.368,52,-0.131,3.000,3.000,19,-1.067,2.000,1.000,55,-2.009,4.135,3.000,306,-5.825,19.605,16.692,105,0.550,9.160,6.370,35,2.093,4.000,2.000,15,-0.766,0.368,0.000,29,-1.106,1.000,1.000
91,343,7.032,18.389,15.104,86,2.249,4.135,4.037,63,9.422,8.000,2.000,31,4.959,2.368,0.000,58,6.074,5.411,2.000,266,1.775,20.426,16.019,88,0.940,8.050,3.053,28,11.349,5.000,0.000,7,0.244,1.000,0.000,41,3.249,2.000,1.000
92,352,4.912,24.006,14.793,87,12.130,8.059,2.000,63,1.925,8.000,4.000,32,0.664,3.050,2.375,47,-16.243,1.000,9.000,318,-7.571,23.320,26.059,103,-4.253,6.506,8.000,32,9.409,5.418,1.007,4,-1.765,0.000,1.000,47,7.513,5.000,0.000
93,351,11.331,27.693,20.206,105,0.795,6.002,5.240,75,1.332,6.418,3.000,31,2.945,3.050,2.018,48,-2.607,6.000,6.202,286,-3.981,21.425,20.162,114,14.786,14.277,3.556,29,3.092,4.000,2.000,6,1.547,1.368,0.000,42,3.146,4.000,2.000
94,314,-1.904,24.555,17.057,121,6.887,6.571,4.203,186,15.935,20.204,5.154,43,-1.173,6.000,4.000,43,-2.577,4.368,3.000,260,7.054,27.431,12.456,101,24.763,16.050,4.025,33,-0.274,1.368,3.000,8,-0.699,1.050,1.000,48,-1.626,3.000,5.000
95,297,17.163,19.923,11.468,146,24.860,17.267,3.370,302,19.892,28.375,9.436,51,1.325,4.007,4.000,74,8.464,11.003,4.549,263,5.254,22.382,11.050,188,31.455,22.527,9.370,40,-0.558,5.000,3.000,12,-1.056,0.368,1.000,53,5.057,4.000,1.000
96,297,4.356,25.008,13.617,154,-0.446,16.072,10.370,276,32.796,39.368,14.000,41,1.970,2.368,2.000,70,16.102,13.142,3.014,351,-14.667,21.533,27.569,228,31.586,34.647,14.871,50,4.881,9.153,4.000,12,-0.220,1.000,0.000,59,-7.420,2.368,4.000
97,290,11.551,16.518,9.018,168,14.917,14.419,7.188,216,13.618,29.702,8.571,48,-3.194,5.000,4.000,81,-0.267,5.368,2.160,332,-28.046,14.790,23.423,189,22.657,28.527,12.162,38,2.132,2.104,1.007,8,3.145,3.135,1.000,60,2.912,7.000,4.000
98,308,6.361,19.007,11.032,222,3.801,18.527,13.054,189,0.557,19.374,16.922,68,7.583,4.375,1.000,71,-0.576,2.003,3.604,375,-27.985,26.097,28.785,179,25.643,27.143,13.014,40,3.776,6.000,1.000,10,-2.292,1.000,1.000,49,0.257,4.368,2.000
99,259,-1.560,9.812,10.000,159,5.569,16.136,10.751,123,14.790,14.878,8.185,34,-0.652,1.000,2.000,58,-8.990,0.693,5.580,337,-12.157,17.025,20.398,155,4.273,15.021,11.782,23,0.549,1.135,1.000,14,1.541,1.000,0.000,22,2.095,2.368,1.000
100,209,12.605,13.503,3.142,182,1.066,12.150,8.437,56,5.409,3.000,2.000,15,-1.978,1.000,2.000,32,3.335,4.001,1.004,270,-18.333,15.716,21.878,87,7.762,11.448,3.529,13,-2.572,0.000,1.000,6,3.512,2.000,0.000,18,5.411,5.000,0.000
101,148,2.101,5.622,3.555,109,12.982,10.789,3.000,24,3.134,1.050,0.000,15,1.353,1.000,0.000,26,4.556,2.005,0.014,177,5.129,14.549,7.534,73,4.946,6.241,4.890,5,-0.710,0.000,0.000,2,0.383,0.000,0.000,10,2.532,2.000,0.000
102,100,-7.818,4.002,6.050,63,2.946,5.005,3.370,12,-0.240,0.368,0.000,8,-0.192,0.000,0.000,26,-0.478,0.002,0.030,98,-5.959,6.386,8.871,33,-4.341,2.000,4.000,3,-0.426,0.000,0.000,7,-1.337,1.000,1.000,5,-0.142,0.000,0.000
103,68,0.173,1.000,0.000,33,0.164,2.000,1.375,8,0.927,0.000,0.000,4,0.000,0.000,0.000,16,-1.215,1.000,2.202,59,-2.556,3.443,3.135,17,-6.614,0.368,2.000,4,1.268,1.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
104,65,-3.422,1.018,0.057,17,-3.449,0.008,2.018,6,-2.042,0.000,1.000,1,0.000,0.000,0.000,3,0.127,0.000,0.000,25,-3.709,2.000,2.000,7,1.522,1.000,0.000,2,-1.535,0.368,1.000,0,0.000,0.000,0.000,3,0.000,0.000,0.000
105,58,-3.823,0.135,1.050,15,-0.744,0.050,0.000,4,-0.000,0.000,0.000,2,-1.073,0.000,0.000,8,-7.710,0.000,2.000,12,0.169,1.000,1.000,6,-2.021,0.000,0.368,2,2.087,2.000,0.000,0,0.000,0.000,0.000,1,1.960,1.000,0.000
106,76,-4.547,1.000,1.000,8,2.273,1.000,0.000,4,1.193,1.000,0.000,2,0.650,0.000,0.000,9,-2.203,1.000,1.549,27,1.735,1.000,1.000,7,-0.360,0.000,0.000,6,2.084,1.000,0.000,0,0.000,0.000,0.000,16,-0.142,0.000,0.000
107,158,-8.080,6.303,10.135,36,2.048,2.135,2.050,14,-0.981,0.003,1.000,1,-0.721,0.000,0.000,31,4.006,3.050,1.020,44,3.329,4.000,2.000,18,0.371,1.007,0.000,14,-0.168,1.050,0.000,2,1.484,1.000,0.000,19,-0.146,0.000,0.000
108,277,-0.578,13.292,13.211,35,3.575,4.386,1.000,19,-0.706,2.000,2.368,10,0.043,0.007,0.000,26,-0.577,3.068,1.000,98,-3.935,8.503,8.057,36,-4.052,3.000,4.000,10,0.241,1.050,0.000,6,2.807,1.050,0.368,25,0.785,1.000,1.000
109,331,29.480,26.220,8.402,60,2.298,3.396,1.000,35,7.271,3.368,0.000,14,-2.896,0.007,2.018,31,6.500,2.154,0.000,167,-7.881,8.087,14.001,56,-0.564,2.774,2.051,18,0.703,2.000,1.000,10,2.778,1.000,0.000,43,3.033,4.368,1.000
110,434,3.438,19.151,16.084,67,1.270,6.003,6.001,44,9.438,7.000,1.000,11,-3.440,0.000,1.000,45,-3.350,3.406,3.004,251,17.038,24.356,12.177,66,10.399,9.135,4.503,25,0.388,0.135,0.000,3,1.501,0.000,0.000,49,1.952,4.368,3.368
111,429,19.207,31.240,14.513,63,4.692,3.138,1.000,39,-0.363,2.135,0.000,11,-1.250,0.050,0.386,36,10.394,6.135,1.616,285,-11.540,20.364,31.341,79,-2.368,3.391,5.271,33,-3.570,3.104,3.000,9,2.783,1.000,0.002,37,7.058,3.736,0.000
112,384,1.289,28.602,18.406,107,19.888,11.376,3.069,55,1.304,4.000,4.000,28,-1.485,2.007,4.050,60,3.141,6.007,5.000,343,3.889,28.186,24.423,104,1.625,11.000,9.007,29,4.066,4.000,0.007,6,-0.661,1.000,0.000,36,3.779,2.000,0.368
113,400,15.783,27.609,18.869,105,-12.361,5.623,7.387,53,2.351,5.000,2.000,40,0.849,4.503,2.185,48,-5.731,3.747,3.010,337,11.204,27.953,17.200,88,-12.301,4.377,10.369,31,3.527,2.000,0.368,10,2.798,2.000,0.000,47,-3.847,1.000,2.000
114,407,-2.846,30.022,22.483,90,16.413,11.763,2.339,59,2.309,5.135,4.000,29,0.413,2.000,1.000,54,-2.278,3.420,4.000,339,-34.799,13.557,31.347,104,-3.358,8.503,5.000,35,-2.749,3.037,4.000,12,-1.584,0.503,1.000,29,-0.277,0.000,0.000
115,392,14.205,24.977,14.249,104,12.313,8.312,4.020,59,5.292,7.000,2.000,37,-1.279,2.237,2.375,55,2.417,4.503,2.004,340,-11.284,23.764,26.505,101,-12.523,6.199,9.271,43,1.233,2.000,0.135,14,-0.786,2.000,1.000,49,-1.288,4.000,3.000
116,342,-2.416,28.106,18.235,122,-2.965,6.052,5.493,58,-0.095,4.000,3.000,30,-0.436,3.368,2.000,43,1.640,3.529,2.000,294,5.105,29.382,20.242,102,-0.845,6.156,7.419,29,-1.116,3.000,2.000,8,1.036,3.000,2.000,46,0.095,2.000,2.000
117,347,0.428,21.850,15.142,127,14.624,14.605,9.390,62,5.084,4.000,2.000,22,2.833,2.000,1.000,43,0.904,3.021,2.234,272,-10.868,21.654,19.070,102,-6.847,3.057,7.137,43,2.853,4.000,2.000,11,0.275,1.135,1.000,82,5.128,9.000,4.000
118,296,12.046,21.704,9.114,142,21.565,13.781,7.163,109,5.052,11.736,6.000,40,0.468,2.010,1.000,79,13.056,9.390,3.206,279,2.600,25.597,20.677,155,5.165,11.192,15.019,42,6.900,4.135,0.000,10,-1.321,0.000,0.000,92,3.455,6.135,4.368
119,300,24.824,30.122,9.395,170,17.411,22.573,12.000,159,16.953,20.135,4.503,41,6.418,6.000,1.368,64,-2.879,6.423,8.000,300,3.497,17.034,16.186,244,49.148,47.364,15.241,53,2.203,6.368,2.000,9,1.209,1.000,0.000,179,16.690,21.007,9.000
120,334,28.570,26.138,11.419,159,12.815,22.559,11.053,149,19.954,18.804,7.289,53,0.628,4.014,2.368,79,0.286,9.019,5.755,264,8.427,19.254,13.186,241,33.086,40.560,16.508,41,2.074,4.503,1.000,14,0.231,1.368,0.000,210,23.152,25.874,8.368
121,304,-16.406,16.142,14.375,185,17.282,17.671,3.874,103,-5.256,9.037,9.000,58,-0.192,4.021,3.736,62,2.423,6.154,4.074,317,3.015,18.540,15.427,234,26.457,32.176,15.533,72,14.477,8.472,0.756,11,3.759,3.000,1.000,160,-3.302,13.368,7.000
122,298,1.791,16.284,9.136,229,7.769,24.427,12.768,96,18.863,15.000,3.000,40,13.510,7.018,2.000,52,-3.589,2.000,5.000,328,-10.500,20.592,22.387,139,13.529,21.743,8.754,41,1.078,5.052,4.375,23,-1.671,0.000,0.000,136,6.327,12.000,3.000
123,261,-3.366,10.611,12.087,208,-1.610,17.548,15.529,55,6.097,6.006,2.000,27,-0.662,1.000,0.001,45,-6.500,4.000,5.004,300,13.405,23.996,16.522,103,7.950,8.303,6.161,52,-2.192,7.271,8.000,8,-0.405,0.135,0.000,69,6.016,10.368,5.000
124,182,-8.280,11.315,6.276,175,6.127,16.104,12.003,34,-4.777,2.000,2.000,27,-3.946,0.000,1.000,33,-1.884,2.021,3.202,316,15.716,28.800,14.342,73,-2.148,3.242,4.000,45,9.249,7.000,2.000,12,3.249,2.000,1.002,32,2.546,3.000,1.000
125,157,4.898,8.472,4.007,120,3.287,17.289,7.000,21,0.229,1.000,0.135,5,-3.860,0.135,2.000,25,3.895,4.738,1.004,204,8.960,12.126,7.210,73,5.266,6.167,1.386,36,-4.472,4.000,3.368,1,-0.998,0.000,0.000,30,5.020,4.368,1.000
126,122,0.964,5.376,3.000,69,2.878,6.143,3.418,13,2.607,1.368,0.000,5,-0.000,0.000,0.000,17,5.817,3.002,0.004,121,-3.665,6.100,9.795,47,-1.221,4.368,2.000,17,5.932,3.000,2.000,0,0.000,0.000,0.000,11,1.299,0.000,0.000
127,68,-4.224,2.155,2.000,29,-5.566,0.000,2.000,4,-0.142,0.000,0.000,2,-3.083,0.000,1.000,13,-4.960,0.001,3.000,67,1.122,5.528,7.007,21,-0.077,1.018,0.368,8,1.171,2.000,1.000,0,0.000,0.000,0.000,2,-0.178,0.000,0.000
128,43,0.294,1.000,1.000,26,1.387,2.000,1.018,2,-0.984,0.000,0.000,2,0.015,0.000,0.000,5,0.707,0.018,0.000,29,-4.035,2.000,2.553,7,-0.254,0.018,0.000,2,-1.342,0.000,1.000,2,-0.152,0.000,0.000,1,0.870,0.000,0.000
129,46,-3.519,0.000,2.001,28,0.504,0.149,0.000,5,-1.062,0.000,1.000,0,0.000,0.000,0.000,2,1.349,1.000,0.000,7,-1.308,0.000,1.000,7,-4.616,0.000,2.000,0,0.000,0.000,0.000,1,-0.142,0.000,0.000,5,3.298,2.000,0.000
130,112,0.817,6.736,2.050,20,2.010,1.368,0.000,5,1.351,1.001,0.000,5,-0.767,0.000,0.000,9,1.525,2.000,0.000,27,7.189,5.018,0.000,4,4.719,3.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,25,-2.748,1.000,2.000
131,146,-5.558,5.001,6.001,25,4.893,3.517,1.000,6,-2.870,0.000,1.000,6,-1.435,0.000,1.000,23,3.787,3.185,1.000,52,1.111,4.000,4.050,20,-2.210,1.000,2.368,10,-0.242,0.000,0.368,3,-1.065,0.135,0.000,18,1.629,1.000,0.000
132,274,20.448,15.520,7.305,51,-0.418,3.001,4.107,17,0.379,1.000,1.000,6,-0.371,0.007,0.000,43,-1.153,5.135,5.000,93,0.107,8.068,5.151,35,0.799,4.068,5.000,10,2.109,1.002,0.000,7,0.007,0.000,0.000,13,5.054,2.368,0.000
133,290,11.131,26.886,13.204,69,8.131,5.072,2.871,21,-0.874,1.000,1.135,9,-0.169,0.000,0.000,45,3.171,3.418,3.031,143,5.620,15.389,11.375,73,6.558,7.339,3.289,22,5.139,3.000,0.000,12,2.743,2.050,0.000,34,-0.336,1.000,1.000
134,328,11.430,29.662,14.387,81,3.882,7.515,4.138,25,6.035,5.000,0.000,9,-1.579,0.135,1.000,49,14.448,8.186,1.503,226,13.205,18.437,13.376,100,4.147,8.211,7.408,29,2.714,4.050,0.007,9,-2.021,0.000,1.000,50,5.662,6.368,2.000
135,339,-2.789,21.904,23.958,77,6.738,8.003,6.754,33,-1.661,2.000,3.000,13,-2.040,0.000,1.000,33,2.628,3.371,2.549,291,-13.831,19.892,22.726,100,8.626,8.441,3.003,56,3.730,6.104,5.000,6,1.608,2.000,0.000,61,-2.184,2.000,3.368
136,412,-0.084,31.485,29.296,90,12.493,9.467,1.000,49,-0.680,2.050,1.271,25,4.196,1.370,1.000,57,1.313,6.185,5.028,285,1.092,23.315,18.712,95,-8.421,2.237,8.000,56,8.414,9.368,4.000,11,0.105,1.000,1.000,42,-2.201,4.000,4.000
137,341,25.470,25.804,15.110,104,8.665,10.871,4.135,29,3.966,4.000,1.368,25,0.995,1.368,1.000,60,-0.746,3.743,3.202,312,-7.921,21.797,20.025,105,0.315,8.763,9.376,57,10.068,12.050,4.368,10,2.684,1.000,0.000,55,10.928,10.000,2.000
138,370,13.624,31.434,18.371,109,4.808,9.014,3.426,39,3.417,3.368,2.000,22,1.971,2.000,0.000,43,-7.251,3.003,5.004,285,12.020,16.439,9.154,94,3.373,6.145,3.505,44,9.585,9.005,2.000,16,-2.311,1.000,2.001,50,-2.613,1.000,2.000
139,368,7.477,22.868,16.252,101,7.919,9.436,3.143,48,6.153,5.368,1.018,27,-1.653,2.368,1.000,57,-0.343,4.736,3.000,230,1.866,26.000,15.900,93,11.675,12.389,4.371,49,6.324,8.368,4.368,9,1.967,1.000,0.000,49,1.498,3.000,1.000
140,381,10.118,32.178,18.612,96,0.303,7.142,4.386,62,8.371,9.000,0.368,37,-2.219,1.050,3.000,47,9.810,7.386,1.004,233,17.568,30.598,22.142,88,14.156,13.271,2.738,48,-1.316,1.000,2.368,15,-0.866,1.000,1.000,57,9.716,9.000,6.000
141,357,18.817,32.170,13.186,125,10.806,17.503,7.019,130,2.507,12.548,8.368,41,-0.148,2.135,1.000,58,6.605,5.000,1.553,178,16.657,12.686,5.000,73,14.460,10.512,0.368,38,1.012,3.135,1.000,14,6.496,5.000,1.000,65,4.534,5.000,0.000
142,296,23.829,22.716,9.206,138,26.330,27.504,8.000,242,33.090,35.375,7.736,68,-5.240,6.002,7.000,67,20.650,14.736,1.553,175,2.633,13.168,10.019,109,9.854,9.639,5.368,52,3.784,2.021,1.135,9,0.253,0.000,0.002,63,3.006,8.135,6.000
143,347,31.050,35.065,8.168,167,10.523,17.683,11.000,331,15.265,35.543,14.368,54,3.354,3.000,1.522,82,9.447,7.405,3.000,221,6.698,25.503,19.676,132,10.087,14.662,12.000,46,8.758,8.000,3.000,11,2.748,1.000,0.000,75,4.972,10.000,5.000
144,413,53.510,49.288,12.736,167,9.675,21.787,14.138,269,47.777,42.210,10.104,79,1.870,9.368,4.503,53,6.208,5.138,1.202,216,4.968,18.793,12.185,160,17.783,25.034,11.639,52,14.630,10.368,3.000,13,4.565,3.368,0.000,88,6.354,7.000,3.000
145,337,17.871,33.477,12.009,177,14.636,22.395,10.050,223,18.276,26.320,11.135,43,5.359,7.000,4.000,47,-0.586,2.370,3.000,271,24.011,26.310,11.398,174,28.641,32.689,10.135,55,6.045,10.368,6.368,11,-0.981,0.368,0.000,74,11.298,9.368,3.736
146,382,18.081,27.303,12.621,207,1.782,24.842,19.303,200,26.333,30.780,11.104,44,1.713,4.149,5.000,61,13.732,6.056,0.000,308,-7.784,25.771,22.478,123,16.534,18.000,9.643,42,5.954,7.000,4.000,13,-0.356,2.050,1.368,76,0.986,6.000,5.736
147,286,19.554,26.282,12.185,235,5.659,25.269,18.781,84,-1.564,9.136,8.000,29,5.763,4.000,1.135,43,-8.407,3.050,6.404,291,-13.746,27.340,29.937,88,12.142,10.037,1.368,45,3.118,7.050,3.736,17,1.849,3.736,1.000,52,6.068,9.000,6.000
148,203,6.654,14.524,7.405,239,-9.785,27.553,28.001,48,2.928,4.135,1.000,28,1.201,4.000,3.000,58,3.419,6.737,5.405,259,18.740,33.572,16.728,72,11.946,9.754,4.000,49,-1.172,4.000,3.000,18,0.379,2.000,2.000,34,6.563,6.368,1.000
149,154,9.725,11.723,4.436,201,-1.873,22.470,19.736,28,5.997,4.000,0.000,14,-1.572,0.135,1.000,35,1.180,4.050,3.549,218,-14.104,13.138,18.761,62,-1.091,3.050,2.019,35,-5.878,5.000,5.368,9,2.205,2.000,1.000,14,6.831,4.000,0.000
150,108,-4.531,7.640,4.002,131,-9.401,9.035,12.108,19,1.538,2.000,0.000,2,1.118,1.000,0.000,17,1.942,2.018,0.004,148,-0.437,12.174,7.924,43,1.233,4.018,4.057,12,8.521,5.000,0.000,0,0.000,0.000,0.000,10,3.330,2.000,0.000
151,81,-8.333,4.138,6.000,44,-1.939,5.000,3.019,11,1.236,1.000,0.000,2,0.955,0.000,0.000,21,-0.786,1.138,1.000,113,6.186,14.437,9.001,36,-5.635,3.153,6.002,4,1.271,1.000,0.000,0,0.000,0.000,0.000,2,-0.142,0.000,0.000
152,70,-4.056,1.018,1.000,10,-2.696,0.000,0.368,3,0.472,1.000,0.000,1,0.355,0.000,0.000,6,-1.971,0.000,0.553,43,-5.764,0.000,2.100,19,1.689,1.018,0.014,2,-0.194,0.000,0.000,1,-0.000,0.000,0.000,1,0.000,0.000,0.000
153,76,1.029,4.135,2.000,10,0.220,1.000,0.000,7,0.813,1.000,0.000,1,2.297,1.000,0.000,2,0.219,0.135,0.000,22,-0.681,3.018,2.000,11,0.934,1.000,0.000,2,-0.284,0.000,0.000,0,0.000,0.000,0.000,6,-2.443,0.000,1.000
154,61,3.248,5.000,1.000,10,-0.031,0.000,0.000,5,-1.006,1.000,1.000,4,-4.707,0.000,2.368,8,-2.895,0.000,2.000,17,5.940,4.000,1.000,5,0.163,1.000,1.000,2,0.845,0.000,0.000,1,-0.945,0.000,0.000,10,-1.810,0.000,1.000
155,108,-1.597,5.032,3.000,24,1.058,3.104,2.000,16,1.032,0.000,1.000,2,-0.614,0.000,0.000,12,1.642,0.135,0.000,33,1.370,5.000,4.000,5,-3.123,0.000,1.368,3,0.483,0.000,0.000,2,-0.002,0.000,0.001,22,2.791,1.000,0.000
156,158,8.394,8.149,2.025,38,-0.719,2.749,2.000,16,-0.245,1.000,0.000,4,0.291,0.000,0.000,26,-1.495,1.522,2.549,57,0.957,4.185,1.000,19,8.116,4.000,0.050,13,2.744,2.368,0.000,7,1.136,1.000,0.000,22,4.113,2.135,0.000
157,179,9.118,14.736,10.000,67,-3.792,6.381,4.018,18,-0.448,3.368,3.000,10,0.764,2.000,0.368,36,5.663,0.413,0.000,109,6.364,11.553,7.000,39,0.189,2.138,2.050,30,5.898,4.000,1.000,8,0.440,0.000,0.000,42,1.946,3.000,1.000
158,260,29.040,28.154,5.021,102,2.122,9.019,6.405,34,0.073,4.000,3.000,12,2.585,3.000,0.000,41,4.365,4.007,1.549,120,0.264,13.000,10.000,55,-0.360,9.454,4.368,50,5.851,7.472,2.000,11,-2.702,0.000,1.000,47,10.803,10.135,3.000
159,286,20.074,26.621,13.000,130,8.429,12.167,7.197,43,10.557,8.000,2.000,26,3.981,2.368,1.000,55,9.571,9.007,3.000,214,1.516,21.475,15.142,61,12.379,13.470,4.000,70,15.239,10.871,2.000,14,2.174,1.000,0.001,86,3.300,8.368,5.000
160,329,32.551,34.346,9.743,148,11.580,15.034,6.553,47,5.714,6.001,1.000,35,0.851,4.135,2.000,58,6.166,6.002,4.010,237,35.466,32.257,8.470,78,5.580,8.772,5.135,71,9.321,9.503,3.000,16,-0.284,1.135,0.000,114,7.794,13.368,4.000
161,298,18.002,24.003,11.285,159,25.901,23.150,8.289,50,12.690,8.000,1.000,43,-10.566,0.000,6.136,68,1.130,4.135,3.027,259,20.985,29.114,18.061,84,14.642,14.240,5.369,88,9.931,11.368,5.736,13,0.386,1.000,1.000,123,11.505,12.736,4.368
162,362,4.579,27.363,19.050,150,11.968,18.000,8.013,56,11.424,10.368,2.135,48,1.005,4.603,3.000,74,-3.269,6.739,9.267,252,-9.262,20.290,24.420,123,17.849,18.389,6.418,73,7.233,11.000,5.007,12,5.094,4.000,1.000,90,19.897,17.373,3.000
163,305,22.740,29.387,16.130,153,13.238,23.551,11.571,149,21.901,22.424,7.000,44,-4.380,3.000,6.000,78,-0.840,11.522,9.000,270,21.977,31.007,15.162,154,18.121,28.037,13.154,72,7.302,9.368,1.136,18,6.405,3.000,0.000,101,13.668,11.002,3.368
164,310,14.869,25.953,13.053,159,15.531,23.060,5.468,187,46.036,36.418,7.104,49,11.385,11.000,1.503,63,10.821,8.186,1.031,224,31.450,28.520,10.016,127,15.818,16.368,8.007,64,1.307,6.736,4.413,21,5.202,4.000,0.000,154,22.516,21.370,9.368
165,317,21.625,33.450,17.395,138,4.690,10.094,7.375,180,10.980,24.889,9.018,41,4.436,6.736,2.050,55,1.637,4.386,3.033,241,5.054,18.196,13.317,105,-6.962,12.320,15.000,45,3.567,5.368,2.000,9,-0.835,0.000,1.000,140,18.190,16.000,6.000
166,286,36.087,32.260,9.390,166,6.873,13.739,6.051,241,20.408,34.222,13.374,35,-8.666,2.368,5.050,59,2.704,6.022,3.000,222,25.219,19.611,8.382,154,36.505,28.691,9.019,60,0.354,9.368,7.504,14,-0.192,2.368,1.000,139,22.065,26.503,11.000
167,306,10.287,27.922,12.503,173,21.759,27.788,11.000,281,17.012,35.326,14.000,48,2.889,6.018,3.000,70,1.016,8.001,5.176,240,-2.754,19.856,15.179,213,36.546,38.977,11.155,47,5.303,6.000,2.000,15,-0.316,1.000,1.000,137,17.374,23.000,11.000
