how,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,NA
0,0,0,0,17,16,1,0,0,0,0,2
1,0,0,0,20,15,0,0,0,1,0,2
2,2,0,0,7,17,0,0,0,0,0,3
3,2,0,0,13,21,0,1,0,1,0,3
4,3,0,0,14,27,0,0,0,0,0,2
5,0,0,0,0,21,0,0,0,0,0,2
6,0,0,0,3,5,0,0,0,1,1,0
7,0,0,0,3,0,0,0,0,0,0,1
8,0,0,0,0,4,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,1,0,0
11,0,0,0,0,0,0,0,0,0,0,1
12,0,0,0,2,0,1,0,0,0,0,0
13,0,0,0,1,0,2,0,0,0,0,0
14,0,0,0,12,1,5,0,0,0,0,0
15,0,0,0,8,5,1,0,0,0,0,1
16,0,0,0,13,3,0,0,0,0,1,1
17,0,0,0,17,3,0,0,0,1,0,1
18,0,0,0,11,2,0,0,0,0,0,1
19,0,0,0,8,5,0,0,0,1,0,3
20,0,0,0,17,5,0,0,0,2,0,2
21,0,0,0,10,7,0,0,0,0,0,2
22,2,0,0,15,7,0,0,0,2,0,3
23,0,0,0,2,2,0,0,1,2,0,1
24,0,0,0,3,9,2,0,0,0,0,1
25,0,0,0,0,1,0,0,0,0,0,3
26,0,0,0,3,7,0,0,0,0,0,0
27,0,0,0,3,2,0,0,0,0,0,1
28,0,0,0,0,1,0,0,0,0,0,0
29,0,0,0,0,5,0,0,0,1,0,1
30,0,0,0,0,2,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,2,0,0,0,0,0,0,0
35,0,0,0,0,0,3,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,1,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,4,0,0,1,0,0,0,0
40,0,0,0,3,0,1,0,0,1,0,0
41,0,0,0,7,0,1,1,0,0,0,1
42,0,0,0,1,0,0,0,0,0,0,1
43,0,0,0,2,0,0,2,0,3,0,1
44,0,0,0,7,3,4,0,0,0,0,1
45,0,0,0,8,5,5,0,0,1,0,0
46,0,0,0,8,10,3,0,0,3,0,4
47,0,0,0,2,2,1,0,0,1,0,3
48,0,0,0,7,6,1,0,0,3,0,1
49,0,0,0,3,3,0,0,0,1,0,0
50,0,0,0,3,4,0,0,0,0,0,2
51,0,0,0,0,4,0,0,0,0,0,0
52,0,0,0,0,1,0,0,1,0,0,1
53,0,0,0,0,1,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,1,0,0
55,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,1,0,0,0,0,0,0,0
57,0,0,0,2,0,0,0,0,0,0,0
58,0,0,0,1,0,0,0,0,0,0,0
59,0,0,0,0,0,1,0,0,0,0,1
60,0,0,0,1,0,0,0,0,0,0,0
61,0,0,0,3,0,0,0,0,0,0,1
62,0,0,0,0,0,0,0,0,0,0,1
63,0,0,0,8,0,0,0,0,0,0,2
64,0,0,0,7,7,2,1,0,0,0,0
65,0,0,0,6,0,4,0,0,0,0,0
66,0,0,0,1,0,0,3,0,0,0,0
67,0,0,0,3,3,0,0,0,2,1,0
68,0,0,0,5,0,4,0,0,2,2,1
69,1,0,0,3,2,3,0,0,1,0,2
70,0,0,0,10,3,4,0,0,1,0,4
71,0,0,0,4,8,0,0,0,0,0,1
72,0,0,0,4,3,0,0,0,0,0,3
73,1,0,0,1,3,0,0,0,0,0,2
74,0,0,0,1,5,0,0,0,1,0,3
75,2,0,0,0,10,0,0,0,0,0,0
76,0,0,0,3,4,0,0,0,0,0,0
77,0,0,0,0,2,0,0,0,0,0,1
78,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,1,0,0,0,0,0,0,0
85,0,0,0,1,0,0,0,0,0,0,0
86,0,0,0,2,0,2,0,0,0,0,0
87,0,0,0,2,0,0,0,0,0,0,1
88,0,0,0,2,0,1,0,0,1,0,0
89,0,0,0,1,0,0,0,0,0,0,2
90,0,0,0,7,3,0,0,0,0,0,0
91,0,0,0,3,2,0,0,0,2,0,2
92,0,0,0,4,0,2,1,0,2,0,2
93,0,0,0,10,5,3,0,0,0,0,3
94,1,0,0,12,6,4,1,0,2,0,2
95,0,0,0,7,8,1,0,0,0,0,4
96,0,0,0,9,9,0,0,0,0,0,3
97,1,0,0,9,5,0,0,0,0,0,1
98,1,0,0,5,2,0,0,0,0,1,3
99,1,0,0,6,8,0,0,0,0,0,1
100,0,0,0,1,1,0,0,0,0,0,2
101,0,0,0,0,3,0,0,0,0,0,4
102,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,2,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,1,0,0,0,0,0,0,0
106,0,0,0,1,0,0,0,0,0,0,0
107,0,0,0,3,0,2,0,0,0,0,0
108,0,0,0,0,0,1,0,0,0,0,3
109,0,0,0,2,0,0,0,0,1,0,1
110,0,0,0,1,0,0,2,0,0,0,0
111,0,0,0,1,1,0,0,0,0,0,2
112,0,0,0,6,4,0,0,0,0,0,0
113,0,0,0,4,2,2,2,0,2,0,1
114,0,0,0,5,1,0,0,0,0,0,2
115,0,0,0,4,0,0,1,0,0,0,1
116,0,0,0,2,1,3,0,0,1,0,2
117,0,0,0,14,3,1,0,0,1,0,0
118,0,0,0,17,4,1,0,1,1,0,2
119,2,0,0,4,9,1,0,0,1,0,3
120,2,0,0,9,5,0,0,0,0,0,3
121,1,0,0,9,13,1,0,1,1,0,3
122,0,0,0,6,10,0,0,0,0,0,0
123,0,0,0,0,9,0,0,0,0,0,1
124,1,0,0,2,5,0,0,0,0,0,0
125,0,0,0,1,3,0,0,0,0,0,0
126,0,0,0,0,3,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,1
128,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,0
131,0,0,0,1,0,2,1,0,0,0,0
132,0,0,0,1,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,1,0,0,1,0,0
135,0,0,0,6,1,0,0,0,0,0,0
136,0,0,0,3,1,3,0,0,1,0,2
137,0,0,0,9,7,1,0,0,0,0,0
138,0,0,0,3,12,0,0,0,1,0,0
139,0,0,0,4,7,0,2,0,1,0,1
140,0,0,0,4,5,5,0,0,2,0,0
141,0,0,0,9,4,1,0,0,2,0,0
142,0,0,0,17,13,1,0,0,4,0,3
143,0,0,0,16,17,0,0,0,1,0,5
144,0,0,0,6,14,0,0,0,0,0,3
145,3,0,0,10,9,0,0,0,0,0,1
146,0,0,0,10,10,0,0,0,0,0,3
147,2,0,0,17,11,0,0,0,0,0,2
148,1,0,0,8,14,1,0,0,0,1,2
149,0,0,0,6,14,0,0,0,1,0,1
150,0,0,0,2,1,0,0,0,0,0,1
151,0,0,0,2,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,1,0,0,0,0,0
156,0,0,0,2,0,1,0,0,0,0,2
157,0,0,0,3,0,3,0,0,0,0,3
158,0,0,0,11,2,4,0,0,0,1,2
159,0,0,0,11,0,1,0,0,0,0,1
160,0,0,0,11,8,1,0,0,1,0,0
161,0,0,0,8,5,0,0,0,3,0,3
162,1,0,0,9,10,0,0,0,2,0,3
163,0,0,0,2,11,0,0,0,1,0,1
164,1,0,0,8,10,0,0,0,4,0,1
165,0,0,0,21,20,0,0,0,0,0,7
166,0,0,0,14,9,0,0,0,0,0,4
167,0,0,0,12,11,0,0,1,1,0,4
